human_gene_id	gene	direct_relations	metabolites	legacy_RNA_status	prior_35gene_scRNA_panel	current_RNA_analysis	current_scRNA_analysis
hsa:100	ADA	2	adenosine;inosine	DONE	False	NOT_RUN	NOT_RUN
hsa:10005	ACOT8	4	3-hydroxy-3-methylglutarate;malonate;sebacate (decanedioate);succinate	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:10020	GNE	2	UDP-N-acetylglucosamine;uridine 5'-diphosphate (UDP)	DONE	False	NOT_RUN	NOT_RUN
hsa:10050	SLC17A4	1	urate	DONE	False	NOT_RUN	NOT_RUN
hsa:10056	FARSB	1	phenylalanine	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:10057	ABCC5	2	N-acetylaspartate (NAA);N-acetylglutamate	DONE	False	NOT_RUN	NOT_RUN
hsa:10201	NME6	1	uridine 5'-diphosphate (UDP)	DONE	True	NOT_RUN	REUSE_OUTCOME_CHECK_REQUIRED
hsa:10237	SLC35B1	1	uridine 5'-diphosphate (UDP)	DONE	False	NOT_RUN	NOT_RUN
hsa:10246	SLC17A2	1	urate	DONE	False	NOT_RUN	NOT_RUN
hsa:10257	ABCC4	2	glutathione, reduced (GSH);urate	DONE	False	NOT_RUN	NOT_RUN
hsa:10314	LANCL1	1	glutathione, reduced (GSH)	DONE	False	NOT_RUN	NOT_RUN
hsa:10331	B3GNT3	2	UDP-N-acetylglucosamine;uridine 5'-diphosphate (UDP)	DONE	False	NOT_RUN	NOT_RUN
hsa:10390	CEPT1	2	cytidine 5'-diphosphocholine;cytidine 5'-monophosphate (5'-CMP)	DONE	False	NOT_RUN	NOT_RUN
hsa:10400	PEMT	2	S-adenosylhomocysteine (SAH);S-adenosylmethionine (SAM)	DONE	False	NOT_RUN	NOT_RUN
hsa:10423	CDIPT	1	cytidine 5'-monophosphate (5'-CMP)	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:10434	LYPLA1	1	glycerophosphorylcholine (GPC)	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:10559	SLC35A1	2	cytidine 5'-monophosphate (5'-CMP);uridine 5'-monophosphate (UMP)	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:10667	FARS2	1	phenylalanine	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:10678	B3GNT2	2	UDP-N-acetylglucosamine;uridine 5'-diphosphate (UDP)	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:10720	UGT2B11	2	UDP-glucuronate;uridine 5'-diphosphate (UDP)	DONE	False	NOT_RUN	NOT_RUN
hsa:10786	SLC17A3	1	urate	DONE	False	NOT_RUN	NOT_RUN
hsa:10825	NEU3	1	N-acetylneuraminate	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:10864	SLC22A7	4	creatinine;guanosine;guanosine 5'- diphosphate (GDP);urate	DONE	False	NOT_RUN	NOT_RUN
hsa:10908	PNPLA6	1	glycerophosphorylcholine (GPC)	DONE	False	NOT_RUN	NOT_RUN
hsa:10941	UGT2A1	2	UDP-glucuronate;uridine 5'-diphosphate (UDP)	DONE	False	NOT_RUN	NOT_RUN
hsa:10991	SLC38A3	2	asparagine;glutamine	DONE	True	NOT_RUN	REUSE_OUTCOME_CHECK_REQUIRED
hsa:10993	SDS	1	threonine	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:1103	CHAT	1	acetylcholine	DONE	False	NOT_RUN	NOT_RUN
hsa:11046	SLC35D2	3	UDP-N-acetylglucosamine;UDP-glucose;uridine 5'-monophosphate (UMP)	DONE	False	NOT_RUN	NOT_RUN
hsa:11136	SLC7A9	2	leucine;phenylalanine	DONE	False	NOT_RUN	NOT_RUN
hsa:11185	INMT	2	S-adenosylhomocysteine (SAH);S-adenosylmethionine (SAM)	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:11254	SLC6A14	8	asparagine;beta-alanine;glutamine;isoleucine;leucine;phenylalanine;threonine;tyrosine	DONE	False	NOT_RUN	NOT_RUN
hsa:112849	L3HYPDH	1	3-hydroxyproline	DONE	False	NOT_RUN	NOT_RUN
hsa:11313	LYPLA2	1	glycerophosphorylcholine (GPC)	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:113675	SDSL	1	threonine	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:115024	NT5C3B	1	cytidine 5'-monophosphate (5'-CMP)	DONE	False	NOT_RUN	NOT_RUN
hsa:115111	SLC26A7	1	gluconate	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:1152	CKB	1	creatine	DONE	False	NOT_RUN	NOT_RUN
hsa:115286	SLC25A26	2	S-adenosylhomocysteine (SAH);S-adenosylmethionine (SAM)	DONE	False	NOT_RUN	NOT_RUN
hsa:115584	SLC5A11	1	glucose	DONE	False	NOT_RUN	NOT_RUN
hsa:1158	CKM	1	creatine	DONE	False	NOT_RUN	NOT_RUN
hsa:1159	CKMT1B	1	creatine	NOT_EVALUABLE	False	NOT_RUN	NOT_RUN
hsa:1160	CKMT2	1	creatine	DONE	False	NOT_RUN	NOT_RUN
hsa:116085	SLC22A12	1	urate	DONE	False	NOT_RUN	NOT_RUN
hsa:116843	SLC18B1	2	serotonin (5HT);spermidine	DONE	False	NOT_RUN	NOT_RUN
hsa:117247	SLC16A10	2	phenylalanine;tyrosine	DONE	False	NOT_RUN	NOT_RUN
hsa:1192	CLIC1	1	glutathione, reduced (GSH)	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:1193	CLIC2	1	glutathione, reduced (GSH)	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:119391	GSTO2	1	glutathione, reduced (GSH)	DONE	True	NOT_RUN	REUSE_OUTCOME_CHECK_REQUIRED
hsa:120103	SLC36A4	1	proline	DONE	False	NOT_RUN	NOT_RUN
hsa:121260	SLC15A4	1	carnosine	DONE	False	NOT_RUN	NOT_RUN
hsa:122622	ADSS1	3	adenylosuccinate;guanosine 5'- diphosphate (GDP);inosine 5'-monophosphate (IMP)	DONE	False	NOT_RUN	NOT_RUN
hsa:123283	TARS3	1	threonine	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:123688	HYKK	2	5-hydroxylysine;guanosine 5'- diphosphate (GDP)	DONE	False	NOT_RUN	NOT_RUN
hsa:124565	SLC38A10	2	glutamine;leucine	DONE	False	NOT_RUN	NOT_RUN
hsa:124583	CANT1	4	guanosine 5'- diphosphate (GDP);inosine 5'-monophosphate (IMP);uridine 5'-diphosphate (UDP);uridine 5'-monophosphate (UMP)	DONE	True	NOT_RUN	REUSE_OUTCOME_CHECK_REQUIRED
hsa:124935	SLC43A2	3	isoleucine;leucine;phenylalanine	DONE	False	NOT_RUN	NOT_RUN
hsa:124975	GGT6	1	glutathione, reduced (GSH)	DONE	False	NOT_RUN	NOT_RUN
hsa:125061	AFMID	1	kynurenine	DONE	False	NOT_RUN	NOT_RUN
hsa:129607	CMPK2	1	cytidine 5'-monophosphate (5'-CMP)	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:129807	NEU4	1	N-acetylneuraminate	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:1312	COMT	2	S-adenosylhomocysteine (SAH);S-adenosylmethionine (SAM)	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:131870	NUDT16	1	inosine 5'-monophosphate (IMP)	DONE	False	NOT_RUN	NOT_RUN
hsa:132	ADK	1	adenosine	DONE	False	NOT_RUN	NOT_RUN
hsa:132158	GLYCTK	1	3PG	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:138199	CARNMT1	3	S-adenosylhomocysteine (SAH);S-adenosylmethionine (SAM);carnosine	DONE	False	NOT_RUN	NOT_RUN
hsa:140679	SLC32A1	1	beta-alanine	DONE	False	NOT_RUN	NOT_RUN
hsa:140838	NANP	1	N-acetylneuraminate	DONE	False	NOT_RUN	NOT_RUN
hsa:1431	CS	1	citrate	DONE	False	NOT_RUN	NOT_RUN
hsa:144110	TMEM86A	1	glycerophosphorylcholine (GPC)	DONE	False	NOT_RUN	NOT_RUN
hsa:144195	SLC2A14	1	glucose	DONE	False	NOT_RUN	NOT_RUN
hsa:144811	LACC1	7	5-methylthioadenosine (MTA);adenine;adenosine;guanine;guanosine;hypoxanthine;inosine	DONE	False	NOT_RUN	NOT_RUN
hsa:145389	SLC38A6	1	glutamine	DONE	False	NOT_RUN	NOT_RUN
hsa:146167	SLC38A8	2	glutamine;leucine	DONE	False	NOT_RUN	NOT_RUN
hsa:1468	SLC25A10	2	malonate;succinate	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:146802	SLC47A2	1	creatinine	DONE	False	NOT_RUN	NOT_RUN
hsa:1503	CTPS1	1	glutamine	DONE	False	NOT_RUN	NOT_RUN
hsa:151056	PLB1	1	glycerophosphorylcholine (GPC)	DONE	False	NOT_RUN	NOT_RUN
hsa:151531	UPP2	2	uracil;uridine	DONE	True	NOT_RUN	REUSE_OUTCOME_CHECK_REQUIRED
hsa:153129	SLC38A9	4	asparagine;glutamine;leucine;tyrosine	DONE	False	NOT_RUN	NOT_RUN
hsa:153201	SLC36A2	2	beta-alanine;proline	DONE	False	NOT_RUN	NOT_RUN
hsa:154091	SLC2A12	1	glucose	DONE	False	NOT_RUN	NOT_RUN
hsa:155184	SLC2A7	1	glucose	DONE	False	NOT_RUN	NOT_RUN
hsa:157724	SLC7A13	4	glutamine;leucine;phenylalanine;tyrosine	DONE	False	NOT_RUN	NOT_RUN
hsa:158	ADSL	1	adenylosuccinate	DONE	False	NOT_RUN	NOT_RUN
hsa:159	ADSS2	3	adenylosuccinate;guanosine 5'- diphosphate (GDP);inosine 5'-monophosphate (IMP)	DONE	True	NOT_RUN	REUSE_OUTCOME_CHECK_REQUIRED
hsa:160728	SLC5A8	3	3-hydroxybutyrate (BHBA);4-methyl-2-oxopentanoate;5-oxoproline	DONE	False	NOT_RUN	NOT_RUN
hsa:162417	NAGS	1	N-acetylglutamate	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:1644	DDC	1	serotonin (5HT)	DONE	False	NOT_RUN	NOT_RUN
hsa:171586	ABHD3	2	azelate (nonanedioate);pelargonate (9:0)	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:1798	DPAGT1	2	UDP-N-acetylglucosamine;uridine 5'-monophosphate (UMP)	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:1806	DPYD	1	uracil	DONE	False	NOT_RUN	NOT_RUN
hsa:191	AHCY	2	S-adenosylhomocysteine (SAH);adenosine	DONE	False	NOT_RUN	NOT_RUN
hsa:196743	PAOX	1	spermidine	DONE	False	NOT_RUN	NOT_RUN
hsa:197257	LDHD	1	4-methyl-2-oxopentanoate	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:197322	ACSF3	1	malonate	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:2023	ENO1	2	2-phosphoglycerate;phosphoenolpyruvate (PEP)	DONE	False	NOT_RUN	NOT_RUN
hsa:2026	ENO2	2	2-phosphoglycerate;phosphoenolpyruvate (PEP)	DONE	True	NOT_RUN	REUSE_OUTCOME_CHECK_REQUIRED
hsa:2027	ENO3	2	2-phosphoglycerate;phosphoenolpyruvate (PEP)	DONE	False	NOT_RUN	NOT_RUN
hsa:2030	SLC29A1	8	adenine;adenosine;guanine;guanosine;hypoxanthine;inosine;uracil;uridine	DONE	True	NOT_RUN	REUSE_OUTCOME_CHECK_REQUIRED
hsa:205	AK4	3	cytidine 5'-monophosphate (5'-CMP);guanosine 5'- diphosphate (GDP);uridine 5'-diphosphate (UDP)	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:2058	EPRS1	1	proline	DONE	False	NOT_RUN	NOT_RUN
hsa:206358	SLC36A1	2	beta-alanine;proline	DONE	False	NOT_RUN	NOT_RUN
hsa:2098	ESD	1	glutathione, reduced (GSH)	DONE	False	NOT_RUN	NOT_RUN
hsa:2166	FAAH	1	taurine	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:217	ALDH2	1	succinate	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:219	ALDH1B1	1	pelargonate (9:0)	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:2193	FARSA	1	phenylalanine	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:220074	LRTOMT	2	S-adenosylhomocysteine (SAH);S-adenosylmethionine (SAM)	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:220963	SLC16A9	1	creatine	DONE	False	NOT_RUN	NOT_RUN
hsa:221	ALDH3B1	1	pelargonate (9:0)	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:221264	AK9	3	cytidine 5'-monophosphate (5'-CMP);guanosine 5'- diphosphate (GDP);uridine 5'-diphosphate (UDP)	DONE	False	NOT_RUN	NOT_RUN
hsa:221357	GSTA5	1	glutathione, reduced (GSH)	DONE	False	NOT_RUN	NOT_RUN
hsa:222962	SLC29A4	3	adenosine;histamine;serotonin (5HT)	DONE	False	NOT_RUN	NOT_RUN
hsa:223	ALDH9A1	1	deoxycarnitine	NOT_RUN	False	NOT_RUN	NOT_RUN
hsa:226	ALDOA	1	dihydroxyacetone phosphate (DHAP)	DONE	False	NOT_RUN	NOT_RUN
hsa:229	ALDOB	1	dihydroxyacetone phosphate (DHAP)	DONE	False	NOT_RUN	NOT_RUN
hsa:22978	NT5C2	7	adenosine;cytidine 5'-monophosphate (5'-CMP);guanosine;inosine;inosine 5'-monophosphate (IMP);uridine;uridine 5'-monophosphate (UMP)	DONE	False	NOT_RUN	NOT_RUN
hsa:230	ALDOC	1	dihydroxyacetone phosphate (DHAP)	DONE	False	NOT_RUN	NOT_RUN
hsa:23169	SLC35D1	4	UDP-N-acetylglucosamine;UDP-glucose;UDP-glucuronate;uridine 5'-monophosphate (UMP)	DONE	False	NOT_RUN	NOT_RUN
hsa:23171	GPD1L	1	dihydroxyacetone phosphate (DHAP)	DONE	False	NOT_RUN	NOT_RUN
