feature_name	metabolite_key	original_effect	original_q	tumor_matrix_found	normal_matrix_found	source_data_sheet_found	n_tumor_finite	n_tumor_source_data_finite	n_tumor_unique
1-methyladenosine	KEGG:C02494	0.744539332175952	0.0104274039204103	True	True	True	37	29	30
1-methylhistamine	KEGG:C05127	-0.596838488935626	0.0258711210739767	True	True	True	37	34	35
1-methylnicotinamide	KEGG:C02918	0.736754320620112	0.0104274039204103	True	True	True	37	37	37
2,3-diphosphoglycerate	KEGG:C01159	0.245487877804297	0.341075036067847	True	True	True	37	19	20
2-Deoxyglucose 6-phosphate	KEGG:C06369	0.659781947432759	0.0126783874309455	True	True	True	37	27	27
2-Hydroxypentanoate	NAME:2-Hydroxypentanoate	-0.343884307751192	0.296348707671649	True	True	True	37	27	28
2-aminoadipate	KEGG:C00956	-0.233771639191166	0.541926741990423	True	True	True	37	36	36
2-hydroxybutyrate (AHB)	KEGG:C05984	-0.336422998573065	0.12185706354843	True	True	True	37	31	31
2-hydroxyglutarate	KEGG:C02630	0.302010203733919	0.170970135184171	True	True	True	37	37	37
2-phosphoglycerate	KEGG:C00631	-1.44511128689612	2.1849625495186e-06	True	True	True	37	13	14
2AB	KEGG:C02356	-0.0385003868227048	0.964626161697931	True	True	True	37	37	37
3-hydroxy-3-methylglutarate	KEGG:C03761	1.28253291327222	4.64513926849744e-06	True	True	True	37	35	36
3-hydroxybutyrate (BHBA)	KEGG:C01089	-0.337141033258101	0.201308384491351	True	True	True	37	32	33
3-hydroxyproline	KEGG:C05147	0.611551652327855	0.0128731320770819	True	True	True	37	37	37
3-methylhistidine	KEGG:C01152	-0.284211103884199	0.355731040548491	True	True	True	37	37	37
3PG	KEGG:C00197	-1.62220266413497	2.50033886118489e-07	True	True	True	37	37	37
4-Acetylbutyrate	KEGG:C02129	-0.0625147698793676	0.706510481735015	True	True	True	37	20	21
4-methyl-2-oxopentanoate	KEGG:C00233	-1.47479797958175	2.22833094147422e-06	True	True	True	37	18	19
5-aminovalerate	KEGG:C00431	0.119226583275157	0.719846845069486	True	True	True	37	37	37
5-hydroxylysine	KEGG:C16741	1.10235368258317	0.000106513585786417	True	True	True	37	34	35
5-methylthioadenosine (MTA)	KEGG:C00170	0.794416000324265	0.00110684292910678	True	True	True	37	32	33
5-oxoproline	KEGG:C01879	0.554592396304544	0.127599886571314	True	True	True	37	37	37
6-phosphogluconate	KEGG:C00345	-0.641702243769376	0.0291207682154118	True	True	True	37	35	36
ADP-glucose	KEGG:C00498	0.388646001175217	0.0652838691197924	True	True	True	37	33	33
Acetohydroxamate	KEGG:C06808	-0.521320132255297	1.51302088736128e-05	True	True	True	37	35	36
Butanoate	NAME:Butanoate	0.245426492650899	0.340045076615972	True	True	True	37	28	29
Cyclohexylamine	KEGG:C00571	0.185663473826958	0.466892936409627	True	True	True	37	11	12
Disulfiram	KEGG:C01692	-2.02409833924531	1.46718920051068e-08	True	True	True	37	37	37
GDP-mannose	KEGG:C00096	-0.145191617002731	0.566694491507178	True	True	True	37	27	28
Hexanoate	KEGG:C01585	-0.0946760061601497	0.73939377650572	True	True	True	37	35	36
Isethionate	NAME:Isethionate	0.00614891561085994	0.942682547493891	True	True	True	37	28	29
Mucate	KEGG:C01807	-1.07306834400398	0.000171933865206755	True	True	True	37	34	35
N-Acetylglucosamine 1-phosphate	KEGG:C04501	0.651874150570456	0.0233237692703757	True	True	True	37	37	37
N-acetylaspartate (NAA)	KEGG:C01042	-1.60890842089475	4.01049322955914e-08	True	True	True	37	37	37
N-acetylglucosamine	KEGG:C00140	0.408972159000264	0.133869593570965	True	True	True	37	34	35
N-acetylglucosamine 6-phosphate	KEGG:C00357	1.2061475455854	1.51302088736128e-05	True	True	True	37	36	37
N-acetylglutamate	KEGG:C00624	0.396255826342602	0.127599886571314	True	True	True	37	34	35
N-acetylmethionine	KEGG:C02712	0.760384400279365	0.0035199914001332	True	True	True	37	26	27
N-acetylneuraminate	KEGG:C00270	-0.914050093379568	0.000927728383719889	True	True	True	37	37	37
NADPH	HMDB:HMDB06341	-0.0650747348205219	0.716290315840259	True	True	True	37	33	34
Octanoate	KEGG:C06423	-0.18921545596387	0.629150324537427	True	True	True	37	25	26
Phthalate	KEGG:C01606	-0.607579272336491	0.0104274039204103	True	True	True	37	26	27
Propionate	KEGG:C00163	-0.257659933527903	0.335953064469857	True	True	True	37	29	30
S-adenosylhomocysteine (SAH)	KEGG:C00021	0.175751567715889	0.0807523280020274	True	True	True	37	35	36
S-adenosylmethionine (SAM)	KEGG:C00019	1.58687135491014	9.78479129514819e-08	True	True	True	37	37	37
S7P	NAME:S7P	-0.190785763552638	0.541926741990423	True	True	True	37	37	37
UDP-N-acetylglucosamine	KEGG:C00043	0.939007643120185	0.000290785192477196	True	True	True	37	37	37
UDP-glucose	KEGG:C00029	-0.479570976201485	0.118950274477379	True	True	True	37	36	37
UDP-glucuronate	KEGG:C00167	0.51439178620292	0.0104274039204103	True	True	True	37	36	37
acetylcarnitine	KEGG:C02571	0.256028297603105	0.248368955996083	True	True	True	37	37	37
acetylcholine	KEGG:C01996	-1.26417215547317	3.03664852373543e-06	True	True	True	37	27	28
adenine	KEGG:C00147	1.00605822007937	0.000171933865206755	True	True	True	37	36	37
adenosine	KEGG:C00212	-1.43361692283717	3.68444811809424e-06	True	True	True	37	37	37
adenosine 2'-monophosphate (2'-AMP)	KEGG:C00946	0.204733660018642	0.172918355303496	True	True	True	37	37	37
adenosine 5'-diphosphate (ADP)	KEGG:C00008	0.0785818716609976	0.541926741990423	True	True	True	37	37	37
adenosine 5'-triphosphate (ATP)	KEGG:C00002	-0.205340685542612	0.520910815457932	True	True	True	37	37	37
adenylosuccinate	KEGG:C03794	0.723072982975468	0.00103594092695614	True	True	True	37	34	35
alanine	KEGG:C00041	-0.0138895194123145	0.932445515622828	True	True	True	37	37	37
alanylalanine	KEGG:C00993	0.320022545283237	0.232747619539446	True	True	True	37	28	29
allantoin	KEGG:C02350	-1.13251050393184	2.75917060479647e-06	True	True	True	37	31	32
arginine	KEGG:C00062	0.15773851619423	0.921511123241085	True	True	True	37	37	37
asparagine	KEGG:C00152	0.690613414767693	0.0163500248519711	True	True	True	37	37	37
aspartate	KEGG:C00049	0.460320933856228	0.26789160626745	True	True	True	37	37	37
azelate (nonanedioate)	KEGG:C08261	-0.383174360489904	0.0277131462125493	True	True	True	37	33	34
beta-alanine	KEGG:C00099	2.22555471341831	3.39874265565443e-10	True	True	True	37	37	37
betaine	KEGG:C00719	-0.296275896426128	0.296348707671649	True	True	True	37	37	37
cadaverine	KEGG:C01672	0.113438061039415	0.604140297351027	True	True	True	37	23	24
carnitine	KEGG:C00318	0.350784241534305	0.117573788216169	True	True	True	37	37	37
carnosine	KEGG:C00386	-0.552013685316796	0.0303181418621276	True	True	True	37	29	30
choline	KEGG:C00114	-0.0312572880863205	0.964626161697931	True	True	True	37	37	37
cis-aconitate	KEGG:C00417	-0.8353983577876	0.000307793700547115	True	True	True	37	35	36
citrate	KEGG:C00158	-1.08156774149304	4.64513926849744e-06	True	True	True	37	37	37
citrulline	KEGG:C00327	-0.208429668744069	0.275489855979451	True	True	True	37	37	37
creatine	KEGG:C00300	-0.803110403962142	0.0051099208710439	True	True	True	37	37	37
creatinine	KEGG:C00791	-1.21647722662822	2.15403529632938e-06	True	True	True	37	37	37
cysteine-glutathione disulfide	KEGG:R00900	0.592489232663605	0.0295374808693407	True	True	True	37	37	37
cytidine	KEGG:C00475	-0.484622433872367	0.0458478582879108	True	True	True	37	36	37
cytidine 5'-diphosphocholine	KEGG:C00307	1.20327326312888	7.43310822038562e-07	True	True	True	37	36	37
cytidine 5'-monophosphate (5'-CMP)	KEGG:C00055	-0.568550324207397	0.0539757777143879	True	True	True	37	37	37
cytidine diphosphate	KEGG:C00112	0.133496323804633	0.464735018892266	True	True	True	37	31	32
deoxycarnitine	KEGG:C01181	0.401770332905077	0.127799215065539	True	True	True	37	37	37
dihydroxyacetone phosphate (DHAP)	KEGG:C00111	-0.920687204019363	0.00208970754081866	True	True	True	37	35	35
dimethylglycine	KEGG:C01026	-0.0304806475286412	0.706510481735015	True	True	True	37	28	29
fructose 1,6-diphosphate/glucose 1,6-diphosphate/myo-inositol diphosphates	KEGG:C00354	0.336260528935214	0.133869593570965	True	True	True	37	36	37
fumarate	KEGG:C00122	-0.180688241394585	0.338008097447384	True	True	True	37	37	37
gamma-aminobutyrate (GABA)	KEGG:C00334	0.544534782625098	0.0807523280020274	True	True	True	37	37	37
gluconate	KEGG:C00257	-0.429281259521108	0.168968959284748	True	True	True	37	36	37
glucose	KEGG:C00031	-2.46828093548679	7.02371971133023e-10	True	True	True	37	33	34
glucose 1-phosphate	KEGG:C00103	-0.172055165634409	0.598262726128864	True	True	True	37	30	31
glucose 6-phosphate	KEGG:C00668	-0.358076113059511	0.16177907131735	True	True	True	37	37	37
glucuronate	KEGG:C00191	-0.445301518249616	0.102697311380866	True	True	True	37	23	24
glutamate	KEGG:C00025	0.752532488926264	0.00205315909153294	True	True	True	37	37	36
glutamine	KEGG:C00064	-1.18517818312271	1.53194804029879e-05	True	True	True	37	37	37
glutarate (C5-DC)	KEGG:C00489	-0.378058922306145	0.12185706354843	True	True	True	37	36	37
glutathione, oxidized (GSSG)	KEGG:C00127	-0.059523131236803	0.991708285518034	True	True	True	37	37	37
glutathione, reduced (GSH)	KEGG:C00051	0.723546364233653	0.00137962772378558	True	True	True	37	37	37
glycerol 3-phosphate (G3P)	KEGG:C00093	-0.159417539744643	0.899362766790787	True	True	True	37	37	37
glycerophosphorylcholine (GPC)	KEGG:C00670	-0.671891137099271	0.0113140364356053	True	True	True	37	37	37
glycine	KEGG:C00037	0.249779039675655	0.338008097447384	True	True	True	37	37	37
glycylglycine	KEGG:C02037	1.09439254708472	5.32472647854001e-06	True	True	True	37	35	36
guanidinoacetate	KEGG:C00581	-0.522523018986262	0.0074791702312904	True	True	True	37	36	36
guanine	KEGG:C00242	-0.589713633659115	0.00340110367227365	True	True	True	37	31	32
guanosine	KEGG:C00387	-1.10566416561374	7.94549647812405e-05	True	True	True	37	37	37
guanosine 5'- diphosphate (GDP)	KEGG:C00035	0.333738755268872	0.0903180799619314	True	True	True	37	30	30
guanosine 5'- monophosphate (5'-GMP)	KEGG:C00144	0.177439150440661	0.0925657730292134	True	True	True	37	36	37
guanosine 5'-triphosphate (GTP)	KEGG:C00044	0.149298565635581	0.395369236508722	True	True	True	37	35	35
histamine	KEGG:C00388	-1.21651078686213	4.5885636815329e-06	True	True	True	37	37	37
histidine	KEGG:C00135	0.0981949210123386	0.750811448774356	True	True	True	37	37	37
hypotaurine	KEGG:C00519	1.35836816796979	3.7774906946348e-08	True	True	True	37	36	37
hypoxanthine	KEGG:C00262	1.13415428000986	7.85844714558742e-05	True	True	True	37	37	37
inosine	KEGG:C00294	-0.467146949402204	0.00317493716792095	True	True	True	37	37	37
inosine 5'-monophosphate (IMP)	KEGG:C00130	-0.889251406041119	0.00103594092695614	True	True	True	37	37	37
isocitrate	KEGG:C00311	-0.94049325537887	0.000701295206824154	True	True	True	37	12	12
isoleucine	KEGG:C00407	0.567578731556765	0.0446064691375585	True	True	True	37	37	37
kynurenine	KEGG:C00328	1.03558795953485	0.000218307827746403	True	True	True	37	35	36
lactate	KEGG:C00186	0.381210710154525	0.225170546576447	True	True	True	37	37	36
leucine	KEGG:C00123	0.50839089312706	0.0398980189569739	True	True	True	37	37	37
lysine	KEGG:C00047	0.0455983972069536	0.919001463236155	True	True	True	37	37	37
malate	KEGG:C00149	-0.150214090275675	0.506852324773136	True	True	True	37	37	37
malonate	KEGG:C00383	-0.300205658965365	0.139266731582772	True	True	True	37	27	28
methionine	KEGG:C00073	0.217278268189552	0.464735018892266	True	True	True	37	37	37
nicotinamide	KEGG:C00153	-0.234433423237569	0.520910815457932	True	True	True	37	37	37
nicotinamide adenine dinucleotide (NAD+)	KEGG:C00003	0.218080702953548	0.383007040227836	True	True	True	37	37	37
nicotinamide adenine dinucleotide phosphate (NADP+)	KEGG:C00006	-0.109797120751975	0.681824622237587	True	True	True	37	33	34
nicotinamide adenine dinucleotide reduced (NADH)	KEGG:C00004	-0.345703149862443	0.25129524384303	True	True	True	37	28	29
ophthalmate	HMDB:HMDB05765	-0.853784378285622	0.000312736900370037	True	True	True	37	37	37
ornithine	KEGG:C00077	-0.219277082886942	0.427817882228958	True	True	True	37	37	37
pantothenate	KEGG:C00864	0.326974894895062	0.166569309698962	True	True	True	37	26	27
pelargonate (9:0)	KEGG:C01601	-0.35654035768113	0.0796319838549086	True	True	True	37	24	25
phenylalanine	KEGG:C00079	0.462912443149273	0.0539757777143879	True	True	True	37	37	37
phosphocholine	KEGG:C00588	0.343644380770675	0.135476998216188	True	True	True	37	37	37
phosphoenolpyruvate (PEP)	KEGG:C00074	-0.681593834380287	0.00582518324469414	True	True	True	37	28	29
phosphoethanolamine	KEGG:C00346	0.327960993824218	0.560245149769853	True	True	True	37	37	37
pipecolate	KEGG:C00408	-0.224320470836316	0.232790476988489	True	True	True	37	30	31
piperidine	KEGG:C01746	-0.512287320612044	0.152967058675906	True	True	True	37	22	22
proline	KEGG:C00148	1.83185674666479	3.7774906946348e-08	True	True	True	37	37	37
putrescine	KEGG:C00134	0.295031285155746	0.341075036067847	True	True	True	37	37	37
ribulose/xylulose 5-phosphate	KEGG:C00199	-1.38855897890463	2.1849625495186e-06	True	True	True	37	37	37
sarcosine	KEGG:C00213	-0.123782837786962	0.604140297351027	True	True	True	37	33	34
sebacate (decanedioate)	KEGG:C08277	-0.289870484694869	0.12185706354843	True	True	True	37	30	31
serine	KEGG:C00065	-0.356571543699527	0.159943053674959	True	True	True	37	37	37
serotonin (5HT)	KEGG:C00780	-2.57675115041992	5.92017690328805e-10	True	True	True	37	17	18
spermidine	KEGG:C00315	0.305948873264586	0.038270274465541	True	True	True	37	37	37
succinate	KEGG:C00042	0.337546713220222	0.120347758489168	True	True	True	37	37	37
taurine	KEGG:C00245	1.76824722222295	3.7774906946348e-08	True	True	True	37	37	36
threonine	KEGG:C00188	0.480107439619451	0.0684250522915698	True	True	True	37	37	37
triethanolamine	KEGG:C06771	-0.763394607391977	0.00205315909153294	True	True	True	37	28	29
trimethylamine N-oxide	KEGG:C01104	-0.0460768070269532	0.802953410696133	True	True	True	37	34	35
tryptophan	KEGG:C00078	0.131027316394432	0.464735018892266	True	True	True	37	37	37
tyrosine	KEGG:C00082	0.543601589293918	0.0398980189569739	True	True	True	37	37	37
uracil	KEGG:C00106	0.735231055609736	0.00317493716792095	True	True	True	37	32	33
urate	KEGG:C00366	-1.38171846699428	3.03664852373543e-06	True	True	True	37	37	37
urea	KEGG:C00086	-0.857440071272848	0.00191710763837069	True	True	True	37	37	37
uridine	KEGG:C00299	-0.928810287622812	0.00111232647907128	True	True	True	37	37	37
uridine 5'-diphosphate (UDP)	KEGG:C00015	0.400708300009171	0.0458478582879108	True	True	True	37	36	37
uridine 5'-monophosphate (UMP)	KEGG:C00105	-0.495355829225026	0.0859555339031192	True	True	True	37	37	37
uridine 5'-triphosphate (UTP)	KEGG:C00075	0.178841839486444	0.541926741990423	True	True	True	37	27	28
valine	KEGG:C00183	0.367717780392191	0.248368955996083	True	True	True	37	37	37
xanthine	KEGG:C00385	0.38387480653592	0.12185706354843	True	True	True	37	34	35
