feature_name	metabolite_key	source_annotation_matches	source_kegg	source_hmdb	frozen_kegg	frozen_hmdb	exact_source_ids_equal_frozen	prior_identity_status	current_decision	reason
1-methyladenosine	KEGG:C02494	1	C02494	HMDB03331	C02494	HMDB03331	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
1-methylhistamine	KEGG:C05127	1	C05127	HMDB00898	C05127	HMDB00898	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
1-methylnicotinamide	KEGG:C02918	1	C02918	HMDB00699	C02918	HMDB00699	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
2-Deoxyglucose 6-phosphate	KEGG:C06369	1	C06369	NA	C06369	NA	True	HOLD_EXPOSURE_OR_ANNOTATION_REVIEW	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
2-phosphoglycerate	KEGG:C00631	1	C00631	HMDB03391	C00631	HMDB03391	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
3-hydroxy-3-methylglutarate	KEGG:C03761	1	C03761	HMDB00355	C03761	HMDB00355	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
3-hydroxyproline	KEGG:C05147	1	C05147	HMDB02113	C05147	HMDB02113	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
3PG	KEGG:C00197	1	C00197	NA	C00197	NA	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
4-methyl-2-oxopentanoate	KEGG:C00233	1	C00233	HMDB00695	C00233	HMDB00695	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
5-hydroxylysine	KEGG:C16741	1	C16741	HMDB00450	C16741	HMDB00450	True	ORIGINAL_KEGG_NAME_COMPATIBLE	SOURCE_IDS_CONFIRMED_HOLDS_UNCHANGED	Matching author annotations establish provenance, not stereochemistry, structural confirmation or valid database entity type.
