代谢物	来源英文名	配对数	升高对数	降低对数	相等对数	升高百分比	降低百分比	本轮配对P	本轮配对q	原CAMPq	中位配对差	差值尺度	填补前双侧完整对数	子集升高	子集降低	子集相等	子集P	子集q	子集状态
S-腺苷甲硫氨酸（SAM）	S-adenosylmethionine (SAM)	33	32	1	0	96.96969696969697	3.0303030303030303	1.0246143586016148e-06	1.8101520335295194e-05	9.78479129514819e-08	1.4895295983343297	median_paired_T_minus_N_author_normalized_log_scale	31	30	1	0	2.32656939002073e-06	3.6992453301329606e-05	DONE
还原型谷胱甘肽（GSH）	glutathione, reduced (GSH)	33	25	8	0	75.75757575757575	24.242424242424242	0.005769889487713442	0.012232165713952496	0.00137962772378558	1.5699528365274196	median_paired_T_minus_N_author_normalized_log_scale	31	23	8	0	0.01681269277126942	0.030726645409561357	DONE
β-丙氨酸	beta-alanine	33	32	1	0	96.96969696969697	3.0303030303030303	7.110442835794288e-07	1.806440826697348e-05	3.39874265565443e-10	1.19264906669402	median_paired_T_minus_N_author_normalized_log_scale	33	32	1	0	7.110442835794288e-07	2.1075142978135727e-05	DONE
2-脱氧葡萄糖-6-磷酸	2-Deoxyglucose 6-phosphate	33	20	6	7	60.60606060606061	18.181818181818183	0.0012026870288842505	0.0032411396202134887	0.0126783874309455	1.0256987673166198	median_paired_T_minus_N_author_normalized_log_scale	15	11	4	0	0.046826465481518996	0.0729941961917796	DONE
亚牛磺酸	hypotaurine	33	32	0	1	96.96969696969697	0.0	7.952884142692727e-07	1.806440826697348e-05	3.7774906946348e-08	1.45226906938169	median_paired_T_minus_N_author_normalized_log_scale	32	32	0	0	7.952884142692727e-07	2.1075142978135727e-05	DONE
N-乙酰氨基葡萄糖-6-磷酸	N-acetylglucosamine 6-phosphate	33	29	4	0	87.87878787878788	12.121212121212121	7.609322951173988e-06	7.11695499550979e-05	1.51302088736128e-05	1.0582220185610698	median_paired_T_minus_N_author_normalized_log_scale	32	28	4	0	1.2112560943708008e-05	9.629485950247867e-05	DONE
尿嘧啶	uracil	33	25	6	2	75.75757575757575	18.181818181818183	0.0003896820816017588	0.0012401798153079935	0.00317493716792095	0.9344352964330795	median_paired_T_minus_N_author_normalized_log_scale	24	19	5	0	0.0013742758758316942	0.003972906622858897	DONE
腺苷酸琥珀酸	adenylosuccinate	33	24	9	0	72.72727272727273	27.27272727272727	0.0013399868070180538	0.003492752496981484	0.00103594092695614	0.9037594178696295	median_paired_T_minus_N_author_normalized_log_scale	28	21	7	0	0.0006361513664445838	0.002152086537546571	DONE
半胱氨酸–谷胱甘肽二硫化物	cysteine-glutathione disulfide	33	24	9	0	72.72727272727273	27.27272727272727	0.0067899142179925894	0.014020731956634048	0.0295374808693407	0.5871471076711501	median_paired_T_minus_N_author_normalized_log_scale	32	23	9	0	0.010988767475812554	0.021570543563632052	DONE
胞苷二磷酸胆碱（CDP-胆碱）	cytidine 5'-diphosphocholine	33	29	4	0	87.87878787878788	12.121212121212121	4.804664723336784e-05	0.0002632865028078734	7.43310822038562e-07	1.1936811634130304	median_paired_T_minus_N_author_normalized_log_scale	29	26	3	0	2.364745945098838e-05	0.00016347591533509356	DONE
N-乙酰甲硫氨酸	N-acetylmethionine	33	21	3	9	63.63636363636363	9.090909090909092	4.967669864299499e-05	0.0002632865028078734	0.0035199914001332	1.072719548390575	median_paired_T_minus_N_author_normalized_log_scale	12	9	3	0	0.015022338553107788	0.028945500133269086	DONE
次黄嘌呤	hypoxanthine	33	27	6	0	81.81818181818183	18.181818181818183	1.5954458124186302e-05	0.00012079804008312487	7.85844714558742e-05	0.6793937776349299	median_paired_T_minus_N_author_normalized_log_scale	33	27	6	0	1.5954458124186302e-05	0.00012079804008312487	DONE
UDP-N-乙酰氨基葡萄糖	UDP-N-acetylglucosamine	33	27	6	0	81.81818181818183	18.181818181818183	1.0606732958025696e-05	8.876160738558345e-05	0.000290785192477196	1.1185403457901995	median_paired_T_minus_N_author_normalized_log_scale	33	27	6	0	1.0606732958025696e-05	9.369280779589364e-05	DONE
1-甲基烟酰胺（1-MNA）	1-methylnicotinamide	33	29	4	0	87.87878787878788	12.121212121212121	1.7295905123417605e-05	0.0001250022233919727	0.0104274039204103	0.6229930426523302	median_paired_T_minus_N_author_normalized_log_scale	33	29	4	0	1.7295905123417605e-05	0.0001250022233919727	DONE
脯氨酸	proline	33	30	3	0	90.9090909090909	9.090909090909092	1.4692006662221896e-06	1.9466908827444013e-05	3.7774906946348e-08	0.9440649544719797	median_paired_T_minus_N_author_normalized_log_scale	33	30	3	0	1.4692006662221896e-06	2.920036324116602e-05	DONE
犬尿氨酸	kynurenine	33	28	5	0	84.84848484848484	15.151515151515152	8.782118560905848e-05	0.00035804021825231537	0.000218307827746403	1.0857933848103203	median_paired_T_minus_N_author_normalized_log_scale	30	25	5	0	0.0003881114287747714	0.0014351097017485733	DONE
5′-甲硫腺苷（MTA）	5-methylthioadenosine (MTA)	33	24	6	3	72.72727272727273	18.181818181818183	3.7242647279456434e-05	0.000219317811756799	0.00110684292910678	0.88923113762611	median_paired_T_minus_N_author_normalized_log_scale	20	14	6	0	0.0064246026289671515	0.013638359810462169	DONE
3-羟基-3-甲基戊二酸	3-hydroxy-3-methylglutarate	33	30	2	1	90.9090909090909	6.0606060606060606	1.404771606093229e-06	1.9466908827444013e-05	4.64513926849744e-06	0.923078048558363	median_paired_T_minus_N_author_normalized_log_scale	26	25	1	0	9.338596171049022e-06	9.369280779589364e-05	DONE
甘氨酰甘氨酸	glycylglycine	33	29	4	0	87.87878787878788	12.121212121212121	7.02044012817468e-05	0.0003283088177587571	5.32472647854001e-06	0.8108573073226599	median_paired_T_minus_N_author_normalized_log_scale	30	27	3	0	3.4052567232805375e-05	0.0002005317848154094	DONE
黄嘌呤	xanthine	33	24	9	0	72.72727272727273	27.27272727272727	0.01034635631729135	0.0203095142524608	0.12185706354843	0.48655113364594005	median_paired_T_minus_N_author_normalized_log_scale	28	20	8	0	0.024172843351395388	0.041776979270346376	DONE
牛磺酸	taurine	33	30	3	0	90.9090909090909	9.090909090909092	1.0246143586016148e-06	1.8101520335295194e-05	3.7774906946348e-08	0.7869469417343993	median_paired_T_minus_N_author_normalized_log_scale	33	30	3	0	1.0246143586016148e-06	2.327338328823668e-05	DONE
1-甲基腺苷	1-methyladenosine	33	23	5	5	69.6969696969697	15.151515151515152	0.00020583772884590765	0.0007438227019658936	0.0104274039204103	0.41510669384983506	median_paired_T_minus_N_author_normalized_log_scale	19	15	4	0	0.0019440584341867799	0.0054228998427315435	DONE
N-乙酰氨基葡萄糖-1-磷酸	N-Acetylglucosamine 1-phosphate	33	24	9	0	72.72727272727273	27.27272727272727	0.0039060080746021477	0.008872218340882022	0.0233237692703757	0.6527715753768799	median_paired_T_minus_N_author_normalized_log_scale	33	24	9	0	0.0039060080746021477	0.00940992854335972	DONE
UDP-葡萄糖醛酸	UDP-glucuronate	33	29	4	0	87.87878787878788	12.121212121212121	8.782118560905848e-05	0.00035804021825231537	0.0104274039204103	0.43432495420066	median_paired_T_minus_N_author_normalized_log_scale	32	29	3	0	1.0197165050967025e-05	9.369280779589364e-05	DONE
5-羟赖氨酸	5-hydroxylysine	33	26	7	0	78.78787878787878	21.21212121212121	8.782118560905848e-05	0.00035804021825231537	0.000106513585786417	1.278965557378394	median_paired_T_minus_N_author_normalized_log_scale	14	8	6	0	0.5936182407945829	0.6741807163309906	DONE
