cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	original_effect	original_q	family_n_planned	up_pairs	down_pairs	equal_pairs	up_percent	down_percent	both_observed_pairs	tumor_only_missing_pairs	normal_only_missing_pairs	both_missing_pairs	n_nonzero_differences	bootstrap_valid	random_seed
COAD	CAMP_COAD	03_PATIENT	20260921T123200Z_paired_metabolites33_v1	paired_metabolites33_v1	primary33	KEGG:C00019	S-adenosylmethionine (SAM)	NA	GEO_annotated_patient_pair	33	33	median_paired_T_minus_N_author_normalized_log_scale	1.4895295983343297	1.2712335587996595	1.7131428341513608	1.0246143586016148e-06	1.8101520335295194e-05	COAD_paired_metabolites33_v1_primary33	159	DONE	COMPUTED	PreprocessedData_COAD.xlsx	1.58687135491014	9.78479129514819e-08	159	32	1	0	96.96969696969697	3.0303030303030303	31	0	2	0	33	4000	1994888537
COAD	CAMP_COAD	03_PATIENT	20260921T123200Z_paired_metabolites33_v1	paired_metabolites33_v1	primary33	KEGG:C00051	glutathione, reduced (GSH)	NA	GEO_annotated_patient_pair	33	33	median_paired_T_minus_N_author_normalized_log_scale	1.5699528365274196	0.5990597900080896	2.41055054092282	0.005769889487713442	0.012232165713952496	COAD_paired_metabolites33_v1_primary33	159	DONE	COMPUTED	PreprocessedData_COAD.xlsx	0.723546364233653	0.00137962772378558	159	25	8	0	75.75757575757575	24.242424242424242	31	0	2	0	33	4000	3571023248
COAD	CAMP_COAD	03_PATIENT	20260921T123200Z_paired_metabolites33_v1	paired_metabolites33_v1	primary33	KEGG:C00099	beta-alanine	NA	GEO_annotated_patient_pair	33	33	median_paired_T_minus_N_author_normalized_log_scale	1.19264906669402	0.9574261733737002	1.51280641891067	7.110442835794288e-07	1.806440826697348e-05	COAD_paired_metabolites33_v1_primary33	159	DONE	COMPUTED	PreprocessedData_COAD.xlsx	2.22555471341831	3.39874265565443e-10	159	32	1	0	96.96969696969697	3.0303030303030303	33	0	0	0	33	4000	1198823413
COAD	CAMP_COAD	03_PATIENT	20260921T123200Z_paired_metabolites33_v1	paired_metabolites33_v1	primary33	KEGG:C06369	2-Deoxyglucose 6-phosphate	NA	GEO_annotated_patient_pair	33	33	median_paired_T_minus_N_author_normalized_log_scale	1.0256987673166198	0.0	1.5673439837333554	0.0012026870288842505	0.0032411396202134887	COAD_paired_metabolites33_v1_primary33	159	DONE	COMPUTED	PreprocessedData_COAD.xlsx	0.659781947432759	0.0126783874309455	159	20	6	7	60.60606060606061	18.181818181818183	15	2	9	7	26	4000	1210046227
COAD	CAMP_COAD	03_PATIENT	20260921T123200Z_paired_metabolites33_v1	paired_metabolites33_v1	primary33	KEGG:C00519	hypotaurine	NA	GEO_annotated_patient_pair	33	33	median_paired_T_minus_N_author_normalized_log_scale	1.45226906938169	1.09325719887289	1.6593105810385698	7.952884142692727e-07	1.806440826697348e-05	COAD_paired_metabolites33_v1_primary33	159	DONE	COMPUTED	PreprocessedData_COAD.xlsx	1.35836816796979	3.7774906946348e-08	159	32	0	1	96.96969696969697	0.0	32	0	0	1	32	4000	1331906712
COAD	CAMP_COAD	03_PATIENT	20260921T123200Z_paired_metabolites33_v1	paired_metabolites33_v1	primary33	KEGG:C00357	N-acetylglucosamine 6-phosphate	NA	GEO_annotated_patient_pair	33	33	median_paired_T_minus_N_author_normalized_log_scale	1.0582220185610698	0.6754190309882997	1.41006192364578	7.609322951173988e-06	7.11695499550979e-05	COAD_paired_metabolites33_v1_primary33	159	DONE	COMPUTED	PreprocessedData_COAD.xlsx	1.2061475455854	1.51302088736128e-05	159	29	4	0	87.87878787878788	12.121212121212121	32	0	1	0	33	4000	691666568
COAD	CAMP_COAD	03_PATIENT	20260921T123200Z_paired_metabolites33_v1	paired_metabolites33_v1	primary33	KEGG:C00106	uracil	NA	GEO_annotated_patient_pair	33	33	median_paired_T_minus_N_author_normalized_log_scale	0.9344352964330795	0.4565370438505596	1.5264645318927696	0.0003896820816017588	0.0012401798153079935	COAD_paired_metabolites33_v1_primary33	159	DONE	COMPUTED	PreprocessedData_COAD.xlsx	0.735231055609736	0.00317493716792095	159	25	6	2	75.75757575757575	18.181818181818183	24	1	6	2	31	4000	2844113884
COAD	CAMP_COAD	03_PATIENT	20260921T123200Z_paired_metabolites33_v1	paired_metabolites33_v1	primary33	KEGG:C03794	adenylosuccinate	NA	GEO_annotated_patient_pair	33	33	median_paired_T_minus_N_author_normalized_log_scale	0.9037594178696295	0.1584942136366596	1.3710421443937797	0.0013399868070180538	0.003492752496981484	COAD_paired_metabolites33_v1_primary33	159	DONE	COMPUTED	PreprocessedData_COAD.xlsx	0.723072982975468	0.00103594092695614	159	24	9	0	72.72727272727273	27.27272727272727	28	2	3	0	33	4000	1649058285
COAD	CAMP_COAD	03_PATIENT	20260921T123200Z_paired_metabolites33_v1	paired_metabolites33_v1	primary33	KEGG:R00900	cysteine-glutathione disulfide	NA	GEO_annotated_patient_pair	33	33	median_paired_T_minus_N_author_normalized_log_scale	0.5871471076711501	0.005570355716330244	1.6916216757534004	0.0067899142179925894	0.014020731956634048	COAD_paired_metabolites33_v1_primary33	159	DONE	COMPUTED	PreprocessedData_COAD.xlsx	0.592489232663605	0.0295374808693407	159	24	9	0	72.72727272727273	27.27272727272727	32	0	1	0	33	4000	3519432484
COAD	CAMP_COAD	03_PATIENT	20260921T123200Z_paired_metabolites33_v1	paired_metabolites33_v1	primary33	KEGG:C00307	cytidine 5'-diphosphocholine	NA	GEO_annotated_patient_pair	33	33	median_paired_T_minus_N_author_normalized_log_scale	1.1936811634130304	0.8577875159752297	1.6179684489660602	4.804664723336784e-05	0.0002632865028078734	COAD_paired_metabolites33_v1_primary33	159	DONE	COMPUTED	PreprocessedData_COAD.xlsx	1.20327326312888	7.43310822038562e-07	159	29	4	0	87.87878787878788	12.121212121212121	29	1	3	0	33	4000	794029992
