cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	human_gene_id	rna_symbol	relation_id	family_n_planned	reused_from	n_up	n_down	n_equal	median_difference	bootstrap_ci_lower	bootstrap_ci_upper	bootstrap_valid	random_seed	proportion_up	proportion_down
COAD	CAMP_COAD	03_PATIENT	20260922T135816Z_source_contract_patient_v2	COAD_source_contract_patient_v2	rna_paired_t	NA	NA	AOC1	explicit_individual_matched_pair	33	33.0	mean_paired_difference_log2_RNA	-1.8583801028755935	-2.425598560679004	-1.291161645072183	1.5675892971464097e-07	7.993153346835653e-07	COAD_source_contract_patient_v2_rna_paired_t	515.0	DONE	NEW_METHOD_PAIRED_T_OLD_WILCOXON_PRESERVED	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:26	AOC1	COAD|NA|NA|hsa:26	526	NA	3.0	30.0	0.0	-1.8590089071643998	-2.360676695421488	-1.2942462888346782	4000.0	1240660314.0	0.09090909090909091	0.9090909090909091
COAD	CAMP_COAD	03_PATIENT	20260922T135816Z_source_contract_patient_v2	COAD_source_contract_patient_v2	rna_paired_t	NA	NA	SLC22A2	explicit_individual_matched_pair	33	33.0	mean_paired_difference_log2_RNA	-0.5013603264328418	-0.9339408611952538	-0.06877979167042975	0.024493314080819072	0.03616114450828556	COAD_source_contract_patient_v2_rna_paired_t	515.0	DONE	NEW_METHOD_PAIRED_T_OLD_WILCOXON_PRESERVED	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:6582	SLC22A2	COAD|NA|NA|hsa:6582	526	NA	11.0	22.0	0.0	-0.5466924837934402	-0.8925640563295648	-0.0854190090061881	4000.0	971275670.0	0.3333333333333333	0.6666666666666666
COAD	CAMP_COAD	03_PATIENT	20260922T135816Z_source_contract_patient_v2	COAD_source_contract_patient_v2	rna_paired_t	NA	NA	ENO1	explicit_individual_matched_pair	33	33.0	mean_paired_difference_log2_RNA	0.7203568495375605	0.4502468682937083	0.9904668307814127	5.646758019683184e-06	1.8761808904108642e-05	COAD_source_contract_patient_v2_rna_paired_t	515.0	DONE	NEW_METHOD_PAIRED_T_OLD_WILCOXON_PRESERVED	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:2023	ENO1	COAD|NA|NA|hsa:2023	526	NA	25.0	8.0	0.0	0.7539699912062989	0.45869637214211106	0.9788050305095254	4000.0	3900518672.0	0.7575757575757576	0.24242424242424243
COAD	CAMP_COAD	03_PATIENT	20260922T135816Z_source_contract_patient_v2	COAD_source_contract_patient_v2	rna_paired_t	NA	NA	ENO4	explicit_individual_matched_pair	33	33.0	mean_paired_difference_log2_RNA	-0.6717769520685147	-1.1132483516909542	-0.2303055524460753	0.004021978096566356	0.007345101843020119	COAD_source_contract_patient_v2_rna_paired_t	515.0	DONE	NEW_METHOD_PAIRED_T_OLD_WILCOXON_PRESERVED	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:387712	ENO4	COAD|NA|NA|hsa:387712	526	NA	9.0	24.0	0.0	-0.8227752610651402	-1.093451732127375	-0.25938658009542803	4000.0	1486086443.0	0.2727272727272727	0.7272727272727273
COAD	CAMP_COAD	03_PATIENT	20260922T135816Z_source_contract_patient_v2	COAD_source_contract_patient_v2	rna_paired_t	NA	NA	PGAM4	explicit_individual_matched_pair	33	33.0	mean_paired_difference_log2_RNA	-0.25917034568363045	-0.4107970709523182	-0.10754362041494273	0.0014634730384495474	0.0029790063826146914	COAD_source_contract_patient_v2_rna_paired_t	515.0	DONE	NEW_METHOD_PAIRED_T_OLD_WILCOXON_PRESERVED	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:441531	PGAM4	COAD|NA|NA|hsa:441531	526	NA	10.0	23.0	0.0	-0.2256094407124003	-0.40783945408918876	-0.116231770053109	4000.0	4177317083.0	0.30303030303030304	0.696969696969697
COAD	CAMP_COAD	03_PATIENT	20260922T135816Z_source_contract_patient_v2	COAD_source_contract_patient_v2	rna_paired_t	NA	NA	PGAM1	explicit_individual_matched_pair	33	33.0	mean_paired_difference_log2_RNA	-0.25783235448779407	-0.43178273653149624	-0.0838819724440919	0.004946172105612767	0.008664213042144814	COAD_source_contract_patient_v2_rna_paired_t	515.0	DONE	NEW_METHOD_PAIRED_T_OLD_WILCOXON_PRESERVED	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:5223	PGAM1	COAD|NA|NA|hsa:5223	526	NA	11.0	22.0	0.0	-0.2569552192321005	-0.43161530283642524	-0.09464973583179134	4000.0	3390629222.0	0.3333333333333333	0.6666666666666666
COAD	CAMP_COAD	03_PATIENT	20260922T135816Z_source_contract_patient_v2	COAD_source_contract_patient_v2	rna_paired_t	NA	NA	PGAM2	explicit_individual_matched_pair	33	33.0	mean_paired_difference_log2_RNA	-0.3341736857093744	-0.5044125535799361	-0.16393481783881267	0.00035177483398087124	0.0008234729068188577	COAD_source_contract_patient_v2_rna_paired_t	515.0	DONE	NEW_METHOD_PAIRED_T_OLD_WILCOXON_PRESERVED	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:5224	PGAM2	COAD|NA|NA|hsa:5224	526	NA	10.0	23.0	0.0	-0.33256507733160845	-0.491037260781457	-0.17972804880135865	4000.0	2285149213.0	0.30303030303030304	0.696969696969697
COAD	CAMP_COAD	03_PATIENT	20260922T135816Z_source_contract_patient_v2	COAD_source_contract_patient_v2	rna_paired_t	NA	NA	MINPP1	explicit_individual_matched_pair	33	33.0	mean_paired_difference_log2_RNA	-0.6418622175121502	-0.9651680990429599	-0.3185563359813406	0.0003095032335003877	0.0007345353237451596	COAD_source_contract_patient_v2_rna_paired_t	515.0	DONE	NEW_METHOD_PAIRED_T_OLD_WILCOXON_PRESERVED	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:9562	MINPP1	COAD|NA|NA|hsa:9562	526	NA	10.0	23.0	0.0	-0.8569189822442507	-0.9455393940688498	-0.3252494710772641	4000.0	2520874640.0	0.30303030303030304	0.696969696969697
COAD	CAMP_COAD	03_PATIENT	20260922T135816Z_source_contract_patient_v2	COAD_source_contract_patient_v2	rna_paired_t	NA	NA	ACOT8	explicit_individual_matched_pair	33	33.0	mean_paired_difference_log2_RNA	-0.42401262788466365	-0.6932599451975697	-0.15476531057175757	0.0030340440539112267	0.00568193704641557	COAD_source_contract_patient_v2_rna_paired_t	515.0	DONE	NEW_METHOD_PAIRED_T_OLD_WILCOXON_PRESERVED	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:10005	ACOT8	COAD|NA|NA|hsa:10005	526	NA	10.0	23.0	0.0	-0.3631641712229001	-0.6821430540782254	-0.17387196265448346	4000.0	4057899092.0	0.30303030303030304	0.696969696969697
COAD	CAMP_COAD	03_PATIENT	20260922T135816Z_source_contract_patient_v2	COAD_source_contract_patient_v2	rna_paired_t	NA	NA	SUGCT	explicit_individual_matched_pair	33	33.0	mean_paired_difference_log2_RNA	-1.2864819046864613	-1.643560833041639	-0.9294029763312837	2.4100408308819562e-08	1.4602012092990675e-07	COAD_source_contract_patient_v2_rna_paired_t	515.0	DONE	NEW_METHOD_PAIRED_T_OLD_WILCOXON_PRESERVED	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:79783	SUGCT	COAD|NA|NA|hsa:79783	526	NA	4.0	29.0	0.0	-1.3722214849855003	-1.6238309577737704	-0.9474735342907742	4000.0	2104710349.0	0.12121212121212122	0.8787878787878788
