cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	study	tissue	enrichment	technology	annotation_level	cell_type	n_cells	n_patients_ge20	patient_cells_min	patient_cells_q25	patient_cells_median	patient_cells_q75	patient_cells_max	n_specimens	composition_eligible
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T050000Z_cell_origin_v1	COAD_cell_origin_v1	cell_coverage	NA	NA	NA	patient	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	DONE	Descriptive only; no hypothesis tests	Lee2020_GSE132465	Lee2020_GSE132465	Normal	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	lineage	B cells	5208	10	262	446.5	503.5	585.5	788	10	True
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T050000Z_cell_origin_v1	COAD_cell_origin_v1	cell_coverage	NA	NA	NA	patient	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	DONE	Descriptive only; no hypothesis tests	Lee2020_GSE132465	Lee2020_GSE132465	Normal	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	lineage	Epithelial cells	1070	9	18	67.5	122.0	151.25	189	10	True
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T050000Z_cell_origin_v1	COAD_cell_origin_v1	cell_coverage	NA	NA	NA	patient	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	DONE	Descriptive only; no hypothesis tests	Lee2020_GSE132465	Lee2020_GSE132465	Normal	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	lineage	Mast cells	184	3	1	3.5	6.5	23.25	82	10	True
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T050000Z_cell_origin_v1	COAD_cell_origin_v1	cell_coverage	NA	NA	NA	patient	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	DONE	Descriptive only; no hypothesis tests	Lee2020_GSE132465	Lee2020_GSE132465	Normal	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	lineage	Myeloids	369	9	3	22.5	31.0	58.25	67	10	True
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T050000Z_cell_origin_v1	COAD_cell_origin_v1	cell_coverage	NA	NA	NA	patient	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	DONE	Descriptive only; no hypothesis tests	Lee2020_GSE132465	Lee2020_GSE132465	Normal	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	lineage	Stromal cells	3197	10	25	160.25	264.5	439.75	730	10	True
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T050000Z_cell_origin_v1	COAD_cell_origin_v1	cell_coverage	NA	NA	NA	patient	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	DONE	Descriptive only; no hypothesis tests	Lee2020_GSE132465	Lee2020_GSE132465	Normal	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	lineage	T cells	6376	10	406	473.75	568.0	850.0	970	10	True
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T050000Z_cell_origin_v1	COAD_cell_origin_v1	cell_coverage	NA	NA	NA	patient	23	NA	NA	NA	NA	NA	NA	NA	NA	NA	DONE	Descriptive only; no hypothesis tests	Lee2020_GSE132465	Lee2020_GSE132465	Tumor	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	lineage	B cells	3938	22	12	64.0	106.0	255.5	814	23	True
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T050000Z_cell_origin_v1	COAD_cell_origin_v1	cell_coverage	NA	NA	NA	patient	23	NA	NA	NA	NA	NA	NA	NA	NA	NA	DONE	Descriptive only; no hypothesis tests	Lee2020_GSE132465	Lee2020_GSE132465	Tumor	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	lineage	Epithelial cells	17469	22	13	319.5	505.0	944.5	2720	23	True
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T050000Z_cell_origin_v1	COAD_cell_origin_v1	cell_coverage	NA	NA	NA	patient	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	DONE	Descriptive only; no hypothesis tests	Lee2020_GSE132465	Lee2020_GSE132465	Tumor	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	lineage	Mast cells	3	0	1	1.25	1.5	1.75	2	2	True
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T050000Z_cell_origin_v1	COAD_cell_origin_v1	cell_coverage	NA	NA	NA	patient	23	NA	NA	NA	NA	NA	NA	NA	NA	NA	DONE	Descriptive only; no hypothesis tests	Lee2020_GSE132465	Lee2020_GSE132465	Tumor	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	lineage	Myeloids	6400	23	20	77.5	242.0	370.5	823	23	True
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T050000Z_cell_origin_v1	COAD_cell_origin_v1	cell_coverage	NA	NA	NA	patient	23	NA	NA	NA	NA	NA	NA	NA	NA	NA	DONE	Descriptive only; no hypothesis tests	Lee2020_GSE132465	Lee2020_GSE132465	Tumor	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	lineage	Stromal cells	2736	19	4	31.0	83.0	180.5	374	23	True
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T050000Z_cell_origin_v1	COAD_cell_origin_v1	cell_coverage	NA	NA	NA	patient	23	NA	NA	NA	NA	NA	NA	NA	NA	NA	DONE	Descriptive only; no hypothesis tests	Lee2020_GSE132465	Lee2020_GSE132465	Tumor	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	lineage	T cells	16739	23	149	473.5	635.0	911.5	2171	23	True
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T050000Z_cell_origin_v1	COAD_cell_origin_v1	cell_coverage	NA	NA	NA	patient	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	DONE	Descriptive only; no hypothesis tests	Lee2020_GSE132465	Lee2020_GSE132465	Normal	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	subtype	CD19+CD20+ B	1684	10	26	75.75	121.5	250.5	432	10	True
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T050000Z_cell_origin_v1	COAD_cell_origin_v1	cell_coverage	NA	NA	NA	patient	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	DONE	Descriptive only; no hypothesis tests	Lee2020_GSE132465	Lee2020_GSE132465	Normal	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	subtype	CD4+ T cells	3325	10	186	223.75	289.5	462.25	540	10	True
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T050000Z_cell_origin_v1	COAD_cell_origin_v1	cell_coverage	NA	NA	NA	patient	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	DONE	Descriptive only; no hypothesis tests	Lee2020_GSE132465	Lee2020_GSE132465	Normal	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	subtype	CD8+ T cells	1757	10	61	116.0	197.5	224.75	294	10	True
