cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	study	tissue	enrichment	technology	annotation_level	cell_type	support_set	n_cells	n_patients_ge20	detection_fraction_min	detection_fraction_q25	detection_fraction_median	detection_fraction_q75	detection_fraction_max	pseudobulk_CPM_min	pseudobulk_CPM_q25	pseudobulk_CPM_median	pseudobulk_CPM_q75	pseudobulk_CPM_max	target_UMI_min	target_UMI_q25	target_UMI_median	target_UMI_q75	target_UMI_max	library_UMI_min	library_UMI_q25	library_UMI_median	library_UMI_q75	library_UMI_max
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T072000Z_cell_expression_v1	COAD_cell_origin_v1	donor_equal_expression	NA	NA	GSTA4	patient	22	23	median_patient_pseudobulk_CPM	0.3888231334090661	NA	NA	NA	NA	NA	NA	DONE	Descriptive expression; no association or functional validation	Lee2020_GSE132465	Lee2020_GSE132465	Tumor	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	lineage	B cells	patients_with_at_least_20_cells	3926	22	0.0	0.0	0.0029824561403508773	0.008575152637716951	0.01694915254237288	0.0	0.0	0.3888231334090661	0.8050111673980607	1.9431385833483388	0.0	0.0	1.0	1.0	6.0	152000.0	521218.0	1281503.0	2321417.25	7785189.0
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T072000Z_cell_expression_v1	COAD_cell_origin_v1	donor_equal_expression	NA	NA	HDC	patient	22	23	median_patient_pseudobulk_CPM	0.0	NA	NA	NA	NA	NA	NA	DONE	Descriptive expression; no association or functional validation	Lee2020_GSE132465	Lee2020_GSE132465	Tumor	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	lineage	B cells	patients_with_at_least_20_cells	3926	22	0.0	0.0	0.0	0.0	0.009433962264150943	0.0	0.0	0.0	0.0	0.8024490745756048	0.0	0.0	0.0	0.0	5.0	152000.0	521218.0	1281503.0	2321417.25	7785189.0
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T072000Z_cell_expression_v1	COAD_cell_origin_v1	donor_equal_expression	NA	NA	GSTA4	patient	22	23	median_patient_pseudobulk_CPM	7.86345842673305	NA	NA	NA	NA	NA	NA	DONE	Descriptive expression; no association or functional validation	Lee2020_GSE132465	Lee2020_GSE132465	Tumor	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	lineage	Epithelial cells	patients_with_at_least_20_cells	17456	22	0.030120481927710843	0.07781104120154253	0.11694963789535914	0.17536648903850316	0.291005291005291	1.9463492715982487	3.7840005449618777	7.86345842673305	11.066324170734918	16.160379194319805	5.0	44.0	83.5	143.25	516.0	2568912.0	6213811.0	9328904.5	21420511.0	50180992.0
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T072000Z_cell_expression_v1	COAD_cell_origin_v1	donor_equal_expression	NA	NA	HDC	patient	22	23	median_patient_pseudobulk_CPM	0.0	NA	NA	NA	NA	NA	NA	DONE	Descriptive expression; no association or functional validation	Lee2020_GSE132465	Lee2020_GSE132465	Tumor	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	lineage	Epithelial cells	patients_with_at_least_20_cells	17456	22	0.0	0.0	0.0	0.0018433226611677882	0.009900990099009901	0.0	0.0	0.0	0.09451726181810952	0.5797787772906219	0.0	0.0	0.0	1.0	5.0	2568912.0	6213811.0	9328904.5	21420511.0	50180992.0
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T072000Z_cell_expression_v1	COAD_cell_origin_v1	donor_equal_expression	NA	NA	GSTA4	patient	0	2	median_patient_pseudobulk_CPM	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	Expression summary suppressed: fewer than 3 patients; not gene-negative	Lee2020_GSE132465	Lee2020_GSE132465	Tumor	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	lineage	Mast cells	patients_with_at_least_20_cells	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T072000Z_cell_expression_v1	COAD_cell_origin_v1	donor_equal_expression	NA	NA	HDC	patient	0	2	median_patient_pseudobulk_CPM	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	Expression summary suppressed: fewer than 3 patients; not gene-negative	Lee2020_GSE132465	Lee2020_GSE132465	Tumor	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	lineage	Mast cells	patients_with_at_least_20_cells	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T072000Z_cell_expression_v1	COAD_cell_origin_v1	donor_equal_expression	NA	NA	GSTA4	patient	23	23	median_patient_pseudobulk_CPM	0.9514910816740915	NA	NA	NA	NA	NA	NA	DONE	Descriptive expression; no association or functional validation	Lee2020_GSE132465	Lee2020_GSE132465	Tumor	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	lineage	Myeloids	patients_with_at_least_20_cells	6400	23	0.0	0.00319518170681911	0.005763688760806916	0.011338815366825131	0.016129032258064516	0.0	0.5015397893905156	0.9514910816740915	2.0080836534520636	3.2746730238985635	0.0	1.0	1.0	2.0	10.0	194056.0	498123.0	1732770.0	2277402.0	4507254.0
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T072000Z_cell_expression_v1	COAD_cell_origin_v1	donor_equal_expression	NA	NA	HDC	patient	23	23	median_patient_pseudobulk_CPM	0.0	NA	NA	NA	NA	NA	NA	DONE	Descriptive expression; no association or functional validation	Lee2020_GSE132465	Lee2020_GSE132465	Tumor	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	lineage	Myeloids	patients_with_at_least_20_cells	6400	23	0.0	0.0	0.0	0.0	0.004132231404958678	0.0	0.0	0.0	0.0	0.5299762517641584	0.0	0.0	0.0	0.0	1.0	194056.0	498123.0	1732770.0	2277402.0	4507254.0
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T072000Z_cell_expression_v1	COAD_cell_origin_v1	donor_equal_expression	NA	NA	GSTA4	patient	19	23	median_patient_pseudobulk_CPM	28.70992698612253	NA	NA	NA	NA	NA	NA	DONE	Descriptive expression; no association or functional validation	Lee2020_GSE132465	Lee2020_GSE132465	Tumor	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	lineage	Stromal cells	patients_with_at_least_20_cells	2693	19	0.10344827586206896	0.1780650542118432	0.22641509433962265	0.26738908068021994	0.35294117647058826	14.305674107206722	21.951794112404166	28.70992698612253	31.396404353079774	44.091120417697574	3.0	12.0	39.0	59.0	191.0	190601.0	435302.5	1431141.0	2313231.5	4331938.0
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T072000Z_cell_expression_v1	COAD_cell_origin_v1	donor_equal_expression	NA	NA	HDC	patient	19	23	median_patient_pseudobulk_CPM	0.0	NA	NA	NA	NA	NA	NA	DONE	Descriptive expression; no association or functional validation	Lee2020_GSE132465	Lee2020_GSE132465	Tumor	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	lineage	Stromal cells	patients_with_at_least_20_cells	2693	19	0.0	0.0	0.0	0.0	0.0053475935828877	0.0	0.0	0.0	0.0	0.4616871247926448	0.0	0.0	0.0	0.0	2.0	190601.0	435302.5	1431141.0	2313231.5	4331938.0
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T072000Z_cell_expression_v1	COAD_cell_origin_v1	donor_equal_expression	NA	NA	GSTA4	patient	23	23	median_patient_pseudobulk_CPM	1.0623329149512204	NA	NA	NA	NA	NA	NA	DONE	Descriptive expression; no association or functional validation	Lee2020_GSE132465	Lee2020_GSE132465	Tumor	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	lineage	T cells	patients_with_at_least_20_cells	16739	23	0.0	0.0013879706704330317	0.002976190476190476	0.006364731779230308	0.014344262295081968	0.0	0.5053421782837445	1.0623329149512204	2.650979802421687	4.824246663731917	0.0	1.0	2.0	4.0	7.0	316300.0	1318537.0	1916548.0	2388525.5	4370193.0
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T072000Z_cell_expression_v1	COAD_cell_origin_v1	donor_equal_expression	NA	NA	HDC	patient	23	23	median_patient_pseudobulk_CPM	0.0	NA	NA	NA	NA	NA	NA	DONE	Descriptive expression; no association or functional validation	Lee2020_GSE132465	Lee2020_GSE132465	Tumor	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	lineage	T cells	patients_with_at_least_20_cells	16739	23	0.0	0.0	0.0	0.0016057968268058356	0.004576659038901602	0.0	0.0	0.0	0.4607625622368205	2.0141000430346043	0.0	0.0	0.0	1.0	6.0	316300.0	1318537.0	1916548.0	2388525.5	4370193.0
COAD	Pelka2021_GSE178341	06_EXTERNAL	20260920T072000Z_cell_expression_v1	COAD_cell_origin_v1	donor_equal_expression	NA	NA	GSTA4	patient	35	41	median_patient_pseudobulk_CPM	0.0	NA	NA	NA	NA	NA	NA	DONE	Descriptive expression; no association or functional validation	Pelka2021_GSE178341	Pelka2021_GSE178341	T	unsorted	SC3Pv2	lineage	B	patients_with_at_least_20_cells	5366	35	0.0	0.0	0.0	0.009730692257993351	0.03409090909090909	0.0	0.0	0.0	4.326125197874521	14.156485793966505	0.0	0.0	0.0	1.5	6.0	37921.0	136849.0	231931.0	446441.5	1398392.0
COAD	Pelka2021_GSE178341	06_EXTERNAL	20260920T072000Z_cell_expression_v1	COAD_cell_origin_v1	donor_equal_expression	NA	NA	HDC	patient	35	41	median_patient_pseudobulk_CPM	0.0	NA	NA	NA	NA	NA	NA	DONE	Descriptive expression; no association or functional validation	Pelka2021_GSE178341	Pelka2021_GSE178341	T	unsorted	SC3Pv2	lineage	B	patients_with_at_least_20_cells	5366	35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37921.0	136849.0	231931.0	446441.5	1398392.0
COAD	Pelka2021_GSE178341	06_EXTERNAL	20260920T072000Z_cell_expression_v1	COAD_cell_origin_v1	donor_equal_expression	NA	NA	GSTA4	patient	41	41	median_patient_pseudobulk_CPM	6.715324153660398	NA	NA	NA	NA	NA	NA	DONE	Descriptive expression; no association or functional validation	Pelka2021_GSE178341	Pelka2021_GSE178341	T	unsorted	SC3Pv2	lineage	Epi	patients_with_at_least_20_cells	54310	41	0.031746031746031744	0.07015902712815715	0.09526261585993821	0.126038104543234	0.30983412322274884	1.8787728106503874	5.0414836187989405	6.715324153660398	10.48426190890756	28.988131261109643	15.0	78.0	137.0	230.0	854.0	1988808.0	10838206.0	18111050.0	30199361.0	73536704.0
COAD	Pelka2021_GSE178341	06_EXTERNAL	20260920T072000Z_cell_expression_v1	COAD_cell_origin_v1	donor_equal_expression	NA	NA	HDC	patient	41	41	median_patient_pseudobulk_CPM	0.0	NA	NA	NA	NA	NA	NA	DONE	Descriptive expression; no association or functional validation	Pelka2021_GSE178341	Pelka2021_GSE178341	T	unsorted	SC3Pv2	lineage	Epi	patients_with_at_least_20_cells	54310	41	0.0	0.0	0.0	0.0	0.001990049751243781	0.0	0.0	0.0	0.0	0.1747538780943742	0.0	0.0	0.0	0.0	3.0	1988808.0	10838206.0	18111050.0	30199361.0	73536704.0
COAD	Pelka2021_GSE178341	06_EXTERNAL	20260920T072000Z_cell_expression_v1	COAD_cell_origin_v1	donor_equal_expression	NA	NA	GSTA4	patient	11	38	median_patient_pseudobulk_CPM	0.0	NA	NA	NA	NA	NA	NA	DONE	Descriptive expression; no association or functional validation	Pelka2021_GSE178341	Pelka2021_GSE178341	T	unsorted	SC3Pv2	lineage	Mast	patients_with_at_least_20_cells	478	11	0.0	0.0	0.0	0.008333333333333333	0.047619047619047616	0.0	0.0	0.0	4.655992028941647	19.553400336318486	0.0	0.0	0.0	0.5	2.0	46756.0	55514.0	68400.0	106169.5	214777.0
