cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	study	tissue	enrichment	technology	annotation_level	cell_type	support_set	n_cells	n_patients_ge20	detection_fraction_min	detection_fraction_q25	detection_fraction_median	detection_fraction_q75	detection_fraction_max	pseudobulk_CPM_min	pseudobulk_CPM_q25	pseudobulk_CPM_median	pseudobulk_CPM_q75	pseudobulk_CPM_max	target_UMI_min	target_UMI_q25	target_UMI_median	target_UMI_q75	target_UMI_max	library_UMI_min	library_UMI_q25	library_UMI_median	library_UMI_q75	library_UMI_max	computation	reuse_run_id
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T081200Z_cell_expression35_v2	COAD_cell_origin35_v2	donor_equal_expression	NA	NA	BCAT2	patient	10	10	median_patient_pseudobulk_CPM	3.7213437771844813	NA	NA	NA	NA	NA	NA	DONE	Descriptive expression; no association or functional validation	Lee2020_GSE132465	Lee2020_GSE132465	Normal	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	lineage	B cells	all_covered_patients	5208	10	0.027613412228796843	0.0381054141810768	0.04139419945937748	0.04872498471842028	0.06178489702517163	2.4308060917621197	3.1421663650904894	3.7213437771844813	4.46135553850127	6.25976494350794	8.0	18.5	26.5	27.75	33.0	3177949.0	4711427.75	5802749.0	6835046.75	10696387.0	NEW_GENE_SUMMARY	NA
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T081200Z_cell_expression35_v2	COAD_cell_origin35_v2	donor_equal_expression	NA	NA	BCAT2	patient	10	10	median_patient_pseudobulk_CPM	3.7213437771844813	NA	NA	NA	NA	NA	NA	DONE	Descriptive expression; no association or functional validation	Lee2020_GSE132465	Lee2020_GSE132465	Normal	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	lineage	B cells	patients_with_at_least_20_cells	5208	10	0.027613412228796843	0.0381054141810768	0.04139419945937748	0.04872498471842028	0.06178489702517163	2.4308060917621197	3.1421663650904894	3.7213437771844813	4.46135553850127	6.25976494350794	8.0	18.5	26.5	27.75	33.0	3177949.0	4711427.75	5802749.0	6835046.75	10696387.0	NEW_GENE_SUMMARY	NA
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T081200Z_cell_expression35_v2	COAD_cell_origin35_v2	donor_equal_expression	NA	NA	BCAT2	patient	10	10	median_patient_pseudobulk_CPM	23.783342461491593	NA	NA	NA	NA	NA	NA	DONE	Descriptive expression; no association or functional validation	Lee2020_GSE132465	Lee2020_GSE132465	Normal	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	lineage	Epithelial cells	all_covered_patients	1070	9	0.05555555555555555	0.12588165680473373	0.21536231884057971	0.22680869222689076	0.3230769230769231	7.174321667886302	19.287296567370596	23.783342461491593	31.977482675874484	39.10890363077284	1.0	13.25	28.0	37.5	55.0	139386.0	751076.25	1145318.5	1339447.5	2024254.0	NEW_GENE_SUMMARY	NA
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T081200Z_cell_expression35_v2	COAD_cell_origin35_v2	donor_equal_expression	NA	NA	BCAT2	patient	9	10	median_patient_pseudobulk_CPM	25.280426852571985	NA	NA	NA	NA	NA	NA	DONE	Descriptive expression; no association or functional validation	Lee2020_GSE132465	Lee2020_GSE132465	Normal	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	lineage	Epithelial cells	patients_with_at_least_20_cells	1052	9	0.0582010582010582	0.184	0.21739130434782608	0.226890756302521	0.3230769230769231	12.158867766233609	21.221333199942094	25.280426852571985	33.57980913236489	39.10890363077284	5.0	17.0	28.0	40.0	55.0	148899.0	986934.0	1267852.0	1346121.0	2024254.0	NEW_GENE_SUMMARY	NA
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T081200Z_cell_expression35_v2	COAD_cell_origin35_v2	donor_equal_expression	NA	NA	BCAT2	patient	10	10	median_patient_pseudobulk_CPM	0.0	NA	NA	NA	NA	NA	NA	DONE	Descriptive expression; no association or functional validation	Lee2020_GSE132465	Lee2020_GSE132465	Normal	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	lineage	Mast cells	all_covered_patients	184	3	0.0	0.0	0.0	0.0	0.012195121951219513	0.0	0.0	0.0	0.0	6.547373521112006	0.0	0.0	0.0	0.0	1.0	2013.0	9760.5	13085.5	59396.0	152733.0	NEW_GENE_SUMMARY	NA
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T081200Z_cell_expression35_v2	COAD_cell_origin35_v2	donor_equal_expression	NA	NA	BCAT2	patient	3	10	median_patient_pseudobulk_CPM	0.0	NA	NA	NA	NA	NA	NA	PARTIAL	LIMITED_COVERAGE; descriptive only	Lee2020_GSE132465	Lee2020_GSE132465	Normal	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	lineage	Mast cells	patients_with_at_least_20_cells	151	3	0.0	0.0	0.0	0.006097560975609756	0.012195121951219513	0.0	0.0	0.0	3.273686760556003	6.547373521112006	0.0	0.0	0.0	0.5	1.0	72122.0	85135.5	98149.0	125441.0	152733.0	NEW_GENE_SUMMARY	NA
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T081200Z_cell_expression35_v2	COAD_cell_origin35_v2	donor_equal_expression	NA	NA	BCAT2	patient	10	10	median_patient_pseudobulk_CPM	4.843138145987902	NA	NA	NA	NA	NA	NA	DONE	Descriptive expression; no association or functional validation	Lee2020_GSE132465	Lee2020_GSE132465	Normal	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	lineage	Myeloids	all_covered_patients	369	9	0.0	0.0037313432835820895	0.0374331550802139	0.06547619047619047	0.14285714285714285	0.0	0.4847930127752655	4.843138145987902	13.6499694824299	17.065234703861293	0.0	0.25	1.0	2.75	7.0	20495.0	178114.0	212906.0	382484.75	515684.0	NEW_GENE_SUMMARY	NA
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T081200Z_cell_expression35_v2	COAD_cell_origin35_v2	donor_equal_expression	NA	NA	BCAT2	patient	9	10	median_patient_pseudobulk_CPM	5.40341928372274	NA	NA	NA	NA	NA	NA	DONE	Descriptive expression; no association or functional validation	Lee2020_GSE132465	Lee2020_GSE132465	Normal	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	lineage	Myeloids	patients_with_at_least_20_cells	366	9	0.0	0.014925373134328358	0.045454545454545456	0.07142857142857142	0.14285714285714285	0.0	1.939172051101062	5.40341928372274	15.885947971250973	17.065234703861293	0.0	1.0	1.0	3.0	7.0	121305.0	185068.0	226431.0	432150.0	515684.0	NEW_GENE_SUMMARY	NA
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T081200Z_cell_expression35_v2	COAD_cell_origin35_v2	donor_equal_expression	NA	NA	BCAT2	patient	10	10	median_patient_pseudobulk_CPM	21.198452039160095	NA	NA	NA	NA	NA	NA	DONE	Descriptive expression; no association or functional validation	Lee2020_GSE132465	Lee2020_GSE132465	Normal	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	lineage	Stromal cells	all_covered_patients	3197	10	0.04	0.10921544209215442	0.12209085755931653	0.14382216636556436	0.1553030303030303	4.942665085013839	18.468023644125108	21.198452039160095	22.48451824448395	25.227144636967054	1.0	19.0	47.0	63.75	101.0	202320.0	975092.5	1985131.0	2898480.25	4895363.0	NEW_GENE_SUMMARY	NA
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T081200Z_cell_expression35_v2	COAD_cell_origin35_v2	donor_equal_expression	NA	NA	BCAT2	patient	10	10	median_patient_pseudobulk_CPM	21.198452039160095	NA	NA	NA	NA	NA	NA	DONE	Descriptive expression; no association or functional validation	Lee2020_GSE132465	Lee2020_GSE132465	Normal	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	lineage	Stromal cells	patients_with_at_least_20_cells	3197	10	0.04	0.10921544209215442	0.12209085755931653	0.14382216636556436	0.1553030303030303	4.942665085013839	18.468023644125108	21.198452039160095	22.48451824448395	25.227144636967054	1.0	19.0	47.0	63.75	101.0	202320.0	975092.5	1985131.0	2898480.25	4895363.0	NEW_GENE_SUMMARY	NA
