cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	study	tissue	enrichment	technology	annotation_level	cell_type	support_set	n_cells	n_patients_ge20	detection_fraction_min	detection_fraction_q25	detection_fraction_median	detection_fraction_q75	detection_fraction_max	pseudobulk_CPM_min	pseudobulk_CPM_q25	pseudobulk_CPM_median	pseudobulk_CPM_q75	pseudobulk_CPM_max	target_UMI_min	target_UMI_q25	target_UMI_median	target_UMI_q75	target_UMI_max	library_UMI_min	library_UMI_q25	library_UMI_median	library_UMI_q75	library_UMI_max	computation	reuse_run_id
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T081200Z_cell_expression35_v2	COAD_cell_origin35_v2	donor_equal_expression	NA	NA	GSTO2	patient	10	10	median_patient_pseudobulk_CPM	1.0826534150633769	NA	NA	NA	NA	NA	NA	DONE	Descriptive expression; no association or functional validation	Lee2020_GSE132465	Lee2020_GSE132465	Normal	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	lineage	B cells	all_covered_patients	5208	10	0.00338409475465313	0.00841715976331361	0.012894424946403187	0.017535399412236176	0.02617801047120419	0.46368629211169926	0.8311132242834255	1.0826534150633769	1.7423883960017374	2.4714651179593954	2.0	4.25	7.0	10.75	19.0	3177949.0	4711427.75	5802749.0	6835046.75	10696387.0	NEW_GENE_SUMMARY	NA
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T081200Z_cell_expression35_v2	COAD_cell_origin35_v2	donor_equal_expression	NA	NA	GSTO2	patient	10	10	median_patient_pseudobulk_CPM	1.0826534150633769	NA	NA	NA	NA	NA	NA	DONE	Descriptive expression; no association or functional validation	Lee2020_GSE132465	Lee2020_GSE132465	Normal	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	lineage	B cells	patients_with_at_least_20_cells	5208	10	0.00338409475465313	0.00841715976331361	0.012894424946403187	0.017535399412236176	0.02617801047120419	0.46368629211169926	0.8311132242834255	1.0826534150633769	1.7423883960017374	2.4714651179593954	2.0	4.25	7.0	10.75	19.0	3177949.0	4711427.75	5802749.0	6835046.75	10696387.0	NEW_GENE_SUMMARY	NA
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T081200Z_cell_expression35_v2	COAD_cell_origin35_v2	donor_equal_expression	NA	NA	GSTO2	patient	10	10	median_patient_pseudobulk_CPM	25.64301687001529	NA	NA	NA	NA	NA	NA	DONE	Descriptive expression; no association or functional validation	Lee2020_GSE132465	Lee2020_GSE132465	Normal	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	lineage	Epithelial cells	all_covered_patients	1070	9	0.0582010582010582	0.1553846153846154	0.18461277173913043	0.23852100840336135	0.3384615384615385	14.348643335772604	21.77310320669027	25.64301687001529	34.54266640444845	40.0147412330666	2.0	14.5	33.5	37.75	81.0	139386.0	751076.25	1145318.5	1339447.5	2024254.0	NEW_GENE_SUMMARY	NA
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T081200Z_cell_expression35_v2	COAD_cell_origin35_v2	donor_equal_expression	NA	NA	GSTO2	patient	9	10	median_patient_pseudobulk_CPM	26.02827459356455	NA	NA	NA	NA	NA	NA	DONE	Descriptive expression; no association or functional validation	Lee2020_GSE132465	Lee2020_GSE132465	Normal	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	lineage	Epithelial cells	patients_with_at_least_20_cells	1052	9	0.0582010582010582	0.16	0.1953125	0.248	0.3384615384615385	16.211823688311476	24.634887661583225	26.02827459356455	34.8636188284763	40.0147412330666	5.0	16.0	34.0	38.0	81.0	148899.0	986934.0	1267852.0	1346121.0	2024254.0	NEW_GENE_SUMMARY	NA
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T081200Z_cell_expression35_v2	COAD_cell_origin35_v2	donor_equal_expression	NA	NA	GSTO2	patient	10	10	median_patient_pseudobulk_CPM	0.0	NA	NA	NA	NA	NA	NA	DONE	Descriptive expression; no association or functional validation	Lee2020_GSE132465	Lee2020_GSE132465	Normal	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	lineage	Mast cells	all_covered_patients	184	3	0.0	0.0	0.0	0.0	0.024390243902439025	0.0	0.0	0.0	0.0	13.094747042224013	0.0	0.0	0.0	0.0	2.0	2013.0	9760.5	13085.5	59396.0	152733.0	NEW_GENE_SUMMARY	NA
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T081200Z_cell_expression35_v2	COAD_cell_origin35_v2	donor_equal_expression	NA	NA	GSTO2	patient	3	10	median_patient_pseudobulk_CPM	10.188590816004238	NA	NA	NA	NA	NA	NA	PARTIAL	LIMITED_COVERAGE; descriptive only	Lee2020_GSE132465	Lee2020_GSE132465	Normal	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	lineage	Mast cells	patients_with_at_least_20_cells	151	3	0.0	0.012195121951219513	0.024390243902439025	0.024390243902439025	0.024390243902439025	0.0	5.094295408002119	10.188590816004238	11.641668929114125	13.094747042224013	0.0	0.5	1.0	1.5	2.0	72122.0	85135.5	98149.0	125441.0	152733.0	NEW_GENE_SUMMARY	NA
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T081200Z_cell_expression35_v2	COAD_cell_origin35_v2	donor_equal_expression	NA	NA	GSTO2	patient	10	10	median_patient_pseudobulk_CPM	0.0	NA	NA	NA	NA	NA	NA	DONE	Descriptive expression; no association or functional validation	Lee2020_GSE132465	Lee2020_GSE132465	Normal	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	lineage	Myeloids	all_covered_patients	369	9	0.0	0.0	0.0	0.014925373134328358	0.047619047619047616	0.0	0.0	0.0	2.1868588668378695	5.688411567953764	0.0	0.0	0.0	1.0	2.0	20495.0	178114.0	212906.0	382484.75	515684.0	NEW_GENE_SUMMARY	NA
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T081200Z_cell_expression35_v2	COAD_cell_origin35_v2	donor_equal_expression	NA	NA	GSTO2	patient	9	10	median_patient_pseudobulk_CPM	0.0	NA	NA	NA	NA	NA	NA	DONE	Descriptive expression; no association or functional validation	Lee2020_GSE132465	Lee2020_GSE132465	Normal	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	lineage	Myeloids	patients_with_at_least_20_cells	366	9	0.0	0.0	0.0	0.014925373134328358	0.047619047619047616	0.0	0.0	0.0	2.269421138750139	5.688411567953764	0.0	0.0	0.0	1.0	2.0	121305.0	185068.0	226431.0	432150.0	515684.0	NEW_GENE_SUMMARY	NA
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T081200Z_cell_expression35_v2	COAD_cell_origin35_v2	donor_equal_expression	NA	NA	GSTO2	patient	10	10	median_patient_pseudobulk_CPM	4.9258331147561965	NA	NA	NA	NA	NA	NA	DONE	Descriptive expression; no association or functional validation	Lee2020_GSE132465	Lee2020_GSE132465	Normal	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	lineage	Stromal cells	all_covered_patients	3197	10	0.009589041095890411	0.027239304812834226	0.030614973262032084	0.03627455194051661	0.09195402298850575	1.4299246041611215	3.533181037706312	4.9258331147561965	6.603038826838867	11.13060512926111	1.0	5.5	7.5	13.5	21.0	202320.0	975092.5	1985131.0	2898480.25	4895363.0	NEW_GENE_SUMMARY	NA
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T081200Z_cell_expression35_v2	COAD_cell_origin35_v2	donor_equal_expression	NA	NA	GSTO2	patient	10	10	median_patient_pseudobulk_CPM	4.9258331147561965	NA	NA	NA	NA	NA	NA	DONE	Descriptive expression; no association or functional validation	Lee2020_GSE132465	Lee2020_GSE132465	Normal	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	lineage	Stromal cells	patients_with_at_least_20_cells	3197	10	0.009589041095890411	0.027239304812834226	0.030614973262032084	0.03627455194051661	0.09195402298850575	1.4299246041611215	3.533181037706312	4.9258331147561965	6.603038826838867	11.13060512926111	1.0	5.5	7.5	13.5	21.0	202320.0	975092.5	1985131.0	2898480.25	4895363.0	NEW_GENE_SUMMARY	NA
