cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	study	technology	eligible_lineages	highest_median_CPM_lineage	n_qualified_patients	median_CPM	median_detection	interpretation
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T081200Z_cell_expression35_v2	COAD_cell_origin35_v2	descriptive_lineage_maximum	NA	NA	ADSS2	patient	23	NA	median_patient_pseudobulk_CPM	57.066167885980455	NA	NA	NA	NA	NA	NA	DONE	Display of existing summary; no independent evidence; not cell-type specificity	Lee2020_GSE132465	Lee2020_GSE132465	10x_3prime_v2	5	T cells	23	57.066167885980455	0.1366223908918406	Descriptive maximum among sufficiently covered lineages; not specificity, significance, or function
COAD	Pelka2021_GSE178341	06_EXTERNAL	20260920T081200Z_cell_expression35_v2	COAD_cell_origin35_v2	descriptive_lineage_maximum	NA	NA	ADSS2	patient	41	NA	median_patient_pseudobulk_CPM	50.56759375754048	NA	NA	NA	NA	NA	NA	DONE	Display of existing summary; no independent evidence; not cell-type specificity	Pelka2021_GSE178341	Pelka2021_GSE178341	SC3Pv2	7	TNKILC	41	50.56759375754048	0.10973282442748092	Descriptive maximum among sufficiently covered lineages; not specificity, significance, or function
COAD	Pelka2021_GSE178341	06_EXTERNAL	20260920T081200Z_cell_expression35_v2	COAD_cell_origin35_v2	descriptive_lineage_maximum	NA	NA	ADSS2	patient	20	NA	median_patient_pseudobulk_CPM	64.68822037200152	NA	NA	NA	NA	NA	NA	DONE	Display of existing summary; no independent evidence; not cell-type specificity	Pelka2021_GSE178341	Pelka2021_GSE178341	SC3Pv3	7	TNKILC	20	64.68822037200152	0.19892086330935252	Descriptive maximum among sufficiently covered lineages; not specificity, significance, or function
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T081200Z_cell_expression35_v2	COAD_cell_origin35_v2	descriptive_lineage_maximum	NA	NA	AQP9	patient	23	NA	median_patient_pseudobulk_CPM	103.45880627088798	NA	NA	NA	NA	NA	NA	DONE	Display of existing summary; no independent evidence; not cell-type specificity	Lee2020_GSE132465	Lee2020_GSE132465	10x_3prime_v2	5	Myeloids	23	103.45880627088798	0.31594634873323396	Descriptive maximum among sufficiently covered lineages; not specificity, significance, or function
COAD	Pelka2021_GSE178341	06_EXTERNAL	20260920T081200Z_cell_expression35_v2	COAD_cell_origin35_v2	descriptive_lineage_maximum	NA	NA	AQP9	patient	41	NA	median_patient_pseudobulk_CPM	46.755554170205805	NA	NA	NA	NA	NA	NA	DONE	Display of existing summary; no independent evidence; not cell-type specificity	Pelka2021_GSE178341	Pelka2021_GSE178341	SC3Pv2	7	Myeloid	41	46.755554170205805	0.13756613756613756	Descriptive maximum among sufficiently covered lineages; not specificity, significance, or function
COAD	Pelka2021_GSE178341	06_EXTERNAL	20260920T081200Z_cell_expression35_v2	COAD_cell_origin35_v2	descriptive_lineage_maximum	NA	NA	AQP9	patient	20	NA	median_patient_pseudobulk_CPM	70.50748701879857	NA	NA	NA	NA	NA	NA	DONE	Display of existing summary; no independent evidence; not cell-type specificity	Pelka2021_GSE178341	Pelka2021_GSE178341	SC3Pv3	7	Myeloid	20	70.50748701879857	0.3047229158871999	Descriptive maximum among sufficiently covered lineages; not specificity, significance, or function
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T081200Z_cell_expression35_v2	COAD_cell_origin35_v2	descriptive_lineage_maximum	NA	NA	ASPA	patient	19	NA	median_patient_pseudobulk_CPM	1.1003769341187823	NA	NA	NA	NA	NA	NA	DONE	Display of existing summary; no independent evidence; not cell-type specificity	Lee2020_GSE132465	Lee2020_GSE132465	10x_3prime_v2	5	Stromal cells	19	1.1003769341187823	0.012048192771084338	Descriptive maximum among sufficiently covered lineages; not specificity, significance, or function
COAD	Pelka2021_GSE178341	06_EXTERNAL	20260920T081200Z_cell_expression35_v2	COAD_cell_origin35_v2	descriptive_lineage_maximum	NA	NA	ASPA	patient	41	NA	median_patient_pseudobulk_CPM	0.0485048971756811	NA	NA	NA	NA	NA	NA	DONE	Display of existing summary; no independent evidence; not cell-type specificity	Pelka2021_GSE178341	Pelka2021_GSE178341	SC3Pv2	7	Epi	41	0.0485048971756811	0.0008710801393728223	Descriptive maximum among sufficiently covered lineages; not specificity, significance, or function
COAD	Pelka2021_GSE178341	06_EXTERNAL	20260920T081200Z_cell_expression35_v2	COAD_cell_origin35_v2	descriptive_lineage_maximum	NA	NA	ASPA	patient	20	NA	median_patient_pseudobulk_CPM	1.3177375459323803	NA	NA	NA	NA	NA	NA	DONE	Display of existing summary; no independent evidence; not cell-type specificity	Pelka2021_GSE178341	Pelka2021_GSE178341	SC3Pv3	7	Strom	20	1.3177375459323803	0.014147286821705426	Descriptive maximum among sufficiently covered lineages; not specificity, significance, or function
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T081200Z_cell_expression35_v2	COAD_cell_origin35_v2	descriptive_lineage_maximum	NA	NA	B4GALT2	patient	19	NA	median_patient_pseudobulk_CPM	18.51668531391835	NA	NA	NA	NA	NA	NA	DONE	Display of existing summary; no independent evidence; not cell-type specificity	Lee2020_GSE132465	Lee2020_GSE132465	10x_3prime_v2	5	Stromal cells	19	18.51668531391835	0.16981132075471697	Descriptive maximum among sufficiently covered lineages; not specificity, significance, or function
COAD	Pelka2021_GSE178341	06_EXTERNAL	20260920T081200Z_cell_expression35_v2	COAD_cell_origin35_v2	descriptive_lineage_maximum	NA	NA	B4GALT2	patient	31	NA	median_patient_pseudobulk_CPM	18.90726114456996	NA	NA	NA	NA	NA	NA	DONE	Display of existing summary; no independent evidence; not cell-type specificity	Pelka2021_GSE178341	Pelka2021_GSE178341	SC3Pv2	7	Strom	31	18.90726114456996	0.09009009009009009	Descriptive maximum among sufficiently covered lineages; not specificity, significance, or function
