cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	study	enrichment	technology	annotation_level	cell_type	n_tumor	n_normal	n_paired_covered	n_paired_ge20	n_tumor_only	n_normal_only	n_pairs_excluded_cell_coverage	tier	gene_available	ci_method	ci_coverage	n_positive	n_negative	n_zero	n_informative	paired_tumor_CPM_median	paired_normal_CPM_median	median_detection_difference
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T091100Z_cell_paired35_v1	COAD_cell_paired35_v1	paired_T_minus_N_within_cell_type	NA	NA	GNPAT	paired_patient	10	10	median_paired_CPM_difference_T_minus_N	3.3638691326749974	-1.0411050863295959	9.79693006245915	0.109375	0.3098958333333333	Lee2020_GSE132465_primary_lineage	170	DONE	PAIRED_DIRECTION_TEST; not metabolite validation	Lee2020_GSE132465	Lee2020_GSE132465	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	lineage	B cells	23	10	10	10	13	0	0	primary	True	order_statistic_median_95pct_or_higher	0.978515625	8	2	0	10	9.25234618584182	5.80168305726381	0.010520455587068545
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T091100Z_cell_paired35_v1	COAD_cell_paired35_v1	paired_T_minus_N_within_cell_type	NA	NA	GNPAT	paired_patient	8	10	median_paired_CPM_difference_T_minus_N	6.562508508204313	1.584689422039002	22.238050896683344	0.0078125	0.055338541666666664	Lee2020_GSE132465_primary_lineage	170	DONE	PAIRED_DIRECTION_TEST; not metabolite validation	Lee2020_GSE132465	Lee2020_GSE132465	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	lineage	Epithelial cells	23	10	10	8	13	0	2	primary	True	order_statistic_median_95pct_or_higher	0.9921875	8	0	0	8	25.240325654877207	16.82478932797362	0.19744260782817535
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T091100Z_cell_paired35_v1	COAD_cell_paired35_v1	paired_T_minus_N_within_cell_type	NA	NA	GNPAT	paired_patient	0	2	median_paired_CPM_difference_T_minus_N	NA	NA	NA	NA	NA	Lee2020_GSE132465_primary_lineage	170	NOT_EVALUABLE	FEWER_THAN_6_PAIRED_PATIENTS_GE20; no test	Lee2020_GSE132465	Lee2020_GSE132465	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	lineage	Mast cells	2	10	2	0	0	8	2	primary	True	order_statistic_median_95pct_or_higher	NA	NA	NA	NA	NA	NA	NA	NA
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T091100Z_cell_paired35_v1	COAD_cell_paired35_v1	paired_T_minus_N_within_cell_type	NA	NA	GNPAT	paired_patient	9	10	median_paired_CPM_difference_T_minus_N	2.0880780660124536	-9.487154696047318	9.780804449612898	1.0	1.0	Lee2020_GSE132465_primary_lineage	170	DONE	PAIRED_DIRECTION_TEST; not metabolite validation	Lee2020_GSE132465	Lee2020_GSE132465	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	lineage	Myeloids	23	10	10	9	13	0	1	primary	True	order_statistic_median_95pct_or_higher	0.9609375	5	4	0	9	12.787862154715425	10.80683856744548	0.004761904761904773
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T091100Z_cell_paired35_v1	COAD_cell_paired35_v1	paired_T_minus_N_within_cell_type	NA	NA	GNPAT	paired_patient	9	10	median_paired_CPM_difference_T_minus_N	10.518111760845436	2.724111364751451	16.1050257864447	0.00390625	0.0390625	Lee2020_GSE132465_primary_lineage	170	DONE	PAIRED_DIRECTION_TEST; not metabolite validation	Lee2020_GSE132465	Lee2020_GSE132465	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	lineage	Stromal cells	23	10	10	9	13	0	1	primary	True	order_statistic_median_95pct_or_higher	0.9609375	9	0	0	9	25.6384873577331	16.129575189066674	0.08642201834862387
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T091100Z_cell_paired35_v1	COAD_cell_paired35_v1	paired_T_minus_N_within_cell_type	NA	NA	GNPAT	paired_patient	10	10	median_paired_CPM_difference_T_minus_N	6.706167335598308	2.05389554316565	10.97256675192356	0.001953125	0.0390625	Lee2020_GSE132465_primary_lineage	170	DONE	PAIRED_DIRECTION_TEST; not metabolite validation	Lee2020_GSE132465	Lee2020_GSE132465	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	lineage	T cells	23	10	10	10	13	0	0	primary	True	order_statistic_median_95pct_or_higher	0.978515625	10	0	0	10	21.038678667323403	13.452291784099993	0.01198949441148274
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T091100Z_cell_paired35_v1	COAD_cell_paired35_v1	paired_T_minus_N_within_cell_type	NA	NA	GNPAT	paired_patient	9	10	median_paired_CPM_difference_T_minus_N	4.4299770776430485	-3.141625310047319	9.887699228271716	1.0	1.0	Lee2020_GSE132465_secondary_other_strata	102	DONE	PAIRED_DIRECTION_TEST; not metabolite validation	Lee2020_GSE132465	Lee2020_GSE132465	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	subtype	CD19+CD20+ B	23	10	10	9	13	0	1	secondary	True	order_statistic_median_95pct_or_higher	0.9609375	5	4	0	9	19.159076213208586	16.595306847223604	0.0032407407407407385
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T091100Z_cell_paired35_v1	COAD_cell_paired35_v1	paired_T_minus_N_within_cell_type	NA	NA	GNPAT	paired_patient	9	10	median_paired_CPM_difference_T_minus_N	6.437323710544005	3.909560802148942	13.852380894134614	0.0390625	0.6640625	Lee2020_GSE132465_secondary_other_strata	102	DONE	PAIRED_DIRECTION_TEST; not metabolite validation	Lee2020_GSE132465	Lee2020_GSE132465	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	subtype	CD4+ T cells	23	10	10	9	13	0	1	secondary	True	order_statistic_median_95pct_or_higher	0.9609375	8	1	0	9	17.740436130881843	10.89863317516692	0.009371620809804158
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T091100Z_cell_paired35_v1	COAD_cell_paired35_v1	paired_T_minus_N_within_cell_type	NA	NA	GNPAT	paired_patient	10	10	median_paired_CPM_difference_T_minus_N	8.751817574071161	-4.285991306142648	19.98505529914664	0.109375	0.763671875	Lee2020_GSE132465_secondary_other_strata	102	DONE	PAIRED_DIRECTION_TEST; not metabolite validation	Lee2020_GSE132465	Lee2020_GSE132465	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	subtype	CD8+ T cells	23	10	10	10	13	0	0	secondary	True	order_statistic_median_95pct_or_higher	0.978515625	8	2	0	10	21.903054116012022	12.927414499194787	0.01454442642967233
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T091100Z_cell_paired35_v1	COAD_cell_paired35_v1	paired_T_minus_N_within_cell_type	NA	NA	GNPAT	paired_patient	0	0	median_paired_CPM_difference_T_minus_N	NA	NA	NA	NA	NA	Lee2020_GSE132465_secondary_other_strata	102	NOT_EVALUABLE	FEWER_THAN_6_PAIRED_PATIENTS_GE20; no test	Lee2020_GSE132465	Lee2020_GSE132465	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	subtype	CMS1	21	0	0	0	21	0	0	secondary	True	order_statistic_median_95pct_or_higher	NA	NA	NA	NA	NA	NA	NA	NA
