cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	study	enrichment	technology	annotation_level	cell_type	n_tumor	n_normal	n_paired_covered	n_paired_ge20	n_tumor_only	n_normal_only	n_pairs_excluded_cell_coverage	tier	gene_available	ci_method	ci_coverage	n_positive	n_negative	n_zero	n_informative	paired_tumor_CPM_median	paired_normal_CPM_median	median_detection_difference
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T091100Z_cell_paired35_v1	COAD_cell_paired35_v1	paired_T_minus_N_within_cell_type	NA	NA	SLC7A8	paired_patient	10	10	median_paired_CPM_difference_T_minus_N	-0.09296036537416791	-0.31466836000200127	0.24314903968742305	0.2890625	0.578125	Lee2020_GSE132465_primary_lineage	170	DONE	PAIRED_DIRECTION_TEST; not metabolite validation	Lee2020_GSE132465	Lee2020_GSE132465	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	lineage	B cells	23	10	10	10	13	0	0	primary	True	order_statistic_median_95pct_or_higher	0.978515625	2	6	2	8	0.0	0.14726521435701465	-0.0010064604461324494
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T091100Z_cell_paired35_v1	COAD_cell_paired35_v1	paired_T_minus_N_within_cell_type	NA	NA	SLC7A8	paired_patient	8	10	median_paired_CPM_difference_T_minus_N	2.5282409771743213	-8.512238904158325	24.68946821354415	0.7265625	1.0	Lee2020_GSE132465_primary_lineage	170	DONE	PAIRED_DIRECTION_TEST; not metabolite validation	Lee2020_GSE132465	Lee2020_GSE132465	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	lineage	Epithelial cells	23	10	10	8	13	0	2	primary	True	order_statistic_median_95pct_or_higher	0.9921875	5	3	0	8	7.96933930184443	6.889275142379816	0.08695993011544986
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T091100Z_cell_paired35_v1	COAD_cell_paired35_v1	paired_T_minus_N_within_cell_type	NA	NA	SLC7A8	paired_patient	0	2	median_paired_CPM_difference_T_minus_N	NA	NA	NA	NA	NA	Lee2020_GSE132465_primary_lineage	170	NOT_EVALUABLE	FEWER_THAN_6_PAIRED_PATIENTS_GE20; no test	Lee2020_GSE132465	Lee2020_GSE132465	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	lineage	Mast cells	2	10	2	0	0	8	2	primary	True	order_statistic_median_95pct_or_higher	NA	NA	NA	NA	NA	NA	NA	NA
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T091100Z_cell_paired35_v1	COAD_cell_paired35_v1	paired_T_minus_N_within_cell_type	NA	NA	SLC7A8	paired_patient	9	10	median_paired_CPM_difference_T_minus_N	6.226158918684092	-18.997627925217646	16.988913845314013	1.0	1.0	Lee2020_GSE132465_primary_lineage	170	DONE	PAIRED_DIRECTION_TEST; not metabolite validation	Lee2020_GSE132465	Lee2020_GSE132465	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	lineage	Myeloids	23	10	10	9	13	0	1	primary	True	order_statistic_median_95pct_or_higher	0.9609375	5	4	0	9	21.40527026294234	23.270064613212742	0.060858153346531135
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T091100Z_cell_paired35_v1	COAD_cell_paired35_v1	paired_T_minus_N_within_cell_type	NA	NA	SLC7A8	paired_patient	9	10	median_paired_CPM_difference_T_minus_N	1.4618101931161789	-2.879741666243712	7.810120353954654	0.5078125	0.8144162735849056	Lee2020_GSE132465_primary_lineage	170	DONE	PAIRED_DIRECTION_TEST; not metabolite validation	Lee2020_GSE132465	Lee2020_GSE132465	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	lineage	Stromal cells	23	10	10	9	13	0	1	primary	True	order_statistic_median_95pct_or_higher	0.9609375	6	3	0	9	4.192459023953615	2.0018103037847226	0.02597537714582972
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T091100Z_cell_paired35_v1	COAD_cell_paired35_v1	paired_T_minus_N_within_cell_type	NA	NA	SLC7A8	paired_patient	10	10	median_paired_CPM_difference_T_minus_N	-0.07728772213128263	-0.5397617136053632	0.8531294922599827	0.34375	0.6351902173913043	Lee2020_GSE132465_primary_lineage	170	DONE	PAIRED_DIRECTION_TEST; not metabolite validation	Lee2020_GSE132465	Lee2020_GSE132465	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	lineage	T cells	23	10	10	10	13	0	0	primary	True	order_statistic_median_95pct_or_higher	0.978515625	3	7	0	10	0.7203710449257087	0.6075433828907661	-0.0008841521071307851
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T091100Z_cell_paired35_v1	COAD_cell_paired35_v1	paired_T_minus_N_within_cell_type	NA	NA	SLC7A8	paired_patient	9	10	median_paired_CPM_difference_T_minus_N	0.0	-1.091044380412262	0.0	0.25	0.8793103448275862	Lee2020_GSE132465_secondary_other_strata	102	DONE	PAIRED_DIRECTION_TEST; not metabolite validation	Lee2020_GSE132465	Lee2020_GSE132465	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	subtype	CD19+CD20+ B	23	10	10	9	13	0	1	secondary	True	order_statistic_median_95pct_or_higher	0.9609375	0	3	6	3	0.0	0.0	0.0
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T091100Z_cell_paired35_v1	COAD_cell_paired35_v1	paired_T_minus_N_within_cell_type	NA	NA	SLC7A8	paired_patient	9	10	median_paired_CPM_difference_T_minus_N	0.0	-1.3861108916435532	1.5790903176498083	1.0	1.0	Lee2020_GSE132465_secondary_other_strata	102	DONE	PAIRED_DIRECTION_TEST; not metabolite validation	Lee2020_GSE132465	Lee2020_GSE132465	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	subtype	CD4+ T cells	23	10	10	9	13	0	1	secondary	True	order_statistic_median_95pct_or_higher	0.9609375	3	4	2	7	0.0	0.6963347030236942	0.0
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T091100Z_cell_paired35_v1	COAD_cell_paired35_v1	paired_T_minus_N_within_cell_type	NA	NA	SLC7A8	paired_patient	10	10	median_paired_CPM_difference_T_minus_N	0.0	-3.392619356589739	0.0	0.625	1.0	Lee2020_GSE132465_secondary_other_strata	102	DONE	PAIRED_DIRECTION_TEST; not metabolite validation	Lee2020_GSE132465	Lee2020_GSE132465	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	subtype	CD8+ T cells	23	10	10	10	13	0	0	secondary	True	order_statistic_median_95pct_or_higher	0.978515625	1	3	6	4	0.0	0.0	0.0
COAD	Lee2020_GSE132465	06_EXTERNAL	20260920T091100Z_cell_paired35_v1	COAD_cell_paired35_v1	paired_T_minus_N_within_cell_type	NA	NA	SLC7A8	paired_patient	0	0	median_paired_CPM_difference_T_minus_N	NA	NA	NA	NA	NA	Lee2020_GSE132465_secondary_other_strata	102	NOT_EVALUABLE	FEWER_THAN_6_PAIRED_PATIENTS_GE20; no test	Lee2020_GSE132465	Lee2020_GSE132465	NO_CD45_REPORTED_FICOLL_PURIFIED	10x_3prime_v2	subtype	CMS1	21	0	0	0	21	0	0	secondary	True	order_statistic_median_95pct_or_higher	NA	NA	NA	NA	NA	NA	NA	NA
