layer	metabolite_key	metabolite_name	gene	source_metabolite	name_numeric_nonconstant_pass	structural_reason	gene_finite_n	gene_nonzero_n	analysis_status	admission_status	admission_reason
RNA	KEGG:C02918	1-methylnicotinamide	NNMT	N-Methylnicotinamide	False	AMBIGUOUS_NAME	6	6	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
RNA	KEGG:C00631	2-phosphoglycerate	BPGM	NA	False	NOT_FOUND_IN_NAME_SCREEN;METABOLITE_ROW_ABSENT_OR_NONUNIQUE	6	6	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
RNA	KEGG:C00631	2-phosphoglycerate	ENO2	NA	False	NOT_FOUND_IN_NAME_SCREEN;METABOLITE_ROW_ABSENT_OR_NONUNIQUE	6	6	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
RNA	KEGG:C00631	2-phosphoglycerate	PGAM2	NA	False	NOT_FOUND_IN_NAME_SCREEN;METABOLITE_ROW_ABSENT_OR_NONUNIQUE	6	6	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
RNA	KEGG:C04501	N-Acetylglucosamine 1-phosphate	UAP1	N-Acetylglucosamine 1-Phosphate	True	PASS	6	6	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
RNA	KEGG:C01042	N-acetylaspartate (NAA)	ASPA	N-Acetylaspartate	True	PASS	6	6	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
RNA	KEGG:C00019	S-adenosylmethionine (SAM)	ICMT	S-Adenosyl-L-Methionine	True	PASS	6	6	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
RNA	KEGG:C00019	S-adenosylmethionine (SAM)	KMT5A	S-Adenosyl-L-Methionine	True	PASS	6	6	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
RNA	KEGG:C00019	S-adenosylmethionine (SAM)	NNMT	S-Adenosyl-L-Methionine	True	PASS	6	6	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
RNA	KEGG:C00019	S-adenosylmethionine (SAM)	PRMT7	S-Adenosyl-L-Methionine	True	PASS	6	6	NOT_RUN	NEEDS_REVIEW	Cross-sample normalization and source missing/zero semantics not certified; no correlation computed
