gene	lineage	source_symbol	mapping_status	source_feature_index_0based
ADSS2	Bcells	ADSS	HGNC_CONFIRMED_PREVIOUS_SYMBOL	2321.0
AQP9	Bcells	AQP9	EXACT_SOURCE_SYMBOL	17197.0
ASPA	Bcells	ASPA	EXACT_SOURCE_SYMBOL	18866.0
B4GALT2	Bcells	B4GALT2	EXACT_SOURCE_SYMBOL	709.0
BCAT2	Bcells	BCAT2	EXACT_SOURCE_SYMBOL	22471.0
BPGM	Bcells	BPGM	EXACT_SOURCE_SYMBOL	9339.0
CANT1	Bcells	CANT1	EXACT_SOURCE_SYMBOL	20097.0
ENO2	Bcells	ENO2	EXACT_SOURCE_SYMBOL	14351.0
ENTPD3	Bcells	ENTPD3	EXACT_SOURCE_SYMBOL	4244.0
GMPR	Bcells	GMPR	EXACT_SOURCE_SYMBOL	7348.0
GNPAT	Bcells	GNPAT	EXACT_SOURCE_SYMBOL	2240.0
GSTA4	Bcells	GSTA4	EXACT_SOURCE_SYMBOL	7885.0
GSTO2	Bcells	GSTO2	EXACT_SOURCE_SYMBOL	14070.0
GSTT2	Bcells	NA	SOURCE_GENE_NOT_FOUND	NA
GSTT2B	Bcells	GSTT2B	EXACT_SOURCE_SYMBOL	23079.0
HAGH	Bcells	HAGH	EXACT_SOURCE_SYMBOL	17741.0
HDC	Bcells	HDC	EXACT_SOURCE_SYMBOL	17131.0
ICMT	Bcells	ICMT	EXACT_SOURCE_SYMBOL	117.0
KMT5A	Bcells	KMT5A	EXACT_SOURCE_SYMBOL	15463.0
NME6	Bcells	NME6	EXACT_SOURCE_SYMBOL	4343.0
NNMT	Bcells	NNMT	EXACT_SOURCE_SYMBOL	13168.0
NT5C3A	Bcells	NT5C3A	EXACT_SOURCE_SYMBOL	8710.0
PGAM2	Bcells	PGAM2	EXACT_SOURCE_SYMBOL	8784.0
PLA2G15	Bcells	PLA2G15	EXACT_SOURCE_SYMBOL	18503.0
PRMT7	Bcells	PRMT7	EXACT_SOURCE_SYMBOL	18506.0
SLC15A3	Bcells	SLC15A3	EXACT_SOURCE_SYMBOL	12575.0
SLC29A1	Bcells	SLC29A1	EXACT_SOURCE_SYMBOL	7841.0
SLC29A3	Bcells	SLC29A3	EXACT_SOURCE_SYMBOL	13750.0
SLC38A3	Bcells	SLC38A3	EXACT_SOURCE_SYMBOL	4413.0
SLC6A17	Bcells	NA	SOURCE_GENE_NOT_FOUND	NA
SLC6A6	Bcells	SLC6A6	EXACT_SOURCE_SYMBOL	4110.0
SLC7A8	Bcells	SLC7A8	EXACT_SOURCE_SYMBOL	16085.0
UAP1	Bcells	UAP1	EXACT_SOURCE_SYMBOL	1699.0
UCKL1	Bcells	UCKL1	EXACT_SOURCE_SYMBOL	21242.0
UPP2	Bcells	NA	SOURCE_GENE_NOT_FOUND	NA
ADSS2	Tcells_including_NK_ILC	ADSS	HGNC_CONFIRMED_PREVIOUS_SYMBOL	2321.0
AQP9	Tcells_including_NK_ILC	AQP9	EXACT_SOURCE_SYMBOL	17197.0
ASPA	Tcells_including_NK_ILC	ASPA	EXACT_SOURCE_SYMBOL	18866.0
B4GALT2	Tcells_including_NK_ILC	B4GALT2	EXACT_SOURCE_SYMBOL	709.0
BCAT2	Tcells_including_NK_ILC	BCAT2	EXACT_SOURCE_SYMBOL	22471.0
BPGM	Tcells_including_NK_ILC	BPGM	EXACT_SOURCE_SYMBOL	9339.0
CANT1	Tcells_including_NK_ILC	CANT1	EXACT_SOURCE_SYMBOL	20097.0
ENO2	Tcells_including_NK_ILC	ENO2	EXACT_SOURCE_SYMBOL	14351.0
ENTPD3	Tcells_including_NK_ILC	ENTPD3	EXACT_SOURCE_SYMBOL	4244.0
GMPR	Tcells_including_NK_ILC	GMPR	EXACT_SOURCE_SYMBOL	7348.0
GNPAT	Tcells_including_NK_ILC	GNPAT	EXACT_SOURCE_SYMBOL	2240.0
GSTA4	Tcells_including_NK_ILC	GSTA4	EXACT_SOURCE_SYMBOL	7885.0
GSTO2	Tcells_including_NK_ILC	GSTO2	EXACT_SOURCE_SYMBOL	14070.0
GSTT2	Tcells_including_NK_ILC	NA	SOURCE_GENE_NOT_FOUND	NA
GSTT2B	Tcells_including_NK_ILC	GSTT2B	EXACT_SOURCE_SYMBOL	23079.0
HAGH	Tcells_including_NK_ILC	HAGH	EXACT_SOURCE_SYMBOL	17741.0
HDC	Tcells_including_NK_ILC	HDC	EXACT_SOURCE_SYMBOL	17131.0
ICMT	Tcells_including_NK_ILC	ICMT	EXACT_SOURCE_SYMBOL	117.0
KMT5A	Tcells_including_NK_ILC	KMT5A	EXACT_SOURCE_SYMBOL	15463.0
NME6	Tcells_including_NK_ILC	NME6	EXACT_SOURCE_SYMBOL	4343.0
NNMT	Tcells_including_NK_ILC	NNMT	EXACT_SOURCE_SYMBOL	13168.0
NT5C3A	Tcells_including_NK_ILC	NT5C3A	EXACT_SOURCE_SYMBOL	8710.0
PGAM2	Tcells_including_NK_ILC	PGAM2	EXACT_SOURCE_SYMBOL	8784.0
PLA2G15	Tcells_including_NK_ILC	PLA2G15	EXACT_SOURCE_SYMBOL	18503.0
PRMT7	Tcells_including_NK_ILC	PRMT7	EXACT_SOURCE_SYMBOL	18506.0
SLC15A3	Tcells_including_NK_ILC	SLC15A3	EXACT_SOURCE_SYMBOL	12575.0
SLC29A1	Tcells_including_NK_ILC	SLC29A1	EXACT_SOURCE_SYMBOL	7841.0
SLC29A3	Tcells_including_NK_ILC	SLC29A3	EXACT_SOURCE_SYMBOL	13750.0
SLC38A3	Tcells_including_NK_ILC	SLC38A3	EXACT_SOURCE_SYMBOL	4413.0
SLC6A17	Tcells_including_NK_ILC	NA	SOURCE_GENE_NOT_FOUND	NA
SLC6A6	Tcells_including_NK_ILC	SLC6A6	EXACT_SOURCE_SYMBOL	4110.0
