gene	measured_sample_matrices	total_sample_matrices	source_symbols	status	reason
ADSS2	25	25	ADSS	DONE	Missing rows remain unmeasured;no zero or paralog substitution
AQP9	25	25	AQP9	DONE	Missing rows remain unmeasured;no zero or paralog substitution
ASPA	25	25	ASPA	DONE	Missing rows remain unmeasured;no zero or paralog substitution
B4GALT2	25	25	B4GALT2	DONE	Missing rows remain unmeasured;no zero or paralog substitution
BCAT2	25	25	BCAT2	DONE	Missing rows remain unmeasured;no zero or paralog substitution
BPGM	25	25	BPGM	DONE	Missing rows remain unmeasured;no zero or paralog substitution
CANT1	25	25	CANT1	DONE	Missing rows remain unmeasured;no zero or paralog substitution
ENO2	25	25	ENO2	DONE	Missing rows remain unmeasured;no zero or paralog substitution
ENTPD3	25	25	ENTPD3	DONE	Missing rows remain unmeasured;no zero or paralog substitution
GMPR	25	25	GMPR	DONE	Missing rows remain unmeasured;no zero or paralog substitution
GNPAT	25	25	GNPAT	DONE	Missing rows remain unmeasured;no zero or paralog substitution
GSTA4	25	25	GSTA4	DONE	Missing rows remain unmeasured;no zero or paralog substitution
GSTO2	25	25	GSTO2	DONE	Missing rows remain unmeasured;no zero or paralog substitution
GSTT2	0	25	NA	NOT_EVALUABLE	Missing rows remain unmeasured;no zero or paralog substitution
GSTT2B	0	25	NA	NOT_EVALUABLE	Missing rows remain unmeasured;no zero or paralog substitution
HAGH	25	25	HAGH	DONE	Missing rows remain unmeasured;no zero or paralog substitution
HDC	25	25	HDC	DONE	Missing rows remain unmeasured;no zero or paralog substitution
ICMT	25	25	ICMT	DONE	Missing rows remain unmeasured;no zero or paralog substitution
KMT5A	25	25	KMT5A	DONE	Missing rows remain unmeasured;no zero or paralog substitution
NME6	25	25	NME6	DONE	Missing rows remain unmeasured;no zero or paralog substitution
NNMT	25	25	NNMT	DONE	Missing rows remain unmeasured;no zero or paralog substitution
NT5C3A	25	25	NT5C3A	DONE	Missing rows remain unmeasured;no zero or paralog substitution
PGAM2	25	25	PGAM2	DONE	Missing rows remain unmeasured;no zero or paralog substitution
PLA2G15	25	25	PLA2G15	DONE	Missing rows remain unmeasured;no zero or paralog substitution
PRMT7	25	25	PRMT7	DONE	Missing rows remain unmeasured;no zero or paralog substitution
SLC15A3	25	25	SLC15A3	DONE	Missing rows remain unmeasured;no zero or paralog substitution
SLC29A1	25	25	SLC29A1	DONE	Missing rows remain unmeasured;no zero or paralog substitution
SLC29A3	25	25	SLC29A3	DONE	Missing rows remain unmeasured;no zero or paralog substitution
SLC38A3	25	25	SLC38A3	DONE	Missing rows remain unmeasured;no zero or paralog substitution
SLC6A17	0	25	NA	NOT_EVALUABLE	Missing rows remain unmeasured;no zero or paralog substitution
SLC6A6	25	25	SLC6A6	DONE	Missing rows remain unmeasured;no zero or paralog substitution
SLC7A8	25	25	SLC7A8	DONE	Missing rows remain unmeasured;no zero or paralog substitution
UAP1	25	25	UAP1	DONE	Missing rows remain unmeasured;no zero or paralog substitution
UCKL1	25	25	UCKL1	DONE	Missing rows remain unmeasured;no zero or paralog substitution
UPP2	0	25	NA	NOT_EVALUABLE	Missing rows remain unmeasured;no zero or paralog substitution
