matrix_ordinal	cells	genes	full_gene_UMI	nCount_RNA_exact_all
1	1208	21854	6454540	True
2	2044	21854	10770568	True
3	1307	21854	8782946	True
4	3336	21854	20554381	True
5	3088	21854	17362645	True
6	3997	21854	19093890	True
7	2889	21854	17421370	True
8	4112	21854	26096863	True
9	4566	21854	24162311	True
10	4122	21854	28636051	True
11	3670	21854	25997934	True
12	3424	21854	23591134	True
13	2956	21854	18729550	True
14	3501	21854	19605461	True
15	3894	21854	21512442	True
16	2919	21854	20243009	True
17	3030	21854	10552975	True
18	5532	21854	23397482	True
19	882	21854	6163149	True
20	417	21854	2586868	True
21	1167	21854	4688776	True
22	1255	21854	8963486	True
23	704	21854	7356733	True
24	1117	21854	5720675	True
25	3565	21854	20104303	True
