gene	status
LINC00115	LOW_EXPRESSION
FAM41C	LOW_EXPRESSION
AL645608.1	LOW_EXPRESSION
NOC2L	TESTED
PERM1	LOW_EXPRESSION
AL645608.8	LOW_EXPRESSION
HES4	TESTED
RNF223	TESTED
C1orf159	TESTED
TTLL10-AS1	LOW_EXPRESSION
TNFRSF18	LOW_EXPRESSION
TNFRSF4	LOW_EXPRESSION
SDF4	TESTED
C1QTNF12	TESTED
AL162741.1	LOW_EXPRESSION
UBE2J2	TESTED
ACAP3	TESTED
INTS11	TESTED
DVL1	TESTED
MXRA8	LOW_EXPRESSION
AURKAIP1	TESTED
CCNL2	TESTED
MRPL20	TESTED
ANKRD65	LOW_EXPRESSION
LINC01770	LOW_EXPRESSION
SSU72	TESTED
FNDC10	TESTED
AL691432.2	LOW_EXPRESSION
CDK11B	TESTED
SLC35E2B	LOW_EXPRESSION
CDK11A	TESTED
SLC35E2A	LOW_EXPRESSION
NADK	TESTED
GNB1	TESTED
TMEM52	TESTED
CFAP74	LOW_EXPRESSION
AL391845.2	LOW_EXPRESSION
AL391845.1	LOW_EXPRESSION
AL590822.2	LOW_EXPRESSION
PRKCZ-AS1	LOW_EXPRESSION
FAAP20	TESTED
MORN1	LOW_EXPRESSION
PEX10	TESTED
PANK4	TESTED
HES5	TESTED
TNFRSF14-AS1	TESTED
MMEL1	TESTED
TTC34	LOW_EXPRESSION
LINC00982	LOW_EXPRESSION
AL590438.1	LOW_EXPRESSION
MEGF6	TESTED
AL513320.1	LOW_EXPRESSION
WRAP73	TESTED
AL136528.1	LOW_EXPRESSION
LRRC47	TESTED
CEP104	TESTED
C1orf174	TESTED
AL805961.2	LOW_EXPRESSION
NPHP4	TESTED
CHD5	LOW_EXPRESSION
RPL22	TESTED
AL031847.1	LOW_EXPRESSION
ICMT	TESTED
GPR153	TESTED
ACOT7	TESTED
HES2	TESTED
TNFRSF25	TESTED
PLEKHG5	TESTED
NOL9	TESTED
KLHL21	TESTED
DNAJC11	TESTED
CAMTA1-DT	LOW_EXPRESSION
AL359881.3	LOW_EXPRESSION
AL359881.2	LOW_EXPRESSION
AL359881.1	LOW_EXPRESSION
Z98884.1	LOW_EXPRESSION
