pathway_id	pathway	direction	pathway_P	gene	log2FC	gene_P	depth_log2FC	depth_P	donors_high_greater	donors_high_lower
R-HSA-375276	Peptide ligand-binding receptors	higher_in_LYPLA1_high	0.0004233848014044	KISS1	0.664086683814066	0.0478844752411489	0.366575220990721	0.731958695973544	3	4
R-HSA-375276	Peptide ligand-binding receptors	higher_in_LYPLA1_high	0.0004233848014044	NMU	1.32435167096741	8.13590189908361e-07	1.19475878475448	0.0366113357380179	7	1
R-HSA-375276	Peptide ligand-binding receptors	higher_in_LYPLA1_high	0.0004233848014044	PPBP	1.40896227156468	0.0012895995895425	2.14840008945387	0.10807351377318	4	0
R-HSA-1855204	Synthesis of IP3 and IP4 in the cytosol	lower_in_LYPLA1_high	0.0004903503492532	ITPKA	-0.591641177341947	0.0373516003860398	-0.451741538768057	0.439431538302278	3	5
R-HSA-1855204	Synthesis of IP3 and IP4 in the cytosol	lower_in_LYPLA1_high	0.0004903503492532	ITPKB	-0.576939702214943	0.0257053798792399	-0.7093522736097	0.252092141801578	2	6
R-HSA-1855204	Synthesis of IP3 and IP4 in the cytosol	lower_in_LYPLA1_high	0.0004903503492532	PLCD1	-0.617347988609025	0.0065333016621325	0.111867181483578	0.849793392160082	1	7
R-HSA-373076	Class A/1 (Rhodopsin-like receptors)	higher_in_LYPLA1_high	0.0015232304762586	KISS1	0.664086683814066	0.0478844752411489	0.366575220990721	0.731958695973544	3	4
R-HSA-373076	Class A/1 (Rhodopsin-like receptors)	higher_in_LYPLA1_high	0.0015232304762586	NMU	1.32435167096741	8.13590189908361e-07	1.19475878475448	0.0366113357380179	7	1
R-HSA-373076	Class A/1 (Rhodopsin-like receptors)	higher_in_LYPLA1_high	0.0015232304762586	PPBP	1.40896227156468	0.0012895995895425	2.14840008945387	0.10807351377318	4	0
R-HSA-6785807	Interleukin-4 and Interleukin-13 signaling	higher_in_LYPLA1_high	0.0016624649757309	MMP1	0.609323037634799	0.0078546628476107	-0.224185812027828	0.921595219226887	4	1
