pathway_id	pathway	direction	background_genes	selected_genes	pathway_tested_genes	overlap	fold_enrichment	p_value	overlap_genes	status	reason	selected
R-HSA-375276	Peptide ligand-binding receptors	higher_in_LYPLA1_high	11058	39	42	3	20.252747252747252	0.0004233848014044597	KISS1;NMU;PPBP	DONE	NOMINAL_P_EXPLORATORY	True
R-HSA-1855204	Synthesis of IP3 and IP4 in the cytosol	lower_in_LYPLA1_high	11058	92	19	3	18.97826086956522	0.0004903503492532562	ITPKA;ITPKB;PLCD1	DONE	NOMINAL_P_EXPLORATORY	True
R-HSA-373076	Class A/1 (Rhodopsin-like receptors)	higher_in_LYPLA1_high	11058	39	65	3	13.086390532544378	0.0015232304762586035	KISS1;NMU;PPBP	DONE	NOMINAL_P_EXPLORATORY	True
R-HSA-6785807	Interleukin-4 and Interleukin-13 signaling	higher_in_LYPLA1_high	11058	39	67	3	12.695752009184845	0.0016624649757309858	MMP1;PIM1;PTGS2	DONE	NOMINAL_P_EXPLORATORY	True
R-HSA-6783783	Interleukin-10 signaling	higher_in_LYPLA1_high	11058	39	23	2	24.655518394648826	0.002926360392328329	IL1RN;PTGS2	DONE	NOMINAL_P_EXPLORATORY	True
R-HSA-416476	G alpha (q) signalling events	higher_in_LYPLA1_high	11058	39	82	3	10.373358348968106	0.0029633836762198705	KISS1;NMU;RGS13	DONE	NOMINAL_P_EXPLORATORY	True
R-HSA-500792	GPCR ligand binding	higher_in_LYPLA1_high	11058	39	93	3	9.146401985111662	0.004227896011572177	KISS1;NMU;PPBP	DONE	NOMINAL_P_EXPLORATORY	True
R-HSA-418594	G alpha (i) signalling events	higher_in_LYPLA1_high	11058	39	106	3	8.024673439767781	0.0060906576613356	NMU;PPBP;RGS13	DONE	NOMINAL_P_EXPLORATORY	True
R-HSA-2022854	Keratan sulfate biosynthesis	lower_in_LYPLA1_high	11058	92	15	2	16.026086956521738	0.006700326210046251	B3GNT7;FMOD	DONE	NOMINAL_P_EXPLORATORY	True
R-HSA-388396	GPCR downstream signalling	higher_in_LYPLA1_high	11058	39	222	4	5.108801108801108	0.007501130716900005	KISS1;NMU;PPBP;RGS13	DONE	NOMINAL_P_EXPLORATORY	True
R-HSA-163125	Post-translational modification: synthesis of GPI-anchored proteins	higher_in_LYPLA1_high	11058	39	39	2	14.540433925049308	0.00827180316250596	CD109;VNN1	DONE	NOMINAL_P_EXPLORATORY	True
R-HSA-6805567	Keratinization	higher_in_LYPLA1_high	11058	39	39	2	14.540433925049308	0.00827180316250596	CDSN;KRT7	DONE	NOMINAL_P_EXPLORATORY	True
R-HSA-6809371	Formation of the cornified envelope	higher_in_LYPLA1_high	11058	39	39	2	14.540433925049308	0.00827180316250596	CDSN;KRT7	DONE	NOMINAL_P_EXPLORATORY	True
R-HSA-2980736	Peptide hormone metabolism	higher_in_LYPLA1_high	11058	39	41	2	13.831144465290807	0.009113212269805146	DPP4;REN	DONE	NOMINAL_P_EXPLORATORY	True
R-HSA-372790	Signaling by GPCR	higher_in_LYPLA1_high	11058	39	244	4	4.648171500630517	0.010383360780825702	KISS1;NMU;PPBP;RGS13	DONE	NOMINAL_P_EXPLORATORY	True
R-HSA-399719	Trafficking of AMPA receptors	lower_in_LYPLA1_high	11058	92	19	2	12.652173913043478	0.010679105879445249	CACNG8;PRKCG	DONE	NOMINAL_P_EXPLORATORY	True
R-HSA-399721	Glutamate binding, activation of AMPA receptors and synaptic plasticity	lower_in_LYPLA1_high	11058	92	19	2	12.652173913043478	0.010679105879445249	CACNG8;PRKCG	DONE	NOMINAL_P_EXPLORATORY	True
R-HSA-6803157	Antimicrobial peptides	lower_in_LYPLA1_high	11058	92	20	2	12.019565217391303	0.011801960045986814	PRSS2;S100A7	DONE	NOMINAL_P_EXPLORATORY	True
R-HSA-1638074	Keratan sulfate/keratin metabolism	lower_in_LYPLA1_high	11058	92	22	2	10.92687747035573	0.014195167351717938	B3GNT7;FMOD	DONE	NOMINAL_P_EXPLORATORY	True
R-HSA-1483249	Inositol phosphate metabolism	lower_in_LYPLA1_high	11058	92	64	3	5.634171195652174	0.01611199231845651	ITPKA;ITPKB;PLCD1	DONE	NOMINAL_P_EXPLORATORY	True
R-HSA-449147	Signaling by Interleukins	higher_in_LYPLA1_high	11058	39	293	4	3.870832239432922	0.019172935455186686	IL1RN;MMP1;PIM1;PTGS2	DONE	NOMINAL_P_EXPLORATORY	True
R-HSA-76002	Platelet activation, signaling and aggregation	higher_in_LYPLA1_high	11058	39	162	3	5.250712250712251	0.01918240770129564	CD109;PLCG2;PPBP	DONE	NOMINAL_P_EXPLORATORY	True
R-HSA-1442490	Collagen degradation	lower_in_LYPLA1_high	11058	92	26	2	9.24581939799331	0.019547260035851156	COL1A2;PRSS2	DONE	NOMINAL_P_EXPLORATORY	True
R-HSA-381426	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	higher_in_LYPLA1_high	11058	39	64	2	8.860576923076923	0.021295107450703794	IGFBP6;MMP1	DONE	NOMINAL_P_EXPLORATORY	True
R-HSA-397014	Muscle contraction	lower_in_LYPLA1_high	11058	92	79	3	4.564391854705558	0.02798684496703461	CACNB2;CACNG8;DES	DONE	NOMINAL_P_EXPLORATORY	True
R-HSA-9031628	NGF-stimulated transcription	lower_in_LYPLA1_high	11058	92	33	2	7.284584980237154	0.030589617141699825	EGR2;REST	DONE	NOMINAL_P_EXPLORATORY	True
R-HSA-114608	Platelet degranulation	higher_in_LYPLA1_high	11058	39	79	2	7.178188899707887	0.031488395332937784	CD109;PPBP	DONE	NOMINAL_P_EXPLORATORY	True
R-HSA-3000178	ECM proteoglycans	lower_in_LYPLA1_high	11058	92	35	2	6.868322981366459	0.03410549433172629	COL1A2;FMOD	DONE	NOMINAL_P_EXPLORATORY	True
R-HSA-913709	O-linked glycosylation of mucins	lower_in_LYPLA1_high	11058	92	35	2	6.868322981366459	0.03410549433172629	B3GNT7;MUC5AC	DONE	NOMINAL_P_EXPLORATORY	True
R-HSA-76005	Response to elevated platelet cytosolic Ca2+	higher_in_LYPLA1_high	11058	39	83	2	6.832252085264133	0.03447527024005406	CD109;PPBP	DONE	NOMINAL_P_EXPLORATORY	True
