gene	kegg_gene	candidate_ids	status	in_any_pathway
PRSS2	hsa:5645	hsa:5645	PRIMARY_SYMBOL	True
NMU	hsa:10874	hsa:10874	PRIMARY_SYMBOL	True
SOD3	hsa:6649	hsa:6649	PRIMARY_SYMBOL	False
S100A7	hsa:6278	hsa:6278	PRIMARY_SYMBOL	True
SCEL	hsa:8796	hsa:8796	PRIMARY_SYMBOL	False
KCTD12	hsa:115207	hsa:115207	PRIMARY_SYMBOL	False
NOP53	hsa:29997	hsa:29997	PRIMARY_SYMBOL	False
IER3	hsa:8870	hsa:8870	PRIMARY_SYMBOL	False
FAM3D	hsa:131177	hsa:131177	PRIMARY_SYMBOL	False
CDC42EP5	hsa:148170	hsa:148170	PRIMARY_SYMBOL	False
NRARP	hsa:441478	hsa:441478	PRIMARY_SYMBOL	True
ORM1	hsa:5004	hsa:5004	PRIMARY_SYMBOL	False
LGALS4	hsa:3960	hsa:3960	PRIMARY_SYMBOL	False
SLC2A1	hsa:6513	hsa:6513	PRIMARY_SYMBOL	True
DES	hsa:1674	hsa:1674	PRIMARY_SYMBOL	True
PRNP	hsa:5621	hsa:5621	PRIMARY_SYMBOL	True
ST6GALNAC1	hsa:55808	hsa:55808	PRIMARY_SYMBOL	True
PHGR1	hsa:644844	hsa:644844	PRIMARY_SYMBOL	False
PMEPA1	hsa:56937	hsa:56937	PRIMARY_SYMBOL	False
RPL28	hsa:6158	hsa:6158	PRIMARY_SYMBOL	True
CACNG8	hsa:59283	hsa:59283	PRIMARY_SYMBOL	True
CMTM6	hsa:54918	hsa:54918	PRIMARY_SYMBOL	False
PTGS2	hsa:5743	hsa:5743	PRIMARY_SYMBOL	True
KITLG	hsa:4254	hsa:4254	PRIMARY_SYMBOL	True
PIM1	hsa:5292	hsa:5292	PRIMARY_SYMBOL	True
ADIRF	hsa:10974	hsa:10974	PRIMARY_SYMBOL	False
RPS18	hsa:6222	hsa:6222	PRIMARY_SYMBOL	True
RPS27	hsa:6232	hsa:6232	PRIMARY_SYMBOL	True
NXPE1	hsa:120400	hsa:120400	PRIMARY_SYMBOL	False
MAL2	hsa:114569	hsa:114569	PRIMARY_SYMBOL	False
BEST2	hsa:54831	hsa:54831	PRIMARY_SYMBOL	True
C4BPB	hsa:725	hsa:725	PRIMARY_SYMBOL	True
RPL13	hsa:6137	hsa:6137	PRIMARY_SYMBOL	True
RPS9	hsa:6203	hsa:6203	PRIMARY_SYMBOL	True
RPS19	hsa:6223	hsa:6223	PRIMARY_SYMBOL	True
RPL37	hsa:6167	hsa:6167	PRIMARY_SYMBOL	True
TACSTD2	hsa:4070	hsa:4070	PRIMARY_SYMBOL	False
PRDX5	hsa:25824	hsa:25824	PRIMARY_SYMBOL	True
SMIM22	hsa:440335	hsa:440335	PRIMARY_SYMBOL	False
RAD21	hsa:5885	hsa:5885	PRIMARY_SYMBOL	True
NCEH1	hsa:57552	hsa:57552	PRIMARY_SYMBOL	True
ADAM9	hsa:8754	hsa:8754	PRIMARY_SYMBOL	True
NPTX2	hsa:4885	hsa:4885	PRIMARY_SYMBOL	False
RPL36	hsa:25873	hsa:25873	PRIMARY_SYMBOL	True
BTG2	hsa:7832	hsa:7832	PRIMARY_SYMBOL	True
AP001626.1			UNMAPPED	False
GBP2	hsa:2634	hsa:2634	PRIMARY_SYMBOL	True
ERO1A	hsa:30001	hsa:30001	PRIMARY_SYMBOL	True
ZC3H12A	hsa:80149	hsa:80149	PRIMARY_SYMBOL	False
BMX	hsa:660	hsa:660	PRIMARY_SYMBOL	False
JUN	hsa:3725	hsa:3725	PRIMARY_SYMBOL	True
TMEM238	hsa:388564	hsa:388564	PRIMARY_SYMBOL	False
IL1RN	hsa:3557	hsa:3557	PRIMARY_SYMBOL	True
IFI27	hsa:3429	hsa:3429	PRIMARY_SYMBOL	False
DUSP1	hsa:1843	hsa:1843	PRIMARY_SYMBOL	True
HSPA1B	hsa:3304	hsa:3304	PRIMARY_SYMBOL	True
UBB	hsa:7314	hsa:7314	PRIMARY_SYMBOL	True
IGFBP6	hsa:3489	hsa:3489	PRIMARY_SYMBOL	False
FXYD3	hsa:5349	hsa:5349	PRIMARY_SYMBOL	False
CYBA	hsa:1535	hsa:1535	PRIMARY_SYMBOL	True
ZFP36	hsa:7538	hsa:7538	PRIMARY_SYMBOL	True
YWHAG	hsa:7532	hsa:7532	PRIMARY_SYMBOL	True
RPS5	hsa:6193	hsa:6193	PRIMARY_SYMBOL	True
RPS11	hsa:6205	hsa:6205	PRIMARY_SYMBOL	True
NFKBIA	hsa:4792	hsa:4792	PRIMARY_SYMBOL	True
HSPA1A	hsa:3303	hsa:3303	PRIMARY_SYMBOL	True
SMIM24	hsa:284422	hsa:284422	PRIMARY_SYMBOL	False
PSAT1	hsa:29968	hsa:29968	PRIMARY_SYMBOL	True
TRAPPC6A	hsa:79090	hsa:79090	PRIMARY_SYMBOL	False
CDC25B	hsa:994	hsa:994	PRIMARY_SYMBOL	True
RPS15	hsa:6209	hsa:6209	PRIMARY_SYMBOL	True
SLCO4A1-AS1			UNMAPPED	False
AVIL	hsa:10677	hsa:10677	PRIMARY_SYMBOL	False
ADGRF1	hsa:266977	hsa:266977	PRIMARY_SYMBOL	False
EDN3	hsa:1908	hsa:1908	PRIMARY_SYMBOL	True
RPL13A	hsa:23521	hsa:23521	PRIMARY_SYMBOL	True
MEP1A	hsa:4224	hsa:4224	PRIMARY_SYMBOL	True
