pathway	pval	log2err	ES	NES	size	leadingEdge	pathway_id	selected	status	reason
Coronavirus disease	2.94680082382658e-33	1.50238688881415	-0.693850797427344	-3.16413618982426	157	RPL28;RPS18;RPS27;RPL13;RPS9;RPS19;RPL37;RPL36;JUN;RPS5;RPS11;NFKBIA;RPS15;RPL13A;RPS2;RPL10;RPL18A;RPL29;RPL27A;RPL3;RPL10A;RPL36A;RPL14;RPS17;RPS12;RPL34;RPL32;RPL35A;RPL18;RPS3;RPL7A;RPLP1;RPS6;RPS14;RPL37A;RPS16;RPS21;RPS23;RPL11;RPL12;RPL19;PRKCG;RPL39;RPS10;RPL35;RPL38;RPS4X;RPS15A;RPS8;RPS28;RPS24;UBA52;RPL6;FOS;RPS25;RPL21;RPL30;RPLP2;RPL24;RPL26;RPL41;MAPK3;RPS29;STAT1;RPL22;IKBKE;HBEGF;RPLP0;FAU;RPL23A;TMEM173;RPL9;TNFRSF1A;RPS3A;RPS27A;RPL36AL;RPS26;RPL5;RPL8;RPL31;DDX58;RPL17;C3;IRF3;RPSA;RPS13	hsa05171	TRUE	DONE	NOMINAL_P_ONLY
Ribosome	2.57384094558641e-32	1.47456250139425	-0.682176096064711	-3.13000276927068	164	RPL28;RPS18;RPS27;RPL13;RPS9;RPS19;RPL37;RPL36;RPS5;RPS11;RPS15;RPL13A;RPS2;RPL10;RPL18A;RPL29;RPL27A;RPL3;RACK1;RPL10A;RPL36A;RPL14;RPS17;RPS12;RPL34;RPL32;RPL35A;RPL18;RPS3;RPL7A;RPLP1;RPS6;RPS14;RPL37A;RPS16;RPS21;RPS23;RPL11;RPL12;RPL19;RPL39;RPS10;RPL35;RPL38;RPS4X;RPS15A;RPS8;RPS28;MRPS25;RPS24;UBA52;RPL6;RPS25;RPL21;GADD45GIP1;RPL30;MRPL52;RPLP2;RPL24;RPL26;RPL41;RPS29;MRPS33;RPL22;AURKAIP1;RPLP0;FAU;RPL23A;RPL9;MRPL34;MRPS26;RPS3A;RPS27A;RPL36AL;MRPL27;MRPS21;MRPL40;RPS26;RPL5;MRPS18A;RPL8;RPL31;RPL17	hsa03010	TRUE	DONE	NOMINAL_P_ONLY
Ribosome biogenesis in eukaryotes	4.36207670179938e-06	0.610526878385931	0.489931166169565	2.07626854623488	71	NOP58;DKC1;UTP4;WDR36;XPO1;UTP14A;WDR3;MDN1;BMS1;WDR75;RAN;RBM28;AK6;XRN2;EMG1;LSG1;SBDS;UTP15;UTP18;POP1;GTPBP4;REXO2;RPP25L;UTP6;WDR43;RPP30;NXF1;SNU13;POP4;CSNK2B;EIF6;FCF1;XRN1	hsa03008	TRUE	DONE	NOMINAL_P_ONLY
Nucleocytoplasmic transport	5.79661938983935e-05	0.557332238758646	0.426755271709613	1.89896674191428	95	NDC1;IPO5;ALYREF;KPNA1;TMEM33;XPOT;XPO1;IPO7;NUP188;GLE1;RAN;TNPO2;TNPO1;XPO7;KPNA3;SUMO1;THOC2;TNPO3;UPF2;RANGAP1;NUP50;KPNB1;ACIN1;NUP35;SEH1L;DDX19A;THOC1;NUP85;IPO9;NUP93;MAGOHB;NXF1;NCBP1;PYM1;NUP133;SUMO3	hsa03013	TRUE	DONE	NOMINAL_P_ONLY
One carbon pool by folate	0.000119545004009597	0.538434096309916	0.660743861373431	2.10720171875384	21	MTHFD2;TYMS;DHFR;MAT2A;AHCYL1;MTHFD1L;MAT2B;SHMT2;ATIC;GART	hsa00670	TRUE	DONE	NOMINAL_P_ONLY
Efferocytosis	0.000256276150219138	0.49849310876659	0.393132182814281	1.7660510096382	100	SLC2A1;PTGS2;ADAM9;RAB14;MFGE8;ADAM17;CD47;ATP11A;ITGAV;ALOX5;MAPKAPK2;RAC1;ATP11C;DUSP7;SGK1;SLC16A1;VPS16;TMEM30A;MAP2K1;RAB7A;JAK2;PPARD;PTPN11;TGFBRAP1;UQCRFS1;CD24;NFATC3;VPS11;DUSP5;CX3CL1	hsa04148	TRUE	DONE	NOMINAL_P_ONLY
Cell cycle	0.000359214933543903	0.49849310876659	0.349059914567703	1.65062410398937	140	RAD21;YWHAG;CDC25B;MAD2L1;CCNB2;YWHAH;PRKDC;PDS5A;BUB3;SKP2;E2F1;TFDP1;CDK4;ORC2;YWHAQ;ESCO2;CDK6;PTTG1;YWHAB;PDS5B;CDKN2A;PPP2R5E;MCM6;YWHAE;MAD2L1BP;SMAD2;RBL1;CCND1;BUB1B;DDX11;ORC6;CDK7;CDC20;CHEK1;ANAPC7;ANAPC13;CDK1;CCNA2;MCM5;CDC14A	hsa04110	TRUE	DONE	NOMINAL_P_ONLY
Cysteine and methionine metabolism	0.000365231443399901	0.49849310876659	0.536755233790657	1.95948008799039	36	PSAT1;LDHB;ENOPH1;LDHA;PHGDH;MAT2A;SMS;AHCYL1;KYAT3;ADI1;AMD1;MAT2B;GCLC	hsa00270	TRUE	DONE	NOMINAL_P_ONLY
Hippo signaling pathway	0.00112988067120299	0.45505986738723	0.369704066869656	1.67161011330491	104	YWHAG;PPP1CC;YWHAH;SAV1;ACTB;RASSF6;WWTR1;AREG;BIRC5;BMP4;YWHAQ;TP53BP2;DVL3;BIRC2;YWHAB;SMAD7;CDH1;LATS2;YWHAE;FBXW11;PRKCI;PARD6A;SMAD2;DLG5;CCND1;CSNK1E;CTNNA1;SMAD1;FZD1;BMP7;PPP1CA;PPP2R2A	hsa04390	TRUE	DONE	NOMINAL_P_ONLY
mRNA surveillance pathway	0.00162776809825702	0.45505986738723	0.401686750264956	1.7185896893275	75	PPP1CC;CPSF2;NUDT21;PAPOLA;ALYREF;GLE1;RNGTT;GSPT1;RNMT;ETF1;PPP2R5E;PPP2R3C;CPSF4;UPF2;WDR82;CSTF2;CPSF3;PPP1CA;PCF11;PPP2R2A;ACIN1;HBS1L;DDX19A;CSTF1;MAGOHB;NXF1;NCBP1;PYM1	hsa03015	TRUE	DONE	NOMINAL_P_ONLY
