pathway_id	pathway	background	direction	background_genes	selected_genes	pathway_tested_genes	overlap	fold_enrichment	p_value	overlap_genes	status	reason	selected
hsa02010	ABC transporters	all_tested	lower_in_LYPLA1_high	11058	276	22	4	7.284584980237154	0.0019477042962550112	ABCA1;ABCB10;ABCC5;ABCG1	DONE	NOMINAL_P_ONLY	True
hsa04080	Neuroactive ligand-receptor interaction	all_tested	lower_in_LYPLA1_high	11058	276	60	6	4.006521739130434	0.0037050445279627415	EDN1;EDN3;NPW;P2RX4;P2RY1;PRSS2	DONE	NOMINAL_P_ONLY	True
hsa04970	Salivary secretion	all_tested	lower_in_LYPLA1_high	11058	276	42	5	4.769668737060042	0.003733373429820215	BEST2;ITPR2;MUC5AC;PRKCG;PRKG1	DONE	NOMINAL_P_ONLY	True
hsa04974	Protein digestion and absorption	all_tested	lower_in_LYPLA1_high	11058	276	43	5	4.658746208291204	0.004140109210595347	COL16A1;COL1A2;COL27A1;MEP1A;PRSS2	DONE	NOMINAL_P_ONLY	True
hsa04020	Calcium signaling pathway	all_tested	lower_in_LYPLA1_high	11058	276	104	8	3.0819397993311037	0.004434440200932821	CAMK1D;ITPKA;ITPKB;ITPR2;P2RX4;PDGFA;PLCD1;PRKCG	DONE	NOMINAL_P_ONLY	True
hsa05206	MicroRNAs in cancer	all_tested	higher_in_LYPLA1_high	11058	158	125	6	3.359392405063291	0.009000569076137168	CDC25B;E2F1;PIM1;PLCG2;PTGS2;SERPINB5	DONE	NOMINAL_P_ONLY	True
hsa04060	Cytokine-cytokine receptor interaction	all_tested	higher_in_LYPLA1_high	11058	158	91	5	3.8454583391292254	0.009703524324664696	IL1RN;IL33;LIF;PPBP;TNFRSF10D	DONE	NOMINAL_P_ONLY	True
hsa04382	Cornified envelope formation	all_tested	higher_in_LYPLA1_high	11058	158	96	5	3.6451740506329116	0.012053605635972837	CDSN;CLDN2;KRT7;KRT80;PPL	DONE	NOMINAL_P_ONLY	True
hsa00270	Cysteine and methionine metabolism	all_tested	higher_in_LYPLA1_high	11058	158	36	3	5.832278481012659	0.014473113167452905	ENOPH1;PHGDH;PSAT1	DONE	NOMINAL_P_ONLY	True
hsa05200	Pathways in cancer	all_tested	higher_in_LYPLA1_high	11058	158	330	10	2.1208285385500574	0.01999554083948519	E2F1;EPAS1;HES5;KITLG;MMP1;PIM1;PLCG2;PTGS2;SKP2;SLC2A1	DONE	NOMINAL_P_ONLY	True
