cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	pathway_id	pathway	direction
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T155303Z_lypla1_kegg_v1	COAD_LYPLA1_KEGG_v1	KEGG_ORA_all_tested	NA	NA	NA	gene_set	8	8	fold_enrichment	7.284584980237154	NA	NA	0.001947704296255	NA	all_tested_lower_in_LYPLA1_high	312	DONE	NOMINAL_P_ONLY	KEGG_hsa_official	hsa02010	ABC transporters	lower_in_LYPLA1_high
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T155303Z_lypla1_kegg_v1	COAD_LYPLA1_KEGG_v1	KEGG_ORA_all_tested	NA	NA	NA	gene_set	8	8	fold_enrichment	4.006521739130434	NA	NA	0.0037050445279627	NA	all_tested_lower_in_LYPLA1_high	312	DONE	NOMINAL_P_ONLY	KEGG_hsa_official	hsa04080	Neuroactive ligand-receptor interaction	lower_in_LYPLA1_high
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T155303Z_lypla1_kegg_v1	COAD_LYPLA1_KEGG_v1	KEGG_ORA_all_tested	NA	NA	NA	gene_set	8	8	fold_enrichment	4.769668737060042	NA	NA	0.0037333734298202	NA	all_tested_lower_in_LYPLA1_high	312	DONE	NOMINAL_P_ONLY	KEGG_hsa_official	hsa04970	Salivary secretion	lower_in_LYPLA1_high
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T155303Z_lypla1_kegg_v1	COAD_LYPLA1_KEGG_v1	KEGG_ORA_all_tested	NA	NA	NA	gene_set	8	8	fold_enrichment	4.658746208291204	NA	NA	0.0041401092105953	NA	all_tested_lower_in_LYPLA1_high	312	DONE	NOMINAL_P_ONLY	KEGG_hsa_official	hsa04974	Protein digestion and absorption	lower_in_LYPLA1_high
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T155303Z_lypla1_kegg_v1	COAD_LYPLA1_KEGG_v1	KEGG_ORA_all_tested	NA	NA	NA	gene_set	8	8	fold_enrichment	3.081939799331104	NA	NA	0.0044344402009328	NA	all_tested_lower_in_LYPLA1_high	312	DONE	NOMINAL_P_ONLY	KEGG_hsa_official	hsa04020	Calcium signaling pathway	lower_in_LYPLA1_high
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T155303Z_lypla1_kegg_v1	COAD_LYPLA1_KEGG_v1	KEGG_ORA_all_tested	NA	NA	NA	gene_set	8	8	fold_enrichment	3.359392405063291	NA	NA	0.0090005690761371	NA	all_tested_higher_in_LYPLA1_high	312	DONE	NOMINAL_P_ONLY	KEGG_hsa_official	hsa05206	MicroRNAs in cancer	higher_in_LYPLA1_high
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T155303Z_lypla1_kegg_v1	COAD_LYPLA1_KEGG_v1	KEGG_ORA_all_tested	NA	NA	NA	gene_set	8	8	fold_enrichment	3.8454583391292254	NA	NA	0.0097035243246646	NA	all_tested_higher_in_LYPLA1_high	312	DONE	NOMINAL_P_ONLY	KEGG_hsa_official	hsa04060	Cytokine-cytokine receptor interaction	higher_in_LYPLA1_high
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T155303Z_lypla1_kegg_v1	COAD_LYPLA1_KEGG_v1	KEGG_ORA_all_tested	NA	NA	NA	gene_set	8	8	fold_enrichment	3.645174050632912	NA	NA	0.0120536056359728	NA	all_tested_higher_in_LYPLA1_high	312	DONE	NOMINAL_P_ONLY	KEGG_hsa_official	hsa04382	Cornified envelope formation	higher_in_LYPLA1_high
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T155303Z_lypla1_kegg_v1	COAD_LYPLA1_KEGG_v1	KEGG_ORA_all_tested	NA	NA	NA	gene_set	8	8	fold_enrichment	5.832278481012659	NA	NA	0.0144731131674529	NA	all_tested_higher_in_LYPLA1_high	312	DONE	NOMINAL_P_ONLY	KEGG_hsa_official	hsa00270	Cysteine and methionine metabolism	higher_in_LYPLA1_high
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T155303Z_lypla1_kegg_v1	COAD_LYPLA1_KEGG_v1	KEGG_ORA_all_tested	NA	NA	NA	gene_set	8	8	fold_enrichment	2.1208285385500574	NA	NA	0.0199955408394851	NA	all_tested_higher_in_LYPLA1_high	312	DONE	NOMINAL_P_ONLY	KEGG_hsa_official	hsa05200	Pathways in cancer	higher_in_LYPLA1_high
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T155303Z_lypla1_kegg_v1	COAD_LYPLA1_KEGG_v1	KEGG_ORA_all_tested	NA	NA	NA	gene_set	8	8	fold_enrichment	3.683544303797469	NA	NA	0.0232608469227349	NA	all_tested_higher_in_LYPLA1_high	312	DONE	NOMINAL_P_ONLY	KEGG_hsa_official	hsa04066	HIF-1 signaling pathway	higher_in_LYPLA1_high
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T155303Z_lypla1_kegg_v1	COAD_LYPLA1_KEGG_v1	KEGG_ORA_all_tested	NA	NA	NA	gene_set	8	8	fold_enrichment	3.035243741765481	NA	NA	0.024241651197921	NA	all_tested_lower_in_LYPLA1_high	312	DONE	NOMINAL_P_ONLY	KEGG_hsa_official	hsa04657	IL-17 signaling pathway	lower_in_LYPLA1_high
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T155303Z_lypla1_kegg_v1	COAD_LYPLA1_KEGG_v1	KEGG_ORA_all_tested	NA	NA	NA	gene_set	8	8	fold_enrichment	2.9459718670076724	NA	NA	0.0271743139649973	NA	all_tested_lower_in_LYPLA1_high	312	DONE	NOMINAL_P_ONLY	KEGG_hsa_official	hsa04625	C-type lectin receptor signaling pathway	lower_in_LYPLA1_high
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T155303Z_lypla1_kegg_v1	COAD_LYPLA1_KEGG_v1	KEGG_ORA_all_tested	NA	NA	NA	gene_set	8	8	fold_enrichment	3.409805735430157	NA	NA	0.0292509529554847	NA	all_tested_lower_in_LYPLA1_high	312	DONE	NOMINAL_P_ONLY	KEGG_hsa_official	hsa05410	Hypertrophic cardiomyopathy	lower_in_LYPLA1_high
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T155303Z_lypla1_kegg_v1	COAD_LYPLA1_KEGG_v1	KEGG_ORA_all_tested	NA	NA	NA	gene_set	8	8	fold_enrichment	7.367088607594937	NA	NA	0.0295866585107495	NA	all_tested_higher_in_LYPLA1_high	312	DONE	NOMINAL_P_ONLY	KEGG_hsa_official	hsa05143	African trypanosomiasis	higher_in_LYPLA1_high
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T155303Z_lypla1_kegg_v1	COAD_LYPLA1_KEGG_v1	KEGG_ORA_all_tested	NA	NA	NA	gene_set	8	8	fold_enrichment	6.99873417721519	NA	NA	0.0325708230177691	NA	all_tested_higher_in_LYPLA1_high	312	DONE	NOMINAL_P_ONLY	KEGG_hsa_official	hsa00260	Glycine, serine and threonine metabolism	higher_in_LYPLA1_high
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T155303Z_lypla1_kegg_v1	COAD_LYPLA1_KEGG_v1	KEGG_ORA_all_tested	NA	NA	NA	gene_set	8	8	fold_enrichment	6.99873417721519	NA	NA	0.0325708230177691	NA	all_tested_higher_in_LYPLA1_high	312	DONE	NOMINAL_P_ONLY	KEGG_hsa_official	hsa04392	Hippo signaling pathway - multiple species	higher_in_LYPLA1_high
COAD	Uhlitz_GSE166555	06_EXTERNAL	20260925T155303Z_lypla1_kegg_v1	COAD_LYPLA1_KEGG_v1	KEGG_ORA_all_tested	NA	NA	NA	gene_set	8	8	fold_enrichment	2.782306763285024	NA	NA	0.0336938898646442	NA	all_tested_lower_in_LYPLA1_high	312	DONE	NOMINAL_P_ONLY	KEGG_hsa_official	hsa04270	Vascular smooth muscle contraction	lower_in_LYPLA1_high
