gene	human_gene_id	current_direct	current_conditional	current_unresolved	historical_retained	identity_status	RNA_effect	RNA_p_value	RNA_q_value	RNA_status	Lee_display_top	Uhlitz_display_top	Lee_shared_top	Uhlitz_shared_top	descriptive_stable_concordance	counterevidence_or_limit_cn	Lee__source_status	Lee__reason	Lee__display_top	Lee__mechanical_top	Lee__top_n	Lee__top_detection	Lee__bootstrap	Uhlitz__source_status	Uhlitz__reason	Uhlitz__display_top	Uhlitz__mechanical_top	Uhlitz__top_n	Uhlitz__top_detection	Uhlitz__bootstrap
 [hsa:102724197]	hsa:102724197	False	True	True	True	NEEDS_REVIEW	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	暂不可定位	暂不可定位	暂不可定位	暂不可定位	False	NA	NOT_EVALUABLE	GENE_MISSING_OR_IDENTITY_HOLD	暂不可定位	NA	NA	NA	NA	NOT_EVALUABLE	GENE_MISSING_OR_IDENTITY_HOLD	暂不可定位	NA	NA	NA	NA
AADAT	hsa:51166	True	True	False	True	DONE	1.1175085363728539	0.001700340151651311	0.0034072964128421214	DONE	Epithelial cells	Pericytes	Epithelial	Stromal	False	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.06083703229117669	0.957	DONE	DESCRIPTIVE_ONLY	Pericytes	Pericytes	5	0.050047369950595756	0.946
AANAT	hsa:15	False	False	True	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	暂不可定位	暂不可定位	暂不可定位	暂不可定位	False	NA	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	B cells	22	0.0031443799690488512	0.853	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Plasma	11	0.005416681870173118	0.998
AASS	hsa:10157	False	True	False	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Stromal cells	Fibroblast	Stromal	Stromal	True	NA	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.09205098229094147	1.0	DONE	DESCRIPTIVE_ONLY	Fibroblast	Fibroblast	10	0.14535082310545133	0.619
ABAT	hsa:18	False	True	True	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Epithelial cells	Epithelial	Epithelial	Epithelial	False	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.08960870352639141	0.709	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.047171240659439256	0.556
ABCC1	hsa:4363	True	False	False	True	DONE	1.3651875430158649	6.591873045122917e-09	5.066887489907913e-08	DONE	Epithelial cells	Mast	Epithelial	Myeloid	False	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.16212314492884936	0.993	DONE	DESCRIPTIVE_ONLY	Mast	Mast	8	0.1360633998289381	0.975
ABCC4	hsa:10257	True	False	False	True	DONE	0.05956491226573652	0.8058023708196562	0.8299764419442459	DONE	Stromal cells	Mast	Stromal	Stromal	True	NA	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.13545345192246724	1.0	DONE	DESCRIPTIVE_ONLY	Mast	Mast	8	0.19257448552110554	0.841
ABCC5	hsa:10057	True	False	False	True	DONE	-0.0007380661772739431	0.9955035033809236	0.9955035033809237	DONE	Myeloids	Monocyte	Myeloid	Myeloid	False	NA	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.08614597971011954	0.613	DONE	DESCRIPTIVE_ONLY	Monocyte	Monocyte	12	0.11674127905825209	0.66
ABCG2	hsa:9429	True	False	False	True	DONE	-2.60010137817878	1.459939757889612e-12	8.354099725701668e-11	DONE	Stromal cells	Endothelial	Stromal	Stromal	False	NA	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.024627615816461678	0.688	DONE	DESCRIPTIVE_ONLY	Endothelial	Endothelial	7	0.1678375503102551	1.0
ABHD3	hsa:171586	True	True	False	False	DONE	-2.2206971080042504	1.3329370931940458e-11	3.12028455906788e-10	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.3683944440818149	0.847	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.20026794659079825	0.999
ACHE	hsa:43	True	False	False	True	DONE	-0.3929465586892317	0.00040427110909394996	0.000933630588266297	DONE	Epithelial cells	Pericytes	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.18641769129057198	1.0	DONE	DESCRIPTIVE_ONLY	Pericytes	Pericytes	5	0.07661726242371404	0.769
ACLY	hsa:47	True	False	False	True	DONE	0.8346034636629339	1.904870464992705e-09	1.7354117342936226e-08	DONE	Epithelial cells	Endothelial	Epithelial	Stromal	False	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.395186073850765	0.507	DONE	DESCRIPTIVE_ONLY	Endothelial	Endothelial	7	0.463826392747632	1.0
ACO1	hsa:48	True	True	True	True	DONE	0.3229016620181968	0.006093948397701947	0.010426523006034891	DONE	Stromal cells	Fibroblast	Stromal	Stromal	True	NA	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.1973318535366669	1.0	DONE	DESCRIPTIVE_ONLY	Fibroblast	Fibroblast	10	0.3470600610354605	1.0
ACO2	hsa:50	True	True	True	True	DONE	-0.9658685023907999	3.2026115883761266e-13	4.123362420034263e-11	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.5161410275470483	1.0	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.31698909109112455	0.935
ACOD1	hsa:730249	True	False	False	True	DONE	-0.04860800279189879	0.7773847047992566	0.8102140786288381	DONE	暂不可定位	Monocyte	暂不可定位	Myeloid	False	NA	NOT_EVALUABLE	GENE_MISSING_OR_IDENTITY_HOLD	暂不可定位	NA	NA	NA	NA	DONE	DESCRIPTIVE_ONLY	Monocyte	Monocyte	12	0.07632268983834857	1.0
ACOT8	hsa:10005	True	True	False	False	DONE	-0.42401262788466365	0.0030340440539112267	0.00568193704641557	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.384805132561228	1.0	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.13703594144230155	0.906
ACSF3	hsa:197322	True	False	False	False	DONE	-0.1819518723915944	0.022946693597778702	0.03425376000827835	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.22052694509559423	1.0	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.17050805462937282	0.998
ACYP1	hsa:97	False	False	True	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Epithelial cells	Pericytes	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.29399912635832526	1.0	DONE	DESCRIPTIVE_ONLY	Pericytes	Pericytes	5	0.2012109851787271	0.846
ACYP2	hsa:98	False	False	True	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Stromal cells	Pericytes	Stromal	Myeloid	False	NA	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.16845115943836675	0.598	DONE	DESCRIPTIVE_ONLY	Pericytes	Pericytes	5	0.197153443766347	0.503
ADA	hsa:100	True	False	False	True	DONE	1.0079503918325579	5.008718970357108e-06	1.7312015233113497e-05	DONE	T cells	Endothelial	Tcells	Tcells	True	NA	DONE	DESCRIPTIVE_ONLY	T cells	T cells	23	0.12975116657364635	0.995	DONE	DESCRIPTIVE_ONLY	Endothelial	Endothelial	7	0.2257162439713834	0.613
ADA2	hsa:51816	True	False	False	True	DONE	-1.346197010958427	6.768294924291729e-06	2.220173175802701e-05	DONE	暂不可定位	Monocyte	暂不可定位	Myeloid	False	NA	NOT_EVALUABLE	GENE_MISSING_OR_IDENTITY_HOLD	暂不可定位	NA	NA	NA	NA	DONE	DESCRIPTIVE_ONLY	Monocyte	Monocyte	12	0.6193755219436533	1.0
ADHFE1	hsa:137872	False	True	False	False	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	暂不可定位	暂不可定位	暂不可定位	暂不可定位	False	NA	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	T cells	23	0.007170740530662974	1.0	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Tcells	12	0.002000766813386029	0.639
ADK	hsa:132	True	False	False	True	DONE	0.8471459552545461	1.4682925169209742e-06	5.601264046031865e-06	DONE	Epithelial cells	Bcells	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.40075089131059516	1.0	DONE	DESCRIPTIVE_ONLY	Bcells	Bcells	11	0.1235833906755898	0.813
ADO	hsa:84890	True	False	False	True	DONE	0.4494201576402886	1.6747303187575224e-06	6.29551908146076e-06	DONE	Stromal cells	Endothelial	Stromal	Epithelial	False	NA	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.08926264388400709	0.705	DONE	DESCRIPTIVE_ONLY	Endothelial	Endothelial	7	0.14053122574940274	0.452
ADPGK	hsa:83440	True	False	False	True	DONE	-0.3358698464874487	0.05837387863720241	0.07932070579989246	DONE	Myeloids	Monocyte	Myeloid	Myeloid	True	NA	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.3143589935411301	1.0	DONE	DESCRIPTIVE_ONLY	Monocyte	Monocyte	12	0.4129923762640397	1.0
ADPRM	hsa:56985	True	False	False	False	DONE	-0.7151106293542521	5.493980085776564e-07	2.397796393368585e-06	DONE	Stromal cells	Bcells	Stromal	Tcells	False	NA	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.08086203768068723	0.987	DONE	DESCRIPTIVE_ONLY	Bcells	Bcells	11	0.03777127283881035	0.498
ADSL	hsa:158	True	False	False	True	DONE	0.5935027382009846	0.00017016322452918244	0.00042748322259770225	DONE	Stromal cells	暂不可定位	Stromal	暂不可定位	False	NA	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.29366506934933173	0.801	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Pericytes	5	0.004	0.557
ADSS1	hsa:122622	True	False	False	True	DONE	-1.0857598181051455	3.3703375211422844e-06	1.1970509126815699e-05	DONE	暂不可定位	暂不可定位	暂不可定位	暂不可定位	False	NA	NOT_EVALUABLE	GENE_MISSING_OR_IDENTITY_HOLD	暂不可定位	NA	NA	NA	NA	NOT_EVALUABLE	GENE_MISSING_OR_IDENTITY_HOLD	暂不可定位	NA	NA	NA	NA
ADSS2	hsa:159	True	False	False	True	DONE	0.3184567294790425	8.333692588231354e-05	0.00022009495809944347	DONE	Epithelial cells	Endothelial	Epithelial	Epithelial	False	ADSS1、ADSL及其他癌种结果不能替代；未命中不等于无功能	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.4421692361123208	0.742	DONE	DESCRIPTIVE_ONLY	Endothelial	Endothelial	7	0.31785125541680553	0.942
AFMID	hsa:125061	True	False	False	True	DONE	0.3699361315435083	0.022203488849798822	0.033240688248972076	DONE	Epithelial cells	Endothelial	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.2836997674598675	0.996	DONE	DESCRIPTIVE_ONLY	Endothelial	Endothelial	7	0.18466972187607675	0.618
AGMAT	hsa:79814	True	False	False	True	DONE	0.7008241684993027	0.0005802236946511412	0.0012769880459202467	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.2282152299492025	1.0	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.10108834355245017	1.0
AGXT	hsa:189	False	True	False	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.016877272991594024	1.0	DONE	DESCRIPTIVE_ONLY	Epithelial	Epithelial	12	0.01204470770976071	0.998
AGXT2	hsa:64902	True	True	False	True	DONE	-0.5258507161057603	0.008169549666468814	0.013571993800746578	DONE	暂不可定位	暂不可定位	暂不可定位	暂不可定位	False	NA	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Epithelial cells	22	2.998320940273447e-05	0.6984000000000025	NOT_EVALUABLE	GENE_MISSING_OR_IDENTITY_HOLD	暂不可定位	NA	NA	NA	NA
