gene	human_gene_id	current_direct	current_conditional	current_unresolved	historical_retained	identity_status	RNA_effect	RNA_p_value	RNA_q_value	RNA_status	Lee_display_top	Uhlitz_display_top	Lee_shared_top	Uhlitz_shared_top	descriptive_stable_concordance	counterevidence_or_limit_cn
 [hsa:102724197]	hsa:102724197	False	True	True	True	NEEDS_REVIEW	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	暂不可定位	暂不可定位	暂不可定位	暂不可定位	False	NA
AADAT	hsa:51166	True	True	False	True	DONE	1.1175085363728539	0.001700340151651311	0.0034072964128421214	DONE	Epithelial cells	Pericytes	Epithelial	Stromal	False	NA
AANAT	hsa:15	False	False	True	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	暂不可定位	暂不可定位	暂不可定位	暂不可定位	False	NA
AASS	hsa:10157	False	True	False	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Stromal cells	Fibroblast	Stromal	Stromal	True	NA
ABAT	hsa:18	False	True	True	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Epithelial cells	Epithelial	Epithelial	Epithelial	False	NA
ABCC1	hsa:4363	True	False	False	True	DONE	1.3651875430158649	6.591873045122917e-09	5.066887489907913e-08	DONE	Epithelial cells	Mast	Epithelial	Myeloid	False	NA
ABCC4	hsa:10257	True	False	False	True	DONE	0.05956491226573652	0.8058023708196562	0.8299764419442459	DONE	Stromal cells	Mast	Stromal	Stromal	True	NA
ABCC5	hsa:10057	True	False	False	True	DONE	-0.0007380661772739431	0.9955035033809236	0.9955035033809237	DONE	Myeloids	Monocyte	Myeloid	Myeloid	False	NA
ABCG2	hsa:9429	True	False	False	True	DONE	-2.60010137817878	1.459939757889612e-12	8.354099725701668e-11	DONE	Stromal cells	Endothelial	Stromal	Stromal	False	NA
ABHD3	hsa:171586	True	True	False	False	DONE	-2.2206971080042504	1.3329370931940458e-11	3.12028455906788e-10	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA
ACHE	hsa:43	True	False	False	True	DONE	-0.3929465586892317	0.00040427110909394996	0.000933630588266297	DONE	Epithelial cells	Pericytes	Epithelial	Epithelial	True	NA
ACLY	hsa:47	True	False	False	True	DONE	0.8346034636629339	1.904870464992705e-09	1.7354117342936226e-08	DONE	Epithelial cells	Endothelial	Epithelial	Stromal	False	NA
ACO1	hsa:48	True	True	True	True	DONE	0.3229016620181968	0.006093948397701947	0.010426523006034891	DONE	Stromal cells	Fibroblast	Stromal	Stromal	True	NA
ACO2	hsa:50	True	True	True	True	DONE	-0.9658685023907999	3.2026115883761266e-13	4.123362420034263e-11	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA
ACOD1	hsa:730249	True	False	False	True	DONE	-0.04860800279189879	0.7773847047992566	0.8102140786288381	DONE	暂不可定位	Monocyte	暂不可定位	Myeloid	False	NA
ACOT8	hsa:10005	True	True	False	False	DONE	-0.42401262788466365	0.0030340440539112267	0.00568193704641557	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA
ACSF3	hsa:197322	True	False	False	False	DONE	-0.1819518723915944	0.022946693597778702	0.03425376000827835	DONE	Epithelial cells	Epithelial	Epithelial	Epithelial	True	NA
ACYP1	hsa:97	False	False	True	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Epithelial cells	Pericytes	Epithelial	Epithelial	True	NA
ACYP2	hsa:98	False	False	True	True	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	Stromal cells	Pericytes	Stromal	Myeloid	False	NA
ADA	hsa:100	True	False	False	True	DONE	1.0079503918325579	5.008718970357108e-06	1.7312015233113497e-05	DONE	T cells	Endothelial	Tcells	Tcells	True	NA
ADA2	hsa:51816	True	False	False	True	DONE	-1.346197010958427	6.768294924291729e-06	2.220173175802701e-05	DONE	暂不可定位	Monocyte	暂不可定位	Myeloid	False	NA
ADHFE1	hsa:137872	False	True	False	False	DONE	NA	NA	NA	NOT_RUN_CURRENT_FAMILY	暂不可定位	暂不可定位	暂不可定位	暂不可定位	False	NA
ADK	hsa:132	True	False	False	True	DONE	0.8471459552545461	1.4682925169209742e-06	5.601264046031865e-06	DONE	Epithelial cells	Bcells	Epithelial	Epithelial	True	NA
ADO	hsa:84890	True	False	False	True	DONE	0.4494201576402886	1.6747303187575224e-06	6.29551908146076e-06	DONE	Stromal cells	Endothelial	Stromal	Epithelial	False	NA
ADPGK	hsa:83440	True	False	False	True	DONE	-0.3358698464874487	0.05837387863720241	0.07932070579989246	DONE	Myeloids	Monocyte	Myeloid	Myeloid	True	NA
ADPRM	hsa:56985	True	False	False	False	DONE	-0.7151106293542521	5.493980085776564e-07	2.397796393368585e-06	DONE	Stromal cells	Bcells	Stromal	Tcells	False	NA
ADSL	hsa:158	True	False	False	True	DONE	0.5935027382009846	0.00017016322452918244	0.00042748322259770225	DONE	Stromal cells	暂不可定位	Stromal	暂不可定位	False	NA
