gene	source_symbol	mapping_status	source_feature_index_0based
AADAT	AADAT	EXACT_SOURCE_SYMBOL	18.0
AANAT	AANAT	EXACT_SOURCE_SYMBOL	24.0
AASS	AASS	EXACT_SOURCE_SYMBOL	32.0
ABAT	ABAT	EXACT_SOURCE_SYMBOL	40.0
ABCC1	ABCC1	EXACT_SOURCE_SYMBOL	67.0
ABCC4	ABCC4	EXACT_SOURCE_SYMBOL	73.0
ABCC5	ABCC5	EXACT_SOURCE_SYMBOL	74.0
ABCG2	ABCG2	EXACT_SOURCE_SYMBOL	88.0
ABHD3	ABHD3	EXACT_SOURCE_SYMBOL	111.0
ACHE	ACHE	EXACT_SOURCE_SYMBOL	1729.0
ACLY	ACLY	EXACT_SOURCE_SYMBOL	1735.0
ACO1	ACO1	EXACT_SOURCE_SYMBOL	1737.0
ACO2	ACO2	EXACT_SOURCE_SYMBOL	1738.0
ACOD1	NA	SOURCE_GENE_NOT_FOUND	NA
ACOT8	ACOT8	EXACT_SOURCE_SYMBOL	1747.0
ACSF3	ACSF3	EXACT_SOURCE_SYMBOL	1767.0
ACYP1	ACYP1	EXACT_SOURCE_SYMBOL	1825.0
ACYP2	ACYP2	EXACT_SOURCE_SYMBOL	1826.0
ADA	ADA	EXACT_SOURCE_SYMBOL	1830.0
ADA2	NA	SOURCE_GENE_NOT_FOUND	NA
ADHFE1	ADHFE1	EXACT_SOURCE_SYMBOL	1951.0
ADK	ADK	EXACT_SOURCE_SYMBOL	1959.0
ADO	ADO	EXACT_SOURCE_SYMBOL	1966.0
ADPGK	ADPGK	EXACT_SOURCE_SYMBOL	1972.0
ADPRM	ADPRM	EXACT_SOURCE_SYMBOL	1977.0
ADSL	ADSL	EXACT_SOURCE_SYMBOL	1990.0
ADSS1	NA	SOURCE_GENE_NOT_FOUND	NA
ADSS2	ADSS	HGNC_CONFIRMED_PREVIOUS_SYMBOL	1991.0
AFMID	AFMID	EXACT_SOURCE_SYMBOL	2065.0
AGMAT	AGMAT	EXACT_SOURCE_SYMBOL	2091.0
AGXT	AGXT	EXACT_SOURCE_SYMBOL	2112.0
AGXT2	AGXT2	EXACT_SOURCE_SYMBOL	2113.0
AHCY	AHCY	EXACT_SOURCE_SYMBOL	2115.0
AHCYL1	AHCYL1	EXACT_SOURCE_SYMBOL	2116.0
AHCYL2	AHCYL2	EXACT_SOURCE_SYMBOL	2117.0
AK3	AK3	EXACT_SOURCE_SYMBOL	2158.0
AK4	AK4	EXACT_SOURCE_SYMBOL	2159.0
AK9	AK9	EXACT_SOURCE_SYMBOL	2164.0
AKR1A1	AKR1A1	EXACT_SOURCE_SYMBOL	2186.0
ALDH18A1	ALDH18A1	EXACT_SOURCE_SYMBOL	2287.0
ALDH1B1	ALDH1B1	EXACT_SOURCE_SYMBOL	2291.0
ALDH2	ALDH2	EXACT_SOURCE_SYMBOL	2296.0
ALDH3A1	ALDH3A1	EXACT_SOURCE_SYMBOL	2297.0
ALDH3A2	ALDH3A2	EXACT_SOURCE_SYMBOL	2298.0
ALDH3B1	ALDH3B1	EXACT_SOURCE_SYMBOL	2299.0
ALDH3B2	ALDH3B2	EXACT_SOURCE_SYMBOL	2300.0
