gene	cohort	source_status	reason	display_top	mechanical_top	top_n	top_detection	bootstrap
 [hsa:102724197]	Lee	NOT_EVALUABLE	GENE_MISSING_OR_IDENTITY_HOLD	暂不可定位	NA	NA	NA	NA
AADAT	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.06083703229117669	0.957
AANAT	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	B cells	22	0.0031443799690488512	0.853
AASS	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.09205098229094147	1.0
ABAT	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.08960870352639141	0.709
ABCC1	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.16212314492884936	0.993
ABCC4	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.13545345192246724	1.0
ABCC5	Lee	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.08614597971011954	0.613
ABCG2	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.024627615816461678	0.688
ABHD3	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.3683944440818149	0.847
ACHE	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.18641769129057198	1.0
ACLY	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.395186073850765	0.507
ACO1	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.1973318535366669	1.0
ACO2	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.5161410275470483	1.0
ACOD1	Lee	NOT_EVALUABLE	GENE_MISSING_OR_IDENTITY_HOLD	暂不可定位	NA	NA	NA	NA
ACOT8	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.384805132561228	1.0
ACSF3	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.22052694509559423	1.0
ACYP1	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.29399912635832526	1.0
ACYP2	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.16845115943836675	0.598
ADA	Lee	DONE	DESCRIPTIVE_ONLY	T cells	T cells	23	0.12975116657364635	0.995
ADA2	Lee	NOT_EVALUABLE	GENE_MISSING_OR_IDENTITY_HOLD	暂不可定位	NA	NA	NA	NA
ADHFE1	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	T cells	23	0.007170740530662974	1.0
ADK	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.40075089131059516	1.0
ADO	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.08926264388400709	0.705
ADPGK	Lee	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.3143589935411301	1.0
ADPRM	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.08086203768068723	0.987
ADSL	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.29366506934933173	0.801
ADSS1	Lee	NOT_EVALUABLE	GENE_MISSING_OR_IDENTITY_HOLD	暂不可定位	NA	NA	NA	NA
ADSS2	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.4421692361123208	0.742
AFMID	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.2836997674598675	0.996
AGMAT	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.2282152299492025	1.0
AGXT	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.016877272991594024	1.0
AGXT2	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Epithelial cells	22	2.998320940273447e-05	0.6984000000000025
AHCY	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.6950938078633736	1.0
AHCYL1	Lee	DONE	DESCRIPTIVE_ONLY	Stromal cells	Stromal cells	19	0.452918229297605	1.0
AHCYL2	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.14377909911708683	1.0
AK3	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.5604228729073948	0.628
AK4	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.3117533194254776	1.0
AK9	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.08105785671416793	0.761
AKR1A1	Lee	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.4631748265443954	0.796
ALDH18A1	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.40323920015722015	1.0
ALDH1B1	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.3148769054927291	0.998
ALDH2	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.6826173097999163	1.0
ALDH3A1	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.08090824050880772	1.0
ALDH3A2	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.35719963825426987	1.0
ALDH3B1	Lee	DONE	DESCRIPTIVE_ONLY	Myeloids	Myeloids	23	0.08803160182879324	0.998
ALDH3B2	Lee	NOT_EVALUABLE	INSUFFICIENT_TYPES_OR_TOP_DETECTION_BELOW_1_PERCENT	暂不可定位	Epithelial cells	22	0.008838382161104342	1.0
ALDH4A1	Lee	DONE	DESCRIPTIVE_ONLY	Epithelial cells	Epithelial cells	22	0.11041957326595608	1.0
