cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	human_gene_id	rna_symbol	relation_id	family_n_planned	reused_from	bootstrap_valid	permutations	random_seed	n_unique_metabolite	n_unique_rna	loo_valid	loo_min	loo_max	loo_max_abs_delta	loo_any_sign_change	input_sha256	role	display_family
COAD	CAMP_COAD	03_PATIENT	20260922T135816Z_source_contract_patient_v2	COAD_source_contract_patient_v2	association_primary	KEGG:C02918	1-methylnicotinamide	NNMT	GEO_explicit_individual	33	NA	Spearman_rho	0.4070855614973262	0.032699105850224855	0.7268169393995907	0.0219	0.7674216216216215	COAD_source_contract_patient_v2_association_primary	871.0	DONE	REUSED_AFTER_SOURCE_HASH_AND_VECTOR_CHECK	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:4837	NNMT	COAD|1-methylnicotinamide|KEGG:C02918|hsa:4837	891	patient_v1	4000	9999	2183380916	33	33	33	0.3618035190615836	0.5150293255131965	0.10794376401587025	False	7f9abb86aed6c6f7b2c96ae0bae39a1d9edc816312177e83e44f76d1bf0e20f7	基质背景	主分析
COAD	CAMP_COAD	03_PATIENT	20260922T135816Z_source_contract_patient_v2	COAD_source_contract_patient_v2	association_primary	KEGG:C01879	5-oxoproline	OPLAH	GEO_explicit_individual	33	NA	Spearman_rho	-0.04712566844919786	-0.37864596755586916	0.29666052727742903	0.7902	0.973108757062147	COAD_source_contract_patient_v2_association_primary	871.0	DONE	COMPUTED	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:26873	OPLAH	COAD|5-oxoproline|KEGG:C01879|hsa:26873	891	NA	4000	9999	3048185152	33	33	33	-0.12426686217008798	0.03409090909090909	0.08121657754010694	True	dbbf7a4fed8dd996be0134a74435120035d7f865b5bab90cb27ca5580aeb1856	新增未支持关系	主分析
COAD	CAMP_COAD	03_PATIENT	20260922T135816Z_source_contract_patient_v2	COAD_source_contract_patient_v2	association_primary	KEGG:C00147	adenine	AQP9	GEO_explicit_individual	33	NA	Spearman_rho	-0.38870320855614976	-0.6791920797846636	-0.03946098251555568	0.0248	0.7674216216216215	COAD_source_contract_patient_v2_association_primary	871.0	DONE	REUSED_AFTER_SOURCE_HASH_AND_VECTOR_CHECK	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:366	AQP9	COAD|adenine|KEGG:C00147|hsa:366	891	patient_v1	4000	9999	915443038	33	33	33	-0.5098973607038123	-0.3405425219941349	0.12119415214766255	False	f9ffdec9425f16dc1a11ab54fcc6abe81ca8a84198679d8ba12f2e32193ba7bb	髓系背景	主分析
COAD	CAMP_COAD	03_PATIENT	20260922T135816Z_source_contract_patient_v2	COAD_source_contract_patient_v2	association_primary	KEGG:C00152	asparagine	SLC38A3	GEO_explicit_individual	33	NA	Spearman_rho	0.4554190706967596	0.09432551572186498	0.7290670886450937	0.008	0.5039357142857143	COAD_source_contract_patient_v2_association_primary	871.0	DONE	REUSED_AFTER_SOURCE_HASH_AND_VECTOR_CHECK	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:10991	SLC38A3	COAD|asparagine|KEGG:C00152|hsa:10991	891	patient_v1	4000	9999	3459411297	33	32	33	0.4034460652999764	0.5185592543087839	0.06314018361202434	False	a8d59c835fe6116048a9d1e14be334e3dc3ffcc9108d2e4d3e8be480f9ca1ae3	低检出示例	主分析
COAD	CAMP_COAD	03_PATIENT	20260922T135816Z_source_contract_patient_v2	COAD_source_contract_patient_v2	association_primary	KEGG:C00051	glutathione, reduced (GSH)	GSTA1	GEO_explicit_individual	0	NA	Spearman_rho	NA	NA	NA	NA	NA	COAD_source_contract_patient_v2_association_primary	871.0	NOT_EVALUABLE	RNA_SYMBOL_UNAVAILABLE	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:2938	NA	COAD|glutathione, reduced (GSH)|KEGG:C00051|hsa:2938	891	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RNA缺项	主分析
COAD	CAMP_COAD	03_PATIENT	20260922T135816Z_source_contract_patient_v2	COAD_source_contract_patient_v2	association_primary	KEGG:C00051	glutathione, reduced (GSH)	GSTA4	GEO_explicit_individual	33	NA	Spearman_rho	-0.5324197860962567	-0.7494741697494872	-0.20771095346862894	0.0017	0.36582	COAD_source_contract_patient_v2_association_primary	871.0	DONE	REUSED_AFTER_SOURCE_HASH_AND_VECTOR_CHECK	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:2941	GSTA4	COAD|glutathione, reduced (GSH)|KEGG:C00051|hsa:2941	891	patient_v1	4000	9999	2458355873	33	33	33	-0.592741935483871	-0.4879032258064516	0.060322149387614266	False	289da7890a523e8aa968ba8805d2d64f758c706daecefa32471ecd21bf11e4cb	来源稳定性	主分析
COAD	CAMP_COAD	03_PATIENT	20260922T135816Z_source_contract_patient_v2	COAD_source_contract_patient_v2	association_primary	KEGG:C00388	histamine	HDC	GEO_explicit_individual	33	NA	Spearman_rho	0.5604946524064172	0.25396580027820914	0.7831953046370463	0.0021	0.36582	COAD_source_contract_patient_v2_association_primary	871.0	DONE	REUSED_AFTER_SOURCE_HASH_AND_VECTOR_CHECK	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:3067	HDC	COAD|histamine|KEGG:C00388|hsa:3067	891	patient_v1	4000	9999	3444124916	33	33	33	0.5271260997067448	0.6466275659824047	0.08613291357598751	False	176c87130437d1222f1cc6dbbf129dc1e5710defc0b7a5f892a5db5eec444d6d	覆盖边界	主分析
COAD	CAMP_COAD	03_PATIENT	20260922T135816Z_source_contract_patient_v2	COAD_source_contract_patient_v2	association_primary	KEGG:C00407	isoleucine	BCAT2	GEO_explicit_individual	33	NA	Spearman_rho	-0.4050802139037433	-0.6392708148186479	-0.09100507099562752	0.0214	0.7674216216216215	COAD_source_contract_patient_v2_association_primary	871.0	DONE	REUSED_AFTER_SOURCE_HASH_AND_VECTOR_CHECK	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:587	BCAT2	COAD|isoleucine|KEGG:C00407|hsa:587	891	patient_v1	4000	9999	3395648335	33	33	33	-0.47250733137829914	-0.3500733137829912	0.06742711747455582	False	511f15c425c9c59dcd02168fe8b7f353c2b5e724b0dcb5c187b497a9e2b5a3e4	历史名义关联	主分析
COAD	CAMP_COAD	03_PATIENT	20260922T135816Z_source_contract_patient_v2	COAD_source_contract_patient_v2	association_primary	KEGG:C00245	taurine	SLC6A6	GEO_explicit_individual	33	NA	Spearman_rho	0.356951871657754	-0.002681122745337129	0.6435703338906757	0.0405	0.7889250000000001	COAD_source_contract_patient_v2_association_primary	871.0	DONE	REUSED_AFTER_SOURCE_HASH_AND_VECTOR_CHECK	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:6533	SLC6A6	COAD|taurine|KEGG:C00245|hsa:6533	891	patient_v1	4000	9999	1486664831	33	33	33	0.29472140762463345	0.40579178885630496	0.06223046403312055	False	e39ee1ba13294e7eb69036803fd9bbcb3fc527a87ca97ba0d5de6d87b132cb72	多来源背景	主分析
COAD	CAMP_COAD	03_PATIENT	20260922T135816Z_source_contract_patient_v2	COAD_source_contract_patient_v2	association_primary	KEGG:C00299	uridine	UCKL1	GEO_explicit_individual	33	NA	Spearman_rho	-0.490975935828877	-0.7063900354983729	-0.15967162292913123	0.0041	0.5039357142857143	COAD_source_contract_patient_v2_association_primary	871.0	DONE	REUSED_AFTER_SOURCE_HASH_AND_VECTOR_CHECK	GSE89076.Agilent8x60K.log2_transformed.gene_symbol.csv;PreprocessedData_COAD.xlsx	hsa:54963	UCKL1	COAD|uridine|KEGG:C00299|hsa:54963	891	patient_v1	4000	9999	704500058	33	33	33	-0.530791788856305	-0.44171554252199413	0.049260393306882866	False	994500c01c1b923231efa3a857e5e9ca63bd522e0bd401cf87528feb26e32b28	上皮背景	主分析
