cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	study	partition	celltype	human_gene_id	n_donors	n_cells	mean_expression	mean_detection_fraction	expression_scale	row_scaled
COAD	Uhlitz	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	ALDOB	author_source_donor_label	11	NA	donor_equal_mean_log1p_CP10K	0.006433809044342652	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Uhlitz original count matrix and annotation	Uhlitz	ALL	Bcells	hsa:229	11	1948	0.006433809044342652	0.003876899409298047	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	0.027055852443311188
COAD	Uhlitz	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	ALDOC	author_source_donor_label	11	NA	donor_equal_mean_log1p_CP10K	0.00022560502226956952	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Uhlitz original count matrix and annotation	Uhlitz	ALL	Bcells	hsa:230	11	1948	0.00022560502226956952	0.000225022502250225	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	0.11195252046610078
COAD	Uhlitz	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	ALG5	author_source_donor_label	11	NA	donor_equal_mean_log1p_CP10K	0.12286235675743475	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Uhlitz original count matrix and annotation	Uhlitz	ALL	Bcells	hsa:29880	11	1948	0.12286235675743475	0.08337270592403796	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	0.24417501275708414
COAD	Uhlitz	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	ALLC	author_source_donor_label	11	NA	donor_equal_mean_log1p_CP10K	NA	NA	NA	NA	NA	NA:descriptive only	NA	NOT_EVALUABLE	GENE_MISSING_OR_IDENTITY_HOLD	Uhlitz original count matrix and annotation	Uhlitz	ALL	Bcells	hsa:55821	11	1948	NA	NA	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	NA
COAD	Uhlitz	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	AMD1	author_source_donor_label	11	NA	donor_equal_mean_log1p_CP10K	0.8951212473370447	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Uhlitz original count matrix and annotation	Uhlitz	ALL	Bcells	hsa:262	11	1948	0.8951212473370447	0.4728684877041406	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	0.9533500881764801
COAD	Uhlitz	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	AMDHD2	author_source_donor_label	11	NA	donor_equal_mean_log1p_CP10K	0.04807061901481036	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Uhlitz original count matrix and annotation	Uhlitz	ALL	Bcells	hsa:51005	11	1948	0.04807061901481036	0.034632201124574886	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	0.6882299836513299
COAD	Uhlitz	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	AMPD1	author_source_donor_label	11	NA	donor_equal_mean_log1p_CP10K	0.0	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Uhlitz original count matrix and annotation	Uhlitz	ALL	Bcells	hsa:270	11	1948	0.0	0.0	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	0.0
COAD	Uhlitz	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	AMPD2	author_source_donor_label	11	NA	donor_equal_mean_log1p_CP10K	0.043957001209462124	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Uhlitz original count matrix and annotation	Uhlitz	ALL	Bcells	hsa:271	11	1948	0.043957001209462124	0.026303182199304467	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	0.14583962612058685
COAD	Uhlitz	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	AMPD3	author_source_donor_label	11	NA	donor_equal_mean_log1p_CP10K	0.07235236509755208	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Uhlitz original count matrix and annotation	Uhlitz	ALL	Bcells	hsa:272	11	1948	0.07235236509755208	0.0454011447889581	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	0.32300762387487136
COAD	Uhlitz	06_EXTERNAL	20260922T141755Z_source_contract_sc_v2	COAD_source_contract_sc_v2	sc_expression_source	NA	NA	ANKH	author_source_donor_label	11	NA	donor_equal_mean_log1p_CP10K	0.10807199019876493	NA	NA	NA	NA	NA:descriptive only	NA	DONE	DESCRIPTIVE_SOURCE_ONLY	Uhlitz original count matrix and annotation	Uhlitz	ALL	Bcells	hsa:56172	11	1948	0.10807199019876493	0.07247903033625971	per_cell_log1p_10000_full_gene_UMI_then_donor_mean	0.39654507401065464
