metabolite_name	metabolite_key	selected_paired_P_lt_005	paired_P	paired_q	up_pairs	down_pairs	equal_pairs	both_observed_pairs	original_effect	original_q	mapping_state	direct_relations	conditional_relations	unresolved_relations	identity_status	identity_note	legacy_feature	genes
S-adenosylmethionine (SAM)	KEGG:C00019	True	1.0246143586016148e-06	1.8101520335295194e-05	32	1	0	31	1.58687135491014	9.78479129514819e-08	HAS_DIRECT_RELATIONS	19	61	6	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	AMD1;ASMT;CARNMT1;COMT;COQ3;COQ5;GAMT;GNMT;HNMT;INMT;LRTOMT;MAT1A;MAT2A;MOCS1;NNMT;PEMT;PNMT;SLC25A26;TPMT
glutathione, reduced (GSH)	KEGG:C00051	True	0.005769889487713442	0.012232165713952496	25	8	0	31	0.723546364233653	0.00137962772378558	HAS_DIRECT_RELATIONS	50	1	3	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	ABCC1;ABCC4;CHAC1;CHAC2;CLIC1;CLIC2;ESD;ETHE1;GGT1;GGT5;GGT6;GGT7;GLO1;GPX1;GPX2;GPX3;GPX4;GPX5;GPX6;GSR;GSS;GSTA1;GSTA2;GSTA3;GSTA4;GSTA5;GSTK1;GSTM1;GSTM2;GSTM3;GSTM4;GSTM5;GSTO1;GSTO2;GSTP1;GSTT1;GSTT2;GSTT2B;GSTT4;HAGH;HPGDS;LANCL1;LTC4S;MGST1;MGST2;MGST3;PRDX6;SLC25A39;SLC25A40;SQOR
beta-alanine	KEGG:C00099	True	7.110442835794288e-07	1.806440826697348e-05	32	1	0	33	2.22555471341831	3.39874265565443e-10	HAS_DIRECT_RELATIONS	16	0	12	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	AGMAT;AGXT2;CARNS1;CNDP1;CSAD;GADL1;GATM;SLC32A1;SLC36A1;SLC36A2;SLC6A11;SLC6A13;SLC6A14;SLC6A6;SLC7A10;UPB1
2-Deoxyglucose 6-phosphate	KEGG:C06369	True	0.0012026870288842505	0.0032411396202134887	20	6	7	15	0.659781947432759	0.0126783874309455	CONDITIONAL_IDENTITY	0	1	0	HOLD_EXPOSURE_OR_ANNOTATION_REVIEW	名称与 KEGG 的 2-deoxy-D-glucose 6-phosphate 相容，需核查原注释、测量与暴露背景。	True	NA
hypotaurine	KEGG:C00519	True	7.952884142692727e-07	1.806440826697348e-05	32	0	1	32	1.35836816796979	3.7774906946348e-08	HAS_DIRECT_RELATIONS	9	0	5	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	ADO;CSAD;FMO1;FMO3;GADL1;SLC6A1;SLC6A11;SLC6A13;SLC6A6
N-acetylglucosamine 6-phosphate	KEGG:C00357	True	7.609322951173988e-06	7.11695499550979e-05	29	4	0	32	1.2061475455854	1.51302088736128e-05	HAS_DIRECT_RELATIONS	4	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	AMDHD2;GNPNAT1;NAGK;PGM3
uracil	KEGG:C00106	True	0.0003896820816017588	0.0012401798153079935	25	6	2	24	0.735231055609736	0.00317493716792095	HAS_DIRECT_RELATIONS	7	0	1	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	AQP9;DPYD;SLC29A1;SLC29A2;SLC29A3;UPP1;UPP2
adenylosuccinate	KEGG:C03794	True	0.0013399868070180538	0.003492752496981484	24	9	0	28	0.723072982975468	0.00103594092695614	HAS_DIRECT_RELATIONS	3	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	ADSL;ADSS1;ADSS2
cysteine-glutathione disulfide	KEGG:R00900	True	0.0067899142179925894	0.014020731956634048	24	9	0	32	0.592489232663605	0.0295374808693407	CONDITIONAL_IDENTITY	0	0	0	HOLD_REACTION_ID_IN_COMPOUND_FIELD	原 R00900 是反应编号，其方程中的 C05526 为拟议化合物标识；不修改原键，需回查源注释。	True	NA
cytidine 5'-diphosphocholine	KEGG:C00307	True	4.804664723336784e-05	0.0002632865028078734	29	4	0	29	1.20327326312888	7.43310822038562e-07	HAS_DIRECT_RELATIONS	5	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	ADPRM;CEPT1;CHPT1;PCYT1A;PCYT1B
N-acetylmethionine	KEGG:C02712	True	4.967669864299499e-05	0.0002632865028078734	21	3	9	12	0.760384400279365	0.0035199914001332	NO_DIRECT_HIT_IN_SCOPED_SEARCH	0	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	NA
hypoxanthine	KEGG:C00262	True	1.5954458124186302e-05	0.00012079804008312487	27	6	0	33	1.13415428000986	7.85844714558742e-05	HAS_DIRECT_RELATIONS	7	0	0	ORIGINAL_KEGG_NAME_COMPATIBLE	已对照本次 KEGG 名称/同义名；只支持注释相容，不是重新鉴定。原 HMDB 未完成全面交叉核验。	True	HPRT1;LACC1;PNP;SLC29A1;SLC29A2;SLC43A3;XDH
