dataset	cancer	feature_name	metabolite_standard_name	kegg_id	hmdb_id	metabolite_key	identity_confidence	super_pathway	sub_pathway	n_tumor	n_normal	missing_rate_tumor_raw	missing_rate_normal_raw	missing_rate_tumor_processed	missing_rate_normal_processed	tumor_mean_processed	normal_mean_processed	tumor_sd_processed	normal_sd_processed	author_log2_fc_tumor_vs_normal	wilcoxon_p	rank_biserial_tumor_vs_normal	hedges_g	hedges_g_variance	hedges_g_se	hedges_g_ci_lower	hedges_g_ci_upper	analysis_design	wilcoxon_fdr	duplicate_metabolite_key_within_dataset	meta_eligible	high_missing_flag
GBM	GBM	2-hydroxybutyrate (AHB)	2-hydroxybutyrate (AHB)	C05984	HMDB00008	KEGG:C05984	HIGH_ID	Amino acid	Cysteine, methionine, SAM, taurine metabolism	74	6	0.0	0.0	0	0	21.6764594594595	21.3345	0.620851121262019	0.692842767155723	0.345531342074309	0.31945156009516	0.247747747747748	0.54123574182596	0.182011030981617	0.426627508468004	-0.294954174771328	1.37742565842325	Unpaired; author supplied processed values; no new transformation	0.361489456713787	No	Yes	No
GBM	GBM	2-hydroxyglutarate	2-hydroxyglutarate	C02630	HMDB00606	KEGG:C02630	HIGH_ID	Lipid	Fatty Acid, Dicarboxylate	74	6	0.0	0.0	0	0	21.7232972972973	20.8511666666667	1.47802819156506	0.448147929445921	2.30318423632056	0.0398790641864644	0.509009009009009	0.602156927484491	0.182446386213415	0.427137432465729	-0.235032440148337	1.43934629511732	Unpaired; author supplied processed values; no new transformation	0.0595214528878277	No	Yes	No
GBM	GBM	3-hydroxybutyrate (BHBA)	3-hydroxybutyrate (BHBA)	C01089	HMDB00357	KEGG:C01089	HIGH_ID	Lipid	Ketone bodies	74	6	0.0	0.0	0	0	21.8681891891892	22.113	0.866559006451579	1.01524795001024	-0.262343887558412	0.540584360552862	-0.153153153153153	-0.276499803213161	0.180658006062536	0.425038828888063	-1.10957590783376	0.556576301407443	Unpaired; author supplied processed values; no new transformation	0.583262073228088	No	Yes	No
GBM	GBM	3-phosphoglycerate	3-phosphoglycerate	C00597	HMDB00807	KEGG:C00597	HIGH_ID	Carbohydrate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism	74	6	0.0	0.0	0	0	21.0664594594595	20.7283333333333	0.666814327717258	0.421019081119451	0.425899454934667	0.0843060731362017	0.427927927927928	0.512151026848044	0.181819546894565	0.426403033402161	-0.323598918620191	1.34790097231628	Unpaired; author supplied processed values; no new transformation	0.114109524705742	No	Yes	No
GBM	GBM	aminomalonic acid (spectralmatch)	aminomalonic acid (spectralmatch)	NA	NA	NAME:aminomalonic acid (spectralmatch)	MODERATE_NAME_ONLY	NA	NA	74	6	0.0	0.0	0	0	22.1053108108108	21.4531666666667	0.946637943051086	0.840003194438369	0.71939396753361	0.0586793160702251	0.468468468468469	0.686953684013794	0.183129588705056	0.42793643068224	-0.151801720123397	1.52570908815099	Unpaired; author supplied processed values; no new transformation	0.0834683332672386	No	Yes	No
GBM	GBM	campesterol	campesterol	C01789	HMDB02869	KEGG:C01789	HIGH_ID	Lipid	Sterol/Steroid	74	6	0.0675675675675676	0.0	0	0	18.4508648648649	17.95	1.73114407751197	0.58964294280522	1.170157877801	0.0875856555917187	0.423423423423423	0.295013985403529	0.180724138002578	0.425116616944784	-0.538214583808247	1.12824255461531	Unpaired; author supplied processed values; no new transformation	0.117936716882542	No	Yes	No
GBM	GBM	caprate (10:0)	caprate (10:0)	C01571	HMDB00511	KEGG:C01571	HIGH_ID	Lipid	Medium Chain Fatty Acid	74	6	0.0135135135135135	0.0	0	0	18.7165135135135	19.0503333333333	1.82553743817295	1.93596318835526	-0.775777724862194	0.862232269976876	-0.045045045045045	-0.180377100381185	0.180383529544817	0.424715822103224	-1.0128201117035	0.652065910941134	Unpaired; author supplied processed values; no new transformation	0.887705242656953	No	Yes	No
GBM	GBM	cholesterol	cholesterol	C00187	HMDB00067	KEGG:C00187	HIGH_ID	Lipid	Sterol/Steroid	74	6	0.0	0.0	0	0	25.5528108108108	26.2161666666667	0.622888887729479	0.243206428094874	-0.540878276121319	0.0023548148364858	-0.752252252252252	-1.08456167476451	0.18753189284498	0.433049527011611	-1.93333874770727	-0.235784601821752	Unpaired; author supplied processed values; no new transformation	0.005050172126248	No	Yes	No
GBM	GBM	citrate	citrate	C00158	HMDB00094	KEGG:C00158	HIGH_ID	Energy	TCA Cycle	74	6	0.0	0.0	0	0	21.4088513513514	19.1735	0.557388939301528	0.828517893590718	2.12427281194005	8.2682561147626e-05	0.972972972972973	3.82614001120116	0.271676101338395	0.5212255762512	2.80453788174881	4.84774214065351	Unpaired; author supplied processed values; no new transformation	0.0005881716412019	No	Yes	No
GBM	GBM	creatinine	creatinine	C00791	HMDB00562	KEGG:C00791	HIGH_ID	Amino acid	Creatine Metabolism	74	6	0.0	0.0	0	0	21.088972972973	22.9576666666667	0.952144313526096	0.265750007839448	-1.60851978036508	7.6613015978231e-05	-0.977477477477477	-2.00379700555324	0.205275195426831	0.453073057493856	-2.8918201982412	-1.11577381286528	Unpaired; author supplied processed values; no new transformation	0.0005881716412019	No	Yes	No
GBM	GBM	galactose	galactose	C01662	HMDB00143	KEGG:C01662	HIGH_ID	Carbohydrate	Fructose, mannose, galactose, starch, and sucrose metabolism	74	6	0.0	0.0	0	0	20.1864459459459	19.3985	2.0469045734119	1.10613358144485	2.17577277641946	0.328434461184111	0.243243243243243	0.39018655858552	0.18113171487081	0.425595717636832	-0.443981047982672	1.22435416515371	Unpaired; author supplied processed values; no new transformation	0.371019156313332	No	Yes	No
GBM	GBM	fructose-6-phosphate	fructose-6-phosphate	C05345	HMDB00124	KEGG:C05345	HIGH_ID	Carbohydrate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism	74	6	0.0	0.0	0	0	20.8623918918919	19.6508333333333	1.36311158768507	1.04910064658576	1.44214805386771	0.0155057117213828	0.599099099099099	0.891971563743348	0.185152763120972	0.430293810228514	0.0485956956954604	1.73534743179124	Unpaired; author supplied processed values; no new transformation	0.0253122349186679	No	Yes	No
GBM	GBM	gluconate	gluconate	C00257	HMDB00625	KEGG:C00257	HIGH_ID	Carbohydrate	Nucleotide sugars, pentose metabolism	74	6	0.0	0.0	0	0	21.4530945945946	19.9345	2.46758925207513	1.71804234522901	1.9067238931903	0.0517282959419907	0.481981981981982	0.619798052468024	0.1825811153417	0.427295115045445	-0.217700373021048	1.4572964779571	Unpaired; author supplied processed values; no new transformation	0.0743394273640567	No	Yes	No
