feature_id	metabolite_key	metabolite_name	n_direct_relations	status	reason
GBM_FEATURE:068b02a1d3375ba5	KEGG:C02630	2-hydroxyglutarate	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:366993077ce453b4	KEGG:C00187	cholesterol	3	DONE	exact reviewed evidence reused
GBM_FEATURE:3373c499464b3190	KEGG:C00158	citrate	12	DONE	exact reviewed evidence reused
GBM_FEATURE:d11a2e5ffb2b2041	KEGG:C00791	creatinine	4	DONE	exact reviewed evidence reused
GBM_FEATURE:0e666297b1d455c9	KEGG:C05345	fructose-6-phosphate	5	DONE	exact reviewed evidence reused
GBM_FEATURE:88a2f109b13da155	KEGG:C00031	glucose	36	DONE	exact reviewed evidence reused
GBM_FEATURE:98cbba4b871f6811	KEGG:C00956	2-aminoadipate_dupl	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:1432b9e82c3172bb	KEGG:C00407	isoleucine	11	DONE	exact reviewed evidence reused
GBM_FEATURE:1f6edaa42faab4e8	KEGG:C00392	mannitol	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:10511d2fb2642333	KEGG:C06429	docosahexaenoate (DHA; 22:6n3)	4	DONE	exact reviewed evidence reused
GBM_FEATURE:afe317792d4966b5	KEGG:C00117	ribose 5-phosphate	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:e2eddf72c7b0eceb	KEGG:C00199	ribulose 5-phosphate	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:fb407263b2f0840f	KEGG:C00794	sorbitol	1	DONE	exact reviewed evidence reused
GBM_FEATURE:ebfd8396e9cacde7	KEGG:C00095	fructose	2	DONE	exact reviewed evidence reused
GBM_FEATURE:42cb5c437c0f3ff2	KEGG:C00258	glycerate	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
GBM_FEATURE:c9720c72406a9789	KEGG:C00037	glycine	8	DONE	exact reviewed evidence reused
GBM_FEATURE:5ceab5f097502c1e	HMDB:HMDB02259	heptadecanoic acid	0	NEEDS_REVIEW	no exact identity match in current reviewed catalog;not proof of no human enzyme
