cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	stable_gene_id	feature_id	relation_id	same_cohort_postselection	discovery_gate	seed	bootstrap_valid	p_method	ci_method	rho	model_formula	degrees_freedom	family_n_planned
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_patient_v1	REL_TUMOR_PRIMARY	KEGG:C05345	fructose-6-phosphate	GPI	unique_explicit_author_case	74.0	NA	Spearman_rho	-0.06939754754626315	-0.3153160116664101	0.19184357121274048	0.5662	0.8244444444444444	REL_TUMOR_PRIMARY	168.0	DONE	NA	CAMP_v0.3.4_GBM	UniProt:P06744	GBM_FEATURE:0e666297b1d455c9	GBM_FEATURE:0e666297b1d455c9|UniProt:P06744	True	CONDITIONAL_NORMAL_LABEL_CONFLICT	3909499866.0	4000.0	9999_permutations_plus1	4000_whole_case_percentile_bootstrap_pointwise	-0.06939754754626315	NA	NA	171.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_patient_v1	REL_TUMOR_PRIMARY	KEGG:C05345	fructose-6-phosphate	MPI	unique_explicit_author_case	74.0	NA	Spearman_rho	0.04057816480511332	-0.19634575605577384	0.27778508331435814	0.7297	0.87564	REL_TUMOR_PRIMARY	168.0	DONE	NA	CAMP_v0.3.4_GBM	UniProt:P34949	GBM_FEATURE:0e666297b1d455c9	GBM_FEATURE:0e666297b1d455c9|UniProt:P34949	True	CONDITIONAL_NORMAL_LABEL_CONFLICT	2288232277.0	4000.0	9999_permutations_plus1	4000_whole_case_percentile_bootstrap_pointwise	0.04057816480511332	NA	NA	171.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_patient_v1	REL_TUMOR_PRIMARY	KEGG:C05345	fructose-6-phosphate	PFKL	unique_explicit_author_case	74.0	NA	Spearman_rho	-0.06097091405206261	-0.2991775484929279	0.18298784581916316	0.6216	0.8244444444444444	REL_TUMOR_PRIMARY	168.0	DONE	NA	CAMP_v0.3.4_GBM	UniProt:P17858	GBM_FEATURE:0e666297b1d455c9	GBM_FEATURE:0e666297b1d455c9|UniProt:P17858	True	CONDITIONAL_NORMAL_LABEL_CONFLICT	63405018.0	4000.0	9999_permutations_plus1	4000_whole_case_percentile_bootstrap_pointwise	-0.06097091405206261	NA	NA	171.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_patient_v1	REL_TUMOR_PRIMARY	KEGG:C05345	fructose-6-phosphate	PFKM	unique_explicit_author_case	74.0	NA	Spearman_rho	0.1612611812273281	-0.08071844961244631	0.3854184002568762	0.1658	0.6846	REL_TUMOR_PRIMARY	168.0	DONE	NA	CAMP_v0.3.4_GBM	UniProt:P08237	GBM_FEATURE:0e666297b1d455c9	GBM_FEATURE:0e666297b1d455c9|UniProt:P08237	True	CONDITIONAL_NORMAL_LABEL_CONFLICT	3890200461.0	4000.0	9999_permutations_plus1	4000_whole_case_percentile_bootstrap_pointwise	0.1612611812273281	NA	NA	171.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_patient_v1	REL_TUMOR_PRIMARY	KEGG:C05345	fructose-6-phosphate	PFKP	unique_explicit_author_case	74.0	NA	Spearman_rho	-0.11520348321860457	-0.3563248065570713	0.13587029903505185	0.3289	0.7603726027397261	REL_TUMOR_PRIMARY	168.0	DONE	NA	CAMP_v0.3.4_GBM	UniProt:Q01813	GBM_FEATURE:0e666297b1d455c9	GBM_FEATURE:0e666297b1d455c9|UniProt:Q01813	True	CONDITIONAL_NORMAL_LABEL_CONFLICT	1714866429.0	4000.0	9999_permutations_plus1	4000_whole_case_percentile_bootstrap_pointwise	-0.11520348321860457	NA	NA	171.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_patient_v1	REL_TUMOR_PRIMARY	KEGG:C06429	docosahexaenoate (DHA; 22:6n3)	ACSL3	unique_explicit_author_case	74.0	NA	Spearman_rho	-0.01731235470948653	-0.24758605006859905	0.21996305895833895	0.8842	0.9522153846153846	REL_TUMOR_PRIMARY	168.0	DONE	NA	CAMP_v0.3.4_GBM	UniProt:O95573	GBM_FEATURE:10511d2fb2642333	GBM_FEATURE:10511d2fb2642333|UniProt:O95573	True	CONDITIONAL_NORMAL_LABEL_CONFLICT	92606226.0	4000.0	9999_permutations_plus1	4000_whole_case_percentile_bootstrap_pointwise	-0.01731235470948653	NA	NA	171.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_patient_v1	REL_TUMOR_PRIMARY	KEGG:C06429	docosahexaenoate (DHA; 22:6n3)	ACSL4	unique_explicit_author_case	74.0	NA	Spearman_rho	0.12401212916746684	-0.06354322566967763	0.31310706225994184	0.2929	0.7603726027397261	REL_TUMOR_PRIMARY	168.0	DONE	NA	CAMP_v0.3.4_GBM	UniProt:O60488	GBM_FEATURE:10511d2fb2642333	GBM_FEATURE:10511d2fb2642333|UniProt:O60488	True	CONDITIONAL_NORMAL_LABEL_CONFLICT	1109697244.0	4000.0	9999_permutations_plus1	4000_whole_case_percentile_bootstrap_pointwise	0.12401212916746684	NA	NA	171.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_patient_v1	REL_TUMOR_PRIMARY	KEGG:C06429	docosahexaenoate (DHA; 22:6n3)	ALOX15	unique_explicit_author_case	74.0	NA	Spearman_rho	0.13902703992705717	-0.08567769485503364	0.3492021088307856	0.2337	0.7011000000000001	REL_TUMOR_PRIMARY	168.0	DONE	NA	CAMP_v0.3.4_GBM	UniProt:P16050	GBM_FEATURE:10511d2fb2642333	GBM_FEATURE:10511d2fb2642333|UniProt:P16050	True	CONDITIONAL_NORMAL_LABEL_CONFLICT	2766137855.0	4000.0	9999_permutations_plus1	4000_whole_case_percentile_bootstrap_pointwise	0.13902703992705717	NA	NA	171.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_patient_v1	REL_TUMOR_PRIMARY	KEGG:C06429	docosahexaenoate (DHA; 22:6n3)	CYP4F2	unique_explicit_author_case	74.0	NA	Spearman_rho	-0.06913016954591626	-0.3083319275339649	0.1828395442063874	0.5581	0.8244444444444444	REL_TUMOR_PRIMARY	168.0	DONE	NA	CAMP_v0.3.4_GBM	UniProt:P78329	GBM_FEATURE:10511d2fb2642333	GBM_FEATURE:10511d2fb2642333|UniProt:P78329	True	CONDITIONAL_NORMAL_LABEL_CONFLICT	2227435241.0	4000.0	9999_permutations_plus1	4000_whole_case_percentile_bootstrap_pointwise	-0.06913016954591626	NA	NA	171.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_patient_v1	REL_TUMOR_PRIMARY	KEGG:C00407	isoleucine	BCAT1	unique_explicit_author_case	74.0	NA	Spearman_rho	0.1580007404664939	-0.07078933614158521	0.367209713753301	0.1762	0.6846	REL_TUMOR_PRIMARY	168.0	DONE	NA	CAMP_v0.3.4_GBM	hsa:586	GBM_FEATURE:1432b9e82c3172bb	GBM_FEATURE:1432b9e82c3172bb|hsa:586	True	CONDITIONAL_NORMAL_LABEL_CONFLICT	2831877858.0	4000.0	9999_permutations_plus1	4000_whole_case_percentile_bootstrap_pointwise	0.1580007404664939	NA	NA	171.0
