cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	stable_gene_id	feature_id	relation_id	same_cohort_postselection	discovery_gate	seed	bootstrap_valid	p_method	ci_method	rho	model_formula	degrees_freedom	family_n_planned
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_patient_v1	REL_TUMOR_PRIMARY	KEGG:C05345	fructose-6-phosphate	GPI	unique_explicit_author_case	74.0	NA	Spearman_rho	-0.06939754754626315	-0.3153160116664101	0.19184357121274048	0.5662	0.8244444444444444	REL_TUMOR_PRIMARY	168.0	DONE	NA	CAMP_v0.3.4_GBM	UniProt:P06744	GBM_FEATURE:0e666297b1d455c9	GBM_FEATURE:0e666297b1d455c9|UniProt:P06744	True	CONDITIONAL_NORMAL_LABEL_CONFLICT	3909499866.0	4000.0	9999_permutations_plus1	4000_whole_case_percentile_bootstrap_pointwise	-0.06939754754626315	NA	NA	171.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_patient_v1	REL_TUMOR_AVAILABLE	KEGG:C05345	fructose-6-phosphate	GPI	unique_explicit_author_case	74.0	NA	Spearman_rho	-0.06939754754626315	-0.31729460802786585	0.17859172518215546	0.5593	0.8342328358208955	REL_TUMOR_AVAILABLE	168.0	DONE	NA	CAMP_v0.3.4_GBM	UniProt:P06744	GBM_FEATURE:0e666297b1d455c9	GBM_FEATURE:0e666297b1d455c9|UniProt:P06744	True	CONDITIONAL_NORMAL_LABEL_CONFLICT	4228142515.0	4000.0	9999_permutations_plus1	4000_whole_case_percentile_bootstrap_pointwise	-0.06939754754626315	NA	NA	171.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_patient_v1	REL_TUMOR_PATH_PASS	KEGG:C05345	fructose-6-phosphate	GPI	unique_explicit_author_case	68.0	NA	Spearman_rho	-0.024278052416003885	-0.28909189626058746	0.2288619513160617	0.8383	0.9515837837837838	REL_TUMOR_PATH_PASS	168.0	DONE	NA	CAMP_v0.3.4_GBM	UniProt:P06744	GBM_FEATURE:0e666297b1d455c9	GBM_FEATURE:0e666297b1d455c9|UniProt:P06744	True	CONDITIONAL_NORMAL_LABEL_CONFLICT	4085950618.0	4000.0	9999_permutations_plus1	4000_whole_case_percentile_bootstrap_pointwise	-0.024278052416003885	NA	NA	171.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_patient_v1	REL_TUMOR_AGE_SEX	KEGG:C05345	fructose-6-phosphate	GPI	unique_explicit_author_case	74.0	NA	partial_rank_rho_age_sex	-0.06127549140667861	NA	NA	0.6091263166590097	0.8276832632550055	REL_TUMOR_AGE_SEX	168.0	DONE	NA	CAMP_v0.3.4_GBM	UniProt:P06744	GBM_FEATURE:0e666297b1d455c9	GBM_FEATURE:0e666297b1d455c9|UniProt:P06744	True	CONDITIONAL_NORMAL_LABEL_CONFLICT	3321508655.0	0.0	approximate_partial_rank_t_df_n_minus4	NOT_COMPUTED_covariate_sensitivity	-0.06127549140667861	rank(metabolite) ~ rank(age)+sex;rank(TPM) ~ rank(age)+sex	70.0	171.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_patient_v1	REL_TUMOR_PRIMARY	KEGG:C05345	fructose-6-phosphate	MPI	unique_explicit_author_case	74.0	NA	Spearman_rho	0.04057816480511332	-0.19634575605577384	0.27778508331435814	0.7297	0.87564	REL_TUMOR_PRIMARY	168.0	DONE	NA	CAMP_v0.3.4_GBM	UniProt:P34949	GBM_FEATURE:0e666297b1d455c9	GBM_FEATURE:0e666297b1d455c9|UniProt:P34949	True	CONDITIONAL_NORMAL_LABEL_CONFLICT	2288232277.0	4000.0	9999_permutations_plus1	4000_whole_case_percentile_bootstrap_pointwise	0.04057816480511332	NA	NA	171.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_patient_v1	REL_TUMOR_AVAILABLE	KEGG:C05345	fructose-6-phosphate	MPI	unique_explicit_author_case	74.0	NA	Spearman_rho	0.04057816480511332	-0.196013103086789	0.26540053539681185	0.7311	0.8855654676258994	REL_TUMOR_AVAILABLE	168.0	DONE	NA	CAMP_v0.3.4_GBM	UniProt:P34949	GBM_FEATURE:0e666297b1d455c9	GBM_FEATURE:0e666297b1d455c9|UniProt:P34949	True	CONDITIONAL_NORMAL_LABEL_CONFLICT	3728510463.0	4000.0	9999_permutations_plus1	4000_whole_case_percentile_bootstrap_pointwise	0.04057816480511332	NA	NA	171.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_patient_v1	REL_TUMOR_PATH_PASS	KEGG:C05345	fructose-6-phosphate	MPI	unique_explicit_author_case	68.0	NA	Spearman_rho	0.04099784323079902	-0.2091518218316296	0.2844328047501993	0.7411	0.9368470588235294	REL_TUMOR_PATH_PASS	168.0	DONE	NA	CAMP_v0.3.4_GBM	UniProt:P34949	GBM_FEATURE:0e666297b1d455c9	GBM_FEATURE:0e666297b1d455c9|UniProt:P34949	True	CONDITIONAL_NORMAL_LABEL_CONFLICT	1859248235.0	4000.0	9999_permutations_plus1	4000_whole_case_percentile_bootstrap_pointwise	0.04099784323079902	NA	NA	171.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_patient_v1	REL_TUMOR_AGE_SEX	KEGG:C05345	fructose-6-phosphate	MPI	unique_explicit_author_case	74.0	NA	partial_rank_rho_age_sex	0.03854669162050774	NA	NA	0.7478507111639965	0.872492496357996	REL_TUMOR_AGE_SEX	168.0	DONE	NA	CAMP_v0.3.4_GBM	UniProt:P34949	GBM_FEATURE:0e666297b1d455c9	GBM_FEATURE:0e666297b1d455c9|UniProt:P34949	True	CONDITIONAL_NORMAL_LABEL_CONFLICT	4120320933.0	0.0	approximate_partial_rank_t_df_n_minus4	NOT_COMPUTED_covariate_sensitivity	0.03854669162050774	rank(metabolite) ~ rank(age)+sex;rank(TPM) ~ rank(age)+sex	70.0	171.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_patient_v1	REL_TUMOR_PRIMARY	KEGG:C05345	fructose-6-phosphate	PFKL	unique_explicit_author_case	74.0	NA	Spearman_rho	-0.06097091405206261	-0.2991775484929279	0.18298784581916316	0.6216	0.8244444444444444	REL_TUMOR_PRIMARY	168.0	DONE	NA	CAMP_v0.3.4_GBM	UniProt:P17858	GBM_FEATURE:0e666297b1d455c9	GBM_FEATURE:0e666297b1d455c9|UniProt:P17858	True	CONDITIONAL_NORMAL_LABEL_CONFLICT	63405018.0	4000.0	9999_permutations_plus1	4000_whole_case_percentile_bootstrap_pointwise	-0.06097091405206261	NA	NA	171.0
GBM	CAMP_GBM	03_PATIENT	20260925T103000Z_discovery_v1	gbm_patient_v1	REL_TUMOR_AVAILABLE	KEGG:C05345	fructose-6-phosphate	PFKL	unique_explicit_author_case	74.0	NA	Spearman_rho	-0.06097091405206261	-0.298330475033079	0.1804388998337494	0.5919	0.8342328358208955	REL_TUMOR_AVAILABLE	168.0	DONE	NA	CAMP_v0.3.4_GBM	UniProt:P17858	GBM_FEATURE:0e666297b1d455c9	GBM_FEATURE:0e666297b1d455c9|UniProt:P17858	True	CONDITIONAL_NORMAL_LABEL_CONFLICT	3364836204.0	4000.0	9999_permutations_plus1	4000_whole_case_percentile_bootstrap_pointwise	-0.06097091405206261	NA	NA	171.0
