gene	stable_gene_id	study1_top	study2_top	study1_bootstrap	study2_bootstrap	same_top_all_categories	same_top_shared_categories	same_top_both_bootstrap_ge080	status	n_shared_categories
GPI	UniProt:P06744	Neoplastic	Neoplastic	0.6615146831530139	1.0	True	True	False	DONE	2
MPI	UniProt:P34949	Neoplastic	Oligodendrocyte	1.0	0.83	False	True	False	DONE	2
PFKL	UniProt:P17858	Neoplastic	Oligodendrocyte	1.0	0.886	False	True	False	DONE	2
PFKM	UniProt:P08237	OPC	Neoplastic	1.0	1.0	False	True	False	DONE	2
PFKP	UniProt:Q01813	Neoplastic	Neoplastic	0.6367851622874807	0.999	True	True	False	DONE	2
ACSL3	UniProt:O95573	OPC	Neoplastic	1.0	0.858	False	True	False	DONE	2
ACSL4	UniProt:O60488	Myeloid	Myeloid	1.0	0.934	True	True	True	DONE	2
ALOX15	UniProt:P16050	Neoplastic	Myeloid	0.7897990726429676	0.614	False	NA	False	DONE	2
CYP4F2	UniProt:P78329	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	0
BCAT1	hsa:586	OPC	Neoplastic	0.7727975270479135	0.998	False	False	False	DONE	2
BCAT2	hsa:587	Neoplastic	Neoplastic	0.5579598145285936	1.0	True	True	False	DONE	2
IARS1	hsa:3376	Neoplastic	Neoplastic	0.8670788253477589	1.0	True	True	True	DONE	2
IARS2	hsa:55699	OPC	Neoplastic	0.6383307573415765	0.929	False	True	False	DONE	2
SLC43A1	hsa:8501	OPC	Lymphoid	1.0	0.856	False	False	False	DONE	2
SLC43A2	hsa:124935	Myeloid	Myeloid	1.0	1.0	True	True	True	DONE	2
SLC6A14	hsa:11254	NA	Oligodendrocyte	NA	0.82	NA	NA	NA	NOT_EVALUABLE	2
SLC6A15	hsa:55117	NA	Oligodendrocyte	NA	0.886	NA	NA	NA	NOT_EVALUABLE	2
SLC6A19	hsa:340024	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	0
SLC7A5	hsa:8140	Myeloid	Lymphoid	1.0	0.56	False	True	False	DONE	2
SLC7A8	hsa:23428	Myeloid	Myeloid	1.0	1.0	True	True	True	DONE	2
ADO	hsa:84890	Myeloid	Oligodendrocyte	0.8500772797527048	0.879	False	False	False	DONE	2
CSAD	hsa:51380	Neoplastic	Oligodendrocyte	1.0	0.818	False	True	False	DONE	2
FMO1	hsa:2326	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	2
FMO3	hsa:2328	OPC	NA	1.0	NA	NA	NA	NA	NOT_EVALUABLE	2
GADL1	hsa:339896	NA	Neoplastic	NA	0.962	NA	NA	NA	NOT_EVALUABLE	2
SLC6A1	hsa:6529	OPC	Oligodendrocyte	1.0	0.886	False	True	False	DONE	2
SLC6A11	hsa:6538	OPC	Neoplastic	0.8624420401854714	1.0	False	True	False	DONE	2
SLC6A13	hsa:6540	OPC	NA	1.0	NA	NA	NA	NA	NOT_EVALUABLE	2
SLC6A6	hsa:6533	Myeloid	Oligodendrocyte	1.0	0.883	False	True	False	DONE	2
ACLY	hsa:47	OPC	Neoplastic	0.7032457496136012	1.0	False	True	False	DONE	2
ACO1	hsa:48	OPC	Neoplastic	1.0	0.792	False	True	False	DONE	2
ACO2	hsa:50	OPC	Oligodendrocyte	0.7727975270479135	0.778	False	True	False	DONE	2
ANKH	hsa:56172	Myeloid	Oligodendrocyte	0.7867078825347759	0.863	False	True	False	DONE	2
CS	hsa:1431	Neoplastic	Neoplastic	0.6568778979907264	0.996	True	True	False	DONE	2
RIMKLB	hsa:57494	Neoplastic	Neoplastic	1.0	1.0	True	True	True	DONE	2
SFXN5	hsa:94097	Neoplastic	Neoplastic	1.0	1.0	True	True	True	DONE	2
SLC13A2	hsa:9058	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	2
