cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	stable_gene_id	partition	celltype	n_source_labels_total	n_source_labels_eligible	n_cells_total	n_cells_eligible	mean_detection_fraction	median_donor_mean	q25	q75	annotation_origin	normalization
GBM	CARE2025_primary	06_EXTERNAL	20260925T151224Z_sc_replacement_v2	gbm_care_sources_v2	donor_equal_cell_source	NA	NA	GPI	author_patient	21	NA	donor_equal_mean_log1pCP10k	0.3417511218311938	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	descriptive_only	GSE274546	UniProt:P06744	CARE2025_primary	Astrocyte	55	21	2205	2057	0.3438394670447677	0.32116160382210457	0.23603970080881304	0.40474369865168663	CARE author CellType 2025-01-08	log1p(10000*count/full33538_gene_library);nonnegative integer UMI
GBM	CARE2025_primary	06_EXTERNAL	20260925T151224Z_sc_replacement_v2	gbm_care_sources_v2	donor_equal_cell_source	NA	NA	GPI	author_patient	24	NA	donor_equal_mean_log1pCP10k	0.18470360033235725	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	descriptive_only	GSE274546	UniProt:P06744	CARE2025_primary	Lymphoid	55	24	2765	2575	0.11314146322765556	0.17274030703951399	0.14371209668804666	0.23229014806316806	CARE author CellType 2025-01-08	log1p(10000*count/full33538_gene_library);nonnegative integer UMI
GBM	CARE2025_primary	06_EXTERNAL	20260925T151224Z_sc_replacement_v2	gbm_care_sources_v2	donor_equal_cell_source	NA	NA	GPI	author_patient	51	NA	donor_equal_mean_log1pCP10k	0.24719874709370315	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	descriptive_only	GSE274546	UniProt:P06744	CARE2025_primary	Myeloid	55	51	33051	33034	0.19997421881217406	0.1971696752486236	0.15159141479326288	0.30920397967208035	CARE author CellType 2025-01-08	log1p(10000*count/full33538_gene_library);nonnegative integer UMI
GBM	CARE2025_primary	06_EXTERNAL	20260925T151224Z_sc_replacement_v2	gbm_care_sources_v2	donor_equal_cell_source	NA	NA	GPI	author_patient	55	NA	donor_equal_mean_log1pCP10k	0.3905919318267559	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	descriptive_only	GSE274546	UniProt:P06744	CARE2025_primary	Neoplastic	55	55	133107	133107	0.35296323867410906	0.326858231979363	0.2569474563336738	0.44260075717145236	CARE author CellType 2025-01-08	log1p(10000*count/full33538_gene_library);nonnegative integer UMI
GBM	CARE2025_primary	06_EXTERNAL	20260925T151224Z_sc_replacement_v2	gbm_care_sources_v2	donor_equal_cell_source	NA	NA	GPI	author_patient	23	NA	donor_equal_mean_log1pCP10k	0.43682113429428104	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	descriptive_only	GSE274546	UniProt:P06744	CARE2025_primary	Neuron	55	23	7482	7352	0.49640840073804193	0.44989415851141457	0.2693555638646651	0.5855453410894462	CARE author CellType 2025-01-08	log1p(10000*count/full33538_gene_library);nonnegative integer UMI
GBM	CARE2025_primary	06_EXTERNAL	20260925T151224Z_sc_replacement_v2	gbm_care_sources_v2	donor_equal_cell_source	NA	NA	GPI	author_patient	20	NA	donor_equal_mean_log1pCP10k	0.2740660680337657	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	descriptive_only	GSE274546	UniProt:P06744	CARE2025_primary	OPC	55	20	5657	5503	0.238608085132977	0.24852694062788547	0.18266575767219434	0.3440819498118099	CARE author CellType 2025-01-08	log1p(10000*count/full33538_gene_library);nonnegative integer UMI
GBM	CARE2025_primary	06_EXTERNAL	20260925T151224Z_sc_replacement_v2	gbm_care_sources_v2	donor_equal_cell_source	NA	NA	GPI	author_patient	32	NA	donor_equal_mean_log1pCP10k	0.2712558004173303	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	descriptive_only	GSE274546	UniProt:P06744	CARE2025_primary	Oligodendrocyte	55	32	13481	13385	0.2309972162729436	0.25552995199542305	0.19030331040859733	0.34581269375944695	CARE author CellType 2025-01-08	log1p(10000*count/full33538_gene_library);nonnegative integer UMI
GBM	CARE2025_primary	06_EXTERNAL	20260925T151224Z_sc_replacement_v2	gbm_care_sources_v2	donor_equal_cell_source	NA	NA	GPI	author_patient	32	NA	donor_equal_mean_log1pCP10k	0.45257882698715973	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	descriptive_only	GSE274546	UniProt:P06744	CARE2025_primary	Unresolved	55	32	5079	4940	0.2896269411235113	0.3690017565368673	0.19929827351514773	0.6682378913607192	CARE author CellType 2025-01-08	log1p(10000*count/full33538_gene_library);nonnegative integer UMI
GBM	CARE2025_primary	06_EXTERNAL	20260925T151224Z_sc_replacement_v2	gbm_care_sources_v2	donor_equal_cell_source	NA	NA	GPI	author_patient	30	NA	donor_equal_mean_log1pCP10k	0.27866844324382656	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	descriptive_only	GSE274546	UniProt:P06744	CARE2025_primary	Vascular	55	30	3053	2872	0.23564205052986534	0.22466402948768394	0.12638325563739047	0.32053695301000484	CARE author CellType 2025-01-08	log1p(10000*count/full33538_gene_library);nonnegative integer UMI
GBM	CARE2025_primary	06_EXTERNAL	20260925T151224Z_sc_replacement_v2	gbm_care_sources_v2	donor_equal_cell_source	NA	NA	MPI	author_patient	21	NA	donor_equal_mean_log1pCP10k	0.0295170636998582	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	descriptive_only	GSE274546	UniProt:P34949	CARE2025_primary	Astrocyte	55	21	2205	2057	0.04226744643771072	0.027293456631226082	0.01757918105997939	0.03516862312811158	CARE author CellType 2025-01-08	log1p(10000*count/full33538_gene_library);nonnegative integer UMI
