gene	top_celltype_primary	bootstrap_top_frequency_primary	status_primary	top_celltype_recurrent	bootstrap_top_frequency_recurrent	status_recurrent	same_top	comparison_type
GPI	Neuron	0.824	DONE	Neuron	0.704	DONE	1.0	same_cohort_partitions_not_independent_replication
MPI	Myeloid	0.747	DONE	Myeloid	0.972	DONE	1.0	same_cohort_partitions_not_independent_replication
PFKL	Vascular	0.881	DONE	Vascular	0.908	DONE	1.0	same_cohort_partitions_not_independent_replication
PFKM	Astrocyte	0.525	DONE	Astrocyte	0.873	DONE	1.0	same_cohort_partitions_not_independent_replication
PFKP	Astrocyte	1.0	DONE	Astrocyte	1.0	DONE	1.0	same_cohort_partitions_not_independent_replication
ACSL3	OPC	0.648	DONE	Astrocyte	0.426	DONE	0.0	same_cohort_partitions_not_independent_replication
ACSL4	Myeloid	1.0	DONE	Myeloid	1.0	DONE	1.0	same_cohort_partitions_not_independent_replication
ALOX15	Neuron	0.778	DONE	NA	NA	NOT_EVALUABLE	NA	same_cohort_partitions_not_independent_replication
CYP4F2	NA	NA	NOT_EVALUABLE	NA	NA	NOT_EVALUABLE	NA	same_cohort_partitions_not_independent_replication
BCAT1	Myeloid	0.998	DONE	Myeloid	0.999	DONE	1.0	same_cohort_partitions_not_independent_replication
BCAT2	Astrocyte	0.983	DONE	Astrocyte	1.0	DONE	1.0	same_cohort_partitions_not_independent_replication
IARS1	NA	NA	NOT_EVALUABLE	NA	NA	NOT_EVALUABLE	NA	same_cohort_partitions_not_independent_replication
IARS2	Neoplastic	0.908	DONE	Neoplastic	0.7	DONE	1.0	same_cohort_partitions_not_independent_replication
SLC43A1	Neuron	0.661	DONE	Neuron	0.693	DONE	1.0	same_cohort_partitions_not_independent_replication
SLC43A2	Myeloid	1.0	DONE	Myeloid	1.0	DONE	1.0	same_cohort_partitions_not_independent_replication
SLC6A14	NA	NA	NOT_EVALUABLE	NA	NA	NOT_EVALUABLE	NA	same_cohort_partitions_not_independent_replication
SLC6A15	Neuron	0.984	DONE	Neuron	0.744	DONE	1.0	same_cohort_partitions_not_independent_replication
SLC6A19	NA	NA	NOT_EVALUABLE	NA	NA	NOT_EVALUABLE	NA	same_cohort_partitions_not_independent_replication
SLC7A5	Vascular	1.0	DONE	Vascular	0.993	DONE	1.0	same_cohort_partitions_not_independent_replication
SLC7A8	Myeloid	0.558	DONE	Myeloid	0.885	DONE	1.0	same_cohort_partitions_not_independent_replication
ADO	Oligodendrocyte	1.0	DONE	Oligodendrocyte	1.0	DONE	1.0	same_cohort_partitions_not_independent_replication
CSAD	Neoplastic	0.391	DONE	Neoplastic	0.891	DONE	1.0	same_cohort_partitions_not_independent_replication
FMO1	NA	NA	NOT_EVALUABLE	NA	NA	NOT_EVALUABLE	NA	same_cohort_partitions_not_independent_replication
FMO3	OPC	0.824	DONE	OPC	0.644	DONE	1.0	same_cohort_partitions_not_independent_replication
GADL1	Neuron	0.932	DONE	Neuron	0.925	DONE	1.0	same_cohort_partitions_not_independent_replication
SLC6A1	Oligodendrocyte	0.474	DONE	OPC	0.543	DONE	0.0	same_cohort_partitions_not_independent_replication
SLC6A11	Astrocyte	0.948	DONE	Astrocyte	0.991	DONE	1.0	same_cohort_partitions_not_independent_replication
SLC6A13	Vascular	0.929	DONE	Vascular	0.993	DONE	1.0	same_cohort_partitions_not_independent_replication
SLC6A6	Myeloid	0.343	DONE	Oligodendrocyte	0.844	DONE	0.0	same_cohort_partitions_not_independent_replication
ACLY	Neoplastic	0.887	DONE	Neoplastic	0.992	DONE	1.0	same_cohort_partitions_not_independent_replication
ACO1	Astrocyte	0.988	DONE	Astrocyte	0.998	DONE	1.0	same_cohort_partitions_not_independent_replication
ACO2	Astrocyte	1.0	DONE	Astrocyte	1.0	DONE	1.0	same_cohort_partitions_not_independent_replication
ANKH	Oligodendrocyte	0.989	DONE	Myeloid	0.909	DONE	0.0	same_cohort_partitions_not_independent_replication
CS	Neoplastic	0.89	DONE	Neoplastic	0.883	DONE	1.0	same_cohort_partitions_not_independent_replication
RIMKLB	Vascular	0.965	DONE	Vascular	0.765	DONE	1.0	same_cohort_partitions_not_independent_replication
SFXN5	Astrocyte	1.0	DONE	Astrocyte	1.0	DONE	1.0	same_cohort_partitions_not_independent_replication
SLC13A2	NA	NA	NOT_EVALUABLE	NA	NA	NOT_EVALUABLE	NA	same_cohort_partitions_not_independent_replication
SLC13A5	Astrocyte	1.0	DONE	Astrocyte	0.985	DONE	1.0	same_cohort_partitions_not_independent_replication
SLC25A1	Oligodendrocyte	0.822	DONE	OPC	0.732	DONE	0.0	same_cohort_partitions_not_independent_replication
SLC25A14	Neuron	0.903	DONE	Neoplastic	0.576	DONE	0.0	same_cohort_partitions_not_independent_replication
SLC25A21	Neuron	0.995	DONE	Neuron	0.998	DONE	1.0	same_cohort_partitions_not_independent_replication
CYP27A1	Oligodendrocyte	1.0	DONE	Oligodendrocyte	1.0	DONE	1.0	same_cohort_partitions_not_independent_replication
SOAT1	Myeloid	1.0	DONE	Myeloid	1.0	DONE	1.0	same_cohort_partitions_not_independent_replication
SOAT2	Lymphoid	0.579	DONE	NA	NA	NOT_EVALUABLE	NA	same_cohort_partitions_not_independent_replication
AOC1	Neoplastic	1.0	DONE	Neoplastic	0.699	DONE	1.0	same_cohort_partitions_not_independent_replication
ATP13A3	Myeloid	0.997	DONE	Myeloid	0.914	DONE	1.0	same_cohort_partitions_not_independent_replication
HDAC10	Lymphoid	0.809	DONE	Vascular	0.865	DONE	0.0	same_cohort_partitions_not_independent_replication
ODC1	Neoplastic	0.999	DONE	Neoplastic	0.968	DONE	1.0	same_cohort_partitions_not_independent_replication
PAOX	Myeloid	0.673	DONE	Oligodendrocyte	0.506	DONE	0.0	same_cohort_partitions_not_independent_replication
SLC22A1	Neuron	0.424	DONE	Myeloid	0.635	DONE	0.0	same_cohort_partitions_not_independent_replication
SLC22A2	Neuron	0.881	DONE	Neuron	0.874	DONE	1.0	same_cohort_partitions_not_independent_replication
SLC45A4	Vascular	0.67	DONE	Myeloid	0.447	DONE	0.0	same_cohort_partitions_not_independent_replication
SRM	Neoplastic	0.908	DONE	Neoplastic	0.997	DONE	1.0	same_cohort_partitions_not_independent_replication
SHMT1	Myeloid	1.0	DONE	Myeloid	0.997	DONE	1.0	same_cohort_partitions_not_independent_replication
SHMT2	Neoplastic	0.984	DONE	Neoplastic	0.909	DONE	1.0	same_cohort_partitions_not_independent_replication
MGAM	Myeloid	1.0	DONE	Myeloid	1.0	DONE	1.0	same_cohort_partitions_not_independent_replication
ADPGK	Myeloid	1.0	DONE	Myeloid	1.0	DONE	1.0	same_cohort_partitions_not_independent_replication
B4GALT1	Myeloid	1.0	DONE	Myeloid	1.0	DONE	1.0	same_cohort_partitions_not_independent_replication
B4GALT2	Neoplastic	0.785	DONE	Neoplastic	0.953	DONE	1.0	same_cohort_partitions_not_independent_replication
G6PC1	NA	NA	NOT_EVALUABLE	NA	NA	NOT_EVALUABLE	NA	same_cohort_partitions_not_independent_replication
G6PC2	NA	NA	NOT_EVALUABLE	NA	NA	NOT_EVALUABLE	NA	same_cohort_partitions_not_independent_replication
G6PC3	OPC	0.463	DONE	OPC	0.524	DONE	1.0	same_cohort_partitions_not_independent_replication
GBA1	NA	NA	NOT_EVALUABLE	NA	NA	NOT_EVALUABLE	NA	same_cohort_partitions_not_independent_replication
GBA2	Vascular	1.0	DONE	Vascular	0.993	DONE	1.0	same_cohort_partitions_not_independent_replication
GBA3	NA	NA	NOT_EVALUABLE	NA	NA	NOT_EVALUABLE	NA	same_cohort_partitions_not_independent_replication
GCK	Neuron	0.695	DONE	Neuron	0.726	DONE	1.0	same_cohort_partitions_not_independent_replication
H6PD	Astrocyte	0.94	DONE	Astrocyte	0.986	DONE	1.0	same_cohort_partitions_not_independent_replication
HK1	Myeloid	0.952	DONE	Myeloid	0.935	DONE	1.0	same_cohort_partitions_not_independent_replication
HK2	Myeloid	1.0	DONE	Myeloid	0.997	DONE	1.0	same_cohort_partitions_not_independent_replication
HK3	Myeloid	1.0	DONE	Myeloid	1.0	DONE	1.0	same_cohort_partitions_not_independent_replication
HKDC1	Astrocyte	0.887	DONE	Astrocyte	1.0	DONE	1.0	same_cohort_partitions_not_independent_replication
IMPA1	Astrocyte	0.638	DONE	Astrocyte	0.746	DONE	1.0	same_cohort_partitions_not_independent_replication
IMPA2	Astrocyte	0.829	DONE	Astrocyte	0.963	DONE	1.0	same_cohort_partitions_not_independent_replication
LCT	Neuron	0.674	DONE	Neuron	0.764	DONE	1.0	same_cohort_partitions_not_independent_replication
SI	Neuron	0.954	DONE	Neuron	0.924	DONE	1.0	same_cohort_partitions_not_independent_replication
SLC2A1	Vascular	1.0	DONE	Vascular	1.0	DONE	1.0	same_cohort_partitions_not_independent_replication
SLC2A10	Neoplastic	0.655	DONE	Neoplastic	0.682	DONE	1.0	same_cohort_partitions_not_independent_replication
SLC2A11	OPC	0.673	DONE	Neuron	0.962	DONE	0.0	same_cohort_partitions_not_independent_replication
SLC2A12	Astrocyte	0.492	DONE	Astrocyte	0.934	DONE	1.0	same_cohort_partitions_not_independent_replication
SLC2A14	Neuron	0.897	DONE	Neuron	0.941	DONE	1.0	same_cohort_partitions_not_independent_replication
SLC2A2	Oligodendrocyte	1.0	DONE	Oligodendrocyte	1.0	DONE	1.0	same_cohort_partitions_not_independent_replication
SLC2A3	Vascular	0.908	DONE	Vascular	0.891	DONE	1.0	same_cohort_partitions_not_independent_replication
SLC2A4	NA	NA	NOT_EVALUABLE	Astrocyte	0.953	DONE	NA	same_cohort_partitions_not_independent_replication
SLC2A7	NA	NA	NOT_EVALUABLE	NA	NA	NOT_EVALUABLE	NA	same_cohort_partitions_not_independent_replication
SLC2A8	Myeloid	0.828	DONE	Myeloid	0.962	DONE	1.0	same_cohort_partitions_not_independent_replication
SLC45A1	Neuron	1.0	DONE	Neuron	0.995	DONE	1.0	same_cohort_partitions_not_independent_replication
SLC45A2	Oligodendrocyte	0.976	DONE	Oligodendrocyte	0.984	DONE	1.0	same_cohort_partitions_not_independent_replication
SLC5A1	Neuron	0.771	DONE	NA	NA	NOT_EVALUABLE	NA	same_cohort_partitions_not_independent_replication
SLC5A11	Oligodendrocyte	1.0	DONE	Oligodendrocyte	1.0	DONE	1.0	same_cohort_partitions_not_independent_replication
SLC5A2	Neoplastic	0.342	DONE	NA	NA	NOT_EVALUABLE	NA	same_cohort_partitions_not_independent_replication
SLC60A2	NA	NA	NOT_EVALUABLE	NA	NA	NOT_EVALUABLE	NA	same_cohort_partitions_not_independent_replication
ASNS	Neuron	0.92	DONE	Neoplastic	0.776	DONE	0.0	same_cohort_partitions_not_independent_replication
ASS1	Astrocyte	0.913	DONE	Astrocyte	0.763	DONE	1.0	same_cohort_partitions_not_independent_replication
GOT1	Neuron	0.718	DONE	Neuron	0.995	DONE	1.0	same_cohort_partitions_not_independent_replication
GOT2	Neuron	1.0	DONE	Neuron	0.996	DONE	1.0	same_cohort_partitions_not_independent_replication
LDHA	Myeloid	0.88	DONE	Myeloid	0.824	DONE	1.0	same_cohort_partitions_not_independent_replication
LDHB	OPC	0.604	DONE	Astrocyte	0.939	DONE	0.0	same_cohort_partitions_not_independent_replication
AADAT	OPC	0.94	DONE	Astrocyte	0.424	DONE	0.0	same_cohort_partitions_not_independent_replication
CDO1	Neuron	0.82	DONE	Neuron	0.999	DONE	1.0	same_cohort_partitions_not_independent_replication
CNDP2	Myeloid	1.0	DONE	Myeloid	1.0	DONE	1.0	same_cohort_partitions_not_independent_replication
GCLC	Myeloid	0.64	DONE	Oligodendrocyte	0.658	DONE	0.0	same_cohort_partitions_not_independent_replication
AASS	Neoplastic	0.865	DONE	Neoplastic	0.843	DONE	1.0	same_cohort_partitions_not_independent_replication
ACE2	NA	NA	NOT_EVALUABLE	NA	NA	NOT_EVALUABLE	NA	same_cohort_partitions_not_independent_replication
LARS1	NA	NA	NOT_EVALUABLE	NA	NA	NOT_EVALUABLE	NA	same_cohort_partitions_not_independent_replication
LARS2	Neoplastic	0.821	DONE	Neoplastic	0.998	DONE	1.0	same_cohort_partitions_not_independent_replication
PLBD1	Myeloid	1.0	DONE	Myeloid	1.0	DONE	1.0	same_cohort_partitions_not_independent_replication
PM20D1	Vascular	0.663	DONE	Neoplastic	0.789	DONE	0.0	same_cohort_partitions_not_independent_replication
