study	gene	stable_gene_id	status	reason	top_celltype	runner_celltype	top_gap	bootstrap_top_frequency	bootstrap_valid	rank_tie
CARE2025_primary	GPI	UniProt:P06744	DONE	expression_source_only;not_function	Neuron	Neoplastic	0.046229202467525154	0.824	1000	False
CARE2025_primary	MPI	UniProt:P34949	DONE	expression_source_only;not_function	Myeloid	Neoplastic	0.003728429362317945	0.747	1000	False
CARE2025_primary	PFKL	UniProt:P17858	DONE	expression_source_only;not_function	Vascular	Astrocyte	0.03368200161015339	0.881	1000	False
CARE2025_primary	PFKM	UniProt:P08237	DONE	expression_source_only;not_function	Astrocyte	Neuron	0.003483948245833951	0.525	1000	False
CARE2025_primary	PFKP	UniProt:Q01813	DONE	expression_source_only;not_function	Astrocyte	Neuron	0.22244472112656133	1.0	1000	False
CARE2025_primary	ACSL3	UniProt:O95573	DONE	expression_source_only;not_function	OPC	Astrocyte	0.03747788320720158	0.648	1000	False
CARE2025_primary	ACSL4	UniProt:O60488	DONE	expression_source_only;not_function	Myeloid	Lymphoid	0.2967376167305293	1.0	1000	False
CARE2025_primary	ALOX15	UniProt:P16050	DONE	expression_source_only;not_function	Neuron	Neoplastic	0.0021197830100063027	0.778	1000	False
CARE2025_primary	CYP4F2	UniProt:P78329	NOT_EVALUABLE	fewer_than2_categories_or_detection_below1percent	NA	NA	NA	NA	1000	False
CARE2025_primary	BCAT1	hsa:586	DONE	expression_source_only;not_function	Myeloid	OPC	0.15764666377787717	0.998	1000	False
CARE2025_primary	BCAT2	hsa:587	DONE	expression_source_only;not_function	Astrocyte	Neoplastic	0.06882227876868185	0.983	1000	False
CARE2025_primary	IARS1	hsa:3376	NOT_EVALUABLE	fewer_than2_categories_or_detection_below1percent	NA	NA	NA	NA	0	False
CARE2025_primary	IARS2	hsa:55699	DONE	expression_source_only;not_function	Neoplastic	Oligodendrocyte	0.022497153254200153	0.908	1000	False
CARE2025_primary	SLC43A1	hsa:8501	DONE	expression_source_only;not_function	Neuron	Vascular	0.004716840964471544	0.661	1000	False
CARE2025_primary	SLC43A2	hsa:124935	DONE	expression_source_only;not_function	Myeloid	Astrocyte	0.25428865231786585	1.0	1000	False
CARE2025_primary	SLC6A14	hsa:11254	NOT_EVALUABLE	fewer_than2_categories_or_detection_below1percent	NA	NA	NA	NA	1000	False
CARE2025_primary	SLC6A15	hsa:55117	DONE	expression_source_only;not_function	Neuron	Oligodendrocyte	0.11292836511215495	0.984	1000	False
CARE2025_primary	SLC6A19	hsa:340024	NOT_EVALUABLE	fewer_than2_categories_or_detection_below1percent	NA	NA	NA	NA	1000	False
CARE2025_primary	SLC7A5	hsa:8140	DONE	expression_source_only;not_function	Vascular	Myeloid	0.38275547548068356	1.0	1000	False
CARE2025_primary	SLC7A8	hsa:23428	DONE	expression_source_only;not_function	Myeloid	Neuron	0.008761312556844592	0.558	1000	False
CARE2025_primary	ADO	hsa:84890	DONE	expression_source_only;not_function	Oligodendrocyte	Vascular	0.03569571586144059	1.0	1000	False
CARE2025_primary	CSAD	hsa:51380	DONE	expression_source_only;not_function	Neoplastic	Astrocyte	0.005066612480061239	0.391	1000	False
CARE2025_primary	FMO1	hsa:2326	NOT_EVALUABLE	fewer_than2_categories_or_detection_below1percent	NA	NA	NA	NA	1000	False
CARE2025_primary	FMO3	hsa:2328	DONE	expression_source_only;not_function	OPC	Neuron	0.020733201603592794	0.824	1000	False
CARE2025_primary	GADL1	hsa:339896	DONE	expression_source_only;not_function	Neuron	Neoplastic	0.01932966053395814	0.932	1000	False
CARE2025_primary	SLC6A1	hsa:6529	DONE	expression_source_only;not_function	Oligodendrocyte	OPC	0.004963132622560873	0.474	1000	False
CARE2025_primary	SLC6A11	hsa:6538	DONE	expression_source_only;not_function	Astrocyte	Neoplastic	0.08638023239963255	0.948	1000	False
CARE2025_primary	SLC6A13	hsa:6540	DONE	expression_source_only;not_function	Vascular	Astrocyte	0.043302592782683884	0.929	1000	False
CARE2025_primary	SLC6A6	hsa:6533	DONE	expression_source_only;not_function	Myeloid	Oligodendrocyte	0.006098001352428606	0.343	1000	False
CARE2025_primary	ACLY	hsa:47	DONE	expression_source_only;not_function	Neoplastic	OPC	0.026439920303057418	0.887	1000	False
CARE2025_primary	ACO1	hsa:48	DONE	expression_source_only;not_function	Astrocyte	Oligodendrocyte	0.06753274065363904	0.988	1000	False
CARE2025_primary	ACO2	hsa:50	DONE	expression_source_only;not_function	Astrocyte	Neuron	0.13165918794472403	1.0	1000	False
CARE2025_primary	ANKH	hsa:56172	DONE	expression_source_only;not_function	Oligodendrocyte	Myeloid	0.11517957243258592	0.989	1000	False
CARE2025_primary	CS	hsa:1431	DONE	expression_source_only;not_function	Neoplastic	Myeloid	0.016270804674645117	0.89	1000	False
CARE2025_primary	RIMKLB	hsa:57494	DONE	expression_source_only;not_function	Vascular	Neoplastic	0.09899539155500298	0.965	1000	False
CARE2025_primary	SFXN5	hsa:94097	DONE	expression_source_only;not_function	Astrocyte	Neoplastic	0.5927849875975879	1.0	1000	False
CARE2025_primary	SLC13A2	hsa:9058	NOT_EVALUABLE	fewer_than2_categories_or_detection_below1percent	NA	NA	NA	NA	1000	False
CARE2025_primary	SLC13A5	hsa:284111	DONE	expression_source_only;not_function	Astrocyte	OPC	0.05919946971730215	1.0	1000	False
CARE2025_primary	SLC25A1	hsa:6576	DONE	expression_source_only;not_function	Oligodendrocyte	Neoplastic	0.009457616819581904	0.822	1000	False
CARE2025_primary	SLC25A14	hsa:9016	DONE	expression_source_only;not_function	Neuron	Neoplastic	0.009372848437776471	0.903	1000	False
CARE2025_primary	SLC25A21	hsa:89874	DONE	expression_source_only;not_function	Neuron	OPC	0.06819516730900368	0.995	1000	False
CARE2025_primary	CYP27A1	HGNC:2605	DONE	expression_source_only;not_function	Oligodendrocyte	Astrocyte	0.316233674803708	1.0	1000	False
CARE2025_primary	SOAT1	UniProt:P35610	DONE	expression_source_only;not_function	Myeloid	Lymphoid	0.527647614579789	1.0	1000	False
