cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	feature_id	normal_label_conflict	original_cohort_q	statistics_reused	family_n_planned	historical_status	current_status	current_reason
GBM	CAMP_GBM	01_CAMP	20260925T103000Z_discovery_v1	gbm_discovery_v1	historical_unpaired_reuse_conditional	KEGG:C05984	2-hydroxybutyrate (AHB)	NA	author_case	74.0	6.0	Hedges_g_preserved	0.54123574182596	-0.294954174771328	1.37742565842325	0.31945156009516	0.3614894567137874	METAB_UNPAIRED_HISTORICAL	697.0	NEEDS_REVIEW	six_normal_tissue_labels_conflict_between_author_files	CAMP_v0.3.4_GBM	GBM_FEATURE:196aadb66775b8ad	True	0.361489456713787	True	713.0	NEEDS_REVIEW	DONE	master_TN_corroborated_in_identity_v2;unpaired_reference_confounding_remains
GBM	CAMP_GBM	01_CAMP	20260925T103000Z_discovery_v1	gbm_discovery_v1	historical_unpaired_reuse_conditional	KEGG:C02630	2-hydroxyglutarate	NA	author_case	74.0	6.0	Hedges_g_preserved	0.602156927484491	-0.235032440148337	1.43934629511732	0.0398790641864644	0.0595214528878277	METAB_UNPAIRED_HISTORICAL	697.0	NEEDS_REVIEW	six_normal_tissue_labels_conflict_between_author_files	CAMP_v0.3.4_GBM	GBM_FEATURE:068b02a1d3375ba5	True	0.0595214528878277	True	713.0	NEEDS_REVIEW	DONE	master_TN_corroborated_in_identity_v2;unpaired_reference_confounding_remains
GBM	CAMP_GBM	01_CAMP	20260925T103000Z_discovery_v1	gbm_discovery_v1	historical_unpaired_reuse_conditional	KEGG:C01089	3-hydroxybutyrate (BHBA)	NA	author_case	74.0	6.0	Hedges_g_preserved	-0.276499803213161	-1.10957590783376	0.556576301407443	0.540584360552862	0.5832620732280879	METAB_UNPAIRED_HISTORICAL	697.0	NEEDS_REVIEW	six_normal_tissue_labels_conflict_between_author_files	CAMP_v0.3.4_GBM	GBM_FEATURE:7193983cba836c84	True	0.583262073228088	True	713.0	NEEDS_REVIEW	DONE	master_TN_corroborated_in_identity_v2;unpaired_reference_confounding_remains
GBM	CAMP_GBM	01_CAMP	20260925T103000Z_discovery_v1	gbm_discovery_v1	historical_unpaired_reuse_conditional	KEGG:C00597	3-phosphoglycerate	NA	author_case	74.0	6.0	Hedges_g_preserved	0.512151026848044	-0.323598918620191	1.34790097231628	0.0843060731362017	0.114109524705742	METAB_UNPAIRED_HISTORICAL	697.0	NEEDS_REVIEW	six_normal_tissue_labels_conflict_between_author_files	CAMP_v0.3.4_GBM	GBM_FEATURE:5873643eef6d7936	True	0.114109524705742	True	713.0	NEEDS_REVIEW	DONE	master_TN_corroborated_in_identity_v2;unpaired_reference_confounding_remains
GBM	CAMP_GBM	01_CAMP	20260925T103000Z_discovery_v1	gbm_discovery_v1	historical_unpaired_reuse_conditional	NA	adenine	NA	author_case	NA	NA	NA	NA	NA	NA	NA	NA	METAB_UNPAIRED_HISTORICAL	697.0	NOT_EVALUABLE	not_retained_in_both_tissue_filters	CAMP_v0.3.4_GBM	GBM_FEATURE:ed8fb7b3c625e273	True	NA	NA	713.0	NOT_EVALUABLE	NOT_EVALUABLE	not_retained_in_both_tissue_filters
GBM	CAMP_GBM	01_CAMP	20260925T103000Z_discovery_v1	gbm_discovery_v1	historical_unpaired_reuse_conditional	NAME:aminomalonic acid (spectralmatch)	aminomalonic acid (spectralmatch)	NA	author_case	74.0	6.0	Hedges_g_preserved	0.686953684013794	-0.151801720123397	1.52570908815099	0.0586793160702251	0.0834683332672385	METAB_UNPAIRED_HISTORICAL	697.0	NEEDS_REVIEW	six_normal_tissue_labels_conflict_between_author_files	CAMP_v0.3.4_GBM	GBM_FEATURE:8de82c5e0cb2f1ef	True	0.0834683332672386	True	713.0	NEEDS_REVIEW	DONE	master_TN_corroborated_in_identity_v2;unpaired_reference_confounding_remains
GBM	CAMP_GBM	01_CAMP	20260925T103000Z_discovery_v1	gbm_discovery_v1	historical_unpaired_reuse_conditional	KEGG:C01789	campesterol	NA	author_case	74.0	6.0	Hedges_g_preserved	0.295013985403529	-0.538214583808247	1.12824255461531	0.0875856555917187	0.1179367168825419	METAB_UNPAIRED_HISTORICAL	697.0	NEEDS_REVIEW	six_normal_tissue_labels_conflict_between_author_files	CAMP_v0.3.4_GBM	GBM_FEATURE:3a021448cc1f1b7a	True	0.117936716882542	True	713.0	NEEDS_REVIEW	DONE	master_TN_corroborated_in_identity_v2;unpaired_reference_confounding_remains
GBM	CAMP_GBM	01_CAMP	20260925T103000Z_discovery_v1	gbm_discovery_v1	historical_unpaired_reuse_conditional	KEGG:C01571	caprate (10:0)	NA	author_case	74.0	6.0	Hedges_g_preserved	-0.180377100381185	-1.0128201117035	0.652065910941134	0.862232269976876	0.8877052426569524	METAB_UNPAIRED_HISTORICAL	697.0	NEEDS_REVIEW	six_normal_tissue_labels_conflict_between_author_files	CAMP_v0.3.4_GBM	GBM_FEATURE:b5aaffbea4fd4e18	True	0.887705242656953	True	713.0	NEEDS_REVIEW	DONE	master_TN_corroborated_in_identity_v2;unpaired_reference_confounding_remains
GBM	CAMP_GBM	01_CAMP	20260925T103000Z_discovery_v1	gbm_discovery_v1	historical_unpaired_reuse_conditional	KEGG:C00187	cholesterol	NA	author_case	74.0	6.0	Hedges_g_preserved	-1.08456167476451	-1.93333874770727	-0.235784601821752	0.0023548148364858	0.005050172126248	METAB_UNPAIRED_HISTORICAL	697.0	NEEDS_REVIEW	six_normal_tissue_labels_conflict_between_author_files	CAMP_v0.3.4_GBM	GBM_FEATURE:366993077ce453b4	True	0.005050172126248	True	713.0	NEEDS_REVIEW	DONE	master_TN_corroborated_in_identity_v2;unpaired_reference_confounding_remains
GBM	CAMP_GBM	01_CAMP	20260925T103000Z_discovery_v1	gbm_discovery_v1	historical_unpaired_reuse_conditional	KEGG:C00158	citrate	NA	author_case	74.0	6.0	Hedges_g_preserved	3.82614001120116	2.80453788174881	4.84774214065351	8.2682561147626e-05	0.0005881716412019	METAB_UNPAIRED_HISTORICAL	697.0	NEEDS_REVIEW	six_normal_tissue_labels_conflict_between_author_files	CAMP_v0.3.4_GBM	GBM_FEATURE:3373c499464b3190	True	0.0005881716412019	True	713.0	NEEDS_REVIEW	DONE	master_TN_corroborated_in_identity_v2;unpaired_reference_confounding_remains
GBM	CAMP_GBM	01_CAMP	20260925T103000Z_discovery_v1	gbm_discovery_v1	historical_unpaired_reuse_conditional	KEGG:C00791	creatinine	NA	author_case	74.0	6.0	Hedges_g_preserved	-2.00379700555324	-2.8918201982412	-1.11577381286528	7.6613015978231e-05	0.0005881716412019	METAB_UNPAIRED_HISTORICAL	697.0	NEEDS_REVIEW	six_normal_tissue_labels_conflict_between_author_files	CAMP_v0.3.4_GBM	GBM_FEATURE:d11a2e5ffb2b2041	True	0.0005881716412019	True	713.0	NEEDS_REVIEW	DONE	master_TN_corroborated_in_identity_v2;unpaired_reference_confounding_remains
GBM	CAMP_GBM	01_CAMP	20260925T103000Z_discovery_v1	gbm_discovery_v1	historical_unpaired_reuse_conditional	KEGG:C01662	galactose	NA	author_case	74.0	6.0	Hedges_g_preserved	0.39018655858552	-0.443981047982672	1.22435416515371	0.328434461184111	0.3710191563133312	METAB_UNPAIRED_HISTORICAL	697.0	NEEDS_REVIEW	six_normal_tissue_labels_conflict_between_author_files	CAMP_v0.3.4_GBM	GBM_FEATURE:42bff579a40990b3	True	0.371019156313332	True	713.0	NEEDS_REVIEW	DONE	master_TN_corroborated_in_identity_v2;unpaired_reference_confounding_remains
GBM	CAMP_GBM	01_CAMP	20260925T103000Z_discovery_v1	gbm_discovery_v1	historical_unpaired_reuse_conditional	NA	dehydroascorbate	NA	author_case	NA	NA	NA	NA	NA	NA	NA	NA	METAB_UNPAIRED_HISTORICAL	697.0	NOT_EVALUABLE	not_retained_in_both_tissue_filters	CAMP_v0.3.4_GBM	GBM_FEATURE:1f2c906b7469db48	True	NA	NA	713.0	NOT_EVALUABLE	NOT_EVALUABLE	not_retained_in_both_tissue_filters
GBM	CAMP_GBM	01_CAMP	20260925T103000Z_discovery_v1	gbm_discovery_v1	historical_unpaired_reuse_conditional	KEGG:C05345	fructose-6-phosphate	NA	author_case	74.0	6.0	Hedges_g_preserved	0.891971563743348	0.0485956956954604	1.73534743179124	0.0155057117213828	0.0253122349186678	METAB_UNPAIRED_HISTORICAL	697.0	NEEDS_REVIEW	six_normal_tissue_labels_conflict_between_author_files	CAMP_v0.3.4_GBM	GBM_FEATURE:0e666297b1d455c9	True	0.0253122349186679	True	713.0	NEEDS_REVIEW	DONE	master_TN_corroborated_in_identity_v2;unpaired_reference_confounding_remains
GBM	CAMP_GBM	01_CAMP	20260925T103000Z_discovery_v1	gbm_discovery_v1	historical_unpaired_reuse_conditional	KEGG:C00257	gluconate	NA	author_case	74.0	6.0	Hedges_g_preserved	0.619798052468024	-0.217700373021048	1.4572964779571	0.0517282959419907	0.0743394273640567	METAB_UNPAIRED_HISTORICAL	697.0	NEEDS_REVIEW	six_normal_tissue_labels_conflict_between_author_files	CAMP_v0.3.4_GBM	GBM_FEATURE:8a93f353e4c326a0	True	0.0743394273640567	True	713.0	NEEDS_REVIEW	DONE	master_TN_corroborated_in_identity_v2;unpaired_reference_confounding_remains
GBM	CAMP_GBM	01_CAMP	20260925T103000Z_discovery_v1	gbm_discovery_v1	historical_unpaired_reuse_conditional	KEGG:C00031	glucose	NA	author_case	74.0	6.0	Hedges_g_preserved	1.89818659966406	1.01575195159356	2.78062124773456	0.0020842956914944	0.0045401313532699	METAB_UNPAIRED_HISTORICAL	697.0	NEEDS_REVIEW	six_normal_tissue_labels_conflict_between_author_files	CAMP_v0.3.4_GBM	GBM_FEATURE:88a2f109b13da155	True	0.00454013135327	True	713.0	NEEDS_REVIEW	DONE	master_TN_corroborated_in_identity_v2;unpaired_reference_confounding_remains
GBM	CAMP_GBM	01_CAMP	20260925T103000Z_discovery_v1	gbm_discovery_v1	historical_unpaired_reuse_conditional	KEGG:C00668	glucose 6-phosphate	NA	author_case	74.0	6.0	Hedges_g_preserved	0.741235786033294	-0.0986284924409118	1.5811000645075	0.063731256615157	0.0901028110766012	METAB_UNPAIRED_HISTORICAL	697.0	NEEDS_REVIEW	six_normal_tissue_labels_conflict_between_author_files	CAMP_v0.3.4_GBM	GBM_FEATURE:dc88f8fcb887555f	True	0.0901028110766012	True	713.0	NEEDS_REVIEW	DONE	master_TN_corroborated_in_identity_v2;unpaired_reference_confounding_remains
