cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	stable_gene_id	partition	celltype	n_source_labels_total	n_source_labels_eligible	n_cells_total	n_cells_eligible	mean_detection_fraction	median_donor_mean	q25	q75	annotation_origin	normalization
GBM	CARE2025_primary	06_EXTERNAL	20260925T151224Z_sc_replacement_v2	gbm_care_sources_v2	donor_equal_cell_source	NA	NA	LYPLA1	author_patient	21	NA	donor_equal_mean_log1pCP10k	0.264842594574886	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	descriptive_only	GSE274546	hsa:10434	CARE2025_primary	Astrocyte	55	21	2205	2057	0.2764443758825393	0.2522961084041299	0.1833523036961412	0.2990263515694896	CARE author CellType 2025-01-08	log1p(10000*count/full33538_gene_library);nonnegative integer UMI
GBM	CARE2025_primary	06_EXTERNAL	20260925T151224Z_sc_replacement_v2	gbm_care_sources_v2	donor_equal_cell_source	NA	NA	LYPLA1	author_patient	24	NA	donor_equal_mean_log1pCP10k	0.3434471974806712	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	descriptive_only	GSE274546	hsa:10434	CARE2025_primary	Lymphoid	55	24	2765	2575	0.2018451138339955	0.317518448209481	0.2931284970641079	0.3989946622609405	CARE author CellType 2025-01-08	log1p(10000*count/full33538_gene_library);nonnegative integer UMI
GBM	CARE2025_primary	06_EXTERNAL	20260925T151224Z_sc_replacement_v2	gbm_care_sources_v2	donor_equal_cell_source	NA	NA	LYPLA1	author_patient	51	NA	donor_equal_mean_log1pCP10k	0.4960076341712953	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	descriptive_only	GSE274546	hsa:10434	CARE2025_primary	Myeloid	55	51	33051	33034	0.3859611390959756	0.5243427942199501	0.3955740833369205	0.6215066370183524	CARE author CellType 2025-01-08	log1p(10000*count/full33538_gene_library);nonnegative integer UMI
GBM	CARE2025_primary	06_EXTERNAL	20260925T151224Z_sc_replacement_v2	gbm_care_sources_v2	donor_equal_cell_source	NA	NA	LYPLA1	author_patient	55	NA	donor_equal_mean_log1pCP10k	0.2866702855561097	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	descriptive_only	GSE274546	hsa:10434	CARE2025_primary	Neoplastic	55	55	133107	133107	0.3008518014269208	0.295127341696993	0.2229471859813949	0.3601190419362006	CARE author CellType 2025-01-08	log1p(10000*count/full33538_gene_library);nonnegative integer UMI
GBM	CARE2025_primary	06_EXTERNAL	20260925T151224Z_sc_replacement_v2	gbm_care_sources_v2	donor_equal_cell_source	NA	NA	LYPLA1	author_patient	23	NA	donor_equal_mean_log1pCP10k	0.226474825968119	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	descriptive_only	GSE274546	hsa:10434	CARE2025_primary	Neuron	55	23	7482	7352	0.3183286070287443	0.2405953694605491	0.2076803492038809	0.2794861803763238	CARE author CellType 2025-01-08	log1p(10000*count/full33538_gene_library);nonnegative integer UMI
GBM	CARE2025_primary	06_EXTERNAL	20260925T151224Z_sc_replacement_v2	gbm_care_sources_v2	donor_equal_cell_source	NA	NA	LYPLA1	author_patient	20	NA	donor_equal_mean_log1pCP10k	0.1562165238003344	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	descriptive_only	GSE274546	hsa:10434	CARE2025_primary	OPC	55	20	5657	5503	0.1607264087138162	0.1485652935021535	0.0906140031190747	0.1984670845793916	CARE author CellType 2025-01-08	log1p(10000*count/full33538_gene_library);nonnegative integer UMI
GBM	CARE2025_primary	06_EXTERNAL	20260925T151224Z_sc_replacement_v2	gbm_care_sources_v2	donor_equal_cell_source	NA	NA	LYPLA1	author_patient	32	NA	donor_equal_mean_log1pCP10k	0.101425161646294	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	descriptive_only	GSE274546	hsa:10434	CARE2025_primary	Oligodendrocyte	55	32	13481	13385	0.0879823542350683	0.0983462677266481	0.0708094733986944	0.1249028411829496	CARE author CellType 2025-01-08	log1p(10000*count/full33538_gene_library);nonnegative integer UMI
GBM	CARE2025_primary	06_EXTERNAL	20260925T151224Z_sc_replacement_v2	gbm_care_sources_v2	donor_equal_cell_source	NA	NA	LYPLA1	author_patient	32	NA	donor_equal_mean_log1pCP10k	0.2683462009408877	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	descriptive_only	GSE274546	hsa:10434	CARE2025_primary	Unresolved	55	32	5079	4940	0.201091913156753	0.278971632965325	0.1343944275972864	0.3812837945470907	CARE author CellType 2025-01-08	log1p(10000*count/full33538_gene_library);nonnegative integer UMI
GBM	CARE2025_primary	06_EXTERNAL	20260925T151224Z_sc_replacement_v2	gbm_care_sources_v2	donor_equal_cell_source	NA	NA	LYPLA1	author_patient	30	NA	donor_equal_mean_log1pCP10k	0.4038268882496145	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	descriptive_only	GSE274546	hsa:10434	CARE2025_primary	Vascular	55	30	3053	2872	0.3540319942169799	0.3990026586844021	0.2822558284594358	0.5531730770065895	CARE author CellType 2025-01-08	log1p(10000*count/full33538_gene_library);nonnegative integer UMI
GBM	CARE2025_recurrent	06_EXTERNAL	20260925T151224Z_sc_replacement_v2	gbm_care_sources_v2	donor_equal_cell_source	NA	NA	LYPLA1	author_patient	34	NA	donor_equal_mean_log1pCP10k	0.1691077059076488	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	descriptive_only	GSE274546	hsa:10434	CARE2025_recurrent	Astrocyte	59	34	6291	6115	0.1912473571438506	0.1666027650830529	0.1061901213889306	0.2148181847584473	CARE author CellType 2025-01-08	log1p(10000*count/full33538_gene_library);nonnegative integer UMI
