cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	n_pairs_total	n_pairs_used	n_nonzero	n_up	n_down	n_equal	up_fraction	down_fraction	mean_delta	median_delta	rank_biserial	n_both_available	missing_rate_tumor	missing_rate_normal	mask_semantics	p_method	zero_method	tie_method	continuity_correction	B	seed	bootstrap_valid	ci_method	ci_estimand	family_n_planned	direction_discordant	evidence_tier	workpool_entry	n_both_preimputation_available	original_camp_g	original_camp_q	same_input_reused	q_original	p_original	reused_from	statistics_reused	bootstrap_B	marginal_mask_status
PDAC	CAMP_PDAC_GSE62452	01_CAMP	20260922T112500Z_sop_v3_discovery	PDAC_CAMP_source_SOP_v3	both_preimputation_available	HMDB:HMDB0037397	(16 or 17)-methylstearate (a19:0 or i19:0)	NA	author_confirmed_patient_pair	11	11	paired_mean_tumor_minus_normal_author_processed_scale	-0.241681169018173	-0.9587021937491996	0.5123251193945871	0.5771484375	0.8130631272810219	METAB_PAIRED_AVAILABLE	193	DONE	Same input/effect/P/CI reused;new min8 gate;BH over evaluable tests;per-tissue mask fractions pending server	CAMP_mapping_plus_GSE62452_author_pair_table	11	11	11.0	3	8	0	0.2727272727272727	0.7272727272727273	-0.241681169018173	-0.4232031608903028	-0.2121212121212121	11	NA	NA	author_available_value_mask;not_mass_spectrometry_detection	exact_signed_rank_sign_enumeration	wilcox	average_ranks	False	0	1550084397	10000.0	historical_10000_pair_percentile_bootstrap_reused	mean_delta	307	False	NOT_SUPPORTED_THIS_TEST	False	11	-0.735013762827141	0.0816683379714033	True	1.0	0.5771484375	results/PDAC/04_ROBUSTNESS/20260921T121509Z_paired_metabolites_v1	True	10000	ACCESS_BLOCKED;requires_server_matrix
PDAC	CAMP_PDAC_GSE62452	01_CAMP	20260922T112500Z_sop_v3_discovery	PDAC_CAMP_source_SOP_v3	both_preimputation_available	HMDB:HMDB07098	1,2-dipalmitoylglycerol	NA	author_confirmed_patient_pair	5	11	paired_mean_tumor_minus_normal_author_processed_scale	NA	NA	NA	NA	NA	METAB_PAIRED_AVAILABLE	193	NOT_EVALUABLE	N_PAIRS_LT_8;historical P retained in p_original;description and historical mean CI retained	CAMP_mapping_plus_GSE62452_author_pair_table	11	5	NA	2	3	0	0.4	0.6	NA	NA	NA	5	NA	NA	author_available_value_mask;not_mass_spectrometry_detection	exact_signed_rank_sign_enumeration	wilcox	average_ranks	False	0	1760523389	NA	historical_10000_pair_percentile_bootstrap_reused	mean_delta	307	NA	NOT_EVALUABLE	False	5	-0.822478355429891	0.116290740921795	False	NA	NA	results/PDAC/04_ROBUSTNESS/20260921T121509Z_paired_metabolites_v1	True	10000	ACCESS_BLOCKED;requires_server_matrix
PDAC	CAMP_PDAC_GSE62452	01_CAMP	20260922T112500Z_sop_v3_discovery	PDAC_CAMP_source_SOP_v3	both_preimputation_available	KEGG:C00184	1,3-dihydroxyacetone	NA	author_confirmed_patient_pair	4	11	paired_mean_tumor_minus_normal_author_processed_scale	NA	NA	NA	NA	NA	METAB_PAIRED_AVAILABLE	193	NOT_EVALUABLE	N_PAIRS_LT_8;historical P retained in p_original;description and historical mean CI retained	CAMP_mapping_plus_GSE62452_author_pair_table	11	4	NA	4	0	0	1.0	0.0	NA	NA	NA	4	NA	NA	author_available_value_mask;not_mass_spectrometry_detection	exact_signed_rank_sign_enumeration	wilcox	average_ranks	False	0	132299585	NA	historical_10000_pair_percentile_bootstrap_reused	mean_delta	307	NA	NOT_EVALUABLE	False	4	0.84453497874925	0.0813113981805886	False	NA	NA	results/PDAC/04_ROBUSTNESS/20260921T121509Z_paired_metabolites_v1	True	10000	ACCESS_BLOCKED;requires_server_matrix
PDAC	CAMP_PDAC_GSE62452	01_CAMP	20260922T112500Z_sop_v3_discovery	PDAC_CAMP_source_SOP_v3	both_preimputation_available	KEGG:C07326	1,5-anhydroglucitol (1,5-AG)	NA	author_confirmed_patient_pair	9	11	paired_mean_tumor_minus_normal_author_processed_scale	0.2443870243495776	-0.5771529640747699	1.1304055447887	0.8203125	0.9662262330572289	METAB_PAIRED_AVAILABLE	193	DONE	Same input/effect/P/CI reused;new min8 gate;BH over evaluable tests;per-tissue mask fractions pending server	CAMP_mapping_plus_GSE62452_author_pair_table	11	9	9.0	4	5	0	0.4444444444444444	0.5555555555555556	0.2443870243495776	-0.0498016812417994	0.1111111111111111	9	NA	NA	author_available_value_mask;not_mass_spectrometry_detection	exact_signed_rank_sign_enumeration	wilcox	average_ranks	False	0	2693008706	10000.0	historical_10000_pair_percentile_bootstrap_reused	mean_delta	307	True	NOT_SUPPORTED_THIS_TEST	False	9	0.00447850458207	0.898497970966782	False	1.0	0.8203125	results/PDAC/04_ROBUSTNESS/20260921T121509Z_paired_metabolites_v1	True	10000	ACCESS_BLOCKED;requires_server_matrix
PDAC	CAMP_PDAC_GSE62452	01_CAMP	20260922T112500Z_sop_v3_discovery	PDAC_CAMP_source_SOP_v3	both_preimputation_available	NAME:1-(1-enyl-palmitoyl)-GPE (P-16:0)	1-(1-enyl-palmitoyl)-GPE (P-16:0)	NA	author_confirmed_patient_pair	11	11	paired_mean_tumor_minus_normal_author_processed_scale	0.1294837039215631	-0.8799526905361286	1.123921080927598	0.8310546875	0.9662262330572289	METAB_PAIRED_AVAILABLE	193	DONE	Same input/effect/P/CI reused;new min8 gate;BH over evaluable tests;per-tissue mask fractions pending server	CAMP_mapping_plus_GSE62452_author_pair_table	11	11	11.0	7	4	0	0.6363636363636364	0.3636363636363636	0.1294837039215631	0.2366453110846968	0.0909090909090908	11	NA	NA	author_available_value_mask;not_mass_spectrometry_detection	exact_signed_rank_sign_enumeration	wilcox	average_ranks	False	0	3958823055	10000.0	historical_10000_pair_percentile_bootstrap_reused	mean_delta	307	False	NOT_SUPPORTED_THIS_TEST	False	11	-0.482178810493073	0.458392588054548	True	1.0	0.8310546875	results/PDAC/04_ROBUSTNESS/20260921T121509Z_paired_metabolites_v1	True	10000	ACCESS_BLOCKED;requires_server_matrix
PDAC	CAMP_PDAC_GSE62452	01_CAMP	20260922T112500Z_sop_v3_discovery	PDAC_CAMP_source_SOP_v3	both_preimputation_available	KEGG:C05208	1-arachidonoyl-GPC (20:4n6)	NA	author_confirmed_patient_pair	2	11	paired_mean_tumor_minus_normal_author_processed_scale	NA	NA	NA	NA	NA	METAB_PAIRED_AVAILABLE	193	NOT_EVALUABLE	N_PAIRS_LT_8;historical P retained in p_original;description and historical mean CI retained	CAMP_mapping_plus_GSE62452_author_pair_table	11	2	NA	2	0	0	1.0	0.0	NA	NA	NA	2	NA	NA	author_available_value_mask;not_mass_spectrometry_detection	exact_signed_rank_sign_enumeration	wilcox	average_ranks	False	0	4125970949	NA	historical_10000_pair_percentile_bootstrap_reused	mean_delta	307	NA	NOT_EVALUABLE	False	2	0.184801683822867	0.930487365328862	False	NA	NA	results/PDAC/04_ROBUSTNESS/20260921T121509Z_paired_metabolites_v1	True	10000	ACCESS_BLOCKED;requires_server_matrix
PDAC	CAMP_PDAC_GSE62452	01_CAMP	20260922T112500Z_sop_v3_discovery	PDAC_CAMP_source_SOP_v3	both_preimputation_available	HMDB:HMDB11517	1-arachidonoyl-GPE (20:4n6)	NA	author_confirmed_patient_pair	2	11	paired_mean_tumor_minus_normal_author_processed_scale	NA	NA	NA	NA	NA	METAB_PAIRED_AVAILABLE	193	NOT_EVALUABLE	N_PAIRS_LT_8;historical P retained in p_original;description and historical mean CI retained	CAMP_mapping_plus_GSE62452_author_pair_table	11	2	NA	1	1	0	0.5	0.5	NA	NA	NA	2	NA	NA	author_available_value_mask;not_mass_spectrometry_detection	exact_signed_rank_sign_enumeration	wilcox	average_ranks	False	0	2946718182	NA	historical_10000_pair_percentile_bootstrap_reused	mean_delta	307	NA	NOT_EVALUABLE	False	2	0.988099170752322	0.0696770012219702	False	NA	NA	results/PDAC/04_ROBUSTNESS/20260921T121509Z_paired_metabolites_v1	True	10000	ACCESS_BLOCKED;requires_server_matrix
PDAC	CAMP_PDAC_GSE62452	01_CAMP	20260922T112500Z_sop_v3_discovery	PDAC_CAMP_source_SOP_v3	both_preimputation_available	NAME:1-heptadecanoylglycerol (1-monoheptadecanoin)	1-heptadecanoylglycerol (1-monoheptadecanoin)	NA	author_confirmed_patient_pair	3	11	paired_mean_tumor_minus_normal_author_processed_scale	NA	NA	NA	NA	NA	METAB_PAIRED_AVAILABLE	193	NOT_EVALUABLE	N_PAIRS_LT_8;historical P retained in p_original;description and historical mean CI retained	CAMP_mapping_plus_GSE62452_author_pair_table	11	3	NA	1	2	0	0.3333333333333333	0.6666666666666666	NA	NA	NA	3	NA	NA	author_available_value_mask;not_mass_spectrometry_detection	exact_signed_rank_sign_enumeration	wilcox	average_ranks	False	0	3706036895	NA	historical_10000_pair_percentile_bootstrap_reused	mean_delta	307	NA	NOT_EVALUABLE	False	3	-0.599119137059941	0.156312484983901	False	NA	NA	results/PDAC/04_ROBUSTNESS/20260921T121509Z_paired_metabolites_v1	True	10000	ACCESS_BLOCKED;requires_server_matrix
PDAC	CAMP_PDAC_GSE62452	01_CAMP	20260922T112500Z_sop_v3_discovery	PDAC_CAMP_source_SOP_v3	both_preimputation_available	KEGG:C04100	1-linoleoyl-GPC (18:2)	NA	author_confirmed_patient_pair	4	11	paired_mean_tumor_minus_normal_author_processed_scale	NA	NA	NA	NA	NA	METAB_PAIRED_AVAILABLE	193	NOT_EVALUABLE	N_PAIRS_LT_8;historical P retained in p_original;description and historical mean CI retained	CAMP_mapping_plus_GSE62452_author_pair_table	11	4	NA	3	1	0	0.75	0.25	NA	NA	NA	4	NA	NA	author_available_value_mask;not_mass_spectrometry_detection	exact_signed_rank_sign_enumeration	wilcox	average_ranks	False	0	691821925	NA	historical_10000_pair_percentile_bootstrap_reused	mean_delta	307	NA	NOT_EVALUABLE	False	4	-0.120475470236274	0.759790430805399	False	NA	NA	results/PDAC/04_ROBUSTNESS/20260921T121509Z_paired_metabolites_v1	True	10000	ACCESS_BLOCKED;requires_server_matrix
PDAC	CAMP_PDAC_GSE62452	01_CAMP	20260922T112500Z_sop_v3_discovery	PDAC_CAMP_source_SOP_v3	both_preimputation_available	KEGG:C04230	1-margaroylglycerophosphocholine (17:0)	NA	author_confirmed_patient_pair	3	11	paired_mean_tumor_minus_normal_author_processed_scale	NA	NA	NA	NA	NA	METAB_PAIRED_AVAILABLE	193	NOT_EVALUABLE	N_PAIRS_LT_8;historical P retained in p_original;description and historical mean CI retained	CAMP_mapping_plus_GSE62452_author_pair_table	11	3	NA	1	2	0	0.3333333333333333	0.6666666666666666	NA	NA	NA	3	NA	NA	author_available_value_mask;not_mass_spectrometry_detection	exact_signed_rank_sign_enumeration	wilcox	average_ranks	False	0	4044958654	NA	historical_10000_pair_percentile_bootstrap_reused	mean_delta	307	NA	NOT_EVALUABLE	False	3	-0.249684258354274	0.698660937169629	False	NA	NA	results/PDAC/04_ROBUSTNESS/20260921T121509Z_paired_metabolites_v1	True	10000	ACCESS_BLOCKED;requires_server_matrix
