cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	n_pairs_total	n_pairs_used	n_nonzero	n_up	n_down	n_equal	up_fraction	down_fraction	mean_delta	median_delta	rank_biserial	n_both_available	missing_rate_tumor	missing_rate_normal	mask_semantics	p_method	zero_method	tie_method	continuity_correction	B	seed	bootstrap_valid	ci_method	ci_estimand	family_n_planned	direction_discordant	evidence_tier	workpool_entry	n_both_preimputation_available	original_camp_g	original_camp_q	same_input_reused	q_original	p_original	reused_from	statistics_reused	bootstrap_B	marginal_mask_status
PDAC	CAMP_PDAC_GSE62452	01_CAMP	20260922T121000Z_sop_v3_discovery_complete	PDAC_CAMP_source_SOP_v3	primary	HMDB:HMDB07098	1,2-dipalmitoylglycerol	NA	author_confirmed_patient_pair	11	11	paired_mean_tumor_minus_normal_author_processed_scale	-2.2415684744905096	-3.7633507682291567	-0.7566564424445462	0.0390625	0.25783203125	METAB_PAIRED_PRIMARY	307	DONE	Exact same input/effect/P/CI reused;BH over evaluable;availability fractions verified on server	CAMP_mapping_plus_GSE62452_author_pair_table	11	11	9	2	7	2	0.1818181818181818	0.6363636363636364	-2.2415684744905096	-2.744838327735099	-0.7777777777777778	5	0.5454545454545454	0.1818181818181818	author_available_value_mask;not_mass_spectrometry_detection	exact_signed_rank_sign_enumeration	wilcox	average_ranks	False	0	1760523389	10000.0	historical_10000_pair_percentile_bootstrap_reused	mean_delta	307	False	NOMINAL_EXPLORATORY	True	5	-0.822478355429891	0.116290740921795	False	0.25783203125	0.0390625	results/PDAC/04_ROBUSTNESS/20260921T121509Z_paired_metabolites_v1	True	10000	DONE_SERVER_SOURCE_CHECKED
PDAC	CAMP_PDAC_GSE62452	01_CAMP	20260922T121000Z_sop_v3_discovery_complete	PDAC_CAMP_source_SOP_v3	primary	KEGG:C00184	1,3-dihydroxyacetone	NA	author_confirmed_patient_pair	11	11	paired_mean_tumor_minus_normal_author_processed_scale	0.8732457510846998	0.2478146106800346	1.5133682229827563	0.02734375	0.25783203125	METAB_PAIRED_PRIMARY	307	DONE	Exact same input/effect/P/CI reused;BH over evaluable;availability fractions verified on server	CAMP_mapping_plus_GSE62452_author_pair_table	11	11	9	8	1	2	0.7272727272727273	0.0909090909090909	0.8732457510846998	0.564789399780599	0.8222222222222222	4	0.2727272727272727	0.5454545454545454	author_available_value_mask;not_mass_spectrometry_detection	exact_signed_rank_sign_enumeration	wilcox	average_ranks	False	0	132299585	10000.0	historical_10000_pair_percentile_bootstrap_reused	mean_delta	307	False	NOMINAL_EXPLORATORY	True	4	0.84453497874925	0.0813113981805886	False	0.25783203125	0.02734375	results/PDAC/04_ROBUSTNESS/20260921T121509Z_paired_metabolites_v1	True	10000	DONE_SERVER_SOURCE_CHECKED
PDAC	CAMP_PDAC_GSE62452	01_CAMP	20260922T121000Z_sop_v3_discovery_complete	PDAC_CAMP_source_SOP_v3	primary	NAME:1-myristoylglycerol (14:0)	1-myristoylglycerol (14:0)	NA	author_confirmed_patient_pair	11	11	paired_mean_tumor_minus_normal_author_processed_scale	-2.833821594929792	-4.209011097583154	-1.5055096933735466	0.005859375	0.1748860677083333	METAB_PAIRED_PRIMARY	307	DONE	Exact same input/effect/P/CI reused;BH over evaluable;availability fractions verified on server	CAMP_mapping_plus_GSE62452_author_pair_table	11	11	10	1	9	1	0.0909090909090909	0.8181818181818182	-2.833821594929792	-3.3064235834091	-0.9272727272727272	7	0.3636363636363636	0.0909090909090909	author_available_value_mask;not_mass_spectrometry_detection	exact_signed_rank_sign_enumeration	wilcox	average_ranks	False	0	1188547143	10000.0	historical_10000_pair_percentile_bootstrap_reused	mean_delta	307	False	NOMINAL_EXPLORATORY	True	7	NA	NA	False	0.1748860677083333	0.005859375	results/PDAC/04_ROBUSTNESS/20260921T121509Z_paired_metabolites_v1	True	10000	DONE_SERVER_SOURCE_CHECKED
PDAC	CAMP_PDAC_GSE62452	01_CAMP	20260922T121000Z_sop_v3_discovery_complete	PDAC_CAMP_source_SOP_v3	primary	NAME:1-oleoylglycerol (1-monoolein)	1-oleoylglycerol (1-monoolein)	NA	author_confirmed_patient_pair	11	11	paired_mean_tumor_minus_normal_author_processed_scale	-3.077376633522801	-4.804706039388832	-1.4613788844872535	0.005859375	0.1748860677083333	METAB_PAIRED_PRIMARY	307	DONE	Exact same input/effect/P/CI reused;BH over evaluable;availability fractions verified on server	CAMP_mapping_plus_GSE62452_author_pair_table	11	11	10	1	9	1	0.0909090909090909	0.8181818181818182	-3.077376633522801	-3.2559873925773	-0.9272727272727272	8	0.2727272727272727	0.0909090909090909	author_available_value_mask;not_mass_spectrometry_detection	exact_signed_rank_sign_enumeration	wilcox	average_ranks	False	0	4270035581	10000.0	historical_10000_pair_percentile_bootstrap_reused	mean_delta	307	False	NOMINAL_EXPLORATORY	True	8	NA	NA	False	0.1748860677083333	0.005859375	results/PDAC/04_ROBUSTNESS/20260921T121509Z_paired_metabolites_v1	True	10000	DONE_SERVER_SOURCE_CHECKED
PDAC	CAMP_PDAC_GSE62452	01_CAMP	20260922T121000Z_sop_v3_discovery_complete	PDAC_CAMP_source_SOP_v3	primary	NAME:1-pentadecanoylglycerol (1-monopentadecanoin)	1-pentadecanoylglycerol (1-monopentadecanoin)	NA	author_confirmed_patient_pair	11	11	paired_mean_tumor_minus_normal_author_processed_scale	-1.6184549849957726	-2.5182066224810464	-0.7531288282784525	0.015625	0.228422619047619	METAB_PAIRED_PRIMARY	307	DONE	Exact same input/effect/P/CI reused;BH over evaluable;availability fractions verified on server	CAMP_mapping_plus_GSE62452_author_pair_table	11	11	8	1	7	3	0.0909090909090909	0.6363636363636364	-1.6184549849957726	-1.5179364733764	-0.9444444444444444	3	0.7272727272727273	0.1818181818181818	author_available_value_mask;not_mass_spectrometry_detection	exact_signed_rank_sign_enumeration	wilcox	average_ranks	False	0	3273280424	10000.0	historical_10000_pair_percentile_bootstrap_reused	mean_delta	307	False	NOMINAL_EXPLORATORY	True	3	-0.870616216420273	0.0393227498525208	False	0.228422619047619	0.015625	results/PDAC/04_ROBUSTNESS/20260921T121509Z_paired_metabolites_v1	True	10000	DONE_SERVER_SOURCE_CHECKED
PDAC	CAMP_PDAC_GSE62452	01_CAMP	20260922T121000Z_sop_v3_discovery_complete	PDAC_CAMP_source_SOP_v3	primary	KEGG:D01947	1-stearoylglycerol (18:0)	NA	author_confirmed_patient_pair	11	11	paired_mean_tumor_minus_normal_author_processed_scale	-1.8466279788071724	-2.750710390124304	-0.9032119023361754	0.009765625	0.1873779296875	METAB_PAIRED_PRIMARY	307	DONE	Exact same input/effect/P/CI reused;BH over evaluable;availability fractions verified on server	CAMP_mapping_plus_GSE62452_author_pair_table	11	11	11	2	9	0	0.1818181818181818	0.8181818181818182	-1.8466279788071724	-1.9642195462842016	-0.8484848484848485	11	0.0	0.0	author_available_value_mask;not_mass_spectrometry_detection	exact_signed_rank_sign_enumeration	wilcox	average_ranks	False	0	1418620648	10000.0	historical_10000_pair_percentile_bootstrap_reused	mean_delta	307	False	NOMINAL_EXPLORATORY	True	11	-1.19552817414463	0.038488432104132	False	0.1873779296875	0.009765625	results/PDAC/04_ROBUSTNESS/20260921T121509Z_paired_metabolites_v1	True	10000	DONE_SERVER_SOURCE_CHECKED
PDAC	CAMP_PDAC_GSE62452	01_CAMP	20260922T121000Z_sop_v3_discovery_complete	PDAC_CAMP_source_SOP_v3	primary	KEGG:C00239	2'-deoxycytidine 5'-monophosphate	NA	author_confirmed_patient_pair	11	11	paired_mean_tumor_minus_normal_author_processed_scale	-0.9746395451558908	-1.530332407579462	-0.4299011836834485	0.013671875	0.2209087171052631	METAB_PAIRED_PRIMARY	307	DONE	Exact same input/effect/P/CI reused;BH over evaluable;availability fractions verified on server	CAMP_mapping_plus_GSE62452_author_pair_table	11	11	10	2	8	1	0.1818181818181818	0.7272727272727273	-0.9746395451558908	-0.9902068556882996	-0.8545454545454545	7	0.3636363636363636	0.0909090909090909	author_available_value_mask;not_mass_spectrometry_detection	exact_signed_rank_sign_enumeration	wilcox	average_ranks	False	0	2782211989	10000.0	historical_10000_pair_percentile_bootstrap_reused	mean_delta	307	False	NOMINAL_EXPLORATORY	True	7	-1.43991813923639	0.0204595468994069	False	0.2209087171052631	0.013671875	results/PDAC/04_ROBUSTNESS/20260921T121509Z_paired_metabolites_v1	True	10000	DONE_SERVER_SOURCE_CHECKED
PDAC	CAMP_PDAC_GSE62452	01_CAMP	20260922T121000Z_sop_v3_discovery_complete	PDAC_CAMP_source_SOP_v3	primary	KEGG:C00330	2'-deoxyguanosine	NA	author_confirmed_patient_pair	11	11	paired_mean_tumor_minus_normal_author_processed_scale	-1.4464103636522998	-2.589252531865018	-0.457292686187476	0.0244140625	0.25783203125	METAB_PAIRED_PRIMARY	307	DONE	Exact same input/effect/P/CI reused;BH over evaluable;availability fractions verified on server	CAMP_mapping_plus_GSE62452_author_pair_table	11	11	11	3	8	0	0.2727272727272727	0.7272727272727273	-1.4464103636522998	-1.0002807216405003	-0.7575757575757576	10	0.0909090909090909	0.0	author_available_value_mask;not_mass_spectrometry_detection	exact_signed_rank_sign_enumeration	wilcox	average_ranks	False	0	2107479107	10000.0	historical_10000_pair_percentile_bootstrap_reused	mean_delta	307	False	NOMINAL_EXPLORATORY	True	10	-1.43159599472359	0.0204595468994069	False	0.25783203125	0.0244140625	results/PDAC/04_ROBUSTNESS/20260921T121509Z_paired_metabolites_v1	True	10000	DONE_SERVER_SOURCE_CHECKED
PDAC	CAMP_PDAC_GSE62452	01_CAMP	20260922T121000Z_sop_v3_discovery_complete	PDAC_CAMP_source_SOP_v3	primary	KEGG:C05512	2'-deoxyinosine	NA	author_confirmed_patient_pair	11	11	paired_mean_tumor_minus_normal_author_processed_scale	-1.145477696042027	-1.9375366188589944	-0.4188116260772939	0.0185546875	0.247664741847826	METAB_PAIRED_PRIMARY	307	DONE	Exact same input/effect/P/CI reused;BH over evaluable;availability fractions verified on server	CAMP_mapping_plus_GSE62452_author_pair_table	11	11	11	2	9	0	0.1818181818181818	0.8181818181818182	-1.145477696042027	-0.9639670184912	-0.7878787878787878	11	0.0	0.0	author_available_value_mask;not_mass_spectrometry_detection	exact_signed_rank_sign_enumeration	wilcox	average_ranks	False	0	494074191	10000.0	historical_10000_pair_percentile_bootstrap_reused	mean_delta	307	False	NOMINAL_EXPLORATORY	True	11	-1.38035877297381	0.0204595468994069	False	0.247664741847826	0.0185546875	results/PDAC/04_ROBUSTNESS/20260921T121509Z_paired_metabolites_v1	True	10000	DONE_SERVER_SOURCE_CHECKED
PDAC	CAMP_PDAC_GSE62452	01_CAMP	20260922T121000Z_sop_v3_discovery_complete	PDAC_CAMP_source_SOP_v3	primary	HMDB:HMDB31057	2-hydroxypalmitate	NA	author_confirmed_patient_pair	11	11	paired_mean_tumor_minus_normal_author_processed_scale	0.7075551543018451	0.1855754379230983	1.3033288638746263	0.0322265625	0.25783203125	METAB_PAIRED_PRIMARY	307	DONE	Exact same input/effect/P/CI reused;BH over evaluable;availability fractions verified on server	CAMP_mapping_plus_GSE62452_author_pair_table	11	11	11	8	3	0	0.7272727272727273	0.2727272727272727	0.7075551543018451	0.5447343852016004	0.7272727272727273	11	0.0	0.0	author_available_value_mask;not_mass_spectrometry_detection	exact_signed_rank_sign_enumeration	wilcox	average_ranks	False	0	4018107417	10000.0	historical_10000_pair_percentile_bootstrap_reused	mean_delta	307	False	NOMINAL_EXPLORATORY	True	11	0.651271586904154	0.165375201933142	False	0.25783203125	0.0322265625	results/PDAC/04_ROBUSTNESS/20260921T121509Z_paired_metabolites_v1	True	10000	DONE_SERVER_SOURCE_CHECKED
