dataset	cancer	feature_name	metabolite_standard_name	kegg_id	hmdb_id	metabolite_key	identity_confidence	super_pathway	sub_pathway	hedges_g	hedges_g_variance	hedges_g_se	effect_fdr	max_input_raw_missing_rate	source_type	source_effects	database_names	standard_names	aliases_used	chemical_identity_note	identity_status	mapping_status	direct_genes	n_direct_relations	n_conditional_relations
PDAC	PDAC	1-pentadecanoylglycerol (1-monopentadecanoin)	1-pentadecanoylglycerol (1-monopentadecanoin)			NAME:1-pentadecanoylglycerol (1-monopentadecanoin)	MODERATE_NAME_ONLY	Lipid	Monoacylglycerol	-0.870616216420273	0.130087967758754	0.3606770962492	0.0393227498525208	0.777777777777778	single_dataset	PDAC				Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	NO_EXACT_ID_BRIDGE	CONDITIONAL_ONLY		0	2
PDAC	PDAC	1-stearoylglycerol (18:0)	1-stearoylglycerol (18:0)	D01947		KEGG:D01947	HIGH_ID	Lipid	Monoacylglycerol	-1.19552817414463	0.138694570564904	0.372417199609395	0.038488432104132	0.111111111111111	single_dataset	PDAC	Glyceryl monostearate (JP19/NF)	1-octadecanoylglycerol	1-octadecanoylglycerol	Original D01947 is glyceryl monostearate drug/mixture entry; name-specific 1-isomer hypothesis needs source confirmation.	HOLD	IDENTITY_REVIEW_REQUIRED		0	4
PDAC	PDAC	2'-deoxycytidine 5'-monophosphate	2'-deoxycytidine 5'-monophosphate	C00239	HMDB01202	KEGG:C00239	HIGH_ID	Nucleotide	Pyrimidine Metabolism, Cytidine containing	-1.43991813923639	0.146951963289627	0.383343140397251	0.0204595468994069	0.666666666666667	single_dataset	PDAC	dCMP;; Deoxycytidylic acid;; Deoxycytidine monophosphate;; Deoxycytidylate;; 2'-Deoxycytidine 5'-monophosphate	dCMP		Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	AK4;AK9;CMPK2;DCK;DCTD;DCTPP1;NT5C1A;NT5E;SLC25A36;TK2	10	2
PDAC	PDAC	2'-deoxyguanosine	2'-deoxyguanosine	C00330	HMDB00085	KEGG:C00330	HIGH_ID	Nucleotide	Purine Metabolism, Guanine containing	-1.43159599472359	0.146645589499968	0.382943324135528	0.0204595468994069	0.259259259259259	single_dataset	PDAC	Deoxyguanosine;; 2'-Deoxyguanosine	2'-deoxyguanosine		Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	DCK;DGUOK;NT5C2;NT5M;SAMHD1;SLC22A7	6	2
PDAC	PDAC	2'-deoxyinosine	2'-deoxyinosine	C05512	HMDB00071	KEGG:C05512	HIGH_ID	Nucleotide	Purine Metabolism, (Hypo)Xanthine/Inosine containing	-1.38035877297381	0.144798451679675	0.380523917355631	0.0204595468994069	0.222222222222222	single_dataset	PDAC	Deoxyinosine;; 2'-Deoxyinosine	2'-deoxyinosine		Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	ADA;NT5C2	2	2
PDAC	PDAC	2'-O-methylguanosine	2'-O-methylguanosine	C04545		KEGG:C04545	HIGH_ID	Nucleotide	Purine Metabolism, Guanine containing	-0.95233501271972	0.131997831606933	0.363315058326699	0.038488432104132	0.740740740740741	single_dataset	PDAC	tRNA containing 2'-O-methylguanosine			Original C04545 denotes modified tRNA, not free nucleoside; do not map tRNA methyltransferases.	HOLD	IDENTITY_REVIEW_REQUIRED		0	0
PDAC	PDAC	2-linoleoylglycerol (2-monolinolein)	2-linoleoylglycerol (2-monolinolein)		HMDB11538	HMDB:HMDB11538	HIGH_ID	Lipid	Monoacylglycerol	-0.929421885080316	0.131445050376348	0.36255351381051	0.038488432104132	0.666666666666667	single_dataset	PDAC		2-(9Z,12Z-octadecadienoyl)-glycerol	2-(9Z,12Z-octadecadienoyl)-glycerol	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	ABHD12;ABHD16A;ABHD6;DAGLA;DAGLB;MGLL	6	0
PDAC	PDAC	2-myristoylglycerol (2-monomyristin)	2-myristoylglycerol (2-monomyristin)			NAME:2-myristoylglycerol (2-monomyristin)	MODERATE_NAME_ONLY	Lipid	Monoacylglycerol	-0.827377634666605	0.129146700503018	0.359369865880569	0.0429368517077875	0.740740740740741	single_dataset	PDAC				Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	NO_EXACT_ID_BRIDGE	CONDITIONAL_ONLY		0	4
PDAC	PDAC	2-oleoylglycerol (2-monoolein)	2-oleoylglycerol (2-monoolein)			NAME:2-oleoylglycerol (2-monoolein)	MODERATE_NAME_ONLY	Lipid	Monoacylglycerol	-0.949440922097222	0.131927268633868	0.3632179354518	0.038488432104132	0.62962962962963	single_dataset	PDAC		2-(9Z-octadecenoyl)-glycerol	2-(9Z-octadecenoyl)-glycerol	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	ABHD12;ABHD16A;ABHD6;AWAT2;DAGLA;DAGLB;DGAT1;DGAT2;DGKA;LIPE;MGLL;MOGAT2;MOGAT3;PNPLA2;PNPLA6	15	8
PDAC	PDAC	2-palmitoylglycerol (16:0)	2-palmitoylglycerol (16:0)		HMDB11533	HMDB:HMDB11533	HIGH_ID	Lipid	Monoacylglycerol	-1.16446341254789	0.137754665744251	0.371153156721388	0.038488432104132	0.333333333333333	single_dataset	PDAC		2-hexadecanoylglycerol	2-hexadecanoylglycerol	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	ABHD12;ABHD16A;ABHD6;MGLL;PNPLA6	5	1
