dataset	cancer	feature_name	metabolite_standard_name	kegg_id	hmdb_id	metabolite_key	identity_confidence	super_pathway	sub_pathway	hedges_g	hedges_g_variance	hedges_g_se	effect_fdr	max_input_raw_missing_rate	source_type	source_effects	paired_p	paired_q	paired_n	paired_effect	paired_median_delta	paired_evidence	database_names	standard_names	aliases_used	chemical_identity_note	identity_status	mapping_status	direct_genes	n_direct_relations	n_conditional_relations
PDAC	PDAC	1,2-dipalmitoylglycerol	1,2-dipalmitoylglycerol	NA	HMDB07098	HMDB:HMDB07098	HIGH_ID	Lipid	Diacylglycerol (DG)	-0.822478355429891	0.129043070949225	0.359225654636783	0.116290740921795	0.518518518518518	single_dataset	PDAC	0.0390625	0.25783203125	11	-2.2415684744905096	-2.744838327735099	NOMINAL_EXPLORATORY	NA	NA	NA	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	NO_EXACT_ID_BRIDGE	CONDITIONAL_ONLY	NA	0	4
PDAC	PDAC	1,3-dihydroxyacetone	1,3-dihydroxyacetone	C00184	HMDB01882	KEGG:C00184	HIGH_ID	Carbohydrate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism	0.84453497874925	0.129514464348973	0.359881180876373	0.0813113981805886	0.583333333333333	single_dataset	PDAC	0.02734375	0.25783203125	11	0.8732457510846998	0.564789399780599	NOMINAL_EXPLORATORY	Glycerone;; Dihydroxyacetone;; 1,3-Dihydroxyacetone;; 1,3-Dihydroxy-2-propanone;; 1,3-Dihydroxypropan-2-one	dihydroxyacetone	NA	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	DCPH1;TKFC	2	0
NA	NA	1-myristoylglycerol (14:0)	NA	NA	NA	NAME:1-myristoylglycerol (14:0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.005859375	0.1748860677083333	11	-2.833821594929792	-3.3064235834091	NOMINAL_EXPLORATORY	NA	1-tetradecanoylglycerol	1-tetradecanoylglycerol	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	ABHD12;ABHD16A;ABHD6;MGLL	4	3
NA	NA	1-oleoylglycerol (1-monoolein)	NA	NA	NA	NAME:1-oleoylglycerol (1-monoolein)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.005859375	0.1748860677083333	11	-3.077376633522801	-3.2559873925773	NOMINAL_EXPLORATORY	NA	1-(9Z-octadecenoyl)-glycerol	1-(9Z-octadecenoyl)-glycerol	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	ABHD12;ABHD16A;ABHD16B;ABHD6;AWAT2;DGAT1;DGAT2;DGAT2L6;LIPA;MGLL;MOGAT2;PNLIPRP2;PNPLA2;PNPLA3;PNPLA4;PNPLA6	16	4
PDAC	PDAC	1-pentadecanoylglycerol (1-monopentadecanoin)	1-pentadecanoylglycerol (1-monopentadecanoin)	NA	NA	NAME:1-pentadecanoylglycerol (1-monopentadecanoin)	MODERATE_NAME_ONLY	Lipid	Monoacylglycerol	-0.870616216420273	0.130087967758754	0.3606770962492	0.0393227498525208	0.777777777777778	single_dataset	PDAC	0.015625	0.228422619047619	11	-1.6184549849957726	-1.5179364733764	NOMINAL_EXPLORATORY	NA	NA	NA	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	NO_EXACT_ID_BRIDGE	CONDITIONAL_ONLY	NA	0	2
PDAC	PDAC	1-stearoylglycerol (18:0)	1-stearoylglycerol (18:0)	D01947	NA	KEGG:D01947	HIGH_ID	Lipid	Monoacylglycerol	-1.19552817414463	0.138694570564904	0.372417199609395	0.038488432104132	0.111111111111111	single_dataset	PDAC	0.009765625	0.1873779296875	11	-1.8466279788071724	-1.9642195462842016	NOMINAL_EXPLORATORY	Glyceryl monostearate (JP19/NF)	1-octadecanoylglycerol	1-octadecanoylglycerol	Original D01947 is glyceryl monostearate drug/mixture entry; name-specific 1-isomer hypothesis needs source confirmation.	HOLD	IDENTITY_REVIEW_REQUIRED	NA	0	4
PDAC	PDAC	2'-deoxycytidine 5'-monophosphate	2'-deoxycytidine 5'-monophosphate	C00239	HMDB01202	KEGG:C00239	HIGH_ID	Nucleotide	Pyrimidine Metabolism, Cytidine containing	-1.43991813923639	0.146951963289627	0.383343140397251	0.0204595468994069	0.666666666666667	single_dataset	PDAC	0.013671875	0.2209087171052631	11	-0.9746395451558908	-0.9902068556882996	NOMINAL_EXPLORATORY	dCMP;; Deoxycytidylic acid;; Deoxycytidine monophosphate;; Deoxycytidylate;; 2'-Deoxycytidine 5'-monophosphate	dCMP	NA	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	AK4;AK9;CMPK2;DCK;DCTD;DCTPP1;NT5C1A;NT5E;SLC25A36;TK2	10	2
PDAC	PDAC	2'-deoxyguanosine	2'-deoxyguanosine	C00330	HMDB00085	KEGG:C00330	HIGH_ID	Nucleotide	Purine Metabolism, Guanine containing	-1.43159599472359	0.146645589499968	0.382943324135528	0.0204595468994069	0.259259259259259	single_dataset	PDAC	0.0244140625	0.25783203125	11	-1.4464103636522998	-1.0002807216405003	NOMINAL_EXPLORATORY	Deoxyguanosine;; 2'-Deoxyguanosine	2'-deoxyguanosine	NA	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	DCK;DGUOK;NT5C2;NT5M;SAMHD1;SLC22A7	6	2
PDAC	PDAC	2'-deoxyinosine	2'-deoxyinosine	C05512	HMDB00071	KEGG:C05512	HIGH_ID	Nucleotide	Purine Metabolism, (Hypo)Xanthine/Inosine containing	-1.38035877297381	0.144798451679675	0.380523917355631	0.0204595468994069	0.222222222222222	single_dataset	PDAC	0.0185546875	0.247664741847826	11	-1.145477696042027	-0.9639670184912	NOMINAL_EXPLORATORY	Deoxyinosine;; 2'-Deoxyinosine	2'-deoxyinosine	NA	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	ANNOTATION_COMPATIBLE	DIRECT_RELATION_FOUND	ADA;NT5C2	2	2
PDAC	PDAC	2-hydroxypalmitate	2-hydroxypalmitate	NA	HMDB31057	HMDB:HMDB31057	HIGH_ID	Lipid	Fatty Acid, Monohydroxy	0.651271586904154	0.12580825088202	0.354694588176955	0.165375201933142	0.0	single_dataset	PDAC	0.0322265625	0.25783203125	11	0.7075551543018451	0.5447343852016004	NOMINAL_EXPLORATORY	NA	2-hydroxyhexadecanoate	2-hydroxyhexadecanoate	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	ANNOTATION_COMPATIBLE	CONDITIONAL_ONLY	NA	0	2
