gene	linked_metabolites	metabolite_direction	mapping_level	reaction_role	GSE263733_top_celltype	GSE263733_top_mean_log1p_cpm	GSE263733_top_positive_fraction	GSE263733_top_patient_coverage	GSE278688_top_celltype	GSE278688_top_mean_log1p_cpm	GSE278688_top_positive_fraction	GSE278688_top_patient_coverage	celltype_bias_replicated	GSE263733_top_celltype_delta	GSE263733_top_celltype_median_delta	GSE263733_top_celltype_fdr	GSE263733_top_celltype_n_evaluable	GSE263733_effect_design	GSE278688_top_celltype_delta	GSE278688_top_celltype_median_delta	GSE278688_top_celltype_fdr	GSE278688_top_celltype_n_evaluable	GSE278688_effect_design	tumor_normal_direction_replicated	top_celltype_fdr_significant_both	GSE263733_proliferation_fdr	GSE278688_proliferation_fdr	proliferation_association_both_datasets	final_gene_evidence_status	malignant_label_required	interpretation_boundary
GGT1	gamma-glutamylglutamate;gamma-glutamyltyrosine	UP	direct_or_near_direct	gamma-glutamyl processing	Ductal	1.830759175514149	0.21814500593310168	21	Ductal	0.18684222377086052	0.004574737818293032	13	YES	-0.5887135732521318	-0.737533450815981	0.48000000000000004	5	UNPAIRED_PRIMARY_TUMOR_Pm0_Pm1_VS_Pn	0.0	0.0		5	PAIRED_PATIENT_PSEUDOBULK_TUMOR_VS_ADJACENT_NORMAL	NO_OR_NOT_COMPARABLE	NO	2.6702880859375e-05	0.1935365329466151	NO_OR_NOT_EVALUABLE	REPLICATED_CELLTYPE_BIAS	ONLY_IF_DUCTAL_RESULT_IS_INTERPRETED_AS_MALIGNANT	Cell source and expression-direction evidence only; no enzyme activity, metabolite validation, or causality.
GGT5	gamma-glutamylglutamate;gamma-glutamyltyrosine	UP	direct_or_near_direct	gamma-glutamyl processing	Fibroblast/CAF	4.664432738380803	0.6105964338900034	20	Fibroblast/CAF	5.917494169829476	0.6116463556204769	13	YES	0.4575779633949937	-0.9142441965459804	0.6991007512461493	5	UNPAIRED_PRIMARY_TUMOR_Pm0_Pm1_VS_Pn	0.07241694509016643	0.1260661807850214	0.94453125	5	PAIRED_PATIENT_PSEUDOBULK_TUMOR_VS_ADJACENT_NORMAL	YES	NO	0.038598435923950396	0.0866372514729927	NO_OR_NOT_EVALUABLE	REPLICATED_TUMOR_ASSOCIATED_WITHIN_CELLTYPE	ONLY_IF_DUCTAL_RESULT_IS_INTERPRETED_AS_MALIGNANT	Cell source and expression-direction evidence only; no enzyme activity, metabolite validation, or causality.
GGCT	gamma-glutamylglutamate;gamma-glutamyltyrosine	UP	direct	gamma-glutamyl consumption to 5-oxoproline	Ductal	4.156535929566645	0.6720040194573571	21	Ductal	4.067405850798817	0.22116937084864025	13	YES	0.28366316369466205	0.7396452040780082	0.5845393736698085	5	UNPAIRED_PRIMARY_TUMOR_Pm0_Pm1_VS_Pn	0.6818860478505531	0.1792496922109219	0.94453125	5	PAIRED_PATIENT_PSEUDOBULK_TUMOR_VS_ADJACENT_NORMAL	YES	NO	2.6702880859375e-05	0.0013671875	YES	PROLIFERATION_ASSOCIATED	ONLY_IF_DUCTAL_RESULT_IS_INTERPRETED_AS_MALIGNANT	Cell source and expression-direction evidence only; no enzyme activity, metabolite validation, or causality.
PEPD	pro-hydroxy-pro	UP	direct	Pro-Hyp/dipeptide hydrolysis	Endothelial	4.590977737527452	0.7115275098233566	13	Schwann	4.5779259165580575	0.39760624679979517	12	NO	0.327759288137182	0.019070498839955263	0.8321458160729079	4	UNPAIRED_PRIMARY_TUMOR_Pm0_Pm1_VS_Pn	-1.6870253097107846	-1.2584671065794435	0.7380952380952381	3	PAIRED_PATIENT_PSEUDOBULK_TUMOR_VS_ADJACENT_NORMAL	NO_OR_NOT_COMPARABLE	NO	2.6702880859375e-05	0.0013671875	YES	DATASET_DEPENDENT	ONLY_IF_DUCTAL_RESULT_IS_INTERPRETED_AS_MALIGNANT	Cell source and expression-direction evidence only; no enzyme activity, metabolite validation, or causality.
P4HA1	pro-hydroxy-pro	UP	indirect	collagen hydroxyproline formation	Fibroblast/CAF	4.513712865855475	0.6531164463965461	20	Myeloid	4.810548076313639	0.39341912208005536	13	NO	1.096774443433561	-0.019572546903663834	0.6039642631615876	5	UNPAIRED_PRIMARY_TUMOR_Pm0_Pm1_VS_Pn	0.9275119595042567	0.8326939926246197	0.44711538461538464	5	PAIRED_PATIENT_PSEUDOBULK_TUMOR_VS_ADJACENT_NORMAL	NO_OR_NOT_COMPARABLE	NO	0.13849004109700522	0.0022786458333333335	NO_OR_NOT_EVALUABLE	DATASET_DEPENDENT	ONLY_IF_DUCTAL_RESULT_IS_INTERPRETED_AS_MALIGNANT	Cell source and expression-direction evidence only; no enzyme activity, metabolite validation, or causality.
MMP14	pro-hydroxy-pro	UP	indirect	ECM/collagen turnover	Fibroblast/CAF	4.947306536733951	0.6860004711115586	20	Fibroblast/CAF	5.538442044366415	0.5124382844950581	13	YES	0.8357480423421135	0.9289022264710756	0.19762845849802368	5	UNPAIRED_PRIMARY_TUMOR_Pm0_Pm1_VS_Pn	0.39338175884374066	0.04440735738336876	0.8303571428571429	5	PAIRED_PATIENT_PSEUDOBULK_TUMOR_VS_ADJACENT_NORMAL	YES	NO	3.5603841145833336e-05	0.0013671875	YES	REPLICATED_TUMOR_ASSOCIATED_WITHIN_CELLTYPE	ONLY_IF_DUCTAL_RESULT_IS_INTERPRETED_AS_MALIGNANT	Cell source and expression-direction evidence only; no enzyme activity, metabolite validation, or causality.
CNDP2	glycylvaline;aspartylphenylalanine	DOWN	near_direct	broad dipeptide hydrolysis	Myeloid	4.657241003546337	0.5565068820722041	21	Myeloid	4.708270087564704	0.3786937792454925	13	YES	0.545279779531386	0.47203849494279027	0.1510770166288561	5	UNPAIRED_PRIMARY_TUMOR_Pm0_Pm1_VS_Pn	-0.22276376808100426	-0.2537238226309375	0.5284090909090909	5	PAIRED_PATIENT_PSEUDOBULK_TUMOR_VS_ADJACENT_NORMAL	NO_OR_NOT_COMPARABLE	NO	2.6702880859375e-05	0.0013671875	YES	REPLICATED_CELLTYPE_BIAS	ONLY_IF_DUCTAL_RESULT_IS_INTERPRETED_AS_MALIGNANT	Cell source and expression-direction evidence only; no enzyme activity, metabolite validation, or causality.
DPEP1	glycylvaline;aspartylphenylalanine	DOWN	near_direct	dipeptide hydrolysis	Acinar	2.7303610951393393	0.37716324217448616	8	Acinar	3.7142484248724634	0.3793918363959973	7	YES	-0.5801200595523563	-0.1698909388922769		2	UNPAIRED_PRIMARY_TUMOR_Pm0_Pm1_VS_Pn	-0.03852263335894568	-0.03852263335894568		1	PAIRED_PATIENT_PSEUDOBULK_TUMOR_VS_ADJACENT_NORMAL	NO_OR_NOT_COMPARABLE	NO	0.517113573745006	0.14955520340262582	NO_OR_NOT_EVALUABLE	REPLICATED_CELLTYPE_BIAS	ONLY_IF_DUCTAL_RESULT_IS_INTERPRETED_AS_MALIGNANT	Cell source and expression-direction evidence only; no enzyme activity, metabolite validation, or causality.
SLC15A1	glycylvaline;aspartylphenylalanine	DOWN	near_direct	dipeptide transport	Ductal	2.2596343636866325	0.2806479844177596	21	Ductal	2.586032769179913	0.07582967164628754	13	YES	-0.9602151483613866	-0.9314013986327021	0.21264822134387348	5	UNPAIRED_PRIMARY_TUMOR_Pm0_Pm1_VS_Pn	0.6807015611245779	-0.15539221659131885	0.94453125	5	PAIRED_PATIENT_PSEUDOBULK_TUMOR_VS_ADJACENT_NORMAL	NO_OR_NOT_COMPARABLE	NO	0.03758697509765625	0.008544921875	YES	PROLIFERATION_ASSOCIATED	ONLY_IF_DUCTAL_RESULT_IS_INTERPRETED_AS_MALIGNANT	Cell source and expression-direction evidence only; no enzyme activity, metabolite validation, or causality.
MGLL	2-palmitoylglycerol	DOWN	direct	monoacylglycerol hydrolysis	Ductal	4.926074353867616	0.7800272444273045	21	Ductal	5.110411472082153	0.36991569719228284	13	YES	1.4888261949987331	0.9105102533022364	0.12999695956217694	5	UNPAIRED_PRIMARY_TUMOR_Pm0_Pm1_VS_Pn	1.2611860098281018	0.961667686292893	0.5567901364386983	5	PAIRED_PATIENT_PSEUDOBULK_TUMOR_VS_ADJACENT_NORMAL	YES	NO	0.0018291473388671875	0.13982599431818182	NO_OR_NOT_EVALUABLE	REPLICATED_TUMOR_ASSOCIATED_WITHIN_CELLTYPE	ONLY_IF_DUCTAL_RESULT_IS_INTERPRETED_AS_MALIGNANT	Cell source and expression-direction evidence only; no enzyme activity, metabolite validation, or causality.
ABHD6	2-palmitoylglycerol	DOWN	direct	monoacylglycerol hydrolysis	Myeloid	2.2252464339973157	0.10825591329789086	21	Myeloid	3.01509344725614	0.11355455145830287	13	YES	0.22419082343696672	-0.021092969155155572	0.9849802371541503	5	UNPAIRED_PRIMARY_TUMOR_Pm0_Pm1_VS_Pn	-0.2560056729008878	-0.14864814879486543	0.8303571428571429	5	PAIRED_PATIENT_PSEUDOBULK_TUMOR_VS_ADJACENT_NORMAL	NO_OR_NOT_COMPARABLE	NO	0.007381863064236111	0.05110656433344575	NO_OR_NOT_EVALUABLE	REPLICATED_CELLTYPE_BIAS	ONLY_IF_DUCTAL_RESULT_IS_INTERPRETED_AS_MALIGNANT	Cell source and expression-direction evidence only; no enzyme activity, metabolite validation, or causality.
MOGAT1	2-palmitoylglycerol	DOWN	near_direct	monoacylglycerol acylation	Myeloid	0.7708513482265996	0.018640602564088442	21	Ductal	1.5498295933545043	0.01855908286780128	13	NO	0.5439678893525595	0.8624639616260336	0.21929296000442247	5	UNPAIRED_PRIMARY_TUMOR_Pm0_Pm1_VS_Pn	0.841282133865794	0.5825830083362556	0.5284090909090909	5	PAIRED_PATIENT_PSEUDOBULK_TUMOR_VS_ADJACENT_NORMAL	NO_OR_NOT_COMPARABLE	NO	0.6191537066890378	0.5937116848746408	NO_OR_NOT_EVALUABLE	LOW_EXPRESSION_NOT_EVALUABLE	ONLY_IF_DUCTAL_RESULT_IS_INTERPRETED_AS_MALIGNANT	Cell source and expression-direction evidence only; no enzyme activity, metabolite validation, or causality.
