gene	tier	axis	relation	rna_n_complete_pairs	rna_tumor_mean	rna_adjacent_normal_mean	rna_paired_mean_delta_tumor_minus_normal	rna_paired_delta_sd	rna_paired_delta_se	rna_ci_lower	rna_ci_upper	rna_paired_t_p_value	rna_paired_wilcoxon_p_value	rna_direction	rna_status	rna_value_scale	rna_paired_t_fdr	rna_paired_wilcoxon_fdr	protein_n_complete_pairs	protein_tumor_mean	protein_adjacent_normal_mean	protein_paired_mean_delta_tumor_minus_normal	protein_paired_delta_sd	protein_paired_delta_se	protein_ci_lower	protein_ci_upper	protein_paired_t_p_value	protein_paired_wilcoxon_p_value	protein_direction	protein_status	protein_value_scale	protein_paired_t_fdr	protein_paired_wilcoxon_fdr	integrated_direction	cptac_support_interpretation	evidence_stage	metabolite_external_validation	causal_claim_allowed	final_priority
PNP	primary_direct	purine_deoxynucleoside_axis	direct_phosphorolysis_of_deoxyinosine_and_deoxyguanosine	39	3.501404825619351	3.23416591398783	0.26723891163152147	0.8532872121270904	0.13663530594340073	-0.009364804395237403	0.5438426276582804	0.05786345603442011	0.04750477915149531	TUMOR_HIGHER	ANALYSED	log2(FPKM-UQ+1)	0.0787692888547284	0.07719526612117988	66.0	-0.00920454545454546	-0.2636242424242424	0.254419696969697	0.3733157901087525	0.04595199721061398	0.1626472214034651	0.34619217253592893	5.954847571512818e-07	1.796262472382884e-06	TUMOR_HIGHER	ANALYSED	PDC supplied log2_ratio	1.4291634171630763e-06	4.311029933718922e-06	RNA_PROTEIN_TUMOR_HIGHER	UNRESOLVED	EXPLORATORY_MECHANISM	NOT_PERFORMED	False	pending
TYMP	primary_direct	thymidine_thymine_axis	reversible_thymidine_thymine_phosphorolysis	39	4.474066963009993	3.65969186717478	0.814375095835214	0.6487389772708354	0.10388137473177926	0.604078247020157	1.024671944650271	1.8536566568605857e-09	6.912159733474255e-11	TUMOR_HIGHER	ANALYSED	log2(FPKM-UQ+1)	1.2048768269593807e-08	8.985807653516531e-10	66.0	0.058459090909090905	-0.5686227272727272	0.6270818181818181	0.5179816967093279	0.0637591393479557	0.49974602402437285	0.7544176123392633	1.718371284760967e-14	8.387334912004102e-11	TUMOR_HIGHER	ANALYSED	PDC supplied log2_ratio	2.0620455417131605e-13	1.0064801894404924e-09	RNA_PROTEIN_TUMOR_HIGHER	SUPPORTIVE_SAME_DIRECTION_TUMOR_HIGHER_NOT_CAUSAL	EXPLORATORY_MECHANISM	NOT_PERFORMED	False	pending
DPYD	primary_direct	thymidine_thymine_axis	downstream_thymine_pyrimidine_degradation	39	4.379072574364073	4.417426356567211	-0.038353782203137156	0.5547613446911923	0.0888329099278282	-0.21818660668326126	0.14147904227698696	0.6683616253891348	0.5664997929488891	TUMOR_LOWER	ANALYSED	log2(FPKM-UQ+1)	0.6683616253891349	0.6137081090279631	66.0	0.1079181818181818	-0.315530303030303	0.4234484848484848	0.3977927509268824	0.048964902812360295	0.32565882129252693	0.5212381484044426	2.070557174368222e-12	6.137571401738397e-10	TUMOR_HIGHER	ANALYSED	PDC supplied log2_ratio	1.2423343046209332e-11	3.682542841043038e-09	RNA_PROTEIN_DISCORDANT	CROSS_LAYER_DISCORDANT_DO_NOT_INTERPRET_AS_ABSENCE	EXPLORATORY_MECHANISM	NOT_PERFORMED	False	pending
DCTD	primary_direct	dcmp_axis	dCMP_to_dUMP	39	4.363852020922247	4.126623105002224	0.23722891592002243	0.466509257794321	0.07470126618358608	0.08600410857159682	0.38845372326844807	0.002963091870813679	0.0035310032399138436	TUMOR_HIGHER	ANALYSED	log2(FPKM-UQ+1)	0.007704038864115565	0.009180608423775993	66.0	0.056380303030303044	0.053819696969696976	0.002560606060606048	0.40025829156021736	0.04926838988498762	-0.09583516303260853	0.10095637515382061	0.9587099243548545	0.8305464942620666	TUMOR_HIGHER	ANALYSED	PDC supplied log2_ratio	0.9587099243548544	0.8305464942620665	RNA_PROTEIN_TUMOR_HIGHER	UNRESOLVED	EXPLORATORY_MECHANISM	NOT_PERFORMED	False	pending
CMPK1	primary_direct	dcmp_axis	dCMP_to_dCDP	39	5.827021898340393	5.614132109212074	0.21288978912831844	0.5756930267384823	0.09218466153009583	0.026271698263458404	0.3995078799931785	0.026452609478515535	0.03224418673562468	TUMOR_HIGHER	ANALYSED	log2(FPKM-UQ+1)	0.04912627474581456	0.06986240459385347	66.0	-0.026174242424242433	0.03091666666666667	-0.0570909090909091	0.38876038486342823	0.04785309540653859	-0.152660139930581	0.038478321748762805	0.2371883407164364	0.19580830427265838	TUMOR_LOWER	ANALYSED	PDC supplied log2_ratio	0.2587509171452034	0.21360905920653642	RNA_PROTEIN_DISCORDANT	CROSS_LAYER_DISCORDANT_DO_NOT_INTERPRET_AS_ABSENCE	EXPLORATORY_MECHANISM	NOT_PERFORMED	False	pending
SLC29A1	context_direct_transport	transport_context	equilibrative_nucleoside_transport	39	3.966935500709325	3.8061054140444273	0.16083008666489748	0.9769982932286975	0.1564449329654325	-0.1558761227076724	0.4775362960374674	0.3104352650830236	0.6737286209827289	TUMOR_HIGHER	ANALYSED	log2(FPKM-UQ+1)	0.3363048705066089	0.6737286209827289	31.0	-0.06113548387096775	0.45587741935483866	-0.5170129032258065	1.038998504888862	0.1866096402759316	-0.8981206316416237	-0.13590517480998937	0.00951249148365657	0.0033502401784062386	TUMOR_LOWER	ANALYSED	PDC supplied log2_ratio	0.012683321978208758	0.004466986904541652	RNA_PROTEIN_DISCORDANT	CROSS_LAYER_DISCORDANT_DO_NOT_INTERPRET_AS_ABSENCE	EXPLORATORY_MECHANISM	NOT_PERFORMED	False	pending
SLC29A2	context_direct_transport	transport_context	equilibrative_nucleoside_transport	39	2.3160353618228133	2.5236719758661126	-0.20763661404329858	0.9486667734062025	0.15190825900176413	-0.5151588071172384	0.09988557903064116	0.1797033273067683	0.27055140661468613	TUMOR_LOWER	ANALYSED	log2(FPKM-UQ+1)	0.21237665954436255	0.31974257145372												NOT_MEASURED_OR_NOT_MAPPED				NOT_EVALUABLE	UNRESOLVED	EXPLORATORY_MECHANISM	NOT_PERFORMED	False	pending
DCK	conditional_upstream	dcmp_axis	deoxycytidine_to_dCMP_and_deoxyguanosine_phosphorylation	39	2.9400694586317115	2.7589603381835475	0.18110912044816438	0.5639626705297202	0.0903063012469107	-0.0017064288204459988	0.36392466971677473	0.052069182529224704	0.059990858968376415	TUMOR_HIGHER	ANALYSED	log2(FPKM-UQ+1)	0.0787692888547284	0.08056583428733574	66.0	0.056392424242424244	-0.3007560606060606	0.3571484848484848	0.5961921526184514	0.07338618097598307	0.21058616091619947	0.5037108087807702	7.564804863372504e-06	2.9849552821280986e-05	TUMOR_HIGHER	ANALYSED	PDC supplied log2_ratio	1.5129609726745009e-05	5.969910564256197e-05	RNA_PROTEIN_TUMOR_HIGHER	UNRESOLVED	EXPLORATORY_MECHANISM	NOT_PERFORMED	False	pending
TK1	conditional_parallel	thymidine_thymine_axis	cytosolic_thymidine_to_dTMP	39	3.249758528313547	2.3365302983619896	0.9132282299515568	0.9708330261098044	0.15545770012396892	0.5985205689823228	1.227935890920791	8.464182330086751e-07	2.6013367460109293e-07	TUMOR_HIGHER	ANALYSED	log2(FPKM-UQ+1)	3.667812343037592e-06	1.1272459232714027e-06	62.0	0.1264032258064516	-0.7362967741935484	0.8627000000000002	0.9815113336242159	0.12465206402240177	0.6134427929721955	1.111957207027805	3.1686010685855836e-09	2.0783102216220695e-08	TUMOR_HIGHER	ANALYSED	PDC supplied log2_ratio	9.505803205756751e-09	6.234930664866209e-08	RNA_PROTEIN_TUMOR_HIGHER	SUPPORTIVE_SAME_DIRECTION_TUMOR_HIGHER_NOT_CAUSAL	EXPLORATORY_MECHANISM	NOT_PERFORMED	False	pending
TK2	conditional_parallel	thymidine_thymine_axis	mitochondrial_thymidine_salvage	39	2.3947758948155067	2.2362531538283235	0.15852274098718405	0.4022605597762601	0.06441324078557342	0.02812495221949604	0.28892052975487204	0.018509341226688205	0.0459091394150164	TUMOR_HIGHER	ANALYSED	log2(FPKM-UQ+1)	0.040103572657824445	0.07719526612117988	66.0	0.05414696969696969	0.26969393939393943	-0.21554696969696968	0.37994657487587224	0.046768190393961795	-0.3089494956097143	-0.12214444378422507	1.9453329548224133e-05	6.362437040605424e-05	TUMOR_LOWER	ANALYSED	PDC supplied log2_ratio	3.33485649398128e-05	9.543655560908137e-05	RNA_PROTEIN_DISCORDANT	CROSS_LAYER_DISCORDANT_DO_NOT_INTERPRET_AS_ABSENCE	EXPLORATORY_MECHANISM	NOT_PERFORMED	False	pending
