cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	relation_id	mapping_tier	rna_label	n_preimputation_available	available_fraction	same_input_reused	input_hash	seed	bootstrap_valid	loo_n_valid	loo_rho_min	loo_rho_max	loo_max_abs_change	loo_sign_changes	family_n_planned	q_original	stable_gene_id	n_tumor_linked	n_complete	n_unique_patients	unit_verification	n_metabolite_available	rho	ci_method	p_method	B	statistics_reused	reused_from	mask_semantics	same_cohort_postselection	evidence_tier
PDAC	CAMP_PDAC_GSE62452	03_PATIENT	20260922T112700Z_sop_v3_patient	PDAC_CAMP_source_SOP_v3	primary	HMDB:HMDB07098	1,2-dipalmitoylglycerol	DGAT1	author_distinct_pair_key_tumor	21	21	Spearman_rho	0.1133893419027681	-0.3101314650497189	0.5198158205640505	0.6137	0.8594007490636704	REL_CONDITIONAL_SUPPLEMENT_PRIMARY	350	DONE	Author-confirmed distinct pair-key tumor units;exploratory association	CAMP_plus_GEO_author_pair_table	7a848c0310f0d5cd	CONDITIONAL	DGAT1	11	0.5238095238095238	False	a6182ef4217d993a32fe7ed7257f534ae60acc8c61a66b32eae92717f0b4da53	2786602740	4000	21	0.020887408710844	0.2193177914638628	0.1059284495610946	0.0	358	0.8790441947565543	UniProtKB:O75907	21	21	NA	21 distinct author paired-case keys;protected clinical identity and aliquot level not reverified	11	0.1133893419027681	4000_whole_unit_percentile_bootstrap	9999_patient_unit_permutation_plus_one	9999	True	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2	author_available_value_mask	True	NOT_SUPPORTED_THIS_TEST
PDAC	CAMP_PDAC_GSE62452	03_PATIENT	20260922T112700Z_sop_v3_patient	PDAC_CAMP_source_SOP_v3	primary	HMDB:HMDB07098	1,2-dipalmitoylglycerol	DGAT2	author_distinct_pair_key_tumor	21	21	Spearman_rho	0.2522053847170661	-0.2094695402870553	0.6610268172074052	0.265	0.7209593023255814	REL_CONDITIONAL_SUPPLEMENT_PRIMARY	350	DONE	Author-confirmed distinct pair-key tumor units;exploratory association	CAMP_plus_GEO_author_pair_table	85e60f200a7fb988	CONDITIONAL	DGAT2	11	0.5238095238095238	False	88b3e3b801774a72180c4eef9117d2d55adb80313172a860acb9749e020010bd	2293490616	4000	21	0.1839698690301266	0.3689158779429893	0.1167104932259231	0.0	358	0.7374383720930232	UniProtKB:Q96PD7	21	21	NA	21 distinct author paired-case keys;protected clinical identity and aliquot level not reverified	11	0.2522053847170661	4000_whole_unit_percentile_bootstrap	9999_patient_unit_permutation_plus_one	9999	True	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2	author_available_value_mask	True	NOT_SUPPORTED_THIS_TEST
PDAC	CAMP_PDAC_GSE62452	03_PATIENT	20260922T112700Z_sop_v3_patient	PDAC_CAMP_source_SOP_v3	primary	HMDB:HMDB07098	1,2-dipalmitoylglycerol	DGKA	author_distinct_pair_key_tumor	21	21	Spearman_rho	-0.1017068036461193	-0.5437144338750516	0.3908049081998096	0.6526	0.8594007490636704	REL_CONDITIONAL_SUPPLEMENT_PRIMARY	350	DONE	Author-confirmed distinct pair-key tumor units;exploratory association	CAMP_plus_GEO_author_pair_table	a2505f90de339f3d	CONDITIONAL	DGKA	11	0.5238095238095238	False	8d45c0ca04e0ed9766532a3ae9fe100a73096a8bcd8e97e28d6ceed89c3e10ff	2370158794	4000	21	-0.1775429740421746	0.0498084361566281	0.1515152398027475	1.0	358	0.8790441947565543	UniProtKB:P23743	21	21	NA	21 distinct author paired-case keys;protected clinical identity and aliquot level not reverified	11	-0.1017068036461193	4000_whole_unit_percentile_bootstrap	9999_patient_unit_permutation_plus_one	9999	True	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2	author_available_value_mask	True	NOT_SUPPORTED_THIS_TEST
PDAC	CAMP_PDAC_GSE62452	03_PATIENT	20260922T112700Z_sop_v3_patient	PDAC_CAMP_source_SOP_v3	primary	HMDB:HMDB07098	1,2-dipalmitoylglycerol	DGKB	author_distinct_pair_key_tumor	21	21	Spearman_rho	0.1243846720266729	-0.3373700214330465	0.560669473186368	0.589	0.8448770491803278	REL_CONDITIONAL_SUPPLEMENT_PRIMARY	350	DONE	Author-confirmed distinct pair-key tumor units;exploratory association	CAMP_plus_GEO_author_pair_table	d1b0d72076db189a	CONDITIONAL	DGKB	11	0.5238095238095238	False	b6f5a42770cddfb90c2176f0365de5642fcfd14b08313ef83f5636f7804eebab	3069551655	4000	21	0.0441437802666824	0.2586825232650689	0.1342978512383959	0.0	358	0.8641885245901639	UniProtKB:Q9Y6T7	21	21	NA	21 distinct author paired-case keys;protected clinical identity and aliquot level not reverified	11	0.1243846720266729	4000_whole_unit_percentile_bootstrap	9999_patient_unit_permutation_plus_one	9999	True	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2	author_available_value_mask	True	NOT_SUPPORTED_THIS_TEST
PDAC	CAMP_PDAC_GSE62452	03_PATIENT	20260922T112700Z_sop_v3_patient	PDAC_CAMP_source_SOP_v3	primary	NAME:1-myristoylglycerol (14:0)	1-myristoylglycerol (14:0)	MOGAT1	author_distinct_pair_key_tumor	21	21	Spearman_rho	0.5607618363191444	0.173369875723538	0.8389690476603303	0.0104	0.17666666666666667	REL_CONDITIONAL_SUPPLEMENT_PRIMARY	350	DONE	Author-confirmed distinct pair-key tumor units;exploratory association	CAMP_plus_GEO_author_pair_table	9ee6bcb23c921e8e	CONDITIONAL	MOGAT1	12	0.5714285714285714	False	94e3017fbca7b0f14eb817fe05aed4c8914aa0f05c74acb7b0a4be6518f3fda6	2497905023	4000	21	0.5173650465301378	0.6852676780903845	0.12450584177124	0.0	358	0.1807047619047619	UniProtKB:Q96PD6	21	21	NA	21 distinct author paired-case keys;protected clinical identity and aliquot level not reverified	12	0.5607618363191444	4000_whole_unit_percentile_bootstrap	9999_patient_unit_permutation_plus_one	9999	True	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2	author_available_value_mask	True	NOMINAL_EXPLORATORY
PDAC	CAMP_PDAC_GSE62452	03_PATIENT	20260922T112700Z_sop_v3_patient	PDAC_CAMP_source_SOP_v3	primary	NAME:1-myristoylglycerol (14:0)	1-myristoylglycerol (14:0)	MOGAT2	author_distinct_pair_key_tumor	21	21	Spearman_rho	0.1587450786638754	-0.2824028963071647	0.5730732599174364	0.4946	0.789391891891892	REL_CONDITIONAL_SUPPLEMENT_PRIMARY	350	DONE	Author-confirmed distinct pair-key tumor units;exploratory association	CAMP_plus_GEO_author_pair_table	c99598847b1de142	CONDITIONAL	MOGAT2	12	0.5714285714285714	False	7a1df0ec79fe8c168030562918faa5a6491f7177d18fb9b4692573f07356c79e	2048782572	4000	21	0.085134433371459	0.258556427276283	0.0998113486124076	0.0	358	0.8074351351351352	UniProtKB:Q3SYC2	21	21	NA	21 distinct author paired-case keys;protected clinical identity and aliquot level not reverified	12	0.1587450786638754	4000_whole_unit_percentile_bootstrap	9999_patient_unit_permutation_plus_one	9999	True	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2	author_available_value_mask	True	NOT_SUPPORTED_THIS_TEST
PDAC	CAMP_PDAC_GSE62452	03_PATIENT	20260922T112700Z_sop_v3_patient	PDAC_CAMP_source_SOP_v3	primary	NAME:1-oleoylglycerol (1-monoolein)	1-oleoylglycerol (1-monoolein)	DDHD2	author_distinct_pair_key_tumor	21	21	Spearman_rho	-0.2259590978798082	-0.5531570514140733	0.2228457557764988	0.3195	0.7209593023255814	REL_CONDITIONAL_SUPPLEMENT_PRIMARY	350	DONE	Author-confirmed distinct pair-key tumor units;exploratory association	CAMP_plus_GEO_author_pair_table	2b73aca8c42ba66e	CONDITIONAL	DDHD2	15	0.7142857142857143	False	d88e0abe16c7447b80cf7536fe73ddb3f38ecddb9e3f0054af1778d1c1d299fd	3633187518	4000	21	-0.3121301691531145	-0.1500043045930016	0.0861710712733062	0.0	358	0.7374383720930232	UniProtKB:O94830	21	21	NA	21 distinct author paired-case keys;protected clinical identity and aliquot level not reverified	15	-0.2259590978798082	4000_whole_unit_percentile_bootstrap	9999_patient_unit_permutation_plus_one	9999	True	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2	author_available_value_mask	True	NOT_SUPPORTED_THIS_TEST
PDAC	CAMP_PDAC_GSE62452	03_PATIENT	20260922T112700Z_sop_v3_patient	PDAC_CAMP_source_SOP_v3	primary	NAME:1-oleoylglycerol (1-monoolein)	1-oleoylglycerol (1-monoolein)	LIPE	author_distinct_pair_key_tumor	21	21	Spearman_rho	0.4414084702768347	0.0767455811345811	0.7207310132488045	0.0514	0.3331481481481482	REL_CONDITIONAL_SUPPLEMENT_PRIMARY	350	DONE	Author-confirmed distinct pair-key tumor units;exploratory association	CAMP_plus_GEO_author_pair_table	acd08185750cb2b5	CONDITIONAL	LIPE	15	0.7142857142857143	False	a16af9788f3eceb963429e9a22015a5f1621d01a205100ac90c702ef52281a20	2708142456	4000	21	0.383344333959893	0.5181966885940056	0.0767882183171708	0.0	358	0.3407629629629629	UniProtKB:Q05469	21	21	NA	21 distinct author paired-case keys;protected clinical identity and aliquot level not reverified	15	0.4414084702768347	4000_whole_unit_percentile_bootstrap	9999_patient_unit_permutation_plus_one	9999	True	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2	author_available_value_mask	True	NOT_SUPPORTED_THIS_TEST
PDAC	CAMP_PDAC_GSE62452	03_PATIENT	20260922T112700Z_sop_v3_patient	PDAC_CAMP_source_SOP_v3	primary	NAME:1-oleoylglycerol (1-monoolein)	1-oleoylglycerol (1-monoolein)	MOGAT1	author_distinct_pair_key_tumor	21	21	Spearman_rho	0.5819760486090411	0.1879034063345395	0.8474655909890608	0.0056	0.16333333333333333	REL_CONDITIONAL_SUPPLEMENT_PRIMARY	350	DONE	Author-confirmed distinct pair-key tumor units;exploratory association	CAMP_plus_GEO_author_pair_table	c9fbcffd0c54b40f	CONDITIONAL	MOGAT1	15	0.7142857142857143	False	74881fb7f8c9833b8ed8ca8e5b49aa06827df8445e13c1a824648b8cd7e29b39	1955078071	4000	21	0.5440483620039183	0.6964428611646797	0.1144668125556386	0.0	358	0.1670666666666666	UniProtKB:Q96PD6	21	21	NA	21 distinct author paired-case keys;protected clinical identity and aliquot level not reverified	15	0.5819760486090411	4000_whole_unit_percentile_bootstrap	9999_patient_unit_permutation_plus_one	9999	True	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2	author_available_value_mask	True	NOMINAL_EXPLORATORY
PDAC	CAMP_PDAC_GSE62452	03_PATIENT	20260922T112700Z_sop_v3_patient	PDAC_CAMP_source_SOP_v3	primary	NAME:1-oleoylglycerol (1-monoolein)	1-oleoylglycerol (1-monoolein)	PLB1	author_distinct_pair_key_tumor	21	21	Spearman_rho	-0.2890174507764989	-0.675304012123757	0.1885014705453291	0.2002	0.6312612612612613	REL_CONDITIONAL_SUPPLEMENT_PRIMARY	350	DONE	Author-confirmed distinct pair-key tumor units;exploratory association	CAMP_plus_GEO_author_pair_table	c78cfc71cbb5172a	CONDITIONAL	PLB1	15	0.7142857142857143	False	f0dda6363a347a2ba9a79f042b645ff2c95562b70b95b2d64f135605a304c7cd	4041057846	4000	21	-0.4122271202298596	-0.1920170689425593	0.1232096694533607	0.0	358	0.64569009009009	UniProtKB:Q6P1J6	21	21	NA	21 distinct author paired-case keys;protected clinical identity and aliquot level not reverified	15	-0.2890174507764989	4000_whole_unit_percentile_bootstrap	9999_patient_unit_permutation_plus_one	9999	True	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2	author_available_value_mask	True	NOT_SUPPORTED_THIS_TEST
