cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	relation_id	mapping_tier	rna_label	n_preimputation_available	available_fraction	same_input_reused	input_hash	seed	bootstrap_valid	loo_n_valid	loo_rho_min	loo_rho_max	loo_max_abs_change	loo_sign_changes	family_n_planned	q_original	stable_gene_id	n_tumor_linked	n_complete	n_unique_patients	unit_verification	n_metabolite_available	rho	ci_method	p_method	B	statistics_reused	reused_from	mask_semantics	same_cohort_postselection	evidence_tier
PDAC	CAMP_PDAC_GSE62452	03_PATIENT	20260922T112700Z_sop_v3_patient	PDAC_CAMP_source_SOP_v3	availability	HMDB:HMDB07098	1,2-dipalmitoylglycerol	DGAT1	author_distinct_pair_key_tumor	11	21	Spearman_rho	0.1363636363636363	-0.6750286407439853	0.6731160287081341	0.6933	0.9857459627329194	REL_CONDITIONAL_SUPPLEMENT_AVAILABLE	342	DONE	Author-confirmed distinct pair-key tumor units;exploratory association	CAMP_plus_GEO_author_pair_table	7a848c0310f0d5cd	CONDITIONAL	DGAT1	11	0.5238095238095238	False	d9560938c821ddc4eee535f18e4357ae38cd51c924b4c2ab42f32e88dec2f735	3646294328	4000	11	-0.1272727272727272	0.2363636363636363	0.2636363636363636	3.0	358	1.0	UniProtKB:O75907	21	11	NA	21 distinct author paired-case keys;protected clinical identity and aliquot level not reverified	11	0.1363636363636363	4000_whole_unit_percentile_bootstrap	9999_patient_unit_permutation_plus_one	9999	True	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2	author_available_value_mask	True	NOT_SUPPORTED_THIS_TEST
PDAC	CAMP_PDAC_GSE62452	03_PATIENT	20260922T112700Z_sop_v3_patient	PDAC_CAMP_source_SOP_v3	availability	HMDB:HMDB07098	1,2-dipalmitoylglycerol	DGAT2	author_distinct_pair_key_tumor	11	21	Spearman_rho	0.4636363636363637	-0.3467862568657239	0.8490743201346445	0.1575	0.8519307692307692	REL_CONDITIONAL_SUPPLEMENT_AVAILABLE	342	DONE	Author-confirmed distinct pair-key tumor units;exploratory association	CAMP_plus_GEO_author_pair_table	85e60f200a7fb988	CONDITIONAL	DGAT2	11	0.5238095238095238	False	b6d93512fb7750b74403584aa32033e8b4311a324f13afe5db354370af8e212b	3067688210	4000	11	0.2848484848484848	0.6484848484848483	0.1848484848484846	0.0	358	0.8917871794871794	UniProtKB:Q96PD7	21	11	NA	21 distinct author paired-case keys;protected clinical identity and aliquot level not reverified	11	0.4636363636363637	4000_whole_unit_percentile_bootstrap	9999_patient_unit_permutation_plus_one	9999	True	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2	author_available_value_mask	True	NOT_SUPPORTED_THIS_TEST
PDAC	CAMP_PDAC_GSE62452	03_PATIENT	20260922T112700Z_sop_v3_patient	PDAC_CAMP_source_SOP_v3	availability	HMDB:HMDB07098	1,2-dipalmitoylglycerol	DGKA	author_distinct_pair_key_tumor	11	21	Spearman_rho	-0.0363636363636363	-0.6807613798734437	0.8009945931513253	0.9207	0.9857459627329194	REL_CONDITIONAL_SUPPLEMENT_AVAILABLE	342	DONE	Author-confirmed distinct pair-key tumor units;exploratory association	CAMP_plus_GEO_author_pair_table	a2505f90de339f3d	CONDITIONAL	DGKA	11	0.5238095238095238	False	420da4fee35f604b2178ca09461b421be46251a44432faa093d485e58fd8d0f4	1108190462	4000	11	-0.2121212121212121	0.2848484848484848	0.3212121212121212	3.0	358	1.0	UniProtKB:P23743	21	11	NA	21 distinct author paired-case keys;protected clinical identity and aliquot level not reverified	11	-0.0363636363636363	4000_whole_unit_percentile_bootstrap	9999_patient_unit_permutation_plus_one	9999	True	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2	author_available_value_mask	True	NOT_SUPPORTED_THIS_TEST
PDAC	CAMP_PDAC_GSE62452	03_PATIENT	20260922T112700Z_sop_v3_patient	PDAC_CAMP_source_SOP_v3	availability	HMDB:HMDB07098	1,2-dipalmitoylglycerol	DGKB	author_distinct_pair_key_tumor	11	21	Spearman_rho	-0.3181818181818182	-0.7972350230414746	0.4019387089763097	0.3444	0.9325490445859873	REL_CONDITIONAL_SUPPLEMENT_AVAILABLE	342	DONE	Author-confirmed distinct pair-key tumor units;exploratory association	CAMP_plus_GEO_author_pair_table	d1b0d72076db189a	CONDITIONAL	DGKB	11	0.5238095238095238	False	dba95fcecb65186d0cf39cc6e58387874e85ec1f1beda17d8e0a5064f0dbef6e	3685310414	4000	11	-0.5030303030303029	-0.1636363636363636	0.1848484848484847	0.0	358	0.976177070063694	UniProtKB:Q9Y6T7	21	11	NA	21 distinct author paired-case keys;protected clinical identity and aliquot level not reverified	11	-0.3181818181818182	4000_whole_unit_percentile_bootstrap	9999_patient_unit_permutation_plus_one	9999	True	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2	author_available_value_mask	True	NOT_SUPPORTED_THIS_TEST
PDAC	CAMP_PDAC_GSE62452	03_PATIENT	20260922T112700Z_sop_v3_patient	PDAC_CAMP_source_SOP_v3	availability	NAME:1-myristoylglycerol (14:0)	1-myristoylglycerol (14:0)	MOGAT1	author_distinct_pair_key_tumor	12	21	Spearman_rho	0.3356643356643357	-0.3358490566037735	0.8467430974293876	0.2841	0.9325490445859873	REL_CONDITIONAL_SUPPLEMENT_AVAILABLE	342	DONE	Author-confirmed distinct pair-key tumor units;exploratory association	CAMP_plus_GEO_author_pair_table	9ee6bcb23c921e8e	CONDITIONAL	MOGAT1	12	0.5714285714285714	False	4a30d367bbe5d50abf8a9a439203baf5b55a83b4607ee8801cbf150cd9154232	1244713831	4000	12	0.2181818181818182	0.6545454545454547	0.318881118881119	0.0	358	0.976177070063694	UniProtKB:Q96PD6	21	12	NA	21 distinct author paired-case keys;protected clinical identity and aliquot level not reverified	12	0.3356643356643357	4000_whole_unit_percentile_bootstrap	9999_patient_unit_permutation_plus_one	9999	True	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2	author_available_value_mask	True	NOT_SUPPORTED_THIS_TEST
PDAC	CAMP_PDAC_GSE62452	03_PATIENT	20260922T112700Z_sop_v3_patient	PDAC_CAMP_source_SOP_v3	availability	NAME:1-myristoylglycerol (14:0)	1-myristoylglycerol (14:0)	MOGAT2	author_distinct_pair_key_tumor	12	21	Spearman_rho	-0.1328671328671329	-0.5857393252503954	0.4400215053763441	0.6908	0.9857459627329194	REL_CONDITIONAL_SUPPLEMENT_AVAILABLE	342	DONE	Author-confirmed distinct pair-key tumor units;exploratory association	CAMP_plus_GEO_author_pair_table	c99598847b1de142	CONDITIONAL	MOGAT2	12	0.5714285714285714	False	8582ce4fde4d2e9bfc1df2decb804362308eeec7c68a67d0f7e63006ed0f2af0	2239942223	4000	12	-0.3181818181818182	-0.0181818181818181	0.1853146853146852	0.0	358	1.0	UniProtKB:Q3SYC2	21	12	NA	21 distinct author paired-case keys;protected clinical identity and aliquot level not reverified	12	-0.1328671328671329	4000_whole_unit_percentile_bootstrap	9999_patient_unit_permutation_plus_one	9999	True	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2	author_available_value_mask	True	NOT_SUPPORTED_THIS_TEST
PDAC	CAMP_PDAC_GSE62452	03_PATIENT	20260922T112700Z_sop_v3_patient	PDAC_CAMP_source_SOP_v3	availability	NAME:1-oleoylglycerol (1-monoolein)	1-oleoylglycerol (1-monoolein)	DDHD2	author_distinct_pair_key_tumor	15	21	Spearman_rho	0.0535714285714285	-0.5001811594202898	0.7127662337662339	0.8521	0.9857459627329194	REL_CONDITIONAL_SUPPLEMENT_AVAILABLE	342	DONE	Author-confirmed distinct pair-key tumor units;exploratory association	CAMP_plus_GEO_author_pair_table	2b73aca8c42ba66e	CONDITIONAL	DDHD2	15	0.7142857142857143	False	59540729b7a00cc41e0ed869a1cb0e86fb3c2dfef047a700da37344df47d3224	1498679081	4000	15	-0.0637362637362637	0.2747252747252747	0.2211538461538461	5.0	358	1.0	UniProtKB:O94830	21	15	NA	21 distinct author paired-case keys;protected clinical identity and aliquot level not reverified	15	0.0535714285714285	4000_whole_unit_percentile_bootstrap	9999_patient_unit_permutation_plus_one	9999	True	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2	author_available_value_mask	True	NOT_SUPPORTED_THIS_TEST
PDAC	CAMP_PDAC_GSE62452	03_PATIENT	20260922T112700Z_sop_v3_patient	PDAC_CAMP_source_SOP_v3	availability	NAME:1-oleoylglycerol (1-monoolein)	1-oleoylglycerol (1-monoolein)	LIPE	author_distinct_pair_key_tumor	15	21	Spearman_rho	0.432142857142857	-0.1765878090366581	0.8561732102521252	0.109	0.77805	REL_CONDITIONAL_SUPPLEMENT_AVAILABLE	342	DONE	Author-confirmed distinct pair-key tumor units;exploratory association	CAMP_plus_GEO_author_pair_table	acd08185750cb2b5	CONDITIONAL	LIPE	15	0.7142857142857143	False	f62a71393d330d80cfedb61e86f058bd047e018d157464db9001559dccc844d7	4129976633	4000	15	0.3010989010989011	0.6175824175824175	0.1854395604395604	0.0	358	0.81445	UniProtKB:Q05469	21	15	NA	21 distinct author paired-case keys;protected clinical identity and aliquot level not reverified	15	0.432142857142857	4000_whole_unit_percentile_bootstrap	9999_patient_unit_permutation_plus_one	9999	True	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2	author_available_value_mask	True	NOT_SUPPORTED_THIS_TEST
PDAC	CAMP_PDAC_GSE62452	03_PATIENT	20260922T112700Z_sop_v3_patient	PDAC_CAMP_source_SOP_v3	availability	NAME:1-oleoylglycerol (1-monoolein)	1-oleoylglycerol (1-monoolein)	MOGAT1	author_distinct_pair_key_tumor	15	21	Spearman_rho	0.4035714285714285	-0.1434209825234441	0.842505213764338	0.1369	0.8272862068965519	REL_CONDITIONAL_SUPPLEMENT_AVAILABLE	342	DONE	Author-confirmed distinct pair-key tumor units;exploratory association	CAMP_plus_GEO_author_pair_table	c9fbcffd0c54b40f	CONDITIONAL	MOGAT1	15	0.7142857142857143	False	feb67347455e118eef97ee90d2966b013aa24938457a1065342e8c79f589a8db	4273369927	4000	15	0.3406593406593406	0.6351648351648352	0.2315934065934067	0.0	358	0.8659896551724139	UniProtKB:Q96PD6	21	15	NA	21 distinct author paired-case keys;protected clinical identity and aliquot level not reverified	15	0.4035714285714285	4000_whole_unit_percentile_bootstrap	9999_patient_unit_permutation_plus_one	9999	True	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2	author_available_value_mask	True	NOT_SUPPORTED_THIS_TEST
PDAC	CAMP_PDAC_GSE62452	03_PATIENT	20260922T112700Z_sop_v3_patient	PDAC_CAMP_source_SOP_v3	availability	NAME:1-oleoylglycerol (1-monoolein)	1-oleoylglycerol (1-monoolein)	PLB1	author_distinct_pair_key_tumor	15	21	Spearman_rho	-0.0464285714285714	-0.5866113891715644	0.5575868372943327	0.8718	0.9857459627329194	REL_CONDITIONAL_SUPPLEMENT_AVAILABLE	342	DONE	Author-confirmed distinct pair-key tumor units;exploratory association	CAMP_plus_GEO_author_pair_table	c78cfc71cbb5172a	CONDITIONAL	PLB1	15	0.7142857142857143	False	1cb1c60b029cd7c1c302884fc96fa2c47335c12139a056fd2bb25cf7a8869bef	481412619	4000	15	-0.1604395604395604	0.134065934065934	0.1804945054945055	3.0	358	1.0	UniProtKB:Q6P1J6	21	15	NA	21 distinct author paired-case keys;protected clinical identity and aliquot level not reverified	15	-0.0464285714285714	4000_whole_unit_percentile_bootstrap	9999_patient_unit_permutation_plus_one	9999	True	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2	author_available_value_mask	True	NOT_SUPPORTED_THIS_TEST
