cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	relation_id	stable_gene_id	n_tumor_linked	n_complete	n_unique_patients	unit_verification	n_metabolite_available	rho	ci_method	bootstrap_valid	p_method	B	seed	statistics_reused	reused_from	mask_semantics	same_cohort_postselection	family_n_planned	evidence_tier	mapping_tier	rna_label	n_preimputation_available	available_fraction	same_input_reused	input_hash	loo_n_valid	loo_rho_min	loo_rho_max	loo_max_abs_change	loo_sign_changes	q_original
PDAC	CAMP_PDAC_GSE62452	03_PATIENT	20260922T112700Z_sop_v3_patient	PDAC_CAMP_source_SOP_v3	availability	KEGG:C00184	1,3-dihydroxyacetone	DCPH1	author_distinct_pair_key_tumor	16	21	Spearman_rho	0.4529411764705882	-0.0925373134328358	0.8567910447761197	0.0799	0.4944	REL_TUMOR_AVAILABLE	342	DONE	Author-confirmed distinct pair-key tumor units;exploratory association	CAMP_plus_GEO_author_pair_table	be518d6b74258c87	UniProtKB:Q9H993	21	16	NA	21 distinct author paired-case keys;protected clinical identity and aliquot level not reverified	16	0.4529411764705882	4000_whole_unit_percentile_bootstrap	4000	9999_patient_unit_permutation_plus_one	9999	1865754705	True	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2	author_available_value_mask	True	357	NOT_SUPPORTED_THIS_TEST	DIRECT	ARMT1	16	0.7619047619047619	False	6f3528516caca3189eff9629bba86f4a09a1009da3e93b3d46da1136dacea943	16	0.3571428571428571	0.6785714285714285	0.2256302521008402	0.0	0.5160842105263158
PDAC	CAMP_PDAC_GSE62452	03_PATIENT	20260922T112700Z_sop_v3_patient	PDAC_CAMP_source_SOP_v3	availability	KEGG:C00184	1,3-dihydroxyacetone	TKFC	author_distinct_pair_key_tumor	16	21	Spearman_rho	-0.3588235294117647	-0.8098105329684737	0.2085343828801199	0.1739	0.6728478260869565	REL_TUMOR_AVAILABLE	342	DONE	Author-confirmed distinct pair-key tumor units;exploratory association	CAMP_plus_GEO_author_pair_table	567cc28eb507571a	UniProtKB:Q3LXA3	21	16	NA	21 distinct author paired-case keys;protected clinical identity and aliquot level not reverified	16	-0.3588235294117647	4000_whole_unit_percentile_bootstrap	4000	9999_patient_unit_permutation_plus_one	9999	3848825156	True	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2	author_available_value_mask	True	357	NOT_SUPPORTED_THIS_TEST	DIRECT	TKFC	16	0.7619047619047619	False	e5686944964ba236e063ac3adafcb34804a13d804b2f1feefdd78e78a790aeb3	16	-0.5178571428571428	-0.2214285714285713	0.159033613445378	0.0	0.702358695652174
PDAC	CAMP_PDAC_GSE62452	03_PATIENT	20260922T112700Z_sop_v3_patient	PDAC_CAMP_source_SOP_v3	availability	NAME:1-myristoylglycerol (14:0)	1-myristoylglycerol (14:0)	ABHD12	author_distinct_pair_key_tumor	12	21	Spearman_rho	0.0489510489510489	-0.6642348800834202	0.6917837941628265	0.8872	0.9725076923076923	REL_TUMOR_AVAILABLE	342	DONE	Author-confirmed distinct pair-key tumor units;exploratory association	CAMP_plus_GEO_author_pair_table	933849e4a7e53a7f	UniProtKB:Q8N2K0	21	12	NA	21 distinct author paired-case keys;protected clinical identity and aliquot level not reverified	12	0.0489510489510489	4000_whole_unit_percentile_bootstrap	4000	9999_patient_unit_permutation_plus_one	9999	790962682	True	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2	author_available_value_mask	True	357	NOT_SUPPORTED_THIS_TEST	DIRECT	ABHD12	12	0.5714285714285714	False	2f2521fa1ee63cf7e56bec784bec185e2917f21d2d9c7466287355b021a73bbb	12	-0.2363636363636363	0.2636363636363636	0.2853146853146853	3.0	1.0
PDAC	CAMP_PDAC_GSE62452	03_PATIENT	20260922T112700Z_sop_v3_patient	PDAC_CAMP_source_SOP_v3	availability	NAME:1-myristoylglycerol (14:0)	1-myristoylglycerol (14:0)	ABHD16A	author_distinct_pair_key_tumor	12	21	Spearman_rho	-0.0839160839160839	-0.642920466058764	0.6201056067588326	0.799	0.9422689655172415	REL_TUMOR_AVAILABLE	342	DONE	Author-confirmed distinct pair-key tumor units;exploratory association	CAMP_plus_GEO_author_pair_table	1f8efd07d56da2aa	UniProtKB:O95870	21	12	NA	21 distinct author paired-case keys;protected clinical identity and aliquot level not reverified	12	-0.0839160839160839	4000_whole_unit_percentile_bootstrap	4000	9999_patient_unit_permutation_plus_one	9999	1806356256	True	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2	author_available_value_mask	True	357	NOT_SUPPORTED_THIS_TEST	DIRECT	ABHD16A	12	0.5714285714285714	False	6baacf2097d3a7574aacd23bc93dd947145650d315014d8aca1e085106975a51	12	-0.2636363636363636	0.1636363636363636	0.2475524475524476	2.0	0.983596551724138
PDAC	CAMP_PDAC_GSE62452	03_PATIENT	20260922T112700Z_sop_v3_patient	PDAC_CAMP_source_SOP_v3	availability	NAME:1-myristoylglycerol (14:0)	1-myristoylglycerol (14:0)	ABHD6	author_distinct_pair_key_tumor	12	21	Spearman_rho	-0.1958041958041958	-0.7357142857142858	0.4572391084093215	0.5416	0.8655476635514018	REL_TUMOR_AVAILABLE	342	DONE	Author-confirmed distinct pair-key tumor units;exploratory association	CAMP_plus_GEO_author_pair_table	edca165ae2cf8fdd	UniProtKB:Q9BV23	21	12	NA	21 distinct author paired-case keys;protected clinical identity and aliquot level not reverified	12	-0.1958041958041958	4000_whole_unit_percentile_bootstrap	4000	9999_patient_unit_permutation_plus_one	9999	1855019733	True	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2	author_available_value_mask	True	357	NOT_SUPPORTED_THIS_TEST	DIRECT	ABHD6	12	0.5714285714285714	False	6e915ad5a17dce389a0783225b8da41b978bf5209e496e8137aed6908a00d948	12	-0.3636363636363636	0.0181818181818181	0.213986013986014	1.0	0.9035102803738316
PDAC	CAMP_PDAC_GSE62452	03_PATIENT	20260922T112700Z_sop_v3_patient	PDAC_CAMP_source_SOP_v3	availability	NAME:1-myristoylglycerol (14:0)	1-myristoylglycerol (14:0)	MGLL	author_distinct_pair_key_tumor	12	21	Spearman_rho	-0.1608391608391608	-0.7266517668218366	0.4798607529654461	0.6226	0.8909171548117155	REL_TUMOR_AVAILABLE	342	DONE	Author-confirmed distinct pair-key tumor units;exploratory association	CAMP_plus_GEO_author_pair_table	e524515780687985	UniProtKB:Q99685	21	12	NA	21 distinct author paired-case keys;protected clinical identity and aliquot level not reverified	12	-0.1608391608391608	4000_whole_unit_percentile_bootstrap	4000	9999_patient_unit_permutation_plus_one	9999	1733454030	True	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2	author_available_value_mask	True	357	NOT_SUPPORTED_THIS_TEST	DIRECT	MGLL	12	0.5714285714285714	False	675268ce895c13a3d1ce1076d628259f72d0c54c2a3254a56b4dcbc6e809bbd4	12	-0.4000000000000001	0.0181818181818181	0.2391608391608392	1.0	0.9299924686192468
PDAC	CAMP_PDAC_GSE62452	03_PATIENT	20260922T112700Z_sop_v3_patient	PDAC_CAMP_source_SOP_v3	availability	NAME:1-oleoylglycerol (1-monoolein)	1-oleoylglycerol (1-monoolein)	ABHD12	author_distinct_pair_key_tumor	15	21	Spearman_rho	0.1571428571428571	-0.4862854938530433	0.6906607067287347	0.5668	0.866498275862069	REL_TUMOR_AVAILABLE	342	DONE	Author-confirmed distinct pair-key tumor units;exploratory association	CAMP_plus_GEO_author_pair_table	bb1f9b8dbed33ba8	UniProtKB:Q8N2K0	21	15	NA	21 distinct author paired-case keys;protected clinical identity and aliquot level not reverified	15	0.1571428571428571	4000_whole_unit_percentile_bootstrap	4000	9999_patient_unit_permutation_plus_one	9999	725048445	True	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2	author_available_value_mask	True	357	NOT_SUPPORTED_THIS_TEST	DIRECT	ABHD12	15	0.7142857142857143	False	2b375c7d5eb4b7df4f7207e248257915adf7947bcdb034c7aee32b876e1509a5	15	-0.0373626373626373	0.3626373626373627	0.2054945054945055	1.0	0.9045025862068964
PDAC	CAMP_PDAC_GSE62452	03_PATIENT	20260922T112700Z_sop_v3_patient	PDAC_CAMP_source_SOP_v3	availability	NAME:1-oleoylglycerol (1-monoolein)	1-oleoylglycerol (1-monoolein)	ABHD16A	author_distinct_pair_key_tumor	15	21	Spearman_rho	-0.1892857142857142	-0.6423423542122322	0.403646002991524	0.4979	0.8587103773584907	REL_TUMOR_AVAILABLE	342	DONE	Author-confirmed distinct pair-key tumor units;exploratory association	CAMP_plus_GEO_author_pair_table	a62402e78c0edd9c	UniProtKB:O95870	21	15	NA	21 distinct author paired-case keys;protected clinical identity and aliquot level not reverified	15	-0.1892857142857142	4000_whole_unit_percentile_bootstrap	4000	9999_patient_unit_permutation_plus_one	9999	226632320	True	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2	author_available_value_mask	True	357	NOT_SUPPORTED_THIS_TEST	DIRECT	ABHD16A	15	0.7142857142857143	False	0d822280a450cda241d8b70d59ac63e6f339bce428b83a77d4d8e8c37b6ab2b7	15	-0.3142857142857143	-0.0373626373626373	0.1519230769230769	0.0	0.8963731132075472
PDAC	CAMP_PDAC_GSE62452	03_PATIENT	20260922T112700Z_sop_v3_patient	PDAC_CAMP_source_SOP_v3	availability	NAME:1-oleoylglycerol (1-monoolein)	1-oleoylglycerol (1-monoolein)	ABHD16B	author_distinct_pair_key_tumor	15	21	Spearman_rho	0.1892857142857142	-0.4055487906588824	0.6765949265816499	0.503	0.8587103773584907	REL_TUMOR_AVAILABLE	342	DONE	Author-confirmed distinct pair-key tumor units;exploratory association	CAMP_plus_GEO_author_pair_table	8844e24ed7c15221	UniProtKB:Q9H3Z7	21	15	NA	21 distinct author paired-case keys;protected clinical identity and aliquot level not reverified	15	0.1892857142857142	4000_whole_unit_percentile_bootstrap	4000	9999_patient_unit_permutation_plus_one	9999	3194244491	True	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2	author_available_value_mask	True	357	NOT_SUPPORTED_THIS_TEST	DIRECT	ABHD16B	15	0.7142857142857143	False	be644d8bb5dd77a7928c82cde6b30afade4e85fbbb927455972128bedbd2d66f	15	0.0021978021978021	0.3054945054945055	0.1870879120879121	0.0	0.8963731132075472
PDAC	CAMP_PDAC_GSE62452	03_PATIENT	20260922T112700Z_sop_v3_patient	PDAC_CAMP_source_SOP_v3	availability	NAME:1-oleoylglycerol (1-monoolein)	1-oleoylglycerol (1-monoolein)	ABHD6	author_distinct_pair_key_tumor	15	21	Spearman_rho	-0.5714285714285713	-0.8623412762195612	-0.048962900896843	0.03	0.3631235294117647	REL_TUMOR_AVAILABLE	342	DONE	Author-confirmed distinct pair-key tumor units;exploratory association	CAMP_plus_GEO_author_pair_table	0715831efa52ca20	UniProtKB:Q9BV23	21	15	NA	21 distinct author paired-case keys;protected clinical identity and aliquot level not reverified	15	-0.5714285714285713	4000_whole_unit_percentile_bootstrap	4000	9999_patient_unit_permutation_plus_one	9999	2772292085	True	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2	author_available_value_mask	True	357	NOMINAL_EXPLORATORY	DIRECT	ABHD6	15	0.7142857142857143	False	a53dd1f541e46461e059454b2e17040da66f9765940df4c748fdb37821c17930	15	-0.6747252747252748	-0.4725274725274725	0.1032967032967034	0.0	0.37905
