cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	median_delta	rank_biserial	n_nonzero	n_both_preimputation_available	family_n_planned	original_camp_g	original_camp_q	same_input_reused	seed
PDAC	CAMP_PDAC_GSE62452	04_ROBUSTNESS	20260921T121509Z_paired_metabolites_v1	PDAC_paired_metabolites_v1	primary	HMDB:HMDB0037397	(16 or 17)-methylstearate (a19:0 or i19:0)	NA	author_confirmed_patient_pair	11	11	paired_mean_tumor_minus_normal_author_processed_scale	-0.24168116901817302	-0.9587021937491995	0.5123251193945871	0.5771484375	0.8202989366319444	PDAC_paired_v1_primary	307	DONE	Author-confirmed pairs;exact signed-rank sign enumeration	CAMP_mapping_plus_GSE62452_author_pair_table	-0.42320316089030285	-0.21212121212121215	11	11	307	-0.735013762827141	0.0816683379714033	False	1550084397
PDAC	CAMP_PDAC_GSE62452	04_ROBUSTNESS	20260921T121509Z_paired_metabolites_v1	PDAC_paired_metabolites_v1	both_preimputation_available	HMDB:HMDB0037397	(16 or 17)-methylstearate (a19:0 or i19:0)	NA	author_confirmed_patient_pair	11	11	paired_mean_tumor_minus_normal_author_processed_scale	-0.24168116901817302	-0.9587021937491995	0.5123251193945871	0.5771484375	1.0	PDAC_paired_v1_both_preimputation_available	230	DONE	Author-confirmed pairs;exact signed-rank sign enumeration	CAMP_mapping_plus_GSE62452_author_pair_table	-0.42320316089030285	-0.21212121212121215	11	11	307	-0.735013762827141	0.0816683379714033	True	1550084397
PDAC	CAMP_PDAC_GSE62452	04_ROBUSTNESS	20260921T121509Z_paired_metabolites_v1	PDAC_paired_metabolites_v1	primary	HMDB:HMDB07098	1,2-dipalmitoylglycerol	NA	author_confirmed_patient_pair	11	11	paired_mean_tumor_minus_normal_author_processed_scale	-2.2415684744905096	-3.7633507682291567	-0.7566564424445462	0.0390625	0.25783203125	PDAC_paired_v1_primary	307	DONE	Author-confirmed pairs;exact signed-rank sign enumeration	CAMP_mapping_plus_GSE62452_author_pair_table	-2.744838327735099	-0.7777777777777778	9	5	307	-0.822478355429891	0.116290740921795	False	1760523389
PDAC	CAMP_PDAC_GSE62452	04_ROBUSTNESS	20260921T121509Z_paired_metabolites_v1	PDAC_paired_metabolites_v1	both_preimputation_available	HMDB:HMDB07098	1,2-dipalmitoylglycerol	NA	author_confirmed_patient_pair	5	11	paired_mean_tumor_minus_normal_author_processed_scale	NA	NA	NA	NA	NA	PDAC_paired_v1_both_preimputation_available	230	NOT_EVALUABLE	N_COMPLETE_PAIRS_LT_6	CAMP_mapping_plus_GSE62452_author_pair_table	NA	NA	NA	5	307	-0.822478355429891	0.116290740921795	False	1760523389
PDAC	CAMP_PDAC_GSE62452	04_ROBUSTNESS	20260921T121509Z_paired_metabolites_v1	PDAC_paired_metabolites_v1	primary	KEGG:C00184	1,3-dihydroxyacetone	NA	author_confirmed_patient_pair	11	11	paired_mean_tumor_minus_normal_author_processed_scale	0.8732457510846998	0.24781461068003469	1.5133682229827563	0.02734375	0.25783203125	PDAC_paired_v1_primary	307	DONE	Author-confirmed pairs;exact signed-rank sign enumeration	CAMP_mapping_plus_GSE62452_author_pair_table	0.564789399780599	0.8222222222222222	9	4	307	0.84453497874925	0.0813113981805886	False	132299585
PDAC	CAMP_PDAC_GSE62452	04_ROBUSTNESS	20260921T121509Z_paired_metabolites_v1	PDAC_paired_metabolites_v1	both_preimputation_available	KEGG:C00184	1,3-dihydroxyacetone	NA	author_confirmed_patient_pair	4	11	paired_mean_tumor_minus_normal_author_processed_scale	NA	NA	NA	NA	NA	PDAC_paired_v1_both_preimputation_available	230	NOT_EVALUABLE	N_COMPLETE_PAIRS_LT_6	CAMP_mapping_plus_GSE62452_author_pair_table	NA	NA	NA	4	307	0.84453497874925	0.0813113981805886	False	132299585
PDAC	CAMP_PDAC_GSE62452	04_ROBUSTNESS	20260921T121509Z_paired_metabolites_v1	PDAC_paired_metabolites_v1	primary	KEGG:C07326	1,5-anhydroglucitol (1,5-AG)	NA	author_confirmed_patient_pair	11	11	paired_mean_tumor_minus_normal_author_processed_scale	-0.07322149566059108	-0.9405639592802277	0.8092892952441908	0.845703125	0.9651704809479554	PDAC_paired_v1_primary	307	DONE	Author-confirmed pairs;exact signed-rank sign enumeration	CAMP_mapping_plus_GSE62452_author_pair_table	-0.0498016812417994	-0.09090909090909094	10	9	307	0.00447850458207	0.898497970966782	False	2693008706
PDAC	CAMP_PDAC_GSE62452	04_ROBUSTNESS	20260921T121509Z_paired_metabolites_v1	PDAC_paired_metabolites_v1	both_preimputation_available	KEGG:C07326	1,5-anhydroglucitol (1,5-AG)	NA	author_confirmed_patient_pair	9	11	paired_mean_tumor_minus_normal_author_processed_scale	0.24438702434957765	-0.5771529640747699	1.1304055447887	0.8203125	1.0	PDAC_paired_v1_both_preimputation_available	230	DONE	Author-confirmed pairs;exact signed-rank sign enumeration	CAMP_mapping_plus_GSE62452_author_pair_table	-0.0498016812417994	0.11111111111111116	9	9	307	0.00447850458207	0.898497970966782	False	2693008706
PDAC	CAMP_PDAC_GSE62452	04_ROBUSTNESS	20260921T121509Z_paired_metabolites_v1	PDAC_paired_metabolites_v1	primary	NAME:1-(1-enyl-palmitoyl)-GPE (P-16:0)	1-(1-enyl-palmitoyl)-GPE (P-16:0)	NA	author_confirmed_patient_pair	11	11	paired_mean_tumor_minus_normal_author_processed_scale	0.1294837039215631	-0.8799526905361286	1.1239210809275981	0.8310546875	0.9591495829417294	PDAC_paired_v1_primary	307	DONE	Author-confirmed pairs;exact signed-rank sign enumeration	CAMP_mapping_plus_GSE62452_author_pair_table	0.23664531108469689	0.09090909090909083	11	11	307	-0.482178810493073	0.458392588054548	False	3958823055
PDAC	CAMP_PDAC_GSE62452	04_ROBUSTNESS	20260921T121509Z_paired_metabolites_v1	PDAC_paired_metabolites_v1	both_preimputation_available	NAME:1-(1-enyl-palmitoyl)-GPE (P-16:0)	1-(1-enyl-palmitoyl)-GPE (P-16:0)	NA	author_confirmed_patient_pair	11	11	paired_mean_tumor_minus_normal_author_processed_scale	0.1294837039215631	-0.8799526905361286	1.1239210809275981	0.8310546875	1.0	PDAC_paired_v1_both_preimputation_available	230	DONE	Author-confirmed pairs;exact signed-rank sign enumeration	CAMP_mapping_plus_GSE62452_author_pair_table	0.23664531108469689	0.09090909090909083	11	11	307	-0.482178810493073	0.458392588054548	True	3958823055
