gene	source	article_id	pmid	pmcid	doi	title	year	url	text_mentions_perturbation	text_mentions_metabolism	text_mentions_PDCA_model	evidence_status	intervention_direction	metabolite_or_flux_measured	rescue	opposing_result	reading_depth
AASS	MED	23898392	23898392	PMC3724040	10.5009/gnl.2013.7.4.486	Feasibility of newly developed endoscopic ultrasound with zone sonography technology for diagnosis of pancreatic diseases.	2013	https://europepmc.org/article/MED/23898392	False	False	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
AASS	MED	31313401	31313401	PMC6721979	10.1002/mc.23084	Targeting cholecystokinin-2 receptor for pancreatic cancer chemoprevention.	2019	https://europepmc.org/article/MED/31313401	False	False	True	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
AASS	MED	41167553	41167553		10.1016/j.metabol.2025.156423	Lysine potentiates insulin secretion via AASS-dependent catabolism and regulation of GABA content and signaling.	2026	https://europepmc.org/article/MED/41167553	True	True	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
AASS	PPR	PPR986925			10.1101/2025.03.03.641187	Lysine Potentiates Insulin Secretion via AASS-Dependent Catabolism and Regulation of GABA Content and Signaling	2025	https://europepmc.org/article/PPR/PPR986925	True	True	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
AASS	PPR	PPR990670			10.21203/rs.3.rs-6154814/v1	Lysine Potentiates Insulin Secretion via AASS-Dependent Catabolism and Regulation of GABA Content and Signaling	2025	https://europepmc.org/article/PPR/PPR990670	True	True	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
ABHD12	MED	39135168	39135168	PMC11321213	10.1186/s12915-024-01973-3	Lipases are differentially regulated by hormones to maintain free fatty acid homeostasis for insect brain development.	2024	https://europepmc.org/article/MED/39135168	True	False	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
ABHD6	MED	24814481	24814481		10.1016/j.cmet.2014.04.003	α/β-Hydrolase domain-6-accessible monoacylglycerol controls glucose-stimulated insulin secretion.	2014	https://europepmc.org/article/MED/24814481	False	True	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
ABHD6	MED	26997277	26997277		10.1016/j.celrep.2016.02.076	α/β-Hydrolase Domain 6 Deletion Induces Adipose Browning and Prevents Obesity and Type 2 Diabetes.	2016	https://europepmc.org/article/MED/26997277	True	False	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
ABHD6	MED	27617390	27617390	PMC5088491	10.1038/nmeth.3992	An in vivo multiplexed small-molecule screening platform.	2016	https://europepmc.org/article/MED/27617390	False	False	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
ABHD6	MED	30198578	30198578		10.1002/lipd.12056	Hydrolysis Activity of Pyloric Cecal Enterocytes of Brown Trout (Salmo trutta) toward Monoacylglycerol and Lysophosphatidylcholine.	2018	https://europepmc.org/article/MED/30198578	False	False	False	LOCATED_NOT_VALIDATED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	NOT_REVIEWED	ABSTRACT_RETRIEVED_NOT_MANUALLY_ADJUDICATED
