gene	aliases	query	status	hits	response_sha256	retrieved_utc	reason
AADAT	KAT2;KYAT2	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22KAT2%22+OR+TITLE_ABS%3A%22KYAT2%22%29&format=json&resultType=core&pageSize=3	DONE	1	675e0e14613ba915ea6eda468156ef89863fd2b77faac588eb6f5327585d105b	2026-09-20T11:33:59.882451+00:00	Alias retrieval only;not verified gene-specific intervention
ABHD16A	BAT5;NG26	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22BAT5%22+OR+TITLE_ABS%3A%22NG26%22%29&format=json&resultType=core&pageSize=3	DONE	0	3c3b1ba0e94e72452559e9d22abfe25f095cd56607e48e38eaf4544a002fc002	2026-09-20T11:33:59.883033+00:00	Alias retrieval only;not verified gene-specific intervention
ABHD16B	C20orf135	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22C20orf135%22%29&format=json&resultType=core&pageSize=3	DONE	0	1b897c29b881a5ce9c809817480a972ce19c79e0b547e06f97531af889d7acba	2026-09-20T11:33:59.883581+00:00	Alias retrieval only;not verified gene-specific intervention
ABHD2	LABH2	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22LABH2%22%29&format=json&resultType=core&pageSize=3	DONE	0	f4db0cac876e4d2fffaa661629c5a50cfedbeb7b0e4b13d88bb4ca9184137fec	2026-09-20T11:34:02.269805+00:00	Alias retrieval only;not verified gene-specific intervention
ADPRM	C17orf48	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22C17orf48%22%29&format=json&resultType=core&pageSize=3	DONE	0	286403490d201420ae0d0f029a13a233795bcc88400345d320b6424f3de48444	2026-09-20T11:34:03.084993+00:00	Alias retrieval only;not verified gene-specific intervention
AK9	AKD1;AKD2;C6orf199	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22AKD1%22+OR+TITLE_ABS%3A%22AKD2%22+OR+TITLE_ABS%3A%22C6orf199%22%29&format=json&resultType=core&pageSize=3	DONE	0	710e6902f23e242c106b4fdb82e222d216c25f2fd1466735a4655cbbf16bac08	2026-09-20T11:34:03.385979+00:00	Alias retrieval only;not verified gene-specific intervention
AKR1C4	CHDR	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22CHDR%22%29&format=json&resultType=core&pageSize=3	DONE	0	7080e4fd2772e97bbfa0de5b1e755f1ab00f909dae8f37cd6f4f0601092b3861	2026-09-20T11:34:04.770031+00:00	Alias retrieval only;not verified gene-specific intervention
ALDH3A2	ALDH10;FALDH	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22ALDH10%22+OR+TITLE_ABS%3A%22FALDH%22%29&format=json&resultType=core&pageSize=3	DONE	2	758114c2c4c2986db49b99e9aaa15bc0d6348596e18b7e8ee14da03c38571033	2026-09-20T11:34:05.612699+00:00	Alias retrieval only;not verified gene-specific intervention
ALDH4A1	ALDH4;P5CDH	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22ALDH4%22+OR+TITLE_ABS%3A%22P5CDH%22%29&format=json&resultType=core&pageSize=3	DONE	0	7f7b24339c73966bf406cde08c13d4e71d044fab70832198ab8e874ea7d0ef9b	2026-09-20T11:34:06.582977+00:00	Alias retrieval only;not verified gene-specific intervention
ALDH6A1	MMSDH	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22MMSDH%22%29&format=json&resultType=core&pageSize=3	DONE	1	7da3008c15bc77a63f35721f234b2afc5b18c9407a0e4535206806554f20f56a	2026-09-20T11:34:07.055396+00:00	Alias retrieval only;not verified gene-specific intervention
AWAT2	DC4;DGAT2L4;MFAT	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22DC4%22+OR+TITLE_ABS%3A%22DGAT2L4%22+OR+TITLE_ABS%3A%22MFAT%22%29&format=json&resultType=core&pageSize=3	DONE	3	de5d6944f204a6547a3fe4dcad1793d831ee3717f756d43483faf94a1dce0723	2026-09-20T11:34:08.125084+00:00	Alias retrieval only;not verified gene-specific intervention
BLVRB	FLR;SCAN	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22FLR%22+OR+TITLE_ABS%3A%22SCAN%22%29&format=json&resultType=core&pageSize=3	DONE	4030	8f58e25ff59aa167f9f03cebabc23d186674f9286abfa2f553e0aee2ac50c2b7	2026-09-20T11:34:09.187661+00:00	Alias retrieval only;not verified gene-specific intervention
BST1	NA	NA	NOT_EVALUABLE	NA	NA	2026-09-20T11:34:10.588035+00:00	No reviewed aliases available;absence of hits is not no function
CMPK2	NA	NA	NOT_EVALUABLE	NA	NA	2026-09-20T11:34:10.588035+00:00	No reviewed aliases available;absence of hits is not no function
CRYL1	CRY	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22CRY%22%29&format=json&resultType=core&pageSize=3	DONE	2	3d47ebc79811a4af30f84ee5480b0c45c0229a6c6f9b5d5999df9b6c3bf05d4d	2026-09-20T11:34:10.588035+00:00	Alias retrieval only;not verified gene-specific intervention
CRYM	THBP	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TITLE_ABS%3Apancreatic+OR+TITLE_ABS%3APDAC%29+AND+%28TITLE_ABS%3A%22THBP%22%29&format=json&resultType=core&pageSize=3	DONE	1	241aef794cfe50aa97f20c17b791a1fc1688742848b43c012f78a0d68ae031d4	2026-09-20T11:34:10.942000+00:00	Alias retrieval only;not verified gene-specific intervention
CTPS2	NA	NA	NOT_EVALUABLE	NA	NA	2026-09-20T11:34:11.826221+00:00	No reviewed aliases available;absence of hits is not no function
