gene	GSE263733_summary_present	GSE278688_summary_present	historical_cptac_summary_present	historical_rna_n	historical_protein_n	current_matrix_evaluability	pairing_and_batch_review	independence_from_CAMP	reason	joint_metabolome_RNA_external_validation
AADAT	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
AASS	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
ABHD12	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
ABHD16A	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
ABHD16B	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
ABHD2	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
ABHD6	True	True	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
ACE2	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
ACLY	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
ACO1	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
ADA	False	False	True	39	66.0	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
ADH1A	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
ADH1B	False	False	False	NA	NA	ACCESS_BLOCKED	NOT_RUN	NOT_VERIFIED	Current server unavailable;old aggregate presence is not full-matrix eligibility or independent validation	NOT_RUN
