metabolite	metabolite_direction	gene	mapping_level	reaction_role	GSE263733_top_celltype	GSE278688_top_celltype	celltype_bias_replicated	tumor_normal_effect_gse263733	tumor_normal_fdr_gse263733	tumor_normal_effect_gse278688	tumor_normal_fdr_gse278688	tumor_normal_direction_replicated	top_celltype_fdr_significant_both	proliferation_association_both_datasets	malignant_label_required	final_gene_evidence_status	interpretation_boundary	original_label	reviewed_label	review_reason
gamma-glutamylglutamate	UP	GGT1	direct_or_near_direct	gamma-glutamyl processing	Ductal	Ductal	YES	-0.5887135732521318	0.48000000000000004	0.0	NA	NO_OR_NOT_COMPARABLE	NO	NO_OR_NOT_EVALUABLE	ONLY_IF_DUCTAL_RESULT_IS_INTERPRETED_AS_MALIGNANT	REPLICATED_CELLTYPE_BIAS	Cell source and expression-direction evidence only; no enzyme activity, metabolite validation, or causality.	REPLICATED_CELLTYPE_BIAS	REPLICATED_CELLTYPE_BIAS	Historical label retained, not newly validated; cell-source preference and disease difference remain separate.
gamma-glutamyltyrosine	UP	GGT1	direct_or_near_direct	gamma-glutamyl processing	Ductal	Ductal	YES	-0.5887135732521318	0.48000000000000004	0.0	NA	NO_OR_NOT_COMPARABLE	NO	NO_OR_NOT_EVALUABLE	ONLY_IF_DUCTAL_RESULT_IS_INTERPRETED_AS_MALIGNANT	REPLICATED_CELLTYPE_BIAS	Cell source and expression-direction evidence only; no enzyme activity, metabolite validation, or causality.	REPLICATED_CELLTYPE_BIAS	REPLICATED_CELLTYPE_BIAS	Historical label retained, not newly validated; cell-source preference and disease difference remain separate.
gamma-glutamylglutamate	UP	GGT5	direct_or_near_direct	gamma-glutamyl processing	Fibroblast/CAF	Fibroblast/CAF	YES	0.4575779633949937	0.6991007512461493	0.07241694509016643	0.94453125	YES	NO	NO_OR_NOT_EVALUABLE	ONLY_IF_DUCTAL_RESULT_IS_INTERPRETED_AS_MALIGNANT	REPLICATED_TUMOR_ASSOCIATED_WITHIN_CELLTYPE	Cell source and expression-direction evidence only; no enzyme activity, metabolite validation, or causality.	REPLICATED_TUMOR_ASSOCIATED_WITHIN_CELLTYPE	DIRECTION_CONCORDANT_NOT_FDR_SIGNIFICANT	Mean effects have the same sign; neither listed within-celltype disease comparison passes FDR<0.05. Not significant replication; not proof of no effect. Median direction may differ.
gamma-glutamyltyrosine	UP	GGT5	direct_or_near_direct	gamma-glutamyl processing	Fibroblast/CAF	Fibroblast/CAF	YES	0.4575779633949937	0.6991007512461493	0.07241694509016643	0.94453125	YES	NO	NO_OR_NOT_EVALUABLE	ONLY_IF_DUCTAL_RESULT_IS_INTERPRETED_AS_MALIGNANT	REPLICATED_TUMOR_ASSOCIATED_WITHIN_CELLTYPE	Cell source and expression-direction evidence only; no enzyme activity, metabolite validation, or causality.	REPLICATED_TUMOR_ASSOCIATED_WITHIN_CELLTYPE	DIRECTION_CONCORDANT_NOT_FDR_SIGNIFICANT	Mean effects have the same sign; neither listed within-celltype disease comparison passes FDR<0.05. Not significant replication; not proof of no effect. Median direction may differ.
gamma-glutamylglutamate	UP	GGCT	direct	gamma-glutamyl consumption to 5-oxoproline	Ductal	Ductal	YES	0.28366316369466205	0.5845393736698085	0.6818860478505531	0.94453125	YES	NO	YES	ONLY_IF_DUCTAL_RESULT_IS_INTERPRETED_AS_MALIGNANT	PROLIFERATION_ASSOCIATED	Cell source and expression-direction evidence only; no enzyme activity, metabolite validation, or causality.	PROLIFERATION_ASSOCIATED	PROLIFERATION_ASSOCIATED	Historical label retained, not newly validated; cell-source preference and disease difference remain separate.
gamma-glutamyltyrosine	UP	GGCT	direct	gamma-glutamyl consumption to 5-oxoproline	Ductal	Ductal	YES	0.28366316369466205	0.5845393736698085	0.6818860478505531	0.94453125	YES	NO	YES	ONLY_IF_DUCTAL_RESULT_IS_INTERPRETED_AS_MALIGNANT	PROLIFERATION_ASSOCIATED	Cell source and expression-direction evidence only; no enzyme activity, metabolite validation, or causality.	PROLIFERATION_ASSOCIATED	PROLIFERATION_ASSOCIATED	Historical label retained, not newly validated; cell-source preference and disease difference remain separate.
pro-hydroxy-pro	UP	PEPD	direct	Pro-Hyp/dipeptide hydrolysis	Endothelial	Schwann	NO	0.327759288137182	0.8321458160729079	-1.6870253097107846	0.7380952380952381	NO_OR_NOT_COMPARABLE	NO	YES	ONLY_IF_DUCTAL_RESULT_IS_INTERPRETED_AS_MALIGNANT	DATASET_DEPENDENT	Cell source and expression-direction evidence only; no enzyme activity, metabolite validation, or causality.	DATASET_DEPENDENT	DATASET_DEPENDENT	Historical label retained, not newly validated; cell-source preference and disease difference remain separate.
pro-hydroxy-pro	UP	P4HA1	indirect	collagen hydroxyproline formation	Fibroblast/CAF	Myeloid	NO	1.096774443433561	0.6039642631615876	0.9275119595042567	0.44711538461538464	NO_OR_NOT_COMPARABLE	NO	NO_OR_NOT_EVALUABLE	ONLY_IF_DUCTAL_RESULT_IS_INTERPRETED_AS_MALIGNANT	DATASET_DEPENDENT	Cell source and expression-direction evidence only; no enzyme activity, metabolite validation, or causality.	DATASET_DEPENDENT	DATASET_DEPENDENT	Historical label retained, not newly validated; cell-source preference and disease difference remain separate.
pro-hydroxy-pro	UP	MMP14	indirect	ECM/collagen turnover	Fibroblast/CAF	Fibroblast/CAF	YES	0.8357480423421135	0.19762845849802368	0.39338175884374066	0.8303571428571429	YES	NO	YES	ONLY_IF_DUCTAL_RESULT_IS_INTERPRETED_AS_MALIGNANT	REPLICATED_TUMOR_ASSOCIATED_WITHIN_CELLTYPE	Cell source and expression-direction evidence only; no enzyme activity, metabolite validation, or causality.	REPLICATED_TUMOR_ASSOCIATED_WITHIN_CELLTYPE	DIRECTION_CONCORDANT_NOT_FDR_SIGNIFICANT	Mean effects have the same sign; neither listed within-celltype disease comparison passes FDR<0.05. Not significant replication; not proof of no effect. Median direction may differ.
glycylvaline	DOWN	CNDP2	near_direct	broad dipeptide hydrolysis	Myeloid	Myeloid	YES	0.545279779531386	0.1510770166288561	-0.22276376808100426	0.5284090909090909	NO_OR_NOT_COMPARABLE	NO	YES	ONLY_IF_DUCTAL_RESULT_IS_INTERPRETED_AS_MALIGNANT	REPLICATED_CELLTYPE_BIAS	Cell source and expression-direction evidence only; no enzyme activity, metabolite validation, or causality.	REPLICATED_CELLTYPE_BIAS	REPLICATED_CELLTYPE_BIAS	Historical label retained, not newly validated; cell-source preference and disease difference remain separate.
