cohort	annotation_level	gene	celltype	n_units_total	n_units_ge20cells	n_units_detected	n_cells_total	mean_unit_log1p_cpm	median_unit_log1p_cpm	mean_unit_positive_fraction	status	source_rank
GSE278688	author	AADAT	Acinar	7	2	1	284	0.19533240645529257	0.19533240645529257	0.0024271844660194173	INSUFFICIENT_UNITS	NA
GSE278688	author	AADAT	B	13	11	0	7396	0.0	0.0	0.0	LOW_DETECTION	NA
GSE278688	author	AADAT	CAF	13	13	10	2423	1.328414721588383	1.614897792424707	0.03009934789292002	EVALUABLE	1.0
GSE278688	author	AADAT	CD4T	13	13	1	16271	0.01763149188330472	0.0	5.831923951711669e-05	LOW_DETECTION	NA
GSE278688	author	AADAT	CD8T	13	13	0	22606	0.0	0.0	0.0	LOW_DETECTION	NA
GSE278688	author	AADAT	Ductal	13	12	10	8370	1.1401349224364916	1.2461067908025192	0.01450545525575117	EVALUABLE	2.0
GSE278688	author	AADAT	Endocrine	12	0	0	37	NA	NA	NA	INSUFFICIENT_UNITS	NA
GSE278688	author	AADAT	Endothelial	13	13	8	2011	0.6335945179495865	0.5090432000913392	0.009121024925113729	EVALUABLE	4.0
GSE278688	author	AADAT	Myeloid	13	13	2	5654	0.029708749479434478	0.0	0.0002738257617706527	LOW_DETECTION	NA
GSE278688	author	AADAT	NK	13	13	2	3291	0.07900974771636224	0.0	0.0004839197499747959	LOW_DETECTION	NA
GSE278688	author	AADAT	Plasma	12	6	0	325	0.0	0.0	0.0	LOW_DETECTION	NA
GSE278688	author	AADAT	Schwann	12	2	2	221	2.4453509836899565	2.4453509836899565	0.048924731182795694	INSUFFICIENT_UNITS	NA
GSE278688	author	AADAT	Stellate	13	13	10	2525	1.0539434337141225	1.1411019585543116	0.017750080442805617	EVALUABLE	3.0
GSE278688	author	ABHD11	Acinar	7	2	2	284	1.8114272558645115	1.8114272558645115	0.058937017674881756	INSUFFICIENT_UNITS	NA
GSE278688	author	ABHD11	B	13	11	11	7396	2.4353742349937106	2.461624496911236	0.04036572314068089	EVALUABLE	3.0
GSE278688	author	ABHD11	CAF	13	13	12	2423	1.9814445449068283	2.1364809365853015	0.052724499900908446	EVALUABLE	9.0
GSE278688	author	ABHD11	CD4T	13	13	13	16271	2.304463370910748	2.232599747770205	0.03759710368276987	EVALUABLE	6.0
GSE278688	author	ABHD11	CD8T	13	13	13	22606	2.3168539797989194	2.2941775916656404	0.0336722935519549	EVALUABLE	5.0
GSE278688	author	ABHD11	Ductal	13	12	12	8370	4.338726321737639	4.287936957073146	0.2594312133650035	EVALUABLE	1.0
GSE278688	author	ABHD11	Endocrine	12	0	0	37	NA	NA	NA	INSUFFICIENT_UNITS	NA
GSE278688	author	ABHD11	Endothelial	13	13	13	2011	2.1561853764237786	2.1163380019404507	0.046896906413234185	EVALUABLE	8.0
GSE278688	author	ABHD11	Myeloid	13	13	13	5654	2.74083194566371	2.7179669827764728	0.08499678829177883	EVALUABLE	2.0
GSE278688	author	ABHD11	NK	13	13	13	3291	2.1730687055105338	2.2207157553864962	0.037594353017501345	EVALUABLE	7.0
