cohort	celltype	n_cells	n_units
GSE263733	Acinar cell	294	8
GSE263733	B cell	2440	21
GSE263733	Ductal cell	8598	21
GSE263733	Endothelial cell	494	13
GSE263733	Fibroblast	1151	20
GSE263733	Myeloid	9381	21
GSE263733	T cell	23790	21
GSE278688	Acinar	284	7
GSE278688	B	7396	13
GSE278688	CAF	2423	13
GSE278688	CD4T	16271	13
GSE278688	CD8T	22606	13
GSE278688	Ductal	8370	13
GSE278688	Endocrine	37	12
GSE278688	Endothelial	2011	13
GSE278688	Myeloid	5654	13
GSE278688	NK	3291	13
GSE278688	Plasma	325	12
GSE278688	Schwann	221	12
GSE278688	Stellate	2525	13
GSE242230	Acinar	91	17
GSE242230	B cell	1586	21
GSE242230	Endothelial	274	18
GSE242230	Erythrocyte	1199	12
GSE242230	Fibroblast	647	18
GSE242230	Malignant	11133	25
GSE242230	Mast	91	11
GSE242230	Monocyte/DC	6246	25
GSE242230	NK/T cell	9408	25
GSE242230	Plasma	154	17
GSE242230	Platelets	122	13
GSE242230	Stellate	264	18
