feature_name	paired_p	paired_q	direct_gene_n	conditional_gene_n	genes	mapping_status	mapping_limit
1,2-dipalmitoylglycerol	0.0390625	0.25783203125	0	0		MAPPING_NOT_YET_ESTABLISHED	Existing old42-derived ledger only;no new identity or exact-substrate certification
1,3-dihydroxyacetone	0.02734375	0.25783203125	0	0		MAPPING_NOT_YET_ESTABLISHED	Existing old42-derived ledger only;no new identity or exact-substrate certification
1-myristoylglycerol (14:0)	0.005859375	0.17488606770833334	0	0		MAPPING_NOT_YET_ESTABLISHED	Existing old42-derived ledger only;no new identity or exact-substrate certification
1-oleoylglycerol (1-monoolein)	0.005859375	0.17488606770833334	0	0		MAPPING_NOT_YET_ESTABLISHED	Existing old42-derived ledger only;no new identity or exact-substrate certification
1-pentadecanoylglycerol (1-monopentadecanoin)	0.015625	0.22842261904761904	0	2	MGLL;MOGAT1	EXISTING_DIRECT_AND_OR_CONDITIONAL	Existing old42-derived ledger only;no new identity or exact-substrate certification
1-stearoylglycerol (18:0)	0.009765625	0.1873779296875	0	4	ABHD12;MGLL;MOGAT1;MOGAT2	EXISTING_DIRECT_AND_OR_CONDITIONAL	Existing old42-derived ledger only;no new identity or exact-substrate certification
2'-deoxycytidine 5'-monophosphate	0.013671875	0.22090871710526316	10	2	AK4;AK9;CMPK1;CMPK2;DCK;DCTD;DCTPP1;NT5C;NT5C1A;NT5E;SLC25A36;TK2	EXISTING_DIRECT_AND_OR_CONDITIONAL	Existing old42-derived ledger only;no new identity or exact-substrate certification
2'-deoxyguanosine	0.0244140625	0.25783203125	6	2	DCK;DGUOK;NT5C;NT5C2;NT5M;PNP;SAMHD1;SLC22A7	EXISTING_DIRECT_AND_OR_CONDITIONAL	Existing old42-derived ledger only;no new identity or exact-substrate certification
2'-deoxyinosine	0.0185546875	0.24766474184782608	2	2	ADA;NT5C2;PNP	EXISTING_DIRECT_AND_OR_CONDITIONAL	Existing old42-derived ledger only;no new identity or exact-substrate certification
2-hydroxypalmitate	0.0322265625	0.25783203125	0	0		MAPPING_NOT_YET_ESTABLISHED	Existing old42-derived ledger only;no new identity or exact-substrate certification
2-linoleoylglycerol (2-monolinolein)	0.009765625	0.1873779296875	6	0	ABHD12;ABHD16A;ABHD6;DAGLA;DAGLB;MGLL	EXISTING_DIRECT_AND_OR_CONDITIONAL	Existing old42-derived ledger only;no new identity or exact-substrate certification
2-myristoylglycerol (2-monomyristin)	0.0390625	0.25783203125	0	4	ABHD6;MGLL;MOGAT1;MOGAT2	EXISTING_DIRECT_AND_OR_CONDITIONAL	Existing old42-derived ledger only;no new identity or exact-substrate certification
2-oleoylglycerol (2-monoolein)	0.013671875	0.22090871710526316	15	8	ABHD11;ABHD12;ABHD16A;ABHD6;AWAT2;DAGLA;DAGLB;DGAT1;DGAT2;DGKA;LIPC;LIPE;MGLL;MOGAT1;MOGAT2;MOGAT3;PLB1;PNPLA2;PNPLA6;TMEM68	EXISTING_DIRECT_AND_OR_CONDITIONAL	Existing old42-derived ledger only;no new identity or exact-substrate certification
2-palmitoylglycerol (16:0)	0.001953125	0.17488606770833334	5	1	ABHD12;ABHD16A;ABHD6;MGLL;PLA2G15;PNPLA6	EXISTING_DIRECT_AND_OR_CONDITIONAL	Existing old42-derived ledger only;no new identity or exact-substrate certification
2-stearoylglycerol (2-monostearin)	0.01171875	0.21162683823529413	2	4	ABHD6;DAGLA;DAGLB;MGLL;MOGAT1;MOGAT2	EXISTING_DIRECT_AND_OR_CONDITIONAL	Existing old42-derived ledger only;no new identity or exact-substrate certification
4-hydroxybutyrate (GHB)	0.0390625	0.25783203125	0	0		MAPPING_NOT_YET_ESTABLISHED	Existing old42-derived ledger only;no new identity or exact-substrate certification
C-glycosyltryptophan	0.0048828125	0.17488606770833334	0	0		MAPPING_NOT_YET_ESTABLISHED	Existing old42-derived ledger only;no new identity or exact-substrate certification
S-adenosylhomocysteine (SAH)	0.0419921875	0.25783203125	0	0		MAPPING_NOT_YET_ESTABLISHED	Existing old42-derived ledger only;no new identity or exact-substrate certification
alpha-ketoglutarate	0.03125	0.25783203125	0	0		MAPPING_NOT_YET_ESTABLISHED	Existing old42-derived ledger only;no new identity or exact-substrate certification
aspartylphenylalanine	0.0068359375	0.17488606770833334	0	4	CNDP2;DPEP1;SLC15A1;SLC15A2	EXISTING_DIRECT_AND_OR_CONDITIONAL	Existing old42-derived ledger only;no new identity or exact-substrate certification
butyrylcarnitine	0.0244140625	0.25783203125	0	0		MAPPING_NOT_YET_ESTABLISHED	Existing old42-derived ledger only;no new identity or exact-substrate certification
caprate (10:0)	0.0244140625	0.25783203125	0	0		MAPPING_NOT_YET_ESTABLISHED	Existing old42-derived ledger only;no new identity or exact-substrate certification
deoxycarnitine	0.0419921875	0.25783203125	0	0		MAPPING_NOT_YET_ESTABLISHED	Existing old42-derived ledger only;no new identity or exact-substrate certification
gamma-aminobutyrate (GABA)	0.0322265625	0.25783203125	0	0		MAPPING_NOT_YET_ESTABLISHED	Existing old42-derived ledger only;no new identity or exact-substrate certification
gamma-glutamyltyrosine	0.0078125	0.18449519230769232	0	3	GGCT;GGT1;GGT5	EXISTING_DIRECT_AND_OR_CONDITIONAL	Existing old42-derived ledger only;no new identity or exact-substrate certification
