cohort	gene	celltype	mean_expression	detection_fraction	donor_count	detected_donor_count	status	bootstrap_first_frequency
GSE263733	AADAT	Acinar	1.122703406311627	0.04014492963550523	4	4	EVALUABLE	0.238
GSE263733	AADAT	B/Plasma	0.02556552501393431	0.00048216007714561176	17	1	INSUFFICIENT_UNITS_OR_DETECTION	NA
GSE263733	AADAT	Endothelial	0.6525461312852289	0.016109760891240974	4	3	EVALUABLE	0.024
GSE263733	AADAT	Epithelial/Ductal	0.8217650072815994	0.04333563109659756	18	18	EVALUABLE	0.0
GSE263733	AADAT	Fibroblast/CAF	1.4159779878408618	0.08399686060681984	11	10	EVALUABLE	0.738
GSE263733	AADAT	Myeloid	0.02166277303158995	0.00023463015468541999	20	2	INSUFFICIENT_UNITS_OR_DETECTION	NA
GSE263733	AADAT	T/NK	0.20731244582256014	0.0035218879208819497	20	10	EVALUABLE	0.0
GSE263733	AASS	Acinar	1.1147933017987857	0.08803069368599445	4	3	EVALUABLE	0.019
GSE263733	AASS	B/Plasma	0.6499738211382694	0.013134719721317604	17	10	EVALUABLE	0.0
GSE263733	AASS	Endothelial	2.391781896650908	0.13689132248044175	4	4	EVALUABLE	0.704
GSE263733	AASS	Epithelial/Ductal	0.9831299846856241	0.06260342064383745	18	18	EVALUABLE	0.0
GSE263733	AASS	Fibroblast/CAF	2.1407834006003514	0.1568438067439438	11	10	EVALUABLE	0.277
GSE263733	AASS	Myeloid	0.27510859211459254	0.006543686115201344	20	14	EVALUABLE	0.0
GSE263733	AASS	T/NK	0.8419454614213704	0.008802983054002312	20	20	EVALUABLE	0.0
GSE263733	ABAT	Acinar	3.180163785444993	0.274145028931136	4	4	EVALUABLE	0.992
GSE263733	ABAT	B/Plasma	1.5900780578761615	0.042277242497076525	17	15	EVALUABLE	0.0
GSE263733	ABAT	Endothelial	1.1740766356402768	0.048814043564963924	4	3	EVALUABLE	0.0
GSE263733	ABAT	Epithelial/Ductal	1.6670704202207665	0.1434604685836715	18	18	EVALUABLE	0.0
GSE263733	ABAT	Fibroblast/CAF	1.0176928642697214	0.062163746392268425	11	8	EVALUABLE	0.0
GSE263733	ABAT	Myeloid	2.276884165823044	0.11757916268351436	20	20	EVALUABLE	0.008
GSE263733	ABAT	T/NK	2.159721682833704	0.039906324017783316	20	20	EVALUABLE	0.0
GSE263733	ABHD11	Acinar	1.3217251319081056	0.048078687273973825	4	3	EVALUABLE	0.0
GSE263733	ABHD11	B/Plasma	1.4664253469993236	0.0388161650113989	17	14	EVALUABLE	0.0
GSE263733	ABHD11	Endothelial	1.816574412939379	0.08621852949071943	4	4	EVALUABLE	0.0
GSE263733	ABHD11	Epithelial/Ductal	4.2122564322653195	0.6575772718692808	18	18	EVALUABLE	1.0
GSE263733	ABHD11	Fibroblast/CAF	2.019574099465941	0.13649726095859271	11	11	EVALUABLE	0.0
GSE263733	ABHD11	Myeloid	2.090955549695708	0.0882261927667062	20	20	EVALUABLE	0.0
GSE263733	ABHD11	T/NK	2.130948792629419	0.036352552073138	20	20	EVALUABLE	0.0
GSE263733	ABHD12	Acinar	1.9528957736133297	0.13171137699108204	4	3	EVALUABLE	0.0
GSE263733	ABHD12	B/Plasma	2.490609679209425	0.09750677515399897	17	17	EVALUABLE	0.0
GSE263733	ABHD12	Endothelial	3.1199508333700265	0.20881030449455437	4	4	EVALUABLE	0.0
GSE263733	ABHD12	Epithelial/Ductal	3.603116045478637	0.5362879222673302	18	18	EVALUABLE	0.02
GSE263733	ABHD12	Fibroblast/CAF	2.984183963330088	0.2833668575607184	11	11	EVALUABLE	0.0
GSE263733	ABHD12	Myeloid	3.914132935068711	0.3410732747778219	20	20	EVALUABLE	0.98
GSE263733	ABHD12	T/NK	2.9338493184831145	0.08358028947548346	20	20	EVALUABLE	0.0
GSE263733	ABHD16A	Acinar	0.7504534080260606	0.0173745311535318	4	3	EVALUABLE	0.265
GSE263733	ABHD16A	B/Plasma	0.658014931488295	0.011267636464710525	17	11	EVALUABLE	0.007
GSE263733	ABHD16A	Endothelial	0.6713462064046702	0.014030502185918076	4	3	EVALUABLE	0.082
GSE263733	ABHD16A	Epithelial/Ductal	0.6701601028921127	0.03843739123554466	18	18	EVALUABLE	0.0
GSE263733	ABHD16A	Fibroblast/CAF	0.833604645644371	0.03250879837267894	11	9	EVALUABLE	0.136
GSE263733	ABHD16A	Myeloid	0.8620160148547631	0.020244818299169333	20	19	EVALUABLE	0.039
GSE263733	ABHD16A	T/NK	0.9622789204309085	0.009574062973867425	20	19	EVALUABLE	0.471
GSE263733	ABHD16B	Acinar	0.0	0.0	4	0	INSUFFICIENT_UNITS_OR_DETECTION	NA
GSE263733	ABHD16B	B/Plasma	0.0	0.0	17	0	INSUFFICIENT_UNITS_OR_DETECTION	NA
GSE263733	ABHD16B	Endothelial	0.0	0.0	4	0	INSUFFICIENT_UNITS_OR_DETECTION	NA
GSE263733	ABHD16B	Epithelial/Ductal	0.004629809772033111	0.00026329647182727223	18	1	INSUFFICIENT_UNITS_OR_DETECTION	NA
GSE263733	ABHD16B	Fibroblast/CAF	0.00815502492360599	0.00047348484848484546	11	1	INSUFFICIENT_UNITS_OR_DETECTION	NA
GSE263733	ABHD16B	Myeloid	0.052878253520981855	0.0011058129300892349	20	5	EVALUABLE	1.0
GSE263733	ABHD16B	T/NK	0.008071271628089686	4.401408450704e-05	20	1	INSUFFICIENT_UNITS_OR_DETECTION	NA
GSE263733	ABHD2	Acinar	2.5365722491346734	0.19683527190733469	4	3	EVALUABLE	0.0
GSE263733	ABHD2	B/Plasma	2.064040467996987	0.07698480890733782	17	15	EVALUABLE	0.0
GSE263733	ABHD2	Endothelial	3.3432987201205213	0.29822322250345146	4	4	EVALUABLE	0.0
GSE263733	ABHD2	Epithelial/Ductal	4.963413696245875	0.7930099025223155	18	18	EVALUABLE	1.0
GSE263733	ABHD2	Fibroblast/CAF	3.6846167607410507	0.4209571203598148	11	11	EVALUABLE	0.0
GSE263733	ABHD2	Myeloid	4.176174714372456	0.44574922900898617	20	20	EVALUABLE	0.0
GSE263733	ABHD2	T/NK	3.322789694166991	0.11025262232561397	20	20	EVALUABLE	0.0
GSE263733	ABHD6	Acinar	1.205460467296617	0.04288177857998008	4	4	EVALUABLE	0.037
GSE263733	ABHD6	B/Plasma	1.3982882301193105	0.0359486415496351	17	14	EVALUABLE	0.0
GSE263733	ABHD6	Endothelial	2.2448150996061242	0.12694923013499	4	4	EVALUABLE	0.434
GSE263733	ABHD6	Epithelial/Ductal	1.3451783859782114	0.11267028057592915	18	18	EVALUABLE	0.0
GSE263733	ABHD6	Fibroblast/CAF	1.0184267245040892	0.06845947528728129	11	7	EVALUABLE	0.0
GSE263733	ABHD6	Myeloid	2.270222311641976	0.11089093118500759	20	20	EVALUABLE	0.529
GSE263733	ABHD6	T/NK	1.8025303002636566	0.02730000032942621	20	19	EVALUABLE	0.0
GSE263733	ACAA2	Acinar	2.6177242369795755	0.17377254960740435	4	4	EVALUABLE	0.0
GSE263733	ACAA2	B/Plasma	2.889372332818864	0.1344654285319388	17	17	EVALUABLE	0.0
GSE263733	ACAA2	Endothelial	3.183650630035787	0.26792237114588124	4	4	EVALUABLE	0.0
GSE263733	ACAA2	Epithelial/Ductal	3.530264539893853	0.5031031586993827	18	18	EVALUABLE	0.0
GSE263733	ACAA2	Fibroblast/CAF	4.0817549602263306	0.5052272100513082	11	11	EVALUABLE	0.491
GSE263733	ACAA2	Myeloid	3.9774072690363456	0.38115075039065643	20	20	EVALUABLE	0.019
GSE263733	ACAA2	T/NK	4.08849988357569	0.2458573329307495	20	20	EVALUABLE	0.49
GSE263733	ACE2	Acinar	0.19206194375464095	0.00268817204301075	4	1	INSUFFICIENT_UNITS_OR_DETECTION	NA
GSE263733	ACE2	B/Plasma	0.03661713930037026	0.0005873900045369587	17	2	INSUFFICIENT_UNITS_OR_DETECTION	NA
GSE263733	ACE2	Endothelial	0.9246936235190645	0.022281024697039402	4	2	INSUFFICIENT_UNITS_OR_DETECTION	NA
GSE263733	ACE2	Epithelial/Ductal	1.6192491439418921	0.15830820024609504	18	18	EVALUABLE	1.0
GSE263733	ACE2	Fibroblast/CAF	0.5227496876187079	0.012285562072694056	11	4	EVALUABLE	0.0
GSE263733	ACE2	Myeloid	0.10766515071263145	0.0016040385044708949	20	4	EVALUABLE	0.0
GSE263733	ACE2	T/NK	0.20180313968725425	0.00135467291286313	20	7	EVALUABLE	0.0
GSE263733	ACER2	Acinar	0.11052534262934467	0.007352941176470575	4	1	INSUFFICIENT_UNITS_OR_DETECTION	NA
GSE263733	ACER2	B/Plasma	0.24420146390555494	0.004569778875862053	17	5	EVALUABLE	0.033
GSE263733	ACER2	Endothelial	0.7438297170787236	0.0191986884491486	4	3	EVALUABLE	0.912
GSE263733	ACER2	Epithelial/Ductal	0.34244471707590507	0.015073053220651151	18	14	EVALUABLE	0.055
GSE263733	ACER2	Fibroblast/CAF	0.10641853482817752	0.0018632778595418635	11	2	INSUFFICIENT_UNITS_OR_DETECTION	NA
GSE263733	ACER2	Myeloid	0.030326749830312028	0.000750436315558365	20	3	EVALUABLE	0.0
GSE263733	ACER2	T/NK	0.1201380734331563	0.000790872212751805	20	11	EVALUABLE	0.0
GSE263733	ACOT1	Acinar	0.4758843698889212	0.0108695652173913	4	1	INSUFFICIENT_UNITS_OR_DETECTION	NA
GSE263733	ACOT1	B/Plasma	0.0	0.0	17	0	INSUFFICIENT_UNITS_OR_DETECTION	NA
GSE263733	ACOT1	Endothelial	0.0	0.0	4	0	INSUFFICIENT_UNITS_OR_DETECTION	NA
GSE263733	ACOT1	Epithelial/Ductal	0.043449685715530206	0.0013147503386095555	18	8	EVALUABLE	0.002
GSE263733	ACOT1	Fibroblast/CAF	0.0	0.0	11	0	INSUFFICIENT_UNITS_OR_DETECTION	NA
GSE263733	ACOT1	Myeloid	0.21208297707093787	0.005267377033330541	20	9	EVALUABLE	0.964
GSE263733	ACOT1	T/NK	0.05394399881109432	0.001467764556351755	20	3	EVALUABLE	0.034
GSE263733	ACOT11	Acinar	0.5979174228509596	0.031251961508563	4	3	EVALUABLE	0.0
GSE263733	ACOT11	B/Plasma	0.3865274868413871	0.0085549995520141	17	8	EVALUABLE	0.0
