cohort	gene	matrix_label	method
GSE263733	AADAT	AADAT	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	AASS	AASS	EXACT_CANONICAL
GSE263733	ABAT	ABAT	EXACT_CANONICAL
GSE263733	ABHD11	ABHD11	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	ABHD12	ABHD12	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	ABHD16A	ABHD16A	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	ABHD16B	ABHD16B	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	ABHD2	ABHD2	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	ABHD6	ABHD6	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	ACAA2	ACAA2	EXACT_CANONICAL
GSE263733	ACE2	ACE2	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	ACER2	ACER2	EXACT_CANONICAL
GSE263733	ACOT1	ACOT1	EXACT_CANONICAL
GSE263733	ACOT11	ACOT11	EXACT_CANONICAL
GSE263733	ACOT13	ACOT13	EXACT_CANONICAL
GSE263733	ACOT2	ACOT2	EXACT_CANONICAL
GSE263733	ACOT4	ACOT4	EXACT_CANONICAL
GSE263733	ACOT7	ACOT7	EXACT_CANONICAL
GSE263733	ACOT8	ACOT8	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	ACOT9	ACOT9	EXACT_CANONICAL
GSE263733	ACSL3	ACSL3	EXACT_CANONICAL
GSE263733	ACSM1	ACSM1	EXACT_CANONICAL
GSE263733	ACSM2A	ACSM2A	EXACT_CANONICAL
GSE263733	ACSM2B	ACSM2B	EXACT_CANONICAL
GSE263733	ACSM4	ACSM4	EXACT_CANONICAL
GSE263733	ACY3	ACY3	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	ADA	ADA	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	ADA2	CECR1	UNIQUE_REVIEWED_ALIAS
GSE263733	ADHFE1	ADHFE1	EXACT_CANONICAL
GSE263733	AGMAT	AGMAT	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	AGXT	AGXT	EXACT_CANONICAL
GSE263733	AGXT2	AGXT2	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	AHCY	AHCY	EXACT_CANONICAL
GSE263733	AK4	AK4	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	AK9	AK9	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	AKR1A1	AKR1A1	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	AKR1B1	AKR1B1	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	AKR7A2	AKR7A2	EXACT_CANONICAL
GSE263733	ALDH1A1	ALDH1A1	EXACT_CANONICAL
GSE263733	ALDH2	ALDH2	EXACT_CANONICAL
GSE263733	ALDH3A2	ALDH3A2	EXACT_CANONICAL
GSE263733	ALDH9A1	ALDH9A1	EXACT_CANONICAL
GSE263733	ALKBH1	ALKBH1	EXACT_CANONICAL
GSE263733	ALKBH2	ALKBH2	EXACT_CANONICAL
GSE263733	ALKBH3	ALKBH3	EXACT_CANONICAL
GSE263733	ALKBH4	ALKBH4	EXACT_CANONICAL
GSE263733	ALKBH5	ALKBH5	EXACT_CANONICAL
GSE263733	ALKBH7	ALKBH7	EXACT_CANONICAL
GSE263733	ALKBH8	ALKBH8	EXACT_CANONICAL
GSE263733	ANTKMT	FAM173A	UNIQUE_REVIEWED_ALIAS
GSE263733	AOC1	AOC1	EXACT_CANONICAL
GSE263733	AQP1	AQP1	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	AQP10	AQP10	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	AQP11	AQP11	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	AQP2	AQP2	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	AQP3	AQP3	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	AQP7	AQP7	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	AQP7B	NA	MISSING_OR_AMBIGUOUS
GSE263733	AQP9	AQP9	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	ARG1	ARG1	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	ARG2	ARG2	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	AS3MT	AS3MT	EXACT_CANONICAL
GSE263733	ASAH1	ASAH1	EXACT_CANONICAL
GSE263733	ASAH2	ASAH2	EXACT_CANONICAL
GSE263733	ASH1L	ASH1L	EXACT_CANONICAL
GSE263733	ASMT	ASMT	EXACT_CANONICAL
GSE263733	ASPG	ASPG	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	ASPH	ASPH	EXACT_CANONICAL
GSE263733	ATP13A3	ATP13A3	EXACT_CANONICAL
GSE263733	ATP13A4	ATP13A4	EXACT_CANONICAL
GSE263733	ATPSCKMT	FAM173B	UNIQUE_REVIEWED_ALIAS
GSE263733	AWAT2	AWAT2	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	BAAT	BAAT	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	BBOX1	BBOX1	EXACT_CANONICAL
GSE263733	BCAT1	BCAT1	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	BCAT2	BCAT2	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	BCDIN3D	BCDIN3D	EXACT_CANONICAL
GSE263733	BEST1	BEST1	EXACT_CANONICAL
GSE263733	BUD23	WBSCR22	UNIQUE_REVIEWED_ALIAS
GSE263733	CAMKMT	CAMKMT	EXACT_CANONICAL
GSE263733	CARM1	CARM1	EXACT_CANONICAL
GSE263733	CARNMT1	CARNMT1	EXACT_CANONICAL
GSE263733	CARNS1	CARNS1	EXACT_CANONICAL
GSE263733	CDA	CDA	EXACT_CANONICAL
GSE263733	CDK5RAP1	CDK5RAP1	EXACT_CANONICAL
GSE263733	CDKAL1	CDKAL1	EXACT_CANONICAL
GSE263733	CEL	CEL	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	CES1	CES1	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	CES2	CES2	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	CISD1	CISD1	EXACT_CANONICAL
GSE263733	CLYBL	CLYBL	EXACT_CANONICAL
GSE263733	CMPK1	CMPK1	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	CMPK2	CMPK2	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	CMTR1	CMTR1	EXACT_CANONICAL
GSE263733	CMTR2	CMTR2	EXACT_CANONICAL
GSE263733	CNDP1	CNDP1	EXACT_CANONICAL
GSE263733	CNDP2	CNDP2	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	COMT	COMT	EXACT_CANONICAL
GSE263733	COQ3	COQ3	EXACT_CANONICAL
GSE263733	COQ5	COQ5	EXACT_CANONICAL
GSE263733	CRAT	CRAT	EXACT_CANONICAL
GSE263733	CRYM	CRYM	EXACT_CANONICAL
GSE263733	CSAD	CSAD	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	CSKMT	METTL12	UNIQUE_REVIEWED_ALIAS
GSE263733	CTH	CTH	EXACT_CANONICAL
GSE263733	CYP2E1	CYP2E1	EXACT_CANONICAL
GSE263733	CYP4A11	CYP4A11	EXACT_CANONICAL
GSE263733	CYP4B1	CYP4B1	EXACT_CANONICAL
GSE263733	CYP4F11	CYP4F11	EXACT_CANONICAL
GSE263733	CYP4V2	CYP4V2	EXACT_CANONICAL
GSE263733	CYP4Z1	CYP4Z1	EXACT_CANONICAL
GSE263733	D2HGDH	D2HGDH	EXACT_CANONICAL
GSE263733	DAGLA	DAGLA	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	DAGLB	DAGLB	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	DAO	DAO	EXACT_CANONICAL
GSE263733	DCK	DCK	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	DCPH1	ARMT1	UNIQUE_REVIEWED_ALIAS
GSE263733	DCTD	DCTD	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	DCTPP1	DCTPP1	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	DDHD2	DDHD2	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	DDO	DDO	EXACT_CANONICAL
GSE263733	DGAT1	DGAT1	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	DGAT2	DGAT2	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	DGAT2L6	DGAT2L6	EXACT_CANONICAL
GSE263733	DGKA	DGKA	REUSED_IDENTICAL_DONOR_SUMMARIES
GSE263733	DGKB	DGKB	EXACT_CANONICAL
GSE263733	DGUOK	DGUOK	REUSED_IDENTICAL_DONOR_SUMMARIES
