cancer	cohort	author_celltype	coarse_celltype	annotation_origin	mapping_evidence	version	status	reason
PDAC	GSE263733	Acinar cell	Acinar	Author supplied	Frozen preexisting PDAC coarse mapping;no output-based relabeling	PDAC_CAMP_source_SOP_v3	DONE	Ductal/epithelial does not confirm malignant CNV
PDAC	GSE263733	B cell	B/Plasma	Author supplied	Frozen preexisting PDAC coarse mapping;no output-based relabeling	PDAC_CAMP_source_SOP_v3	DONE	Ductal/epithelial does not confirm malignant CNV
PDAC	GSE263733	Ductal cell	Epithelial/Ductal	Author supplied	Frozen preexisting PDAC coarse mapping;no output-based relabeling	PDAC_CAMP_source_SOP_v3	DONE	Ductal/epithelial does not confirm malignant CNV
PDAC	GSE263733	Endothelial cell	Endothelial	Author supplied	Frozen preexisting PDAC coarse mapping;no output-based relabeling	PDAC_CAMP_source_SOP_v3	DONE	Ductal/epithelial does not confirm malignant CNV
PDAC	GSE263733	Fibroblast	Fibroblast/CAF	Author supplied	Frozen preexisting PDAC coarse mapping;no output-based relabeling	PDAC_CAMP_source_SOP_v3	DONE	Ductal/epithelial does not confirm malignant CNV
PDAC	GSE263733	Myeloid	Myeloid	Author supplied	Frozen preexisting PDAC coarse mapping;no output-based relabeling	PDAC_CAMP_source_SOP_v3	DONE	Ductal/epithelial does not confirm malignant CNV
PDAC	GSE263733	T cell	T/NK	Author supplied	Frozen preexisting PDAC coarse mapping;no output-based relabeling	PDAC_CAMP_source_SOP_v3	DONE	Ductal/epithelial does not confirm malignant CNV
PDAC	GSE278688	Acinar	Acinar	Author supplied	Frozen preexisting PDAC coarse mapping;no output-based relabeling	PDAC_CAMP_source_SOP_v3	DONE	Ductal/epithelial does not confirm malignant CNV
PDAC	GSE278688	B	B/Plasma	Author supplied	Frozen preexisting PDAC coarse mapping;no output-based relabeling	PDAC_CAMP_source_SOP_v3	DONE	Ductal/epithelial does not confirm malignant CNV
PDAC	GSE278688	CAF	Fibroblast/CAF	Author supplied	Frozen preexisting PDAC coarse mapping;no output-based relabeling	PDAC_CAMP_source_SOP_v3	DONE	Ductal/epithelial does not confirm malignant CNV
PDAC	GSE278688	CD4T	T/NK	Author supplied	Frozen preexisting PDAC coarse mapping;no output-based relabeling	PDAC_CAMP_source_SOP_v3	DONE	Ductal/epithelial does not confirm malignant CNV
PDAC	GSE278688	CD8T	T/NK	Author supplied	Frozen preexisting PDAC coarse mapping;no output-based relabeling	PDAC_CAMP_source_SOP_v3	DONE	Ductal/epithelial does not confirm malignant CNV
PDAC	GSE278688	Ductal	Epithelial/Ductal	Author supplied	Frozen preexisting PDAC coarse mapping;no output-based relabeling	PDAC_CAMP_source_SOP_v3	DONE	Ductal/epithelial does not confirm malignant CNV
PDAC	GSE278688	Endocrine	Endocrine	Author supplied	Frozen preexisting PDAC coarse mapping;no output-based relabeling	PDAC_CAMP_source_SOP_v3	DONE	Ductal/epithelial does not confirm malignant CNV
