cancer	cohort	gene	stable_gene_id	partition	n_evaluable_celltypes	top_celltype	runner_celltype	top_gap	max_detection	tie_status	bootstrap_top_frequency	bootstrap_valid	bootstrap_total	loo_top_frequency	paired_source_labels	paired_positive_fraction	paired_mean_delta	seed	status	reason	source_id
PDAC	GSE263733	AADAT	UniProtKB:Q8N5Z0	primary_tumor	7	Fibroblast/CAF	Acinar	0.004923824364294081	0.08399686060681986	UNIQUE	0.72	1000	1000	NA	3	0.3333333333333333	-0.000492241120347218	3865062956	DONE	Descriptive donor-equal ranking;not differential expression	GSE263733
PDAC	GSE263733	AASS	UniProtKB:Q9UDR5	primary_tumor	7	Endothelial	Fibroblast/CAF	0.016125282346705433	0.15684380674394383	UNIQUE	0.586	1000	1000	NA	4	0.75	0.004068834687167854	3480154434	DONE	Descriptive donor-equal ranking;not differential expression	GSE263733
PDAC	GSE263733	ABAT	UniProtKB:P80404	primary_tumor	7	Acinar	Myeloid	0.0937622215669324	0.27414502893113607	UNIQUE	0.788	1000	1000	NA	4	1.0	0.11231734372523698	537820619	DONE	Descriptive donor-equal ranking;not differential expression	GSE263733
PDAC	GSE263733	ABHD11	UniProtKB:Q8NFV4	primary_tumor	7	Epithelial/Ductal	Endothelial	0.36557652829882814	0.6575772718692808	UNIQUE	1.0	1000	1000	NA	4	1.0	0.33220175452106926	853190717	DONE	Descriptive donor-equal ranking;not differential expression	GSE263733
PDAC	GSE263733	ABHD12	UniProtKB:Q8N2K0	primary_tumor	7	Myeloid	Epithelial/Ductal	0.024729028312818258	0.5362879222673302	UNIQUE	0.751	1000	1000	NA	17	0.5294117647058824	0.04225059830021123	2520927689	DONE	Descriptive donor-equal ranking;not differential expression	GSE263733
PDAC	GSE263733	ABHD16A	UniProtKB:O95870	primary_tumor	7	Fibroblast/CAF	Myeloid	0.0008088257338102062	0.03843739123554472	UNIQUE	0.366	1000	1000	NA	11	0.5454545454545454	0.0019199616568420603	4057924737	DONE	Descriptive donor-equal ranking;not differential expression	GSE263733
PDAC	GSE263733	ABHD16B	UniProtKB:Q9H3Z7	primary_tumor	7	NOT_EVALUABLE	NOT_EVALUABLE	NA	0.0011058129300892479	NOT_EVALUABLE	NA	0	1000	NA	0	NA	NA	917523774	NOT_EVALUABLE	INSUFFICIENT_CATEGORIES_OR_SIGNAL	GSE263733
PDAC	GSE263733	ABHD2	UniProtKB:P08910	primary_tumor	7	Epithelial/Ductal	Myeloid	0.4112166391837806	0.7930099025223155	UNIQUE	1.0	1000	1000	NA	17	0.9411764705882353	0.4086981453657449	3526916182	DONE	Descriptive donor-equal ranking;not differential expression	GSE263733
PDAC	GSE263733	ABHD6	UniProtKB:Q9BV23	primary_tumor	7	Endothelial	Myeloid	0.002726354860570157	0.12694923013499002	UNIQUE	0.393	1000	1000	NA	4	0.25	0.0015223453926602026	2927635996	DONE	Descriptive donor-equal ranking;not differential expression	GSE263733
PDAC	GSE263733	ACAA2	UniProtKB:P42765	primary_tumor	7	Fibroblast/CAF	Myeloid	0.07265780224514351	0.5052272100513082	UNIQUE	0.905	1000	1000	NA	11	0.6363636363636364	0.08491728516661122	607771929	DONE	Descriptive donor-equal ranking;not differential expression	GSE263733
PDAC	GSE263733	ACE2	UniProtKB:Q9BYF1	primary_tumor	7	Epithelial/Ductal	Endothelial	0.08914902563630972	0.15830820024609504	UNIQUE	1.0	1000	1000	NA	4	1.0	0.3321719454678203	909302938	DONE	Descriptive donor-equal ranking;not differential expression	GSE263733
PDAC	GSE263733	ACER2	UniProtKB:Q5QJU3	primary_tumor	7	Endothelial	B/Plasma	0.003247714800608958	0.01919868844914864	UNIQUE	0.578	1000	1000	NA	3	1.0	0.012017733593832724	1778034051	DONE	Descriptive donor-equal ranking;not differential expression	GSE263733
PDAC	GSE263733	ACLY	UniProtKB:P53396	primary_tumor	7	Epithelial/Ductal	Endothelial	0.010590040519993626	0.5341204059822444	UNIQUE	0.689	1000	1000	NA	4	0.75	0.024483383746089757	2204615363	DONE	Descriptive donor-equal ranking;not differential expression	GSE263733
PDAC	GSE263733	ACO1	UniProtKB:P21399	primary_tumor	7	Fibroblast/CAF	Epithelial/Ductal	0.08382494285855827	0.4059604205694356	UNIQUE	0.99	1000	1000	NA	11	0.6363636363636364	0.07620545869691592	238960971	DONE	Descriptive donor-equal ranking;not differential expression	GSE263733
PDAC	GSE263733	ACOT1	UniProtKB:Q86TX2	primary_tumor	7	Acinar	Myeloid	0.011879380924892819	0.010869565217391304	UNIQUE	0.54	1000	1000	NA	4	0.25	0.007348366549943792	3653505489	DONE	Descriptive donor-equal ranking;not differential expression	GSE263733
PDAC	GSE263733	ACOT11	UniProtKB:Q8WXI4	primary_tumor	7	Epithelial/Ductal	Myeloid	0.06342314894152397	0.3077645489177238	UNIQUE	1.0	1000	1000	NA	17	1.0	0.056730156340885574	1020799077	DONE	Descriptive donor-equal ranking;not differential expression	GSE263733
PDAC	GSE263733	ACOT13	UniProtKB:Q9NPJ3	primary_tumor	7	Epithelial/Ductal	Myeloid	0.030173062156142405	0.5198150152846479	UNIQUE	0.759	1000	1000	NA	17	0.7647058823529411	0.035354629008470674	2813000787	DONE	Descriptive donor-equal ranking;not differential expression	GSE263733
PDAC	GSE263733	ACOT2	UniProtKB:P49753	primary_tumor	7	Endothelial	Fibroblast/CAF	0.02332853517838474	0.10910116102929898	UNIQUE	0.801	1000	1000	NA	4	0.25	-0.0030245108816969266	3991191918	DONE	Descriptive donor-equal ranking;not differential expression	GSE263733
PDAC	GSE263733	ACOT4	UniProtKB:Q8N9L9	primary_tumor	7	Epithelial/Ductal	Myeloid	0.014790394013796053	0.17537967574995855	UNIQUE	0.931	1000	1000	NA	17	0.7058823529411765	0.015977616201298055	783853755	DONE	Descriptive donor-equal ranking;not differential expression	GSE263733
