cancer	cohort	stage_id	run_id	analysis_version	analysis_type	metabolite_key	metabolite_name	gene	unit	n	n_reference	effect_type	effect	ci_lower	ci_upper	p_value	q_value	test_family	family_n_evaluable	status	reason	source_id	stable_gene_id	partition	celltype	n_source_labels_total	n_source_labels_eligible	n_cells_total	n_cells_eligible	mean_detection_fraction	median_donor_mean	q25	q75	annotation_origin	normalization	bootstrap_first_frequency
PDAC	GSE278688	06_EXTERNAL	20260922T131800Z_author_identity_v4	PDAC_author_cell_identity_v4	sc_expression_source	NA	NA	AADAT	author_source_label	2	13	equal_donor_mean_cellwise_log1p10k	NA	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	NOT_EVALUABLE	GENE_MISSING_OR_LT3_ELIGIBLE_LABELS	GSE278688	UniProtKB:Q8N5Z0	primary_tumor	Acinar	7	2	284	245	NA	NA	NA	NA	Author labels,predeclared coarse mapping	mean_donor(mean_cell(log1p(10000*counts/all_gene_library)))	NA
PDAC	GSE278688	06_EXTERNAL	20260922T131800Z_author_identity_v4	PDAC_author_cell_identity_v4	sc_expression_source	NA	NA	AADAT	author_source_label	11	13	equal_donor_mean_cellwise_log1p10k	0.0	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	Donor-equal descriptive expression	GSE278688	UniProtKB:Q8N5Z0	primary_tumor	B/Plasma	13	11	7721	7703	0.0	0.0	0.0	0.0	Author labels,predeclared coarse mapping	mean_donor(mean_cell(log1p(10000*counts/all_gene_library)))	0.0
PDAC	GSE278688	06_EXTERNAL	20260922T131800Z_author_identity_v4	PDAC_author_cell_identity_v4	sc_expression_source	NA	NA	AADAT	author_source_label	0	13	equal_donor_mean_cellwise_log1p10k	NA	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	NOT_EVALUABLE	GENE_MISSING_OR_LT3_ELIGIBLE_LABELS	GSE278688	UniProtKB:Q8N5Z0	primary_tumor	Endocrine	12	0	37	0	NA	NA	NA	NA	Author labels,predeclared coarse mapping	mean_donor(mean_cell(log1p(10000*counts/all_gene_library)))	NA
PDAC	GSE278688	06_EXTERNAL	20260922T131800Z_author_identity_v4	PDAC_author_cell_identity_v4	sc_expression_source	NA	NA	AADAT	author_source_label	13	13	equal_donor_mean_cellwise_log1p10k	0.0099474900321162	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	Donor-equal descriptive expression	GSE278688	UniProtKB:Q8N5Z0	primary_tumor	Endothelial	13	13	2011	2011	0.0091210249251137	0.003053842083509	0.0	0.014931263799602	Author labels,predeclared coarse mapping	mean_donor(mean_cell(log1p(10000*counts/all_gene_library)))	0.059
PDAC	GSE278688	06_EXTERNAL	20260922T131800Z_author_identity_v4	PDAC_author_cell_identity_v4	sc_expression_source	NA	NA	AADAT	author_source_label	12	13	equal_donor_mean_cellwise_log1p10k	0.0132470732659558	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	Donor-equal descriptive expression	GSE278688	UniProtKB:Q8N5Z0	primary_tumor	Ductal (unresolved)	13	12	8370	8351	0.0145054552557511	0.0100978160825803	0.0071985372007706	0.0164991021171587	Author labels,predeclared coarse mapping	mean_donor(mean_cell(log1p(10000*counts/all_gene_library)))	0.15
PDAC	GSE278688	06_EXTERNAL	20260922T131800Z_author_identity_v4	PDAC_author_cell_identity_v4	sc_expression_source	NA	NA	AADAT	author_source_label	13	13	equal_donor_mean_cellwise_log1p10k	0.0182692587073661	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	Donor-equal descriptive expression	GSE278688	UniProtKB:Q8N5Z0	primary_tumor	Fibroblast/CAF	13	13	4948	4948	0.0243375030640475	0.0129930025298659	0.0118804079077873	0.0264130944836061	Author labels,predeclared coarse mapping	mean_donor(mean_cell(log1p(10000*counts/all_gene_library)))	0.791
PDAC	GSE278688	06_EXTERNAL	20260922T131800Z_author_identity_v4	PDAC_author_cell_identity_v4	sc_expression_source	NA	NA	AADAT	author_source_label	13	13	equal_donor_mean_cellwise_log1p10k	0.0001771975350096	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	Donor-equal descriptive expression	GSE278688	UniProtKB:Q8N5Z0	primary_tumor	Myeloid	13	13	5654	5654	0.0002738257617706	0.0	0.0	0.0	Author labels,predeclared coarse mapping	mean_donor(mean_cell(log1p(10000*counts/all_gene_library)))	0.0
PDAC	GSE278688	06_EXTERNAL	20260922T131800Z_author_identity_v4	PDAC_author_cell_identity_v4	sc_expression_source	NA	NA	AADAT	author_source_label	2	13	equal_donor_mean_cellwise_log1p10k	NA	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	NOT_EVALUABLE	GENE_MISSING_OR_LT3_ELIGIBLE_LABELS	GSE278688	UniProtKB:Q8N5Z0	primary_tumor	Schwann	12	2	221	154	NA	NA	NA	NA	Author labels,predeclared coarse mapping	mean_donor(mean_cell(log1p(10000*counts/all_gene_library)))	NA
PDAC	GSE278688	06_EXTERNAL	20260922T131800Z_author_identity_v4	PDAC_author_cell_identity_v4	sc_expression_source	NA	NA	AADAT	author_source_label	13	13	equal_donor_mean_cellwise_log1p10k	6.242053756888467e-05	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	DONE	Donor-equal descriptive expression	GSE278688	UniProtKB:Q8N5Z0	primary_tumor	T/NK	13	13	42168	42168	5.7541928921802025e-05	0.0	0.0	0.0	Author labels,predeclared coarse mapping	mean_donor(mean_cell(log1p(10000*counts/all_gene_library)))	0.0
PDAC	GSE278688	06_EXTERNAL	20260922T131800Z_author_identity_v4	PDAC_author_cell_identity_v4	sc_expression_source	NA	NA	AASS	author_source_label	2	13	equal_donor_mean_cellwise_log1p10k	NA	NA	NA	NA	NA	SC_SOURCE_DESCRIPTIVE	NA	NOT_EVALUABLE	GENE_MISSING_OR_LT3_ELIGIBLE_LABELS	GSE278688	UniProtKB:Q9UDR5	primary_tumor	Acinar	7	2	284	245	NA	NA	NA	NA	Author labels,predeclared coarse mapping	mean_donor(mean_cell(log1p(10000*counts/all_gene_library)))	NA
