cohort	role	state	n_cells	n_units
GSE242230	Author_malignant_control	CNV_ABNORMAL_CANDIDATE	152	9
GSE242230	Author_malignant_control	REFERENCE_LIKE	135	9
GSE242230	Author_malignant_control	UNCERTAIN	316	9
GSE242230	B_ref	REFERENCE_LIKE	406	9
GSE242230	B_ref	UNCERTAIN	140	9
GSE242230	B_ref_heldout	CNV_ABNORMAL_CANDIDATE	2	1
GSE242230	B_ref_heldout	REFERENCE_LIKE	448	9
GSE242230	B_ref_heldout	UNCERTAIN	101	9
GSE242230	Myeloid	CNV_ABNORMAL_CANDIDATE	23	5
GSE242230	Myeloid	REFERENCE_LIKE	1578	9
GSE242230	Myeloid	UNCERTAIN	2331	9
GSE242230	T_ref	CNV_ABNORMAL_CANDIDATE	5	3
GSE242230	T_ref	REFERENCE_LIKE	640	9
GSE242230	T_ref	UNCERTAIN	181	9
GSE242230	T_ref_heldout	CNV_ABNORMAL_CANDIDATE	4	3
GSE242230	T_ref_heldout	REFERENCE_LIKE	674	9
GSE242230	T_ref_heldout	UNCERTAIN	148	9
GSE263733	B_ref	REFERENCE_LIKE	578	11
GSE263733	B_ref	UNCERTAIN	185	11
GSE263733	B_ref_heldout	REFERENCE_LIKE	616	11
GSE263733	B_ref_heldout	UNCERTAIN	152	11
GSE263733	Myeloid	CNV_ABNORMAL_CANDIDATE	31	7
GSE263733	Myeloid	REFERENCE_LIKE	2775	11
GSE263733	Myeloid	UNCERTAIN	2272	11
GSE263733	Myeloid_normal_control	CNV_ABNORMAL_CANDIDATE	1	1
GSE263733	Myeloid_normal_control	REFERENCE_LIKE	146	4
GSE263733	Myeloid_normal_control	UNCERTAIN	34	4
GSE263733	T_ref	CNV_ABNORMAL_CANDIDATE	2	2
GSE263733	T_ref	REFERENCE_LIKE	743	11
GSE263733	T_ref	UNCERTAIN	355	11
GSE263733	T_ref_heldout	CNV_ABNORMAL_CANDIDATE	4	3
GSE263733	T_ref_heldout	REFERENCE_LIKE	840	11
GSE263733	T_ref_heldout	UNCERTAIN	256	11
GSE278688	B_ref	CNV_ABNORMAL_CANDIDATE	4	3
GSE278688	B_ref	REFERENCE_LIKE	694	11
GSE278688	B_ref	UNCERTAIN	201	11
GSE278688	B_ref_heldout	CNV_ABNORMAL_CANDIDATE	2	1
GSE278688	B_ref_heldout	REFERENCE_LIKE	687	11
GSE278688	B_ref_heldout	UNCERTAIN	214	11
GSE278688	Myeloid	CNV_ABNORMAL_CANDIDATE	66	8
GSE278688	Myeloid	REFERENCE_LIKE	3094	11
GSE278688	Myeloid	UNCERTAIN	1963	11
GSE278688	Myeloid_normal_control	REFERENCE_LIKE	292	4
GSE278688	Myeloid_normal_control	UNCERTAIN	62	4
GSE278688	T_ref	CNV_ABNORMAL_CANDIDATE	3	2
GSE278688	T_ref	REFERENCE_LIKE	838	11
GSE278688	T_ref	UNCERTAIN	259	11
GSE278688	T_ref_heldout	CNV_ABNORMAL_CANDIDATE	2	2
GSE278688	T_ref_heldout	REFERENCE_LIKE	853	11
GSE278688	T_ref_heldout	UNCERTAIN	245	11
